원래경로	변환경로
src/amd_am79c973/amd_am79c973.go	src/amdam79c973/amdam79c973.go
src/arp/arp.go	src/arp/arp.go
src/common/memoperations.go	src/مشترك/ذاكرةتشغيل.go
src/common/type.go	src/مشترك/نوع.go
src/console/console.go	src/طرفية/طرفية.go
src/console/console.s	src/طرفية/طرفية.s
src/drivers/ata/ata.go	src/مشغل/ata/ata.go
src/drivers/driver/driver.go	src/مشغل/مشغل/مشغل.go
src/drivers/keyboard/keyboard.go	src/مشغل/لوحةمفاتيح/لوحةمفاتيح.go
src/drivers/mouse/mouse.go	src/مشغل/جهاز_تأشير/جهاز_تأشير.go
src/drivers/timer/timer.go	src/مشغل/مؤقت/مؤقت.go
src/etherframe/etherframe.go	src/إطار_شبكة_ذات_وسط_مشترك/إطار_شبكة_ذات_وسط_مشترك.go
src/filesystem/elf/elf.go	src/ملفنظام/صيغة_التنفيذ_والربط/صيغة_التنفيذ_والربط.go
src/filesystem/elf/elfheader.go	src/ملفنظام/صيغة_التنفيذ_والربط/elfترويسة.go
src/filesystem/elf/elfsection.go	src/ملفنظام/صيغة_التنفيذ_والربط/elfقسم.go
src/filesystem/elf/linkmap.go	src/ملفنظام/صيغة_التنفيذ_والربط/رابطخريطة.go
src/filesystem/fat/fat.go	src/ملفنظام/fat/fat.go
src/filesystem/msdospart/msdospart.go	src/ملفنظام/msdosتجزئة/msdosتجزئة.go
src/gate/gate.go	src/بوابة/بوابة.go
src/gate/gate.s	src/بوابة/بوابة.s
src/gate/gate_amd64.go	src/بوابة/بوابةamd64.go
src/gate/gate_amd64.s	src/بوابة/بوابةamd64.s
src/gdt/gdt.go	src/gdt/gdt.go
src/gdt/gdt.s	src/gdt/gdt.s
src/icmp/icmp.go	src/بروتوكول_رسائل_التحكم_بالشبكة_المترابطة/بروتوكول_رسائل_التحكم_بالشبكة_المترابطة.go
src/interrupt/interrupt.go	src/مقاطعة/مقاطعة.go
src/interrupt/interrupt.s	src/مقاطعة/مقاطعة.s
src/ipv4/ipv4.go	src/بروتوكول_الشبكة_المترابطة_4/بروتوكول_الشبكة_المترابطة_4.go
src/memorymanager/memorymanager.go	src/ذاكرةمدير/ذاكرةمدير.go
src/multitasking/multi.s	src/متعددإدارةمهام/متعدد.s
src/multitasking/multitasking.go	src/متعددإدارةمهام/متعددإدارةمهام.go
src/paging/paging.go	src/إدارةصفحات/إدارةصفحات.go
src/paging/paging.s	src/إدارةصفحات/إدارةصفحات.s
src/pci/pci.go	src/pci/pci.go
src/phymem/phymem.go	src/ماديذاكرة/ماديذاكرة.go
src/port/port.go	src/منفذ/منفذ.go
src/port/port.s	src/منفذ/منفذ.s
src/systemcall/systemcall.go	src/نظامنداء/نظامنداء.go
src/systemcall/systemcall.s	src/نظامنداء/نظامنداء.s
src/tasking/process/process.go	src/إدارةمهام/عملية/عملية.go
src/tasking/scheduler/scheduler.go	src/إدارةمهام/مجدول/مجدول.go
src/tasking/scheduler/scheduler.s	src/إدارةمهام/مجدول/مجدول.s
src/tasking/thread/thread.go	src/إدارةمهام/خيطتنفيذ/خيطتنفيذ.go
src/tasking/tss/tss.go	src/إدارةمهام/tss/tss.go
src/tasking/tss/tss.s	src/إدارةمهام/tss/tss.s
src/text_mode/text_mode.go	src/نصوضع/نصوضع.go
src/udp/udp.go	src/بروتوكول_رزم_المستخدم/بروتوكول_رزم_المستخدم.go
src/util/array/array.go	src/أداة/مصفوفة/مصفوفة.go
src/util/list/list.go	src/أداة/قائمة/قائمة.go
src/util/util.go	src/أداة/أداة.go
src/vga/vga.go	src/vga/vga.go
src/virtmem/virtmem.go	src/افتراضيذاكرة/افتراضيذاكرة.go
src/widget/widget.go	src/عنصر_شاشة/عنصر_شاشة.go
main.go	رئيسي.go
main.s	رئيسي.s
