original	localized	language
Activate	Activate	ar
ActivateAll	Activateالكل	ar
Active	Aنشط	ar
ActiveInterruptManager	Aنشطمقاطعةمدير	ar
ActiveMemoryManager	Aنشطذاكرةمدير	ar
Add	Aأضف	ar
AddDriver	Aأضفمشغل	ar
AddRunnableThread	Aأضفrunnableخيطتنفيذ	ar
AddTask	Aأضفمهمة	ar
AddThread	Aأضفخيطتنفيذ	ar
Address	Address	ar
AlignedMalloc	Alignedmalloc	ar
AlignmentCheck	Aالمحاذاةcheck	ar
AllocateBlock	Allocateحظر	ar
AllocatePID	Allocateالهوية	ar
AmountOfMemory	Amountofذاكرة	ar
ArrayToUint16	Aمصفوفةtounsignedinteger16	ar
ArrayToUint32	Aمصفوفةtounsignedinteger32	ar
ArrayToUint48	Aمصفوفةtounsignedinteger48	ar
ArrayToUint48_BE	Aمصفوفةtounsignedinteger48be	ar
ArrayToUint64	Aمصفوفةtounsignedinteger64	ar
Atime	Atime	ar
AtimeNsec	Atimensec	ar
BLOCKS_PER_BYTE	Bحظرperبايت	ar
BLOCK_SIZE	Bحظرالحجم	ar
Backend	Backend	ar
BaseAddr	Baseaddress	ar
Bind	Bind	ar
Blksize	Blksize	ar
Blocked	Blocked	ar
BlockedState	Blockedالحالة	ar
Blocks	Bحظر	ar
BoundRangeExceeded	Boundمدىexceeded	ar
BroadcastMacAddress	Broadcastmacaddress	ar
BytesPerSector	Bبايتpersector	ar
BytesToString	Bبايتtoسلسلة	ar
Checksum	Checksum	ar
Clear	Cامح	ar
Clone	Clone	ar
CloneAddressSpaceCOW	Cloneaddressspacecow	ar
Connect	Connect	ar
ContainsCoordinate	Containscoordinate	ar
CopyPageFrameBlock	Cنسخصفحةإطارحظر	ar
CpuState	Cالمعالجالحالة	ar
Create	Cإنشاء	ar
CreateFromData	Cإنشاءfromبيانات	ar
CreateFromFunction	Cإنشاءfromfunction	ar
CreatePtrFromFunction	Cإنشاءالمؤشرfromfunction	ar
Cs	Cs	ar
Ctime	Ctime	ar
CtimeNsec	Ctimensec	ar
CurrentPID	Cالحاليالهوية	ar
CurrentParentPID	Cالحاليأبالهوية	ar
Data	Data	ar
Deactivate	Deactivate	ar
Deactive	Deactive	ar
Decrement	Decrement	ar
Delete	Dحذف	ar
DescriptorPrivilegeLevel	Descriptorprivilegelevel	ar
DescriptorType	Descriptorنوع	ar
Destroy	Destroy	ar
Dev	Dالجهاز	ar
DeviceHasFunctions	Dالجهازhasfunctions	ar
DeviceNotAvailable	Dالجهازnotمتوفر	ar
Device_id	Dالجهازالهوية	ar
DisableInt	Disableعددصحيح	ar
Disconnect	Dقطعالإتصال	ar
DivideByZero	Dividebyzero	ar
DoHandleInterrupt	Doالتعاملمقاطعة	ar
DoubleFault	Dمضاعفخلل	ar
Draw	Draw	ar
DriverManager	Dمشغلمدير	ar
Ds	Ds	ar
Dynamic	Dynamic	ar
E2BIG	E2big	ar
EACCES	Eacces	ar
EADDRINUSE	Eaddrinuse	ar
EAFNOSUPPORT	Eafnosupport	ar
EAGAIN	Eagain	ar
EBADF	Ebadf	ar
EBUSY	Ebusy	ar
ECHILD	Echild	ar
EEXIST	Eexist	ar
EFAULT	Efault	ar
EFBIG	Efbig	ar
