english	localized	language
a	a	ti
access	access	ti
ack	ack	ti
activate	activate	ti
active	active	ti
add	add	ti
addend	addend	ti
addr	addr	ti
addralign	addralign	ti
address	address	ti
advanced	advanced	ti
af	af	ti
after	after	ti
align	align	ti
aligned	aligned	ti
alignment	alignment	ti
all	all	ti
alloc	alloc	ti
allocate	allocate	ti
allocated	allocated	ti
am	am	ti
amd	amd	ti
amount	amount	ti
and	and	ti
append	append	ti
args	args	ti
argument	argument	ti
arguments	arguments	ti
arp	arp	ti
arp콘솔	arp콘솔	ti
array	array	ti
assembly	assembly	ti
at	at	ti
ata	ata	ti
atime	atime	ti
attachment	attachment	ti
attempts	attempts	ti
attr	attr	ti
attribute	attribute	ti
attributes	attributes	ti
aux	aux	ti
avail	avail	ti
available	available	ti
b	b	ti
ba	ba	ti
back	back	ti
backend	backend	ti
backup	backup	ti
bar	bar	ti
base	base	ti
be	be	ti
bh	bh	ti
big	big	ti
bind	bind	ti
bios	bios	ti
bit	bit	ti
bitmap	bitmap	ti
bitmasp	bitmasp	ti
bits	bits	ti
blksize	blksize	ti
block	block	ti
blocked	blocked	ti
blocking	blocking	ti
blocks	blocks	ti
boot	boot	ti
bootable	bootable	ti
bootloader	bootloader	ti
bound	bound	ti
bpb	bpb	ti
break	break	ti
brk	brk	ti
broadcast	broadcast	ti
buf	buf	ti
buffer	buffer	ti
buffers	buffers	ti
bufptr	bufptr	ti
bus	bus	ti
button	button	ti
buttons	buttons	ti
by	by	ti
byte	byte	ti
bytes	bytes	ti
c	c	ti
cache	cache	ti
call	call	ti
candidate	candidate	ti
cap	cap	ti
capable	capable	ti
card	card	ti
central	central	ti
char	char	ti
chdir	chdir	ti
check	check	ti
checked	checked	ti
checksum	checksum	ti
child	child	ti
chunk	chunk	ti
class	class	ti
clear	clear	ti
cloexec	cloexec	ti
clone	clone	ti
close	close	ti
cluster	cluster	ti
cmp	cmp	ti
code	code	ti
col	col	ti
color	color	ti
colordepth	colordepth	ti
command	command	ti
commandport	commandport	ti
common	common	ti
component	component	ti
connect	connect	ti
connected	connected	ti
console	console	ti
constant	constant	ti
contains	contains	ti
contents	contents	ti
control	control	ti
controller	controller	ti
coordinate	coordinate	ti
copies	copies	ti
copy	copy	ti
count	count	ti
cow	cow	ti
cpu	cpu	ti
cpustate	cpustate	ti
cpy	cpy	ti
cr	cr	ti
creat	creat	ti
create	create	ti
crtc	crtc	ti
cs	cs	ti
ctime	ctime	ti
cur	cur	ti
current	current	ti
cursor	cursor	ti
cylinder	cylinder	ti
d	d	ti
data	data	ti
databuffer	databuffer	ti
datagram	datagram	ti
dataport	dataport	ti
date	date	ti
deactivate	deactivate	ti
deactive	deactive	ti
debug	debug	ti
decrement	decrement	ti
default	default	ti
delete	delete	ti
delta	delta	ti
depth	depth	ti
desc	desc	ti
descr	descr	ti
description	description	ti
descriptor	descriptor	ti
descriptors	descriptors	ti
descsz	descsz	ti
destination	destination	ti
destroy	destroy	ti
dev	dev	ti
device	device	ti
diff	diff	ti
digits	digits	ti
dir	dir	ti
directory	directory	ti
dirent	dirent	ti
disable	disable	ti
discard	discard	ti
disconnect	disconnect	ti
dispatch	dispatch	ti
divide	divide	ti
divisor	divisor	ti
do	do	ti
domain	domain	ti
double	double	ti
down	down	ti
draw	draw	ti
drive	drive	ti
driver	driver	ti
drivercount	drivercount	ti
drivers	drivers	ti
drv	drv	ti
ds	ds	ti
dst	dst	ti
dstptr	dstptr	ti
dup	dup	ti
dword	dword	ti
dyn	dyn	ti
dynamic	dynamic	ti
e	e	ti
eacces	eacces	ti
eaddrinuse	eaddrinuse	ti
eafnosupport	eafnosupport	ti
eagain	eagain	ti
eax	eax	ti
ebadf	ebadf	ti
ebp	ebp	ti
ebusy	ebusy	ti
ebx	ebx	ti
echild	echild	ti
echo	echo	ti
ecx	ecx	ti
edi	edi	ti
edx	edx	ti
eexist	eexist	ti
ef	ef	ti
efault	efault	ti
efbig	efbig	ti
eflags	eflags	ti
ehsize	ehsize	ti
eintr	eintr	ti
einval	einval	ti
eio	eio	ti
eip	eip	ti
eisdir	eisdir	ti
elf	elf	ti
emfile	emfile	ti
empty	empty	ti
emsgsize	emsgsize	ti
enable	enable	ti
enabled	enabled	ti
end	end	ti
enetunreach	enetunreach	ti
enfile	enfile	ti
enodev	enodev	ti
enoent	enoent	ti
enoexec	enoexec	ti
enomem	enomem	ti
enospc	enospc	ti
enosys	enosys	ti
enotconn	enotconn	ti
enotdir	enotdir	ti
enotty	enotty	ti
ensure	ensure	ti
entries	entries	ti
entry	entry	ti
entrypoint	entrypoint	ti
entsize	entsize	ti
environment	environment	ti
eopnotsupp	eopnotsupp	ti
eperm	eperm	ti
ephemeral	ephemeral	ti
eprotonosupport	eprotonosupport	ti
equal	equal	ti
erange	erange	ti
erofs	erofs	ti
err	err	ti
error	error	ti
errorln	errorln	ti
es	es	ti
esi	esi	ti
esp	esp	ti
espipe	espipe	ti
esrch	esrch	ti
ether	ether	ti
etherframe	etherframe	ti
ethernet	ethernet	ti
event	event	ti
events	events	ti
exceeded	exceeded	ti
except	except	ti
exception	exception	ti
exec	exec	ti
execve	execve	ti
exists	exists	ti
exit	exit	ti
exited	exited	ti
ext	ext	ti
extended	extended	ti
f	f	ti
family	family	ti
fat	fat	ti
fatal	fatal	ti
fatbuf	fatbuf	ti
fatbuffer	fatbuffer	ti
fault	fault	ti
fb	fb	ti
fcntl	fcntl	ti
fd	fd	ti
fds	fds	ti
field	field	ti
file	file	ti
filename	filename	ti
files	files	ti
filesz	filesz	ti
fill	fill	ti
find	find	ti
first	first	ti
fl	fl	ti
flag	flag	ti
flags	flags	ti
floating	floating	ti
flush	flush	ti
fn	fn	ti
focus	focus	ti
focussable	focussable	ti
foo	foo	ti
for	for	ti
forced	forced	ti
fork	fork	ti
found	found	ti
fp	fp	ti
fpu	fpu	ti
frame	frame	ti
free	free	ti
frequency	frequency	ti
from	from	ti
front	front	ti
fs	fs	ti
fstat	fstat	ti
fsync	fsync	ti
fuction	fuction	ti
full	full	ti
func	func	ti
function	function	ti
functions	functions	ti
fxrstor	fxrstor	ti
fxsave	fxsave	ti
g	g	ti
gate	gate	ti
gateway	gateway	ti
gb	gb	ti
gdt	gdt	ti
get	get	ti
getcwd	getcwd	ti
getegid	getegid	ti
geteuid	geteuid	ti
getgid	getgid	ti
getpid	getpid	ti
getppid	getppid	ti
getuid	getuid	ti
gid	gid	ti
global	global	ti
got	got	ti
gpf	gpf	ti
gran	gran	ti
graphics	graphics	ti
grub	grub	ti
gs	gs	ti
h	h	ti
halt	halt	ti
handle	handle	ti
handler	handler	ti
handlers	handlers	ti
hardware	hardware	ti
has	has	ti
hd	hd	ti
head	head	ti
header	header	ti
headertype	headertype	ti
heap	heap	ti
height	height	ti
helper	helper	ti
hex	hex	ti
hex출력	hex출력	ti
hi	hi	ti
hidden	hidden	ti
high	high	ti
hop	hop	ti
i	i	ti
icmp	icmp	ti
icmp콘솔	icmp콘솔	ti
id	id	ti
ident	ident	ti
identify	identify	ti
idt	idt	ti
idx	idx	ti
ifchr	ifchr	ti
ifdir	ifdir	ti
ifmt	ifmt	ti
ifreg	ifreg	ti
ifsock	ifsock	ti
in	in	ti
increment	increment	ti
index	index	ti
inet	inet	ti
info	info	ti
init	init	ti
initial	initial	ti
initialization	initialization	ti
initialize	initialize	ti
ino	ino	ti
inode	inode	ti
input	input	ti
install	install	ti
int	int	ti
interconnect	interconnect	ti
interface	interface	ti
internet	internet	ti
internetprotocol	internetprotocol	ti
interrupt	interrupt	ti
interrupts	interrupts	ti
invalid	invalid	ti
io	io	ti
iomap	iomap	ti
ip	ip	ti
ipci	ipci	ti
ipmessage	ipmessage	ti
ipv	ipv	ti
ip콘솔	ip콘솔	ti
iret	iret	ti
is	is	ti
ist	ist	ti
j	j	ti
jmp	jmp	ti
jump	jump	ti
k	k	ti
kb	kb	ti
kcs	kcs	ti
kds	kds	ti
kernel	kernel	ti
key	key	ti
keyboard	keyboard	ti
kgs	kgs	ti
kind	kind	ti
k핵심	k핵심	ti
l	l	ti
label	label	ti
last	last	ti
lba	lba	ti
ldt	ldt	ti
left	left	ti
len	len	ti
length	length	ti
lengths	lengths	ti
level	level	ti
lib	lib	ti
lidt	lidt	ti
lidtaddr	lidtaddr	ti
limit	limit	ti
line	line	ti
link	link	ti
linked	linked	ti
linker	linker	ti
list	list	ti
listen	listen	ti
listening	listening	ti
live	live	ti
load	load	ti
loader	loader	ti
local	local	ti
log	log	ti
logical	logical	ti
loop	loop	ti
low	low	ti
lseek	lseek	ti
lstat	lstat	ti
m	m	ti
mac	mac	ti
machine	machine	ti
magicnumber	magicnumber	ti
main	ዋና	ti
make	make	ti
malloc	malloc	ti
manager	manager	ti
map	map	ti
mask	mask	ti
master	master	ti
matches	matches	ti
max	max	ti
maximum	maximum	ti
mb	mb	ti
mbr	mbr	ti
media	media	ti
mem	mem	ti
memory	memory	ti
memorymananger	memorymananger	ti
memorytest	memorytest	ti
memsz	memsz	ti
mesg	mesg	ti
message	message	ti
mics	mics	ti
mid	mid	ti
minimum	minimum	ti
mode	mode	ti
model	model	ti
mouse	mouse	ti
mousemove	mousemove	ti
move	move	ti
msdospart	msdospart	ti
msg	msg	ti
mtime	mtime	ti
multi	multi	ti
multiboot	multiboot	ti
multitasking	multitasking	ti
my	my	ti
myfunction	myfunction	ti
m긴급로그	m긴급로그	ti
m긴급로그문자열	m긴급로그문자열	ti
m직렬로그초기화	m직렬로그초기화	ti
m출력	m출력	ti
m테스트	m테스트	ti
n	n	ti
name	name	ti
namesz	namesz	ti
net	net	ti
network	network	ti
new	new	ti
next	next	ti
nibble	nibble	ti
nlink	nlink	ti
nmi	nmi	ti
node	node	ti
nodename	nodename	ti
noexec	noexec	ti
none	none	ti
normal	normal	ti
norw	norw	ti
not	not	ti
note	note	ti
nsec	nsec	ti
num	num	ti
number	number	ti
o	o	ti
of	of	ti
offset	offset	ti
ok	ok	ti
old	old	ti
on	on	ti
only	only	ti
opcode	opcode	ti
open	open	ti
oper	oper	ti
operation	operation	ti
options	options	ti
order	order	ti
org	org	ti
other	other	ti
out	out	ti
output	output	ti
overflow	overflow	ti
p	p	ti
packet	packet	ti
packets	packets	ti
paddr	paddr	ti
page	page	ti
pages	pages	ti
paging	paging	ti
param	param	ti
parameter	parameter	ti
params	params	ti
parent	parent	ti
parse	parse	ti
part	part	ti
partition	partition	ti
partitions	partitions	ti
path	path	ti
pause	pause	ti
payload	payload	ti
pci	pci	ti
pde	pde	ti
pdelen	pdelen	ti
peer	peer	ti
pending	pending	ti
per	per	ti
peripheral	peripheral	ti
phentsize	phentsize	ti
phnum	phnum	ti
phoff	phoff	ti
phy	phy	ti
phyaddr	phyaddr	ti
phymem	phymem	ti
phys	phys	ti
physical	physical	ti
pic	pic	ti
pid	pid	ti
pit	pit	ti
pixel	pixel	ti
point	point	ti
pointer	pointer	ti
pointers	pointers	ti
poll	poll	ti
port	port	ti
portnumber	portnumber	ti
pos	pos	ti
position	position	ti
posix	posix	ti
prefetch	prefetch	ti
prefetchable	prefetchable	ti
present	present	ti
prev	prev	ti
primary	primary	ti
print	print	ti
printf	printf	ti
println	println	ti
printreg	printreg	ti
priv	priv	ti
private	private	ti
privilege	privilege	ti
proc	proc	ti
process	process	ti
processes	processes	ti
processing	processing	ti
program	program	ti
programmable	programmable	ti
protocol	protocol	ti
provided	provided	ti
provider	provider	ti
ps	ps	ti
pt	pt	ti
pte	pte	ti
ptr	ptr	ti
push	push	ti
put	put	ti
pv	pv	ti
queue	queue	ti
r	r	ti
range	range	ti
raw	raw	ti
rdev	rdev	ti
read	anbeb	ti
ready	ready	ti
receive	receive	ti
received	received	ti
receiver	receiver	ti
receviced	receviced	ti
record	record	ti
rectangle	rectangle	ti
recv	recv	ti
ref	ref	ti
refs	refs	ti
reg	reg	ti
region	region	ti
register	register	ti
registeroffset	registeroffset	ti
registers	registers	ti
regs	regs	ti
regtype	regtype	ti
rel	rel	ti
rela	rela	ti
release	release	ti
released	released	ti
reload	reload	ti
relocation	relocation	ti
remaining	remaining	ti
remote	remote	ti
remove	remove	ti
reply	reply	ti
request	request	ti
requested	requested	ti
reserved	reserved	ti
reset	reset	ti
resolve	resolve	ti
restore	restore	ti
result	result	ti
ret	ret	ti
revision	revision	ti
rgb	rgb	ti
right	right	ti
root	root	ti
round	round	ti
route	route	ti
rs	rs	ti
rt	rt	ti
run	run	ti
runnable	runnable	ti
rx	rx	ti
s	s	ti
saved	saved	ti
sc	sc	ti
scan	scan	ti
scancode	scancode	ti
sche	sche	ti
schedule	schedule	ti
scheduler	scheduler	ti
screen	screen	ti
secondary	secondary	ti
sect	sect	ti
section	section	ti
sector	sector	ti
sectors	sectors	ti
seek	seek	ti
seg	seg	ti
segment	segment	ti
segments	segments	ti
select	select	ti
selector	selector	ti
self	self	ti
send	send	ti
sequencer	sequencer	ti
serial	serial	ti
set	set	ti
setup	setup	ti
sh	sh	ti
shared	shared	ti
shentsize	shentsize	ti
shift	shift	ti
shndx	shndx	ti
shnum	shnum	ti
shoff	shoff	ti
shstrndx	shstrndx	ti
signature	signature	ti
simd	simd	ti
size	size	ti
sl	sl	ti
slave	slave	ti
sock	sock	ti
socket	socket	ti
socketcall	socketcall	ti
sockets	sockets	ti
soft	soft	ti
software	software	ti
source	source	ti
space	space	ti
spawn	spawn	ti
src	src	ti
srcptr	srcptr	ti
ss	ss	ti
st	st	ti
stack	stack	ti
stackbottom	stackbottom	ti
stacktop	stacktop	ti
start	start	ti
started	started	ti
starting	starting	ti
stat	stat	ti
state	state	ti
status	status	ti
stderr	stderr	ti
stdin	stdin	ti
stdout	stdout	ti
stop	stop	ti
stopped	stopped	ti
str	str	ti
string	string	ti
strtab	strtab	ti
subclass	subclass	ti
subnet	subnet	ti
support	support	ti
swap	swap	ti
switch	switch	ti
sym	sym	ti
sync	sync	ti
sys	sys	ti
syscall	syscall	ti
sysname	sysname	ti
