english	localized	language
a	أ	ar
access	نفاذ	ar
ack	ack	ar
activate	activate	ar
active	نشط	ar
add	أضف	ar
addend	addend	ar
addr	addr	ar
addralign	addralign	ar
address	address	ar
advanced	متقدم	ar
af	af	ar
after	بعد	ar
align	align	ar
aligned	aligned	ar
alignment	المحاذاة	ar
all	الكل	ar
alloc	alloc	ar
allocate	allocate	ar
allocated	allocated	ar
am	am	ar
amd	amd	ar
amount	amount	ar
and	and	ar
append	append	ar
args	args	ar
argument	argument	ar
arguments	arguments	ar
arp	arp	ar
arp콘솔	arp콘솔	ar
array	مصفوفة	ar
assembly	تجميع	ar
at	at	ar
ata	ata	ar
atime	atime	ar
attachment	attachment	ar
attempts	attempts	ar
attr	attr	ar
attribute	خاصية	ar
attributes	سمات	ar
aux	aux	ar
avail	avail	ar
available	متوفر	ar
b	ب	ar
ba	ba	ar
back	للخلف	ar
backend	backend	ar
backup	backup	ar
bar	شريط	ar
base	base	ar
be	be	ar
bh	bh	ar
big	big	ar
bind	bind	ar
bios	bios	ar
bit	bit	ar
bitmap	bitmap	ar
bitmasp	bitmasp	ar
bits	بت	ar
blksize	blksize	ar
block	حظر	ar
blocked	blocked	ar
blocking	blocking	ar
blocks	البلوكات	ar
boot	boot	ar
bootable	bootable	ar
bootloader	bootloader	ar
bound	bound	ar
bpb	bpb	ar
break	break	ar
brk	brk	ar
broadcast	broadcast	ar
buf	buf	ar
buffer	buffer	ar
buffers	الذاكرةالوسيطة	ar
bufptr	bufptr	ar
bus	bus	ar
button	زر	ar
buttons	أزرار	ar
by	by	ar
byte	بايت	ar
bytes	بايت	ar
c	مئوية	ar
cache	cache	ar
call	نداء	ar
candidate	candidate	ar
cap	cap	ar
capable	capable	ar
card	ورق	ar
central	central	ar
char	char	ar
chdir	chdir	ar
check	check	ar
checked	checked	ar
checksum	checksum	ar
child	ابنة	ar
chunk	chunk	ar
class	الفئة	ar
clear	امح	ar
cloexec	cloexec	ar
clone	clone	ar
close	إغلاق	ar
cluster	cluster	ar
cmp	cmp	ar
code	code	ar
col	col	ar
color	اللون	ar
colordepth	colordepth	ar
command	أمر	ar
commandport	commandport	ar
common	مشترك	ar
component	component	ar
connect	connect	ar
connected	connected	ar
console	طرفية	ar
constant	ثابت	ar
contains	contains	ar
contents	المحتويات	ar
control	تحكم	ar
controller	متحكم	ar
coordinate	coordinate	ar
copies	copies	ar
copy	نسخ	ar
count	count	ar
cow	cow	ar
cpu	المعالج	ar
cpustate	cpustate	ar
cpy	cpy	ar
cr	cr	ar
creat	creat	ar
create	إنشاء	ar
crtc	crtc	ar
cs	cs	ar
ctime	ctime	ar
cur	cur	ar
current	الحالي	ar
cursor	مؤشر	ar
cylinder	cylinder	ar
