원래경로	변환경로
src/amd_am79c973/amd_am79c973.go	src/amdam79c973/amdam79c973.go
src/arp/arp.go	src/arp/arp.go
src/common/memoperations.go	src/común/memoriaoperación.go
src/common/type.go	src/común/tipo.go
src/console/console.go	src/consola/consola.go
src/console/console.s	src/consola/consola.s
src/drivers/ata/ata.go	src/controlador/ata/ata.go
src/drivers/driver/driver.go	src/controlador/controlador/controlador.go
src/drivers/keyboard/keyboard.go	src/controlador/teclado/teclado.go
src/drivers/mouse/mouse.go	src/controlador/dispositivo_señalador/dispositivo_señalador.go
src/drivers/timer/timer.go	src/controlador/temporizador/temporizador.go
src/etherframe/etherframe.go	src/trama_de_la_red_de_medio_compartido/trama_de_la_red_de_medio_compartido.go
src/filesystem/elf/elf.go	src/archivosistema/formato_ejecutable_y_enlazable/formato_ejecutable_y_enlazable.go
src/filesystem/elf/elfheader.go	src/archivosistema/formato_ejecutable_y_enlazable/elfencabezado.go
src/filesystem/elf/elfsection.go	src/archivosistema/formato_ejecutable_y_enlazable/elfsección.go
src/filesystem/elf/linkmap.go	src/archivosistema/formato_ejecutable_y_enlazable/enlacemapa.go
src/filesystem/fat/fat.go	src/archivosistema/fat/fat.go
src/filesystem/msdospart/msdospart.go	src/archivosistema/msdospartición/msdospartición.go
src/gate/gate.go	src/puerta/puerta.go
src/gate/gate.s	src/puerta/puerta.s
src/gate/gate_amd64.go	src/puerta/puertaamd64.go
src/gate/gate_amd64.s	src/puerta/puertaamd64.s
src/gdt/gdt.go	src/gdt/gdt.go
src/gdt/gdt.s	src/gdt/gdt.s
src/icmp/icmp.go	src/protocolo_de_mensajes_de_control_de_red_interconectada/protocolo_de_mensajes_de_control_de_red_interconectada.go
src/interrupt/interrupt.go	src/interrupción/interrupción.go
src/interrupt/interrupt.s	src/interrupción/interrupción.s
src/ipv4/ipv4.go	src/protocolo_de_red_interconectada_4/protocolo_de_red_interconectada_4.go
src/memorymanager/memorymanager.go	src/memoriagestor/memoriagestor.go
src/multitasking/multi.s	src/múltiplegestiónTareas/múltiple.s
src/multitasking/multitasking.go	src/múltiplegestiónTareas/múltiplegestiónTareas.go
src/paging/paging.go	src/paginación/paginación.go
src/paging/paging.s	src/paginación/paginación.s
src/pci/pci.go	src/pci/pci.go
src/phymem/phymem.go	src/físicomemoria/físicomemoria.go
src/port/port.go	src/puerto/puerto.go
src/port/port.s	src/puerto/puerto.s
src/systemcall/systemcall.go	src/sistemallamada/sistemallamada.go
src/systemcall/systemcall.s	src/sistemallamada/sistemallamada.s
src/tasking/process/process.go	src/gestiónTareas/proceso/proceso.go
src/tasking/scheduler/scheduler.go	src/gestiónTareas/planificador/planificador.go
src/tasking/scheduler/scheduler.s	src/gestiónTareas/planificador/planificador.s
src/tasking/thread/thread.go	src/gestiónTareas/hilo/hilo.go
src/tasking/tss/tss.go	src/gestiónTareas/tss/tss.go
src/tasking/tss/tss.s	src/gestiónTareas/tss/tss.s
src/text_mode/text_mode.go	src/textomodo/textomodo.go
src/udp/udp.go	src/protocolo_de_datagramas_de_usuario/protocolo_de_datagramas_de_usuario.go
src/util/array/array.go	src/utilidad/matriz/matriz.go
src/util/list/list.go	src/utilidad/lista/lista.go
src/util/util.go	src/utilidad/utilidad.go
src/vga/vga.go	src/vga/vga.go
src/virtmem/virtmem.go	src/virtualmemoria/virtualmemoria.go
src/widget/widget.go	src/elemento_de_pantalla/elemento_de_pantalla.go
main.go	principal.go
main.s	principal.s
asm/constants.inc	arranque_de_máquina/constante.inc
asm/gdt.inc	arranque_de_máquina/gdt.inc
asm/go_asm_offsets.inc	arranque_de_máquina/goasmDesplazamiento.inc
asm/multiboot_header.s	arranque_de_máquina/multibootencabezado.s
asm/rt0.s	arranque_de_máquina/rt0.s
go.sh	compilar_núcleo.sh
linker.ld	disposición_de_enlace.ld
