original	localized	language
Activate	Lülitasisse	et
ActivateAll	LülitasisseKõik	et
Active	Aktiivne	et
ActiveInterruptManager	AktiivneKatkestusmanager	et
ActiveMemoryManager	AktiivneMälumanager	et
Add	Lisa	et
AddDriver	Lisadriver	et
AddRunnableThread	Lisarunnablethread	et
AddTask	Lisatask	et
AddThread	Lisathread	et
Address	Address	et
AlignedMalloc	Alignedmalloc	et
AlignmentCheck	Alignmentcheck	et
AllocateBlock	AllocateKast	et
AllocatePID	Allocatepid	et
AmountOfMemory	KogusofMälu	et
ArrayToUint16	Massiivtounsignedinteger16	et
ArrayToUint32	Massiivtounsignedinteger32	et
ArrayToUint48	Massiivtounsignedinteger48	et
ArrayToUint48_BE	Massiivtounsignedinteger48be	et
ArrayToUint64	Massiivtounsignedinteger64	et
Atime	Atime	et
AtimeNsec	Atimensec	et
BLOCKS_PER_BYTE	Kastperbyte	et
BLOCK_SIZE	KastSuurus	et
Backend	Backend	et
BaseAddr	Baseaddress	et
Bind	Bind	et
Blksize	Blksize	et
Blocked	Blocked	et
BlockedState	BlockedOlek	et
Blocks	Kast	et
BoundRangeExceeded	BoundVahemikexceeded	et
BroadcastMacAddress	Broadcastmacaddress	et
BytesPerSector	Baitipersector	et
BytesToString	Baititostring	et
Checksum	Checksum	et
Clear	Puhasta	et
Clone	Clone	et
CloneAddressSpaceCOW	CloneaddressTühikcow	et
Connect	Ühendu	et
ContainsCoordinate	Containscoordinate	et
CopyPageFrameBlock	KopeeriLehekülgRaamKast	et
CpuState	ProtsessorOlek	et
Create	Create	et
CreateFromData	Createfromdata	et
CreateFromFunction	CreatefromFunktsioon	et
CreatePtrFromFunction	CreateKursorfromFunktsioon	et
Cs	Cs	et
Ctime	Ctime	et
CtimeNsec	Ctimensec	et
CurrentPID	Käesolevpid	et
CurrentParentPID	Käesolevvanempid	et
Data	Data	et
Deactivate	Lülitavälja	et
Deactive	Deactive	et
Decrement	Decrement	et
Delete	Kustuta	et
DescriptorPrivilegeLevel	Descriptorprivilegelevel	et
DescriptorType	DescriptorLiik	et
Destroy	Hävita	et
Dev	Seade	et
DeviceHasFunctions	SeadehasFunktsioonid	et
DeviceNotAvailable	SeadenotSaadaval	et
Device_id	Seadeid	et
DisableInt	Keelaint	et
Disconnect	Katkestaühendus	et
DivideByZero	Dividebyzero	et
DoHandleInterrupt	DohandleKatkestus	et
DoubleFault	Doublefault	et
Draw	Draw	et
DriverManager	Drivermanager	et
Ds	Ds	et
Dynamic	Dünaamiline	et
E2BIG	E2big	et
EACCES	Eacces	et
EADDRINUSE	Eaddrinuse	et
EAFNOSUPPORT	Eafnosupport	et
EAGAIN	Eagain	et
EBADF	Ebadf	et
EBUSY	Ebusy	et
ECHILD	Echild	et
EEXIST	Eexist	et
EFAULT	Efault	et
EFBIG	Efbig	et
EINTR	Eintr	et
EINVAL	Einval	et
EIO	Eio	et
EISDIR	Eisdir	et
EMFILE	Emfile	et
EMSGSIZE	Emsgsize	et
ENETUNREACH	Enetunreach	et
ENFILE	Enfile	et
ENODEV	Enodev	et
ENOENT	Enoent	et
ENOEXEC	Enoexec	et
ENOMEM	Enomem	et
ENOSPC	Enospc	et
ENOSYS	Enosys	et
ENOTCONN	Enotconn	et
ENOTDIR	Enotdir	et
ENOTTY	Enotty	et
EOPNOTSUPP	Eopnotsupp	et
EPERM	Eperm	et
EPROTONOSUPPORT	Eprotonosupport	et
ERANGE	Erange	et
EROFS	Erofs	et
ESPIPE	Espipe	et
ESRCH	Esrch	et
Eax	Eax	et
Ebp	Ebp	et
Ebx	Ebx	et
Ecx	Ecx	et
Edi	Edi	et
Edx	Edx	et
Eflags	Eflags	et
Eip	Eip	et
Elf	Elf	et
Elf32Dyn	Elf32dyn	et
Elf32Note	Elf32Märkus	et
Elf32Rel	Elf32rel	et
Elf32Rela	Elf32rela	et
Elf32Sym	Elf32sym	et
ElfHeader	Elfheader	et
ElfProgramHeader	Elfprogrammheader	et
ElfSectionHeader	Elfsectionheader	et
EnablePaging	Lubatudpaging	et
Enabled	Lubatud	et
EntryNumber	KirjeArv	et
EqualBytes	Võrdnebaiti	et
Es	Es	et
Esi	Esi	et
Esp	Esp	et
FPUBuffer	Fpubuffer	et
FPUOffset	Fpuoffset	et
Family	Family	et
FileName	FailNimi	et
Fill	Fill	et
FillRectangle	FillRistkülik	et
First	First	et
FirstFree	FirstVaba	et
FirstFreeSize	FirstVabaSuurus	et
Flags	Lipud	et
FloatingPointException	Ujuvpointexception	et
Flush	Flush	et
FlushTlsTable	FlushtlsTabel	et
Focussable	Focussable	et
Free	Vaba	et
Fs	Fs	et
GB	Gb	et
GDT_ENTRIES	Gdtkirje	et
GOT	Got	et
GPFException	Gpfexception	et
GatewayIP	Gatewayip	et
GdtAddressHigh	GdtaddressKõrge	et
GdtAddressLow	GdtaddressMadal	et
GdtDescriptor	Gdtdescriptor	et
GdtEntry	Gdtkirje_2	et
GdtSize	GdtSuurus	et
GetAt	Getat	et
GetBackend	Getbackend	et
GetBaseAddressRegister	Getbaseaddressregister	et
GetBitmaspSize	GetbitmaspSuurus	et
GetBytesFromPtr	GetbaitifromKursor	et
GetCR0	Getcr0	et
GetCR2	Getcr2	et
GetCR3	Getcr3	et
GetCR4	Getcr4	et
GetColorIndex	GetVärvSisukord	et
GetDeviceDescriptor	GetSeadedescriptor	et
GetDriver	Getdriver	et
GetESP0	Getesp0	et
GetEntry	Getkirje	et
GetFileSize	GetFailSuurus	et
GetFocus	Getfocus	et
GetFrameBufferSegment	GetRaambuffersegment	et
GetFuncPtrFromPtr	GetfuncKursorfromKursor	et
GetFunctionName	GetFunktsioonNimi	et
GetHandler	Gethandler	et
GetIPAddress	Getipaddress	et
GetMACAddress	Getmacaddress	et
GetMACFromCache	Getmacfromcache	et
GetNextReadyThread	GetJärgmineValmisthread	et
GetNodeAt	GetSõlmat	et
GetProvider	Providerget	et
GetSS0	Getss0	et
GetStr	Getstr	et
GetUint32ArrayFromPtr	Getunsignedinteger32MassiivfromKursor	et
GetUintptrArrayFromPtr	GetunsignedintegerKursorMassiivfromKursor	et
GetValue	GetVäärtus	et
GetValueInPageDir	GetVäärtusSisseLehekülgKataloog	et
Gid	Gid	et
Gs	Gs	et
HandleException	Handleexception	et
HandleFatalInterruptFrame	HandlefatalKatkestusRaam	et
HandleInterrupt	HandleKatkestus	et
HandleInterrupt1	HandleKatkestus1	et
HandleUserDatagramProtocolMessage	HandleKasutajadatagramprotocolTeade	et
IDT_DESC_PRESENT	IdtdescriptorOlemas	et
IDT_INTERRUPT_GATE	IdtKatkestusgate	et
IDriver	IDriver	et
IEtherFrameHandler	IEthernetRaamhandler	et
IInternetProtocolHandler	IInternetprotocolhandler	et
IInterruptHandler	IKatkestushandler	et
IKeyboardEventHandler	IKlaviatuurSündmushandler	et
IMouseEventHandler	IHiirSündmushandler	et
IPCIControllerHandler	Ipcicontrollerhandler	et
IPCache	Ipcache	et
IP_BE	IpVõrkbyteorder	et
IRawDataHandler	IRawdatahandler	et
ITimerEventHandler	ITimerSündmushandler	et
IUserDatagramProtocolHandler	IKasutajadatagramprotocolhandler	et
IUserDatagramProtocolSocket	IKasutajadatagramprotocolSokkel	et
IWidget	IVidin	et
Identify	Identify	et
Increment	Increment	et
IndexOf	Sisukordof	et
Init	Init	et
InitDriver	Initdriver	et
InitialThreadUserJump	InitialthreadKasutajajump	et
Ino	Ino	et
Install	Paigalda	et
Interrupt	Katkestus	et
InterruptActive	KatkestusAktiivne	et
InterruptDeactive	Katkestusdeactive	et
InterruptManager	Katkestusmanager	et
InterruptNumber	KatkestusArv	et
InvalidOpcode	Viganeopcode	et
InvalidTSS	Viganetss	et
IsKernel	Iskernel	et
IsPresent	IsOlemas	et
IsUserSpace	IsKasutajaTühik	et
KB	Kb	et
KCS_INDEX	KcsSisukord	et
KCS_SELECTOR	Kcsselector	et
KDS_INDEX	KdsSisukord	et
KDS_SELECTOR	Kdsselector	et
KERNEL_HEAP_START	KernelheapKäivita	et
KERNEL_VIRT_ADDR	Kernelvirtaddress	et
KGS_INDEX	KgsSisukord	et
KGS_SELECTOR	Kgsselector	et
K핵심	KKernelEntry	et
LIDT	Lidt	et
Last	Eelmine	et
Len	Len	et
Limit	Piir	et
Link	Viit	et
LinkMap	Viitmap	et
LinkedList	LinkedNimekiri	et
Listen	Listen	et
LoadElf	Koormuself	et
MAC	Mac	et
MAC0	Mac0	et
MAC1	Mac1	et
MAC2	Mac2	et
MAC3	Mac3	et
MAC4	Mac4	et
MAC5	Mac5	et
MACAddress0Port	Macaddress0port	et
MACAddress2Port	Macaddress2port	et
MACAddress4Port	Macaddress4port	et
MACCache	Maccache	et
MAX_QUEUE_SIZE	SuurimqueueSuurus	et
MB	Mbar	et
MBR	Mbr	et
MHex출력	MHexadecimalPrindi	et
MHex출력XY	MHexadecimalPrindixy	et
MUint16출력	MUnsignedinteger16Prindi	et
MUint16출력XY	MUnsignedinteger16Prindixy	et
MUint32출력	MUnsignedinteger32Prindi	et
MUint32출력XY	MUnsignedinteger32Prindixy	et
MUint64출력	MUnsignedinteger64Prindi	et
MUint64출력XY	MUnsignedinteger64Prindixy	et
Machine	Machine	et
MachineCheck	Machinecheck	et
MakeRangePrivateWritable	MakeVahemikPrivaatwritable	et
Malloc	Malloc	et
MemCmp	Memcmp	et
MemCpy	MemKopeeri	et
MemMove	MemLiiguta	et
MemSet	MemMäära	et
MemoryOper	Mäluoper	et
Mode	REŽIIM	et
ModelToScreen	Set_local_coordinates	et
Mtime	Mtime	et
MtimeNsec	Mtimensec	et
MyHandleInterrupt	MyhandleKatkestus	et
MyTest	MyTesti	et
M긴급로그Hex8	MEmergencyloghexadecimal8	et
M긴급로그Uint32	MEmergencylogunsignedinteger32	et
M긴급로그문자열	MEmergencylogstring	et
M직렬로그초기화	MJärjenumberloginit	et
M출력	MPrindi	et
M출력BytesXY	MPrindibaitixy	et
M출력Hex	MPrindihexadecimal	et
M출력Uint16	MPrindiunsignedinteger16	et
M출력Uint32	MPrindiunsignedinteger32	et
M출력XY	MPrindixy	et
M테스트	M테스트	et
NMI	Nmi	et
New	Uus	et
NewInterruptHandler	UusKatkestushandler	et
Next	Järgmine	et
Nlink	Nlink	et
Node	Sõlm	et
Nodename	Nodename	et
OnEtherFrameReceived	EthernetRaamreceivewhen	et
OnGetDriver	Seesgetdriver	et
OnInternetProtocolReceived	Internetprotocolreceivewhen	et
OnKeyDown	SeesVõtiNoolalla	et
OnKeyUp	SeesVõtiÜles	et
OnMouseDown	SeesHiirNoolalla	et
OnMouseMove	SeesHiirLiiguta	et
OnMouseUp	SeesHiirÜles	et
OnRawDataReceived	Seesrawdatareceive	et
OnTick	Seestick	et
Overflow	Overflow	et
P1LinkMap	PVäärtus1Viitmap	et
P2LinkMap	PVäärtus2Viitmap	et
P3LinkMap	PVäärtus3Viitmap	et
PAGE_COW	Lehekülgcow	et
PAGE_FRAME	LehekülgRaam	et
PAGE_PRESENT	LehekülgOlemas	et
PAGE_USER	LehekülgKasutaja	et
PAGE_WRITABLE	Lehekülgwritable	et
PAUSE_LOOP	Pausloop	et
PICMasterCommandPort	PrimarypicKäskioport	et
PICMasterDataPort	Primarypicdataioport	et
PICSlaveCommandPort	SecondarypicKäskioport	et
PICSlaveDataPort	Secondarypicdataioport	et
PRESENT	Olemas	et
PRIV_KERNEL	Privkernel	et
PRIV_USER	PrivKasutaja	et
PROC_USER_HEAP_SIZE	ProcKasutajaheapSuurus	et
PageDirEntry	LehekülgKataloogkirje	et
PageDirectoryEntry	LehekülgKataloogkirje_2	et
PageFault	Lehekülgfault	et
PageFaultException	Lehekülgfaultexception	et
PageRoundDown	LehekülgÜmardamineNoolalla	et
PageRoundUp	LehekülgÜmardamineÜles	et
PageTableEntry	LehekülgTabelkirje	et
Paging	Paging	et
ParentPid	Vanempid	et
Parse	Parse	et
Partition_id	Partitionid	et
PhyMemTest	PhymemTesti	et
PhysicalMemoryManager	PhysicalMälumanager	et
Pid	Pid	et
Port	Port	et
PortBase	Portbase	et
PortInByte	PortSissebyte	et
PortInDword	PortSissedword	et
PortInWord	PortSissesõna	et
PortOutByte	PortVäljabyte	et
PortOutDword	PortVäljadword	et
PortOutWord	PortVäljasõna	et
PortReadByte	PortLugeminebyte	et
PortReadDword	PortLugeminedword	et
PortReadWord	PortLugeminesõna	et
PortWriteByte	PortKirjutaminebyte	et
PortWriteDword	PortKirjutaminedword	et
PortWriteWord	PortKirjutaminesõna	et
Prev	Previous	et
PrevTSS	Previoustss	et
PrimaryPartition	Primarypartition	et
Print	Prindi	et
PrintBytes	Prindibaiti	et
PrintStr	Prindistr	et
PrintTLS	Prinditls	et
PrintTest	PrindiTesti	et
Process	Protsess	et
ProcessHelper	Protsesshelper	et
ProcessPendingKeyboardEvents	ProtsesspendingKlaviatuurSündmused	et
ProcessPendingMouseEvents	ProtsesspendingHiirSündmused	et
PushAt	Insert_at_index	et
PushBack	Append_to_list	et
PushFront	Prepend_to_list	et
PutPixel	Putpixel	et
PutPixelRGB	PutpixelPRS	et
QUEUE_START_ADDR	QueueKäivitaaddress	et
Rdev	Rdev	et
Read	Lugemine	et
Read28	Lugemine28	et
ReadFile	LugemineFail	et
ReadPartitions	Lugeminepartition	et
Ready	Valmis	et
Receive	Receive	et
Ref	Reference	et
Release	Release	et
ReloadCR3	Laadiuuesticr3	et
Remove	Eemalda	et
RemoveAt	Eemaldaat	et
RemoveThread	Eemaldathread	et
RemoveThreadAt	Eemaldathreadat	et
RequestMacAddress	Requestmacaddress	et
Reset	Lähtesta	et
Resolve	Resolve	et
ResolveCopyOnWriteFault	ResolveKopeeriSeesKirjutaminefault	et
SCHEDULER_FREQUENCY	SchedulerSagedus	et
SEG_BIG_MODE	SegbigREŽIIM	et
SEG_EXEC	SegKäivitamine	et
SEG_GRAN_4K_PAGE	Seggran4kLehekülg	et
SEG_GRAN_BYTE	Seggranbyte	et
SEG_KERNEL_CODE	Segkernelcode	et
SEG_KERNEL_DATA	Segkerneldata	et
SEG_KERNEL_GS	Segkernelgs	et
SEG_NOEXEC	Segnoexec	et
SEG_NORMAL	SegTavaline	et
SEG_NORW	Segnorw	et
SEG_R	Segr	et
SEG_SYSTEM	SegSüsteem	et
SEG_TASK_STATE	SegtaskOlek	et
SEG_USER_CODE	SegKasutajacode	et
SEG_USER_DATA	SegKasutajadata	et
SEG_USER_GS	SegKasutajags	et
SEG_W	Segw	et
SIMDFloatingPointException	SimdUjuvpointexception	et
SIZE	Suurus	et
SYS_ACCESS	Sysligipääs	et
SYS_BRK	Sysbrk	et
SYS_CHDIR	Syschdir	et
SYS_CLOSE	SysSulge	et
SYS_CREAT	Syscreat	et
SYS_DUP	Sysdup	et
SYS_DUP2	Sysdup2	et
SYS_EXECVE	Sysexecve	et
SYS_EXIT	SysVälju	et
SYS_FCNTL	Sysfcntl	et
SYS_FORK	Sysfork	et
SYS_FSTAT	Sysfstat	et
SYS_FSYNC	Sysfsync	et
SYS_GETCWD	Sysgetcwd	et
SYS_GETEGID	Sysgetegid	et
SYS_GETEUID	Sysgeteuid	et
SYS_GETGID	Sysgetgid	et
SYS_GETPID	Sysgetpid	et
SYS_GETPPID	Sysgetppid	et
SYS_GETUID	Sysgetuid	et
SYS_LSEEK	Syslseek	et
SYS_LSTAT	Syslstat	et
SYS_OPEN	SysAva	et
SYS_READ	SysLugemine	et
SYS_RT_EXIT	SysrtVälju	et
SYS_SOCKETCALL	Syssocketcall	et
SYS_STAT	Sysstat	et
SYS_SYNC	Syssync	et
SYS_UNAME	Sysuname	et
SYS_WAITPID	Syswaitpid	et
SYS_WRITE	SysKirjutamine	et
Schedule	Schedule	et
Scheduler	Scheduler	et
SchedulerData	Schedulerdata	et
SegmentNotPresent	SegmentnotOlemas	et
SelectDrivers	Validriver	et
Send	Saada	et
SendEchoRequest	EchorequestSaada	et
SendFrame	RaamSaada	et
SerialInit	Järjenumberinit	et
SerialWriteByte	JärjenumberKirjutaminebyte	et
SetBackend	Määrabackend	et
SetBit	Määrabiti	et
SetBlockInPageDir	MääraKastSisseLehekülgKataloog	et
SetBuffer	Määrabuffer	et
SetByteAtAddr	Määrabyteataddress	et
SetByteInPageDir	MäärabyteSisseLehekülgKataloog	et
SetCR3	Määracr3	et
SetColor	MääraVärv	et
SetDescriptor	Määradescriptor	et
SetHandleInterruptFuction	MäärahandleKatkestusfuction	et
SetHandler	Määrahandler	et
SetIPAddress	Määraipaddress	et
SetInterruptDescriptorTableEntry	KatkestusdescriptorTabelkirjeMäära	et
SetInterruptManager	MääraKatkestusmanager	et
SetInterruptNumber	MääraKatkestusArv	et
SetMode	MääraREŽIIM	et
SetNodeAt	MääraSõlmat	et
SetStack	Määrastack	et
SetTlsSegment	Määratlssegment	et
SetUint32AtAddr	Määraunsignedinteger32ataddress	et
SetUint32InPageDir	Määraunsignedinteger32SisseLehekülgKataloog	et
SetUint8AtAddr	Määraunsignedinteger8ataddress	et
SharedMemoryRegion	SharedMäluregion	et
Size	Suurus_2	et
Spawn	Spawn	et
Ss	Ss	et
Stack	Stack	et
StackSegmentFault	Stacksegmentfault	et
Start_lba	Käivitalba	et
Started	Käivitatud	et
StdinPutByte	Stdinputbyte	et
StopCurrentThread	PeataKäesolevthread	et
Stopped	Seisatud	et
SubnetMask	Subnetmask	et
SupportMode	TugiREŽIIM	et
Sys_brk	Sysbrk_2	et
Sys_close	SysSulge_2	et
Sys_exit	SysVälju_2	et
Sys_getpid	Sysgetpid_2	et
Sys_mousemove	Sysmousemove	et
Sys_open	SysAva_2	et
Sys_printStr	SysPrindistr	et
Sys_printUint32	SysPrindiunsignedinteger32	et
Sys_printf	Sysprintf	et
Sys_read	SysLugemine_2	et
Syscall	Syscall	et
Sysname	Sysname	et
TARPEtherFrameHandler	ArpethernetRaamhandler	et
TARPMessage	ArpTeade	et
TARPMessageBuffer	ArpTeadebuffer	et
TARPProvider	Arpprovider	et
TAdvancedTechnologyAttachment	TLaiendatudTehnoloogiaattachment	et
TArray	TMassiiv	et
TBaseAddressRegister	TBaseaddressregister	et
TBiosParameterBlock32	TBiosparameterKast32	et
TBufferDescriptor	TBufferdescriptor	et
TCOWFrameManager	TcowRaammanager	et
TCPUState	TcpuOlek	et
TDefaultKeyboardEventHandler	TVaikimisiKlaviatuurSündmushandler	et
TDefaultMouseEventHandler	TVaikimisiHiirSündmushandler	et
TDefaultPCIControllerHandler	TVaikimisipcicontrollerhandler	et
TDefaultTimerEventHandler	TVaikimisitimerSündmushandler	et
TDirectoryEntryFat32	TKataloogkirjefat32	et
TDriverManager	TDrivermanager	et
TEtherFrameHandler	TEthernetRaamhandler	et
TEtherFrameHeader	TEthernetRaamheader	et
TEtherFrameHeaderBuffer	TEthernetRaamheaderbuffer	et
TEtherFrameProvider	TEthernetRaamprovider	et
TEtherFrameRawDataHandler	TEthernetRaamrawdatahandler	et
TGateDescriptor	TGatedescriptor	et
THREAD_STACK_SIZE	ThreadstackSuurus	et
TICMPHandler	Icmphandler	et
TIPEtherFrameHandler	IpethernetRaamhandler	et
TInitializationBlock	TInitializationKast	et
TInternetControlMessageProtocol	TInternetJuhtTeadeprotocol	et
TInternetControlMessageProtocolMessage	TInternetJuhtTeadeprotocolTeade	et
TInternetControlMessageProtocolMessageBuffer	TInternetJuhtTeadeprotocolTeadebuffer	et
TInternetProtocolHandler	TInternetprotocolhandler	et
TInternetProtocolProvider	TInternetprotocolprovider	et
TInternetProtocolV4Message	TInternetprotocolv4Teade	et
TInternetProtocolV4MessageBuffer	TInternetprotocolv4Teadebuffer	et
TInterruptDescriptorTablePointer	TKatkestusdescriptorTabelKursor	et
TInterruptHandler	TKatkestushandler	et
TInterruptManager	TKatkestusmanager	et
TKeyboardDriver	TKlaviatuurdriver	et
TLS_START	TlsKäivita	et
TMSDOSPartitionTable	TmsdospartitionTabel	et
TMasterBootRecord	TValjusbootSalvesta	et
TMemoryChunk	TMäluchunk	et
TMemoryManager	TMälumanager	et
TMouseDriver	THiirdriver	et
TMyKeyboardEventHandler	TMyKlaviatuurSündmushandler	et
TMyMouseEventHandler	TMyHiirSündmushandler	et
TMyPCIControllerHandler	TMypcicontrollerhandler	et
TPartitionTableEntry	TPartitionTabelkirje	et
TPeripheralComponentInterconnectController	TPeripheralcomponentinterconnectcontroller	et
TPeripheralComponentInterconnectDeviceDescriptor	TPeripheralcomponentinterconnectSeadedescriptor	et
TPort	TPort	et
TPort16Bit	TPort16biti	et
TPort32Bit	TPort32biti	et
TPort8Bit	TPort8biti	et
TRawDataHandler	TRawdatahandler	et
TSSEntry	Tsskirje	et
TSyscall	TSyscall	et
TTask	TTask	et
TThread	TThread	et
TThreadHelper	TThreadhelper	et
TTimerDriver	TTimerdriver	et
TUserDatagramProtocolHandler	TKasutajadatagramprotocolhandler	et
TUserDatagramProtocolHeader	TKasutajadatagramprotocolheader	et
TUserDatagramProtocolHeaderBuffer	TKasutajadatagramprotocolheaderbuffer	et
TUserDatagramProtocolProvider	TKasutajadatagramprotocolprovider	et
