original	before	after	review_status	concept	changed_tokens
Activate	Lülitasisse	Lülitasisse	existing-unreviewed		0
ActivateAll	LülitasisseKõik	LülitasisseKõik	existing-unreviewed		0
Active	Aktiivne	Aktiivne	existing-unreviewed		0
ActiveInterruptManager	AktiivneKatkestusmanager	AktiivneKatkestusmanager	existing-unreviewed		0
ActiveMemoryManager	AktiivneMälumanager	AktiivneMälumanager	existing-unreviewed		0
Add	Lisa	Lisa	existing-unreviewed		0
AddDriver	Lisadriver	Lisadriver	existing-unreviewed		0
AddRunnableThread	Lisarunnablethread	Lisarunnablethread	existing-unreviewed		0
AddTask	Lisatask	Lisatask	existing-unreviewed		0
AddThread	Lisathread	Lisathread	existing-unreviewed		0
Address	Address	Address	existing-unreviewed		0
AlignedMalloc	Alignedmalloc	Alignedmalloc	existing-unreviewed		0
AlignmentCheck	Alignmentcheck	Alignmentcheck	existing-unreviewed		0
AllocateBlock	AllocateKast	AllocateKast	existing-unreviewed		0
AllocatePID	Allocatepid	Allocatepid	existing-unreviewed		0
AmountOfMemory	KogusofMälu	KogusofMälu	existing-unreviewed		0
ArrayToUint16	Massiivtounsignedinteger16	Massiivtounsignedinteger16	existing-unreviewed		0
ArrayToUint32	Massiivtounsignedinteger32	Massiivtounsignedinteger32	existing-unreviewed		0
ArrayToUint48	Massiivtounsignedinteger48	Massiivtounsignedinteger48	existing-unreviewed		0
ArrayToUint48_BE	Massiivtounsignedinteger48be	Massiivtounsignedinteger48be	existing-unreviewed		0
ArrayToUint64	Massiivtounsignedinteger64	Massiivtounsignedinteger64	existing-unreviewed		0
Atime	Atime	Atime	existing-unreviewed		0
AtimeNsec	Atimensec	Atimensec	existing-unreviewed		0
BLOCKS_PER_BYTE	Kastperbyte	Kastperbyte	existing-unreviewed		0
BLOCK_SIZE	KastSuurus	KastSuurus	existing-unreviewed		0
Backend	Backend	Backend	existing-unreviewed		0
BaseAddr	Baseaddress	Baseaddress	existing-unreviewed		0
Bind	Bind	Bind	existing-unreviewed		0
Blksize	Blksize	Blksize	existing-unreviewed		0
Blocked	Blocked	Blocked	existing-unreviewed		0
BlockedState	BlockedOlek	BlockedOlek	existing-unreviewed		0
Blocks	Kast	Kast	existing-unreviewed		0
BoundRangeExceeded	BoundVahemikexceeded	BoundVahemikexceeded	existing-unreviewed		0
BroadcastMacAddress	Broadcastmacaddress	Broadcastmacaddress	existing-unreviewed		0
BytesPerSector	Baitipersector	Baitipersector	existing-unreviewed		0
BytesToString	Baititostring	Baititostring	existing-unreviewed		0
Checksum	Checksum	Checksum	existing-unreviewed		0
Clear	Puhasta	Puhasta	existing-unreviewed		0
Clone	Clone	Clone	existing-unreviewed		0
CloneAddressSpaceCOW	CloneaddressTühikcow	CloneaddressTühikcow	existing-unreviewed		0
Connect	Ühendu	Ühendu	existing-unreviewed		0
ContainsCoordinate	Containscoordinate	Containscoordinate	existing-unreviewed		0
CopyPageFrameBlock	KopeeriLehekülgRaamKast	KopeeriLehekülgRaamKast	existing-unreviewed		0
CpuState	ProtsessorOlek	ProtsessorOlek	existing-unreviewed		0
Create	Create	Create	existing-unreviewed		0
CreateFromData	Createfromdata	Createfromdata	existing-unreviewed		0
CreateFromFunction	CreatefromFunktsioon	CreatefromFunktsioon	existing-unreviewed		0
CreatePtrFromFunction	CreateKursorfromFunktsioon	CreateKursorfromFunktsioon	existing-unreviewed		0
Cs	Cs	Cs	existing-unreviewed		0
Ctime	Ctime	Ctime	existing-unreviewed		0
CtimeNsec	Ctimensec	Ctimensec	existing-unreviewed		0
CurrentPID	Käesolevpid	Käesolevpid	existing-unreviewed		0
CurrentParentPID	Käesolevvanempid	Käesolevvanempid	existing-unreviewed		0
Data	Data	Data	compatibility		0
Deactivate	Lülitavälja	Lülitavälja	existing-unreviewed		0
Deactive	Deactive	Deactive	existing-unreviewed		0
Decrement	Decrement	Decrement	existing-unreviewed		0
Delete	Kustuta	Kustuta	existing-unreviewed		0
DescriptorPrivilegeLevel	Descriptorprivilegelevel	Descriptorprivilegelevel	existing-unreviewed		0
DescriptorType	DescriptorLiik	DescriptorLiik	existing-unreviewed		0
Destroy	Hävita	Hävita	existing-unreviewed		0
Dev	Seade	Seade	existing-unreviewed		0
DeviceHasFunctions	SeadehasFunktsioonid	SeadehasFunktsioonid	existing-unreviewed		0
