compiler_file	native_file
Makefile	compiler.mk.in
include/arpa/inet.h	include/arpa/inet.h
include/sys/syscall.h	include/sys/syscall.h
include/errno.h	include/errno.h
include/fcntl.h	include/fcntl.h
include/netinet/in.h	include/netinet/in.h
include/stddef.h	include/stddef.h
include/stdint.h	include/stdint.h
include/sys/socket.h	include/sys/socket.h
include/sys/stat.h	include/sys/stat.h
include/sys/types.h	include/sys/types.h
include/sys/utsname.h	include/sys/utsname.h
include/sys/wait.h	include/sys/wait.h
include/unistd.h	include/unistd.h
linker.ld	linker.ld
src/crt0.S	src/crt0.S
src/errno.c	src/errno.c
src/fcntl.c	src/fcntl.c
src/socket.c	src/socket.c
src/stat.c	src/stat.c
src/syscall.S	src/syscall.S
src/unistd.c	src/unistd.c
tests/compile.c	tests/compile.c
tests/exec_runtime.c	tests/exec_runtime.c
tests/exec_target.c	tests/exec_target.c
tests/fork_runtime.c	tests/fork_runtime.c
tests/heap_runtime.c	tests/heap_runtime.c
tests/runtime.c	tests/runtime.c
tests/socket_runtime.c	tests/socket_runtime.c
tests/stdin_runtime.c	tests/stdin_runtime.c
include/ctype.h	include/ctype.h
include/limits.h	include/limits.h
include/stdlib.h	include/stdlib.h
include/string.h	include/string.h
include/strings.h	include/strings.h
src/allocation.c	src/allocation.c
src/ctype.c	src/ctype.c
src/stdlib.c	src/stdlib.c
src/string.c	src/string.c
tests/library.c	tests/library.c
tests/library_main.c	tests/library_main.c
tests/probe.c	tests/probe.c
