original	localized	language
Activate	Aማስጀመሪያ	am
ActivateAll	Aማስጀመሪያሁሉንም	am
Active	Aአሰራ	am
ActiveInterruptManager	Aአሰራማቋረጫmanager	am
ActiveMemoryManager	Aአሰራማስታወሻmanager	am
Add	Aመጨመሪያ	am
AddDriver	Aመጨመሪያdriver	am
AddRunnableThread	Aመጨመሪያrunnablethread	am
AddTask	Aመጨመሪያtask	am
AddThread	Aመጨመሪያthread	am
Address	Address	am
AlignedMalloc	Alignedmalloc	am
AlignmentCheck	Alignmentcheck	am
AllocateBlock	Allocateመከልከያ	am
AllocatePID	Allocatepid	am
AmountOfMemory	Amountከማስታወሻ	am
ArrayToUint16	Aማዘጋጃtounsignedinteger16	am
ArrayToUint32	Aማዘጋጃtounsignedinteger32	am
ArrayToUint48	Aማዘጋጃtounsignedinteger48	am
ArrayToUint48_BE	Aማዘጋጃtounsignedinteger48be	am
ArrayToUint64	Aማዘጋጃtounsignedinteger64	am
Atime	Atime	am
AtimeNsec	Atimensec	am
BLOCKS_PER_BYTE	Bመከልከያperbyte	am
BLOCK_SIZE	Bመከልከያመጠን	am
Backend	Backend	am
BaseAddr	Baseaddress	am
Bind	Bind	am
Blksize	Blksize	am
Blocked	Blocked	am
BlockedState	Blockedሁኔታ	am
Blocks	Bመከልከያ	am
BoundRangeExceeded	Boundመጠንexceeded	am
BroadcastMacAddress	Broadcastmacaddress	am
BytesPerSector	Bባይትስpersector	am
BytesToString	Bባይትስtoሐረግ	am
Checksum	Checksum	am
Clear	Cማጽጃ	am
Clone	Clone	am
CloneAddressSpaceCOW	Cloneaddressspacecow	am
Connect	Cመገናኛ	am
ContainsCoordinate	Containscoordinate	am
CopyPageFrameBlock	Cኮፒገጽክፈፍመከልከያ	am
CpuState	Cpuሁኔታ	am
Create	Create	am
CreateFromData	Createfromdata	am
CreateFromFunction	Createfromfunction	am
CreatePtrFromFunction	Createጠቋሚfromfunction	am
Cs	Cs	am
Ctime	Ctime	am
CtimeNsec	Ctimensec	am
CurrentPID	Currentpid	am
CurrentParentPID	Currentወላጅpid	am
Data	Data	am
Deactivate	Dአታስጀምር	am
Deactive	Deactive	am
Decrement	Decrement	am
Delete	Dማጥፊያ	am
DescriptorPrivilegeLevel	Descriptorprivilegelevel	am
DescriptorType	Descriptorአይነት	am
Destroy	Dአጥፋ	am
Dev	Dዲቫይስ	am
DeviceHasFunctions	Dዲቫይስhasfunctions	am
DeviceNotAvailable	Dዲቫይስnotዝግጁ	am
Device_id	Dዲቫይስመለያ	am
DisableInt	Dአበላሽint	am
Disconnect	Dመለያያ	am
DivideByZero	Dividebyzero	am
DoHandleInterrupt	Dohandleማቋረጫ	am
DoubleFault	Doublefault	am
Draw	Draw	am
DriverManager	Drivermanager	am
Ds	Ds	am
Dynamic	Dynamic	am
E2BIG	E2big	am
EACCES	Eacces	am
EADDRINUSE	Eaddrinuse	am
EAFNOSUPPORT	Eafnosupport	am
EAGAIN	Eagain	am
EBADF	Ebadf	am
EBUSY	Ebusy	am
ECHILD	Echild	am
EEXIST	Eexist	am
EFAULT	Efault	am
EFBIG	Efbig	am
EINTR	Eintr	am
EINVAL	Einval	am
EIO	Eio	am
EISDIR	Eisdir	am
EMFILE	Emfile	am
EMSGSIZE	Emsgsize	am
ENETUNREACH	Enetunreach	am
ENFILE	Enfile	am
ENODEV	Enodev	am
ENOENT	Enoent	am
ENOEXEC	Enoexec	am
ENOMEM	Enomem	am
ENOSPC	Enospc	am
ENOSYS	Enosys	am
ENOTCONN	Enotconn	am
ENOTDIR	Enotdir	am
ENOTTY	Enotty	am
EOPNOTSUPP	Eopnotsupp	am
EPERM	Eperm	am
EPROTONOSUPPORT	Eprotonosupport	am
ERANGE	Erange	am
EROFS	Erofs	am
ESPIPE	Espipe	am
ESRCH	Esrch	am
Eax	Eax	am
Ebp	Ebp	am
Ebx	Ebx	am
Ecx	Ecx	am
Edi	Edi	am
Edx	Edx	am
Eflags	Eflags	am
Eip	Eip	am
Elf	Elf	am
Elf32Dyn	Elf32dyn	am
Elf32Note	Elf32ማስታወሻ	am
Elf32Rel	Elf32rel	am
Elf32Rela	Elf32rela	am
Elf32Sym	Elf32sym	am
ElfHeader	Elfheader	am
ElfProgramHeader	Elfፕሮግራምheader	am
ElfSectionHeader	Elfsectionheader	am
EnablePaging	Eአስቻለpaging	am
Enabled	Eያስችላል	am
EntryNumber	Entryቁጥር	am
EqualBytes	Equalባይትስ	am
Es	Es	am
Esi	Esi	am
Esp	Esp	am
FPUBuffer	Fpubuffer	am
FPUOffset	Fpuoffset	am
Family	Family	am
FileName	Fፋይልስም	am
Fill	Fill	am
FillRectangle	Fillrectangle	am
First	First	am
FirstFree	Firstነፃ	am
FirstFreeSize	Firstነፃመጠን	am
Flags	Fባንዲራዎች	am
FloatingPointException	Fተንሳፋፊpointexception	am
Flush	Flush	am
FlushTlsTable	Flushtlsሰንጠረዥ	am
Focussable	Focussable	am
Free	Fነፃ	am
Fs	Fs	am
GB	Gb	am
GDT_ENTRIES	Gdtentry	am
GOT	Got	am
GPFException	Gpfexception	am
GatewayIP	Gatewayip	am
GdtAddressHigh	Gdtaddressከፍተኛ	am
GdtAddressLow	Gdtaddressዝቅተኛ	am
GdtDescriptor	Gdtdescriptor	am
GdtEntry	Gdtentry_2	am
GdtSize	Gdtመጠን	am
GetAt	Getat	am
GetBackend	Getbackend	am
GetBaseAddressRegister	Getbaseaddressregister	am
GetBitmaspSize	Getbitmaspመጠን	am
GetBytesFromPtr	Getባይትስfromጠቋሚ	am
GetCR0	Getcr0	am
GetCR2	Getcr2	am
GetCR3	Getcr3	am
GetCR4	Getcr4	am
GetColorIndex	Getcolorማውጫ	am
GetDeviceDescriptor	Getዲቫይስdescriptor	am
GetDriver	Getdriver	am
GetESP0	Getesp0	am
GetEntry	Getentry	am
GetFileSize	Getፋይልመጠን	am
GetFocus	Getfocus	am
GetFrameBufferSegment	Getክፈፍbuffersegment	am
GetFuncPtrFromPtr	Getfuncጠቋሚfromጠቋሚ	am
GetFunctionName	Getfunctionስም	am
GetHandler	Gethandler	am
GetIPAddress	Getipaddress	am
GetMACAddress	Getmacaddress	am
GetMACFromCache	Getmacfromcache	am
GetNextReadyThread	Getየሚቀጥለውዝግጁthread	am
GetNodeAt	Getnodeat	am
GetProvider	Providerget	am
GetSS0	Getss0	am
GetStr	Getstr	am
GetUint32ArrayFromPtr	Getunsignedinteger32ማዘጋጃfromጠቋሚ	am
GetUintptrArrayFromPtr	Getunsignedintegerጠቋሚማዘጋጃfromጠቋሚ	am
GetValue	Getዋጋ	am
GetValueInPageDir	Getዋጋውስጥገጽዳይሬክቶሪ	am
Gid	Gid	am
Gs	Gs	am
HandleException	Handleexception	am
HandleFatalInterruptFrame	Handlefatalማቋረጫክፈፍ	am
HandleInterrupt	Handleማቋረጫ	am
HandleInterrupt1	Handleማቋረጫ1	am
HandleUserDatagramProtocolMessage	Handleተጠቃሚdatagramprotocolመልእክት	am
IDT_DESC_PRESENT	Idtdescriptorአሁን	am
IDT_INTERRUPT_GATE	Idtማቋረጫgate	am
IDriver	IDriver	am
IEtherFrameHandler	IEthernetክፈፍhandler	am
IInternetProtocolHandler	Iኢንተርኔትprotocolhandler	am
IInterruptHandler	Iማቋረጫhandler	am
IKeyboardEventHandler	Iየፊደልሠሌዳeventhandler	am
IMouseEventHandler	Iአይጥeventhandler	am
IPCIControllerHandler	Ipcicontrollerhandler	am
IPCache	Ipcache	am
IP_BE	Ipኔትዎርክbyteorder	am
IRawDataHandler	IRawdatahandler	am
ITimerEventHandler	Iጊዜቆጣሪeventhandler	am
IUserDatagramProtocolHandler	Iተጠቃሚdatagramprotocolhandler	am
IUserDatagramProtocolSocket	Iተጠቃሚdatagramprotocolሶኬት	am
IWidget	IWidget	am
Identify	Identify	am
Increment	Increment	am
IndexOf	Iማውጫከ	am
Init	Init	am
InitDriver	Initdriver	am
InitialThreadUserJump	Initialthreadተጠቃሚjump	am
Ino	Ino	am
Install	Iመግጠም	am
Interrupt	Iማቋረጫ	am
InterruptActive	Iማቋረጫአሰራ	am
InterruptDeactive	Iማቋረጫdeactive	am
InterruptManager	Iማቋረጫmanager	am
InterruptNumber	Iማቋረጫቁጥር	am
InvalidOpcode	Iየማይሰራopcode	am
InvalidTSS	Iየማይሰራtss	am
IsKernel	Iskernel	am
IsPresent	Isአሁን	am
IsUserSpace	Isተጠቃሚspace	am
KB	Kኪቢ	am
KCS_INDEX	Kcsማውጫ	am
KCS_SELECTOR	Kcsselector	am
KDS_INDEX	Kdsማውጫ	am
KDS_SELECTOR	Kdsselector	am
KERNEL_HEAP_START	Kernelheapማስጀመሪያ	am
KERNEL_VIRT_ADDR	Kernelvirtaddress	am
KGS_INDEX	Kgsማውጫ	am
KGS_SELECTOR	Kgsselector	am
K핵심	KKernelEntry	am
LIDT	Lidt	am
Last	Last	am
Len	Len	am
Limit	Lገደብ	am
Link	Lአገናኝ	am
LinkMap	Lአገናኝmap	am
LinkedList	Linkedዝርዝር	am
Listen	Listen	am
LoadElf	Lመጫኛelf	am
MAC	Mac	am
MAC0	Mac0	am
MAC1	Mac1	am
MAC2	Mac2	am
MAC3	Mac3	am
MAC4	Mac4	am
MAC5	Mac5	am
MACAddress0Port	Macaddress0port	am
MACAddress2Port	Macaddress2port	am
MACAddress4Port	Macaddress4port	am
MACCache	Maccache	am
MAX_QUEUE_SIZE	Maxqueueመጠን	am
MB	Mሚሊባር	am
MBR	Mbr	am
MHex출력	MHexadecimalማተሚያ	am
MHex출력XY	MHexadecimalማተሚያxy	am
MUint16출력	MUnsignedinteger16ማተሚያ	am
MUint16출력XY	MUnsignedinteger16ማተሚያxy	am
MUint32출력	MUnsignedinteger32ማተሚያ	am
MUint32출력XY	MUnsignedinteger32ማተሚያxy	am
MUint64출력	MUnsignedinteger64ማተሚያ	am
MUint64출력XY	MUnsignedinteger64ማተሚያxy	am
Machine	Machine	am
MachineCheck	Machinecheck	am
MakeRangePrivateWritable	Makeመጠንprivatewritable	am
Malloc	Malloc	am
MemCmp	Memcmp	am
MemCpy	Memኮፒ	am
MemMove	Memመንቀሳቅስ	am
MemSet	Memset	am
MemoryOper	Mማስታወሻoper	am
Mode	Mዘዴ	am
ModelToScreen	Set_local_coordinates	am
Mtime	Mtime	am
MtimeNsec	Mtimensec	am
MyHandleInterrupt	Myhandleማቋረጫ	am
MyTest	Myመሞከሪያ	am
M긴급로그Hex8	MEmergencyloghexadecimal8	am
M긴급로그Uint32	MEmergencylogunsignedinteger32	am
M긴급로그문자열	MEmergencylogሐረግ	am
M직렬로그초기화	MSerialloginit	am
M출력	Mማተሚያ	am
M출력BytesXY	Mማተሚያባይትስxy	am
M출력Hex	Mማተሚያhexadecimal	am
M출력Uint16	Mማተሚያunsignedinteger16	am
M출력Uint32	Mማተሚያunsignedinteger32	am
M출력XY	Mማተሚያxy	am
M테스트	M테스트	am
NMI	Nmi	am
New	Nአዲስ	am
NewInterruptHandler	Nአዲስማቋረጫhandler	am
Next	Nየሚቀጥለው	am
Nlink	Nlink	am
Node	Node	am
Nodename	Nodename	am
OnEtherFrameReceived	Ethernetክፈፍreceivewhen	am
OnGetDriver	Oማብሪያgetdriver	am
OnInternetProtocolReceived	Oኢንተርኔትprotocolreceivewhen	am
OnKeyDown	Oማብሪያቁልፍወደታች	am
OnKeyUp	Oማብሪያቁልፍወደላይ	am
