original	before	after	review_status	concept	changed_tokens
Activate	Aማስጀመሪያ	Aማስጀመሪያ	existing-unreviewed		0
ActivateAll	Aማስጀመሪያሁሉንም	Aማስጀመሪያሁሉንም	existing-unreviewed		0
Active	Aአሰራ	Aአሰራ	existing-unreviewed		0
ActiveInterruptManager	Aአሰራማቋረጫmanager	Aአሰራማቋረጫmanager	existing-unreviewed		0
ActiveMemoryManager	Aአሰራማስታወሻmanager	Aአሰራማስታወሻmanager	existing-unreviewed		0
Add	Aመጨመሪያ	Aመጨመሪያ	existing-unreviewed		0
AddDriver	Aመጨመሪያdriver	Aመጨመሪያdriver	existing-unreviewed		0
AddRunnableThread	Aመጨመሪያrunnablethread	Aመጨመሪያrunnablethread	existing-unreviewed		0
AddTask	Aመጨመሪያtask	Aመጨመሪያtask	existing-unreviewed		0
AddThread	Aመጨመሪያthread	Aመጨመሪያthread	existing-unreviewed		0
Address	Address	Address	existing-unreviewed		0
AlignedMalloc	Alignedmalloc	Alignedmalloc	existing-unreviewed		0
AlignmentCheck	Alignmentcheck	Alignmentcheck	existing-unreviewed		0
AllocateBlock	Allocateመከልከያ	Allocateመከልከያ	existing-unreviewed		0
AllocatePID	Allocatepid	Allocatepid	existing-unreviewed		0
AmountOfMemory	Amountከማስታወሻ	Amountከማስታወሻ	existing-unreviewed		0
ArrayToUint16	Aማዘጋጃtounsignedinteger16	Aማዘጋጃtounsignedinteger16	existing-unreviewed		0
ArrayToUint32	Aማዘጋጃtounsignedinteger32	Aማዘጋጃtounsignedinteger32	existing-unreviewed		0
ArrayToUint48	Aማዘጋጃtounsignedinteger48	Aማዘጋጃtounsignedinteger48	existing-unreviewed		0
ArrayToUint48_BE	Aማዘጋጃtounsignedinteger48be	Aማዘጋጃtounsignedinteger48be	existing-unreviewed		0
ArrayToUint64	Aማዘጋጃtounsignedinteger64	Aማዘጋጃtounsignedinteger64	existing-unreviewed		0
Atime	Atime	Atime	existing-unreviewed		0
AtimeNsec	Atimensec	Atimensec	existing-unreviewed		0
BLOCKS_PER_BYTE	Bመከልከያperbyte	Bመከልከያperbyte	existing-unreviewed		0
BLOCK_SIZE	Bመከልከያመጠን	Bመከልከያመጠን	existing-unreviewed		0
Backend	Backend	Backend	existing-unreviewed		0
BaseAddr	Baseaddress	Baseaddress	existing-unreviewed		0
Bind	Bind	Bind	existing-unreviewed		0
Blksize	Blksize	Blksize	existing-unreviewed		0
Blocked	Blocked	Blocked	existing-unreviewed		0
BlockedState	Blockedሁኔታ	Blockedሁኔታ	existing-unreviewed		0
Blocks	Bመከልከያ	Bመከልከያ	existing-unreviewed		0
BoundRangeExceeded	Boundመጠንexceeded	Boundመጠንexceeded	existing-unreviewed		0
BroadcastMacAddress	Broadcastmacaddress	Broadcastmacaddress	existing-unreviewed		0
BytesPerSector	Bባይትስpersector	Bባይትስpersector	existing-unreviewed		0
BytesToString	Bባይትስtoሐረግ	Bባይትስtoሐረግ	existing-unreviewed		0
Checksum	Checksum	Checksum	existing-unreviewed		0
Clear	Cማጽጃ	Cማጽጃ	existing-unreviewed		0
Clone	Clone	Clone	existing-unreviewed		0
CloneAddressSpaceCOW	Cloneaddressspacecow	Cloneaddressspacecow	existing-unreviewed		0
Connect	Cመገናኛ	Cመገናኛ	existing-unreviewed		0
ContainsCoordinate	Containscoordinate	Containscoordinate	existing-unreviewed		0
CopyPageFrameBlock	Cኮፒገጽክፈፍመከልከያ	Cኮፒገጽክፈፍመከልከያ	existing-unreviewed		0
CpuState	Cpuሁኔታ	Cpuሁኔታ	existing-unreviewed		0
Create	Create	Create	existing-unreviewed		0
CreateFromData	Createfromdata	Createfromdata	existing-unreviewed		0
CreateFromFunction	Createfromfunction	Createfromfunction	existing-unreviewed		0
CreatePtrFromFunction	Createጠቋሚfromfunction	Createጠቋሚfromfunction	existing-unreviewed		0
Cs	Cs	Cs	existing-unreviewed		0
Ctime	Ctime	Ctime	existing-unreviewed		0
CtimeNsec	Ctimensec	Ctimensec	existing-unreviewed		0
CurrentPID	Currentpid	Currentpid	existing-unreviewed		0
CurrentParentPID	Currentወላጅpid	Currentወላጅpid	existing-unreviewed		0
Data	Data	Data	compatibility		0
Deactivate	Dአታስጀምር	Dአታስጀምር	existing-unreviewed		0
Deactive	Deactive	Deactive	existing-unreviewed		0
Decrement	Decrement	Decrement	existing-unreviewed		0
Delete	Dማጥፊያ	Dማጥፊያ	existing-unreviewed		0
DescriptorPrivilegeLevel	Descriptorprivilegelevel	Descriptorprivilegelevel	existing-unreviewed		0
DescriptorType	Descriptorአይነት	Descriptorአይነት	existing-unreviewed		0
Destroy	Dአጥፋ	Dአጥፋ	existing-unreviewed		0
Dev	Dዲቫይስ	Dዲቫይስ	existing-unreviewed		0
DeviceHasFunctions	Dዲቫይስhasfunctions	Dዲቫይስhasfunctions	existing-unreviewed		0
DeviceNotAvailable	Dዲቫይስnotዝግጁ	Dዲቫይስnotዝግጁ	existing-unreviewed		0
Device_id	Dዲቫይስመለያ	Dዲቫይስመለያ	existing-unreviewed		0
DisableInt	Dአበላሽint	Dአበላሽint	existing-unreviewed		0
Disconnect	Dመለያያ	Dመለያያ	existing-unreviewed		0
DivideByZero	Dividebyzero	Dividebyzero	existing-unreviewed		0
DoHandleInterrupt	Dohandleማቋረጫ	Dohandleማቋረጫ	existing-unreviewed		0
DoubleFault	Doublefault	Doublefault	existing-unreviewed		0
Draw	Draw	Draw	existing-unreviewed		0
DriverManager	Drivermanager	Drivermanager	existing-unreviewed		0
Ds	Ds	Ds	existing-unreviewed		0
Dynamic	Dynamic	Dynamic	existing-unreviewed		0
E2BIG	E2big	E2big	existing-unreviewed		0
EACCES	Eacces	Eacces	existing-unreviewed		0
EADDRINUSE	Eaddrinuse	Eaddrinuse	existing-unreviewed		0
EAFNOSUPPORT	Eafnosupport	Eafnosupport	existing-unreviewed		0
EAGAIN	Eagain	Eagain	existing-unreviewed		0
EBADF	Ebadf	Ebadf	existing-unreviewed		0
EBUSY	Ebusy	Ebusy	existing-unreviewed		0
ECHILD	Echild	Echild	existing-unreviewed		0
EEXIST	Eexist	Eexist	existing-unreviewed		0
EFAULT	Efault	Efault	existing-unreviewed		0
EFBIG	Efbig	Efbig	existing-unreviewed		0
EINTR	Eintr	Eintr	existing-unreviewed		0
EINVAL	Einval	Einval	existing-unreviewed		0
EIO	Eio	Eio	existing-unreviewed		0
EISDIR	Eisdir	Eisdir	existing-unreviewed		0
EMFILE	Emfile	Emfile	existing-unreviewed		0
EMSGSIZE	Emsgsize	Emsgsize	existing-unreviewed		0
ENETUNREACH	Enetunreach	Enetunreach	existing-unreviewed		0
ENFILE	Enfile	Enfile	existing-unreviewed		0
ENODEV	Enodev	Enodev	existing-unreviewed		0
ENOENT	Enoent	Enoent	existing-unreviewed		0
ENOEXEC	Enoexec	Enoexec	existing-unreviewed		0
ENOMEM	Enomem	Enomem	existing-unreviewed		0
ENOSPC	Enospc	Enospc	existing-unreviewed		0
ENOSYS	Enosys	Enosys	existing-unreviewed		0
ENOTCONN	Enotconn	Enotconn	existing-unreviewed		0
ENOTDIR	Enotdir	Enotdir	existing-unreviewed		0
ENOTTY	Enotty	Enotty	existing-unreviewed		0
EOPNOTSUPP	Eopnotsupp	Eopnotsupp	existing-unreviewed		0
EPERM	Eperm	Eperm	existing-unreviewed		0
EPROTONOSUPPORT	Eprotonosupport	Eprotonosupport	existing-unreviewed		0
ERANGE	Erange	Erange	existing-unreviewed		0
EROFS	Erofs	Erofs	existing-unreviewed		0
ESPIPE	Espipe	Espipe	existing-unreviewed		0
ESRCH	Esrch	Esrch	existing-unreviewed		0
Eax	Eax	Eax	existing-unreviewed		0
Ebp	Ebp	Ebp	existing-unreviewed		0
Ebx	Ebx	Ebx	existing-unreviewed		0
Ecx	Ecx	Ecx	existing-unreviewed		0
Edi	Edi	Edi	existing-unreviewed		0
Edx	Edx	Edx	existing-unreviewed		0
Eflags	Eflags	Eflags	existing-unreviewed		0
Eip	Eip	Eip	existing-unreviewed		0
Elf	Elf	Elf	existing-unreviewed		0
Elf32Dyn	Elf32dyn	Elf32dyn	existing-unreviewed		0
Elf32Note	Elf32ማስታወሻ	Elf32ማስታወሻ	existing-unreviewed		0
Elf32Rel	Elf32rel	Elf32rel	existing-unreviewed		0
Elf32Rela	Elf32rela	Elf32rela	existing-unreviewed		0
Elf32Sym	Elf32sym	Elf32sym	existing-unreviewed		0
ElfHeader	Elfheader	Elfheader	existing-unreviewed		0
ElfProgramHeader	Elfፕሮግራምheader	Elfፕሮግራምheader	existing-unreviewed		0
ElfSectionHeader	Elfsectionheader	Elfsectionheader	existing-unreviewed		0
EnablePaging	Eአስቻለpaging	Eአስቻለpaging	existing-unreviewed		0
Enabled	Eያስችላል	Eያስችላል	existing-unreviewed		0
EntryNumber	Entryቁጥር	Entryቁጥር	existing-unreviewed		0
EqualBytes	Equalባይትስ	Equalባይትስ	existing-unreviewed		0
Es	Es	Es	existing-unreviewed		0
Esi	Esi	Esi	existing-unreviewed		0
Esp	Esp	Esp	existing-unreviewed		0
FPUBuffer	Fpubuffer	Fpubuffer	existing-unreviewed		0
FPUOffset	Fpuoffset	Fpuoffset	existing-unreviewed		0
Family	Family	Family	existing-unreviewed		0
FileName	Fፋይልስም	Fፋይልስም	existing-unreviewed		0
Fill	Fill	Fill	existing-unreviewed		0
FillRectangle	Fillrectangle	Fillrectangle	existing-unreviewed		0
First	First	First	existing-unreviewed		0
FirstFree	Firstነፃ	Firstነፃ	existing-unreviewed		0
FirstFreeSize	Firstነፃመጠን	Firstነፃመጠን	existing-unreviewed		0
Flags	Fባንዲራዎች	Fባንዲራዎች	existing-unreviewed		0
FloatingPointException	Fተንሳፋፊpointexception	Fተንሳፋፊpointexception	existing-unreviewed		0
Flush	Flush	Flush	existing-unreviewed		0
FlushTlsTable	Flushtlsሰንጠረዥ	Flushtlsሰንጠረዥ	existing-unreviewed		0
Focussable	Focussable	Focussable	existing-unreviewed		0
Free	Fነፃ	Fነፃ	existing-unreviewed		0
Fs	Fs	Fs	existing-unreviewed		0
GB	Gb	Gb	existing-unreviewed		0
GDT_ENTRIES	Gdtentry	Gdtentry	existing-unreviewed		0
GOT	Got	Got	existing-unreviewed		0
GPFException	Gpfexception	Gpfexception	existing-unreviewed		0
GatewayIP	Gatewayip	Gatewayip	existing-unreviewed		0
GdtAddressHigh	Gdtaddressከፍተኛ	Gdtaddressከፍተኛ	existing-unreviewed		0
GdtAddressLow	Gdtaddressዝቅተኛ	Gdtaddressዝቅተኛ	existing-unreviewed		0
GdtDescriptor	Gdtdescriptor	Gdtdescriptor	existing-unreviewed		0
GdtEntry	Gdtentry_2	Gdtentry_2	existing-unreviewed		0
GdtSize	Gdtመጠን	Gdtመጠን	existing-unreviewed		0
GetAt	Getat	Getat	existing-unreviewed		0
GetBackend	Getbackend	Getbackend	existing-unreviewed		0
GetBaseAddressRegister	Getbaseaddressregister	Getbaseaddressregister	existing-unreviewed		0
GetBitmaspSize	Getbitmaspመጠን	Getbitmaspመጠን	existing-unreviewed		0
GetBytesFromPtr	Getባይትስfromጠቋሚ	Getባይትስfromጠቋሚ	existing-unreviewed		0
GetCR0	Getcr0	Getcr0	existing-unreviewed		0
GetCR2	Getcr2	Getcr2	existing-unreviewed		0
GetCR3	Getcr3	Getcr3	existing-unreviewed		0
GetCR4	Getcr4	Getcr4	existing-unreviewed		0
GetColorIndex	Getcolorማውጫ	Getcolorማውጫ	existing-unreviewed		0
GetDeviceDescriptor	Getዲቫይስdescriptor	Getዲቫይስdescriptor	existing-unreviewed		0
GetDriver	Getdriver	Getdriver	existing-unreviewed		0
GetESP0	Getesp0	Getesp0	existing-unreviewed		0
GetEntry	Getentry	Getentry	existing-unreviewed		0
GetFileSize	Getፋይልመጠን	Getፋይልመጠን	existing-unreviewed		0
GetFocus	Getfocus	Getfocus	existing-unreviewed		0
GetFrameBufferSegment	Getክፈፍbuffersegment	Getክፈፍbuffersegment	existing-unreviewed		0
GetFuncPtrFromPtr	Getfuncጠቋሚfromጠቋሚ	Getfuncጠቋሚfromጠቋሚ	existing-unreviewed		0
GetFunctionName	Getfunctionስም	Getfunctionስም	existing-unreviewed		0
GetHandler	Gethandler	Gethandler	existing-unreviewed		0
GetIPAddress	Getipaddress	Getipaddress	existing-unreviewed		0
GetMACAddress	Getmacaddress	Getmacaddress	existing-unreviewed		0
GetMACFromCache	Getmacfromcache	Getmacfromcache	existing-unreviewed		0
GetNextReadyThread	Getየሚቀጥለውዝግጁthread	Getየሚቀጥለውዝግጁthread	existing-unreviewed		0
GetNodeAt	Getnodeat	Getnodeat	existing-unreviewed		0
GetProvider	Providerget	Providerget	existing-unreviewed		0
GetSS0	Getss0	Getss0	existing-unreviewed		0
GetStr	Getstr	Getstr	existing-unreviewed		0
GetUint32ArrayFromPtr	Getunsignedinteger32ማዘጋጃfromጠቋሚ	Getunsignedinteger32ማዘጋጃfromጠቋሚ	existing-unreviewed		0
GetUintptrArrayFromPtr	Getunsignedintegerጠቋሚማዘጋጃfromጠቋሚ	Getunsignedintegerጠቋሚማዘጋጃfromጠቋሚ	existing-unreviewed		0
GetValue	Getዋጋ	Getዋጋ	existing-unreviewed		0
GetValueInPageDir	Getዋጋውስጥገጽዳይሬክቶሪ	Getዋጋውስጥገጽዳይሬክቶሪ	existing-unreviewed		0
Gid	Gid	Gid	existing-unreviewed		0
Gs	Gs	Gs	existing-unreviewed		0
HandleException	Handleexception	Handleexception	existing-unreviewed		0
HandleFatalInterruptFrame	Handlefatalማቋረጫክፈፍ	Handlefatalማቋረጫክፈፍ	existing-unreviewed		0
HandleInterrupt	Handleማቋረጫ	Handleማቋረጫ	existing-unreviewed		0
HandleInterrupt1	Handleማቋረጫ1	Handleማቋረጫ1	existing-unreviewed		0
HandleUserDatagramProtocolMessage	Handleተጠቃሚdatagramprotocolመልእክት	Handleተጠቃሚdatagramprotocolመልእክት	existing-unreviewed		0
IDT_DESC_PRESENT	Idtdescriptorአሁን	Idtdescriptorአሁን	existing-unreviewed		0
IDT_INTERRUPT_GATE	Idtማቋረጫgate	Idtማቋረጫgate	existing-unreviewed		0
IDriver	IDriver	IDriver	existing-unreviewed		0
IEtherFrameHandler	IEthernetክፈፍhandler	IEthernetክፈፍhandler	existing-unreviewed		0
IInternetProtocolHandler	Iኢንተርኔትprotocolhandler	Iኢንተርኔትprotocolhandler	existing-unreviewed		0
