english	localized	language
a	KL	fi
access	pääsy	fi
ack	ack	fi
activate	Otakäyttöön	fi
active	Aktiivinen	fi
add	Lisää	fi
addend	addend	fi
addr	addr	fi
addralign	addralign	fi
address	address	fi
advanced	Lisäasetukset	fi
af	af	fi
after	Jälkeen	fi
align	Tasaus	fi
aligned	aligned	fi
alignment	alignment	fi
all	Kaikki	fi
alloc	alloc	fi
allocate	allocate	fi
allocated	allocated	fi
am	am	fi
amd	amd	fi
amount	Määrä	fi
and	and	fi
append	append	fi
args	args	fi
argument	argument	fi
arguments	Parametrit	fi
arp	arp	fi
arp콘솔	arp콘솔	fi
array	Taulukko	fi
assembly	assembly	fi
at	at	fi
ata	ata	fi
atime	atime	fi
attachment	attachment	fi
attempts	attempts	fi
attr	attr	fi
attribute	määre	fi
attributes	Attribuutit	fi
aux	aux	fi
avail	avail	fi
available	Käytettävissä	fi
b	t	fi
ba	ba	fi
back	Takaisin	fi
backend	backend	fi
backup	backup	fi
bar	Palkki	fi
base	base	fi
be	be	fi
bh	bh	fi
big	big	fi
bind	bind	fi
bios	bios	fi
bit	bit	fi
bitmap	bitmap	fi
bitmasp	bitmasp	fi
bits	bittiä	fi
blksize	blksize	fi
block	Lohko	fi
blocked	blocked	fi
blocking	blocking	fi
blocks	Palikat	fi
boot	boot	fi
bootable	bootable	fi
bootloader	bootloader	fi
bound	bound	fi
bpb	bpb	fi
break	break	fi
brk	brk	fi
broadcast	broadcast	fi
buf	buf	fi
buffer	buffer	fi
buffers	Puskurit	fi
bufptr	bufptr	fi
bus	bus	fi
button	Painike	fi
buttons	Painikkeet	fi
by	by	fi
byte	byte	fi
bytes	tavua	fi
c	P	fi
cache	cache	fi
call	call	fi
candidate	candidate	fi
cap	cap	fi
capable	capable	fi
card	Kortti	fi
central	central	fi
char	char	fi
chdir	chdir	fi
check	check	fi
checked	checked	fi
checksum	checksum	fi
child	lapsi	fi
chunk	chunk	fi
class	Luokka	fi
clear	Tyhjennä	fi
cloexec	cloexec	fi
clone	clone	fi
close	Sulje	fi
cluster	cluster	fi
cmp	cmp	fi
code	code	fi
col	col	fi
color	Väri	fi
colordepth	colordepth	fi
command	Komento	fi
commandport	commandport	fi
common	yhteinen	fi
component	component	fi
connect	Yhdistä	fi
connected	connected	fi
console	Konsoli	fi
constant	Vakio	fi
contains	contains	fi
contents	Sisältö	fi
control	Ctrl	fi
controller	Ohjain	fi
coordinate	coordinate	fi
copies	copies	fi
copy	Kopioi	fi
count	count	fi
cow	cow	fi
cpu	cpu	fi
cpustate	cpustate	fi
cpy	cpy	fi
cr	cr	fi
creat	creat	fi
create	Luo	fi
crtc	crtc	fi
cs	cs	fi
ctime	ctime	fi
cur	cur	fi
current	Nykyinen	fi
cursor	Kursori	fi
cylinder	cylinder	fi
d	KP	fi
data	data	fi
databuffer	databuffer	fi
datagram	datagram	fi
dataport	dataport	fi
date	Päiväys	fi
deactivate	Poistakäytöstä	fi
deactive	deactive	fi
debug	Virheenpaikannus	fi
decrement	decrement	fi
default	Oletus	fi
delete	Poista	fi
delta	delta	fi
depth	depth	fi
desc	desc	fi
descr	descr	fi
description	Kuvaus	fi
descriptor	descriptor	fi
descriptors	descriptors	fi
descsz	descsz	fi
destination	Kohde	fi
destroy	Tuhoa	fi
dev	dev	fi
device	Laite	fi
diff	diff	fi
digits	digits	fi
dir	dir	fi
directory	Kansio	fi
dirent	dirent	fi
disable	Poistakäytöstä	fi
discard	Hylkää	fi
disconnect	Katkaiseyhteys	fi
dispatch	dispatch	fi
divide	divide	fi
divisor	divisor	fi
do	do	fi
domain	Verkkoalue	fi
double	Liukuluku	fi
down	Alas	fi
draw	draw	fi
drive	drive	fi
driver	driver	fi
drivercount	drivercount	fi
drivers	drivers	fi
drv	drv	fi
ds	ds	fi
dst	dst	fi
dstptr	dstptr	fi
dup	dup	fi
dword	dword	fi
dyn	dyn	fi
dynamic	Dynaaminen	fi
e	e	fi
eacces	eacces	fi
eaddrinuse	eaddrinuse	fi
eafnosupport	eafnosupport	fi
eagain	eagain	fi
eax	eax	fi
ebadf	ebadf	fi
ebp	ebp	fi
ebusy	ebusy	fi
ebx	ebx	fi
echild	echild	fi
echo	echo	fi
ecx	ecx	fi
edi	edi	fi
edx	edx	fi
eexist	eexist	fi
ef	ef	fi
efault	efault	fi
efbig	efbig	fi
eflags	eflags	fi
ehsize	ehsize	fi
eintr	eintr	fi
einval	einval	fi
eio	eio	fi
eip	eip	fi
eisdir	eisdir	fi
elf	elf	fi
emfile	emfile	fi
empty	Tyhjä	fi
emsgsize	emsgsize	fi
enable	Otakäyttöön	fi
enabled	Käytössä	fi
end	Loppuajankohta	fi
enetunreach	enetunreach	fi
enfile	enfile	fi
enodev	enodev	fi
enoent	enoent	fi
enoexec	enoexec	fi
enomem	enomem	fi
enospc	enospc	fi
enosys	enosys	fi
enotconn	enotconn	fi
enotdir	enotdir	fi
enotty	enotty	fi
ensure	ensure	fi
entries	entries	fi
entry	hakusana	fi
entrypoint	entrypoint	fi
entsize	entsize	fi
environment	environment	fi
eopnotsupp	eopnotsupp	fi
eperm	eperm	fi
ephemeral	ephemeral	fi
eprotonosupport	eprotonosupport	fi
equal	Samankokoinen	fi
erange	erange	fi
erofs	erofs	fi
err	Virhe	fi
error	Virhe	fi
errorln	errorln	fi
es	es	fi
esi	esi	fi
esp	esp	fi
espipe	espipe	fi
esrch	esrch	fi
ether	ether	fi
etherframe	etherframe	fi
ethernet	ethernet	fi
event	Tapahtuma	fi
events	Tapahtumat	fi
exceeded	exceeded	fi
except	except	fi
exception	exception	fi
exec	Suoritus	fi
execve	execve	fi
exists	exists	fi
exit	Sulje	fi
exited	exited	fi
ext	ext	fi
extended	extended	fi
f	S	fi
family	family	fi
fat	fat	fi
fatal	fatal	fi
fatbuf	fatbuf	fi
fatbuffer	fatbuffer	fi
fault	fault	fi
fb	fb	fi
fcntl	fcntl	fi
fd	fd	fi
fds	fds	fi
field	kenttä	fi
file	Tiedosto	fi
filename	Tiedostonimi	fi
files	Tiedostot	fi
filesz	filesz	fi
fill	fill	fi
find	Etsi	fi
first	first	fi
fl	fl	fi
