original	before	after	review_status	concept	changed_tokens
Activate	Otakäyttöön	Otakäyttöön	existing-unreviewed		0
ActivateAll	OtakäyttöönKaikki	OtakäyttöönKaikki	existing-unreviewed		0
Active	Aktiivinen	Aktiivinen	existing-unreviewed		0
ActiveInterruptManager	AktiivinenKeskeytysmanager	AktiivinenKeskeytysmanager	existing-unreviewed		0
ActiveMemoryManager	AktiivinenMuistimanager	AktiivinenMuistimanager	existing-unreviewed		0
Add	Lisää	Lisää	existing-unreviewed		0
AddDriver	Lisäädriver	Lisäädriver	existing-unreviewed		0
AddRunnableThread	Lisäärunnablethread	Lisäärunnablethread	existing-unreviewed		0
AddTask	LisääTehtävä	LisääTehtävä	existing-unreviewed		0
AddThread	Lisääthread	Lisääthread	existing-unreviewed		0
Address	Address	Address	existing-unreviewed		0
AlignedMalloc	Alignedmalloc	Alignedmalloc	existing-unreviewed		0
AlignmentCheck	Alignmentcheck	Alignmentcheck	existing-unreviewed		0
AllocateBlock	AllocateLohko	AllocateLohko	existing-unreviewed		0
AllocatePID	Allocatepid	Allocatepid	existing-unreviewed		0
AmountOfMemory	MääräofMuisti	MääräofMuisti	existing-unreviewed		0
ArrayToUint16	Taulukkotounsignedinteger16	Taulukkotounsignedinteger16	existing-unreviewed		0
ArrayToUint32	Taulukkotounsignedinteger32	Taulukkotounsignedinteger32	existing-unreviewed		0
ArrayToUint48	Taulukkotounsignedinteger48	Taulukkotounsignedinteger48	existing-unreviewed		0
ArrayToUint48_BE	Taulukkotounsignedinteger48be	Taulukkotounsignedinteger48be	existing-unreviewed		0
ArrayToUint64	Taulukkotounsignedinteger64	Taulukkotounsignedinteger64	existing-unreviewed		0
Atime	Atime	Atime	existing-unreviewed		0
AtimeNsec	Atimensec	Atimensec	existing-unreviewed		0
BLOCKS_PER_BYTE	Lohkoperbyte	Lohkoperbyte	existing-unreviewed		0
BLOCK_SIZE	LohkoKoko	LohkoKoko	existing-unreviewed		0
Backend	Backend	Backend	existing-unreviewed		0
BaseAddr	Baseaddress	Baseaddress	existing-unreviewed		0
Bind	Bind	Bind	existing-unreviewed		0
Blksize	Blksize	Blksize	existing-unreviewed		0
Blocked	Blocked	Blocked	existing-unreviewed		0
BlockedState	BlockedTila	BlockedTila	existing-unreviewed		0
Blocks	Lohko	Lohko	existing-unreviewed		0
BoundRangeExceeded	BoundAlueexceeded	BoundAlueexceeded	existing-unreviewed		0
BroadcastMacAddress	Broadcastmacaddress	Broadcastmacaddress	existing-unreviewed		0
BytesPerSector	Tavuapersector	Tavuapersector	existing-unreviewed		0
BytesToString	TavuatoMerkkijono	TavuatoMerkkijono	existing-unreviewed		0
Checksum	Checksum	Checksum	existing-unreviewed		0
Clear	Tyhjennä	Tyhjennä	existing-unreviewed		0
