english	localized	source	evidence_count
a	a	native-English	0
access	access	native-English	0
ack	ack	native-English	0
activate	activate	native-English	0
active	active	native-English	0
add	add	native-English	0
addend	addend	native-English	0
addr	addr	native-English	0
addralign	addralign	native-English	0
address	address	native-English	0
advanced	advanced	native-English	0
af	af	native-English	0
after	after	native-English	0
align	align	native-English	0
aligned	aligned	native-English	0
alignment	alignment	native-English	0
all	all	native-English	0
alloc	alloc	native-English	0
allocate	allocate	native-English	0
allocated	allocated	native-English	0
am	am	native-English	0
amd	amd	native-English	0
amount	amount	native-English	0
and	and	native-English	0
append	append	native-English	0
args	args	native-English	0
argument	argument	native-English	0
arguments	arguments	native-English	0
arp	arp	native-English	0
arp콘솔	arp콘솔	native-English	0
array	array	native-English	0
assembly	assembly	native-English	0
at	at	native-English	0
ata	ata	native-English	0
atime	atime	native-English	0
attachment	attachment	native-English	0
attempts	attempts	native-English	0
attr	attr	native-English	0
attribute	attribute	native-English	0
attributes	attributes	native-English	0
aux	aux	native-English	0
avail	avail	native-English	0
available	available	native-English	0
b	b	native-English	0
ba	ba	native-English	0
back	back	native-English	0
backend	backend	native-English	0
backup	backup	native-English	0
bar	bar	native-English	0
base	base	native-English	0
be	be	native-English	0
bh	bh	native-English	0
big	big	native-English	0
bind	bind	native-English	0
bios	bios	native-English	0
bit	bit	native-English	0
bitmap	bitmap	native-English	0
bitmasp	bitmasp	native-English	0
bits	bits	native-English	0
blksize	blksize	native-English	0
block	block	native-English	0
blocked	blocked	native-English	0
blocking	blocking	native-English	0
blocks	blocks	native-English	0
boot	boot	native-English	0
bootable	bootable	native-English	0
bootloader	bootloader	native-English	0
bound	bound	native-English	0
bpb	bpb	native-English	0
break	break	native-English	0
brk	brk	native-English	0
broadcast	broadcast	native-English	0
buf	buf	native-English	0
buffer	buffer	native-English	0
buffers	buffers	native-English	0
bufptr	bufptr	native-English	0
bus	bus	native-English	0
button	button	native-English	0
buttons	buttons	native-English	0
by	by	native-English	0
byte	byte	native-English	0
bytes	bytes	native-English	0
c	c	native-English	0
cache	cache	native-English	0
call	call	native-English	0
candidate	candidate	native-English	0
cap	cap	native-English	0
capable	capable	native-English	0
card	card	native-English	0
central	central	native-English	0
char	char	native-English	0
chdir	chdir	native-English	0
check	check	native-English	0
checked	checked	native-English	0
checksum	checksum	native-English	0
child	child	native-English	0
chunk	chunk	native-English	0
class	class	native-English	0
clear	clear	native-English	0
cloexec	cloexec	native-English	0
clone	clone	native-English	0
close	close	native-English	0
cluster	cluster	native-English	0
cmp	cmp	native-English	0
code	code	native-English	0
col	col	native-English	0
color	color	native-English	0
colordepth	colordepth	native-English	0
command	command	native-English	0
commandport	commandport	native-English	0
common	common	native-English	0
component	component	native-English	0
connect	connect	native-English	0
connected	connected	native-English	0
console	console	native-English	0
constant	constant	native-English	0
contains	contains	native-English	0
contents	contents	native-English	0
control	control	native-English	0
controller	controller	native-English	0
coordinate	coordinate	native-English	0
copies	copies	native-English	0
copy	copy	native-English	0
count	count	native-English	0
cow	cow	native-English	0
cpu	cpu	native-English	0
cpustate	cpustate	native-English	0
cpy	cpy	native-English	0
cr	cr	native-English	0
creat	creat	native-English	0
create	create	native-English	0
crtc	crtc	native-English	0
cs	cs	native-English	0
ctime	ctime	native-English	0
cur	cur	native-English	0
current	current	native-English	0
cursor	cursor	native-English	0
cylinder	cylinder	native-English	0
d	d	native-English	0
data	data	native-English	0
databuffer	databuffer	native-English	0
datagram	datagram	native-English	0
dataport	dataport	native-English	0
date	date	native-English	0
deactivate	deactivate	native-English	0
deactive	deactive	native-English	0
debug	debug	native-English	0
decrement	decrement	native-English	0
default	default	native-English	0
delete	delete	native-English	0
delta	delta	native-English	0
depth	depth	native-English	0
desc	desc	native-English	0
descr	descr	native-English	0
description	description	native-English	0
descriptor	descriptor	native-English	0
descriptors	descriptors	native-English	0
descsz	descsz	native-English	0
destination	destination	native-English	0
destroy	destroy	native-English	0
dev	dev	native-English	0
device	device	native-English	0
diff	diff	native-English	0
digits	digits	native-English	0
dir	dir	native-English	0
directory	directory	native-English	0
dirent	dirent	native-English	0
disable	disable	native-English	0
discard	discard	native-English	0
disconnect	disconnect	native-English	0
dispatch	dispatch	native-English	0
divide	divide	native-English	0
divisor	divisor	native-English	0
do	do	native-English	0
domain	domain	native-English	0
double	double	native-English	0
down	down	native-English	0
draw	draw	native-English	0
drive	drive	native-English	0
driver	driver	native-English	0
drivercount	drivercount	native-English	0
drivers	drivers	native-English	0
drv	drv	native-English	0
ds	ds	native-English	0
dst	dst	native-English	0
dstptr	dstptr	native-English	0
dup	dup	native-English	0
dword	dword	native-English	0
dyn	dyn	native-English	0
dynamic	dynamic	native-English	0
e	e	native-English	0
eacces	eacces	native-English	0
eaddrinuse	eaddrinuse	native-English	0
eafnosupport	eafnosupport	native-English	0
eagain	eagain	native-English	0
