original	localized	language
Activate	Activate	fo
ActivateAll	ActivateAllar	fo
Active	Active	fo
ActiveInterruptManager	Activeinterruptmanager	fo
ActiveMemoryManager	Activememorymanager	fo
Add	Add	fo
AddDriver	Adddriver	fo
AddRunnableThread	Addrunnablethread	fo
AddTask	Addtask	fo
AddThread	Addthread	fo
Address	Address	fo
AlignedMalloc	Alignedmalloc	fo
AlignmentCheck	Alignmentcheck	fo
AllocateBlock	AllocateBlokkur	fo
AllocatePID	Allocatepid	fo
AmountOfMemory	Amountofmemory	fo
ArrayToUint16	Arraytounsignedinteger16	fo
ArrayToUint32	Arraytounsignedinteger32	fo
ArrayToUint48	Arraytounsignedinteger48	fo
ArrayToUint48_BE	Arraytounsignedinteger48be	fo
ArrayToUint64	Arraytounsignedinteger64	fo
Atime	Atime	fo
AtimeNsec	Atimensec	fo
BLOCKS_PER_BYTE	Blokkurperbyte	fo
BLOCK_SIZE	BlokkurStødd	fo
Backend	Backend	fo
BaseAddr	Baseaddress	fo
Bind	Bind	fo
Blksize	Blksize	fo
Blocked	Blocked	fo
BlockedState	BlockedStøða	fo
Blocks	Blokkur	fo
BoundRangeExceeded	Boundrangeexceeded	fo
BroadcastMacAddress	Broadcastmacaddress	fo
BytesPerSector	Býtpersector	fo
BytesToString	Býttostring	fo
Checksum	Checksum	fo
Clear	Clear	fo
Clone	Clone	fo
CloneAddressSpaceCOW	Cloneaddressspacecow	fo
Connect	Connect	fo
ContainsCoordinate	Containscoordinate	fo
CopyPageFrameBlock	CopypageframeBlokkur	fo
CpuState	CpuStøða	fo
Create	Create	fo
CreateFromData	Createfromdata	fo
CreateFromFunction	Createfromfunction	fo
CreatePtrFromFunction	Createpointerfromfunction	fo
Cs	Cs	fo
Ctime	Ctime	fo
CtimeNsec	Ctimensec	fo
CurrentPID	Currentpid	fo
CurrentParentPID	Currentparentpid	fo
Data	Data	fo
Deactivate	Deactivate	fo
Deactive	Deactive	fo
Decrement	Decrement	fo
Delete	Delete	fo
DescriptorPrivilegeLevel	Descriptorprivilegelevel	fo
DescriptorType	Descriptortype	fo
Destroy	Destroy	fo
Dev	Device	fo
DeviceHasFunctions	Devicehasfunctions	fo
DeviceNotAvailable	Devicenotavailable	fo
Device_id	Deviceid	fo
DisableInt	Óvirkjaint	fo
Disconnect	Disconnect	fo
DivideByZero	Dividebyzero	fo
DoHandleInterrupt	Dohandleinterrupt	fo
DoubleFault	Doublefault	fo
Draw	Draw	fo
DriverManager	Drivermanager	fo
Ds	Ds	fo
Dynamic	Rakstrarmáttur	fo
E2BIG	E2big	fo
EACCES	Eacces	fo
EADDRINUSE	Eaddrinuse	fo
EAFNOSUPPORT	Eafnosupport	fo
EAGAIN	Eagain	fo
EBADF	Ebadf	fo
EBUSY	Ebusy	fo
ECHILD	Echild	fo
EEXIST	Eexist	fo
EFAULT	Efault	fo
EFBIG	Efbig	fo
EINTR	Eintr	fo
EINVAL	Einval	fo
EIO	Eio	fo
EISDIR	Eisdir	fo
EMFILE	Emfile	fo
EMSGSIZE	Emsgsize	fo
ENETUNREACH	Enetunreach	fo
ENFILE	Enfile	fo
ENODEV	Enodev	fo
ENOENT	Enoent	fo
ENOEXEC	Enoexec	fo
ENOMEM	Enomem	fo
ENOSPC	Enospc	fo
ENOSYS	Enosys	fo
ENOTCONN	Enotconn	fo
ENOTDIR	Enotdir	fo
ENOTTY	Enotty	fo
EOPNOTSUPP	Eopnotsupp	fo
EPERM	Eperm	fo
EPROTONOSUPPORT	Eprotonosupport	fo
ERANGE	Erange	fo
EROFS	Erofs	fo
ESPIPE	Espipe	fo
ESRCH	Esrch	fo
Eax	Eax	fo
Ebp	Ebp	fo
Ebx	Ebx	fo
Ecx	Ecx	fo
Edi	Edi	fo
Edx	Edx	fo
Eflags	Eflags	fo
Eip	Eip	fo
Elf	Elf	fo
Elf32Dyn	Elf32dyn	fo
Elf32Note	Elf32note	fo
Elf32Rel	Elf32rel	fo
Elf32Rela	Elf32rela	fo
Elf32Sym	Elf32sym	fo
ElfHeader	Elfheader	fo
ElfProgramHeader	Elfprogramheader	fo
ElfSectionHeader	Elfsectionheader	fo
EnablePaging	Enablepaging	fo
Enabled	Enabled	fo
EntryNumber	Entrynumber	fo
EqualBytes	Equalbýt	fo
Es	Es	fo
Esi	Esi	fo
Esp	Esp	fo
FPUBuffer	Fpubuffer	fo
FPUOffset	Fpuoffset	fo
Family	Family	fo
FileName	FílaNavn	fo
Fill	Fill	fo
FillRectangle	Fillrectangle	fo
First	First	fo
FirstFree	Firstfree	fo
FirstFreeSize	FirstfreeStødd	fo
Flags	Flags	fo
FloatingPointException	Floatingpointexception	fo
Flush	Flush	fo
FlushTlsTable	Flushtlstable	fo
Focussable	Focussable	fo
Free	Free	fo
Fs	Fs	fo
GB	Gb	fo
GDT_ENTRIES	Gdtentry	fo
GOT	Got	fo
GPFException	Gpfexception	fo
GatewayIP	Gatewayip	fo
GdtAddressHigh	GdtaddressHøgt	fo
GdtAddressLow	GdtaddressLágur	fo
GdtDescriptor	Gdtdescriptor	fo
GdtEntry	Gdtentry_2	fo
GdtSize	GdtStødd	fo
GetAt	Getat	fo
GetBackend	Getbackend	fo
GetBaseAddressRegister	Getbaseaddressregister	fo
GetBitmaspSize	GetbitmaspStødd	fo
GetBytesFromPtr	Getbýtfrompointer	fo
GetCR0	Getcr0	fo
GetCR2	Getcr2	fo
GetCR3	Getcr3	fo
GetCR4	Getcr4	fo
GetColorIndex	GetLiturindex	fo
GetDeviceDescriptor	Getdevicedescriptor	fo
GetDriver	Getdriver	fo
GetESP0	Getesp0	fo
GetEntry	Getentry	fo
GetFileSize	GetFílaStødd	fo
GetFocus	Getfocus	fo
GetFrameBufferSegment	Getframebuffersegment	fo
GetFuncPtrFromPtr	Getfuncpointerfrompointer	fo
GetFunctionName	GetfunctionNavn	fo
GetHandler	Gethandler	fo
GetIPAddress	Getipaddress	fo
GetMACAddress	Getmacaddress	fo
GetMACFromCache	Getmacfromcache	fo
GetNextReadyThread	GetNæstareadythread	fo
GetNodeAt	Getnodeat	fo
GetProvider	Providerget	fo
GetSS0	Getss0	fo
GetStr	Getstr	fo
GetUint32ArrayFromPtr	Getunsignedinteger32arrayfrompointer	fo
GetUintptrArrayFromPtr	Getunsignedintegerpointerarrayfrompointer	fo
GetValue	Getvalue	fo
GetValueInPageDir	GetvalueinpageFíluskrá	fo
