original	localized	language
Activate	Aგააქტიურება	ka
ActivateAll	Aგააქტიურებაყველა	ka
Active	Aაქტიური	ka
ActiveInterruptManager	Aაქტიურიinterruptmanager	ka
ActiveMemoryManager	Aაქტიურიმეხსიერებაmanager	ka
Add	Aდამატება	ka
AddDriver	Aდამატებაdriver	ka
AddRunnableThread	Aდამატებაrunnablethread	ka
AddTask	Aდამატებაtask	ka
AddThread	Aდამატებაthread	ka
Address	Address	ka
AlignedMalloc	Alignedmalloc	ka
AlignmentCheck	Alignmentcheck	ka
AllocateBlock	Allocateblock	ka
AllocatePID	Allocatepid	ka
AmountOfMemory	Aრაოდენობაofმეხსიერება	ka
ArrayToUint16	Aმასივიtounsignedinteger16	ka
ArrayToUint32	Aმასივიtounsignedinteger32	ka
ArrayToUint48	Aმასივიtounsignedinteger48	ka
ArrayToUint48_BE	Aმასივიtounsignedinteger48be	ka
ArrayToUint64	Aმასივიtounsignedinteger64	ka
Atime	Atime	ka
AtimeNsec	Atimensec	ka
BLOCKS_PER_BYTE	Blockperbyte	ka
BLOCK_SIZE	Blockზომა	ka
Backend	Backend	ka
BaseAddr	Baseaddress	ka
Bind	Bind	ka
Blksize	Blksize	ka
Blocked	Blocked	ka
BlockedState	Blockedstate	ka
Blocks	Block	ka
BoundRangeExceeded	Boundrangeexceeded	ka
BroadcastMacAddress	Broadcastmacaddress	ka
BytesPerSector	Bბაიტიpersector	ka
BytesToString	Bბაიტიtostring	ka
Checksum	Checksum	ka
Clear	Cგაწმენდა	ka
Clone	Clone	ka
CloneAddressSpaceCOW	Cloneaddressspacecow	ka
Connect	Cდაკავშირება	ka
ContainsCoordinate	Containscoordinate	ka
CopyPageFrameBlock	Cდააკოპირეგვერდიframeblock	ka
CpuState	Cpustate	ka
Create	Create	ka
CreateFromData	Createfromdata	ka
CreateFromFunction	Createfromფუნქცია	ka
CreatePtrFromFunction	Createკურსორიfromფუნქცია	ka
Cs	Cs	ka
Ctime	Ctime	ka
CtimeNsec	Ctimensec	ka
CurrentPID	Currentpid	ka
CurrentParentPID	Currentparentpid	ka
Data	Data	ka
Deactivate	Dდეაქტივაცია	ka
Deactive	Deactive	ka
Decrement	Decrement	ka
Delete	Dწაშლა	ka
DescriptorPrivilegeLevel	Descriptorprivilegelevel	ka
