original	before	after	review_status	concept	changed_tokens
Activate	Aგააქტიურება	Aგააქტიურება	existing-unreviewed		0
ActivateAll	Aგააქტიურებაყველა	Aგააქტიურებაყველა	existing-unreviewed		0
Active	Aაქტიური	Aაქტიური	existing-unreviewed		0
ActiveInterruptManager	Aაქტიურიinterruptmanager	Aაქტიურიinterruptmanager	existing-unreviewed		0
ActiveMemoryManager	Aაქტიურიმეხსიერებაmanager	Aაქტიურიმეხსიერებაmanager	existing-unreviewed		0
Add	Aდამატება	Aდამატება	existing-unreviewed		0
AddDriver	Aდამატებაdriver	Aდამატებაdriver	existing-unreviewed		0
AddRunnableThread	Aდამატებაrunnablethread	Aდამატებაrunnablethread	existing-unreviewed		0
AddTask	Aდამატებაtask	Aდამატებაtask	existing-unreviewed		0
AddThread	Aდამატებაthread	Aდამატებაthread	existing-unreviewed		0
Address	Address	Address	existing-unreviewed		0
AlignedMalloc	Alignedmalloc	Alignedmalloc	existing-unreviewed		0
AlignmentCheck	Alignmentcheck	Alignmentcheck	existing-unreviewed		0
AllocateBlock	Allocateblock	Allocateblock	existing-unreviewed		0
AllocatePID	Allocatepid	Allocatepid	existing-unreviewed		0
AmountOfMemory	Aრაოდენობაofმეხსიერება	Aრაოდენობაofმეხსიერება	existing-unreviewed		0
ArrayToUint16	Aმასივიtounsignedinteger16	Aმასივიtounsignedinteger16	existing-unreviewed		0
ArrayToUint32	Aმასივიtounsignedinteger32	Aმასივიtounsignedinteger32	existing-unreviewed		0
ArrayToUint48	Aმასივიtounsignedinteger48	Aმასივიtounsignedinteger48	existing-unreviewed		0
ArrayToUint48_BE	Aმასივიtounsignedinteger48be	Aმასივიtounsignedinteger48be	existing-unreviewed		0
ArrayToUint64	Aმასივიtounsignedinteger64	Aმასივიtounsignedinteger64	existing-unreviewed		0
Atime	Atime	Atime	existing-unreviewed		0
AtimeNsec	Atimensec	Atimensec	existing-unreviewed		0
BLOCKS_PER_BYTE	Blockperbyte	Blockperbyte	existing-unreviewed		0
BLOCK_SIZE	Blockზომა	Blockზომა	existing-unreviewed		0
Backend	Backend	Backend	existing-unreviewed		0
BaseAddr	Baseaddress	Baseaddress	existing-unreviewed		0
Bind	Bind	Bind	existing-unreviewed		0
Blksize	Blksize	Blksize	existing-unreviewed		0
Blocked	Blocked	Blocked	existing-unreviewed		0
BlockedState	Blockedstate	Blockedstate	existing-unreviewed		0
Blocks	Block	Block	existing-unreviewed		0
BoundRangeExceeded	Boundrangeexceeded	Boundrangeexceeded	existing-unreviewed		0
BroadcastMacAddress	Broadcastmacaddress	Broadcastmacaddress	existing-unreviewed		0
BytesPerSector	Bბაიტიpersector	Bბაიტიpersector	existing-unreviewed		0
BytesToString	Bბაიტიtostring	Bბაიტიtostring	existing-unreviewed		0
Checksum	Checksum	Checksum	existing-unreviewed		0
Clear	Cგაწმენდა	Cგაწმენდა	existing-unreviewed		0
Clone	Clone	Clone	existing-unreviewed		0
CloneAddressSpaceCOW	Cloneaddressspacecow	Cloneaddressspacecow	existing-unreviewed		0
Connect	Cდაკავშირება	Cდაკავშირება	existing-unreviewed		0
ContainsCoordinate	Containscoordinate	Containscoordinate	existing-unreviewed		0
CopyPageFrameBlock	Cდააკოპირეგვერდიframeblock	Cდააკოპირეგვერდიframeblock	existing-unreviewed		0
CpuState	Cpustate	Cpustate	existing-unreviewed		0
Create	Create	Create	existing-unreviewed		0
CreateFromData	Createfromdata	Createfromdata	existing-unreviewed		0
CreateFromFunction	Createfromფუნქცია	Createfromფუნქცია	existing-unreviewed		0
CreatePtrFromFunction	Createკურსორიfromფუნქცია	Createკურსორიfromფუნქცია	existing-unreviewed		0
Cs	Cs	Cs	existing-unreviewed		0
Ctime	Ctime	Ctime	existing-unreviewed		0
CtimeNsec	Ctimensec	Ctimensec	existing-unreviewed		0
CurrentPID	Currentpid	Currentpid	existing-unreviewed		0
CurrentParentPID	Currentparentpid	Currentparentpid	existing-unreviewed		0
Data	Data	Data	compatibility		0
Deactivate	Dდეაქტივაცია	Dდეაქტივაცია	existing-unreviewed		0
Deactive	Deactive	Deactive	existing-unreviewed		0
Decrement	Decrement	Decrement	existing-unreviewed		0
Delete	Dწაშლა	Dწაშლა	existing-unreviewed		0
DescriptorPrivilegeLevel	Descriptorprivilegelevel	Descriptorprivilegelevel	existing-unreviewed		0
DescriptorType	Descriptorტიპი	Descriptorტიპი	existing-unreviewed		0
Destroy	Destroy	Destroy	existing-unreviewed		0
Dev	Dმოწყობილობა	Dმოწყობილობა	existing-unreviewed		0
DeviceHasFunctions	Dმოწყობილობაhasfunctions	Dმოწყობილობაhasfunctions	existing-unreviewed		0
DeviceNotAvailable	Dმოწყობილობაnotხელმისაწვდომი	Dმოწყობილობაnotხელმისაწვდომი	existing-unreviewed		0
Device_id	Dმოწყობილობაid	Dმოწყობილობაid	existing-unreviewed		0
DisableInt	Disableint	Disableint	existing-unreviewed		0
