english	localized	language
a	α	el
access	προσπέλαση	el
ack	ack	el
activate	Ενεργοποίηση	el
active	Ενεργό	el
add	Προσθήκη	el
addend	addend	el
addr	addr	el
addralign	addralign	el
address	address	el
advanced	Γιαπροχωρημένους	el
af	af	el
after	after	el
align	Στοίχιση	el
aligned	aligned	el
alignment	alignment	el
all	Όλα	el
alloc	alloc	el
allocate	allocate	el
allocated	allocated	el
am	am	el
amd	amd	el
amount	Ποσό	el
and	ΚΑΙ	el
append	append	el
args	args	el
argument	argument	el
arguments	Παράμετροι	el
arp	arp	el
arp콘솔	arp콘솔	el
array	Διάταξη	el
assembly	assembly	el
at	at	el
ata	ata	el
atime	atime	el
attachment	attachment	el
attempts	attempts	el
attr	attr	el
attribute	γνώρισμα	el
attributes	Ιδιότητες	el
aux	aux	el
avail	avail	el
available	Διαθέσιμα	el
b	b	el
ba	ba	el
back	Πίσω	el
backend	backend	el
backup	backup	el
bar	Μπάρα	el
base	base	el
be	be	el
bh	bh	el
big	big	el
bind	bind	el
bios	bios	el
bit	bit	el
bitmap	bitmap	el
bitmasp	bitmasp	el
bits	bits	el
blksize	blksize	el
block	Μπλοκ	el
blocked	blocked	el
blocking	blocking	el
blocks	blocks	el
boot	boot	el
bootable	bootable	el
bootloader	bootloader	el
bound	bound	el
bpb	bpb	el
break	break	el
brk	brk	el
broadcast	broadcast	el
buf	buf	el
buffer	buffer	el
buffers	Ενταμιευτές	el
bufptr	bufptr	el
bus	bus	el
button	Κουμπί	el
buttons	Πλήκτρα	el
by	by	el
byte	byte	el
bytes	bytes	el
c	c	el
cache	cache	el
call	call	el
candidate	candidate	el
cap	cap	el
capable	capable	el
card	Χαρτιά	el
central	Κεντρική	el
char	char	el
chdir	chdir	el
check	check	el
checked	checked	el
checksum	checksum	el
child	θυγατρική	el
chunk	chunk	el
class	Κλάση	el
clear	Καθαρισμός	el
cloexec	cloexec	el
clone	clone	el
close	Κλείσιμο	el
cluster	cluster	el
cmp	cmp	el
code	code	el
col	col	el
color	Χρώμα	el
colordepth	colordepth	el
command	Εντολή	el
commandport	commandport	el
common	κοινό	el
component	component	el
connect	Σύνδεση	el
connected	connected	el
console	console	el
constant	Σταθερά	el
contains	contains	el
contents	Περιεχόμενα	el
control	Έλεγχος	el
controller	controller	el
coordinate	coordinate	el
copies	copies	el
copy	Αντιγραφή	el
count	count	el
cow	cow	el
cpu	Επεξεργαστής	el
cpustate	cpustate	el
cpy	cpy	el
cr	cr	el
creat	creat	el
create	create	el
crtc	crtc	el
cs	cs	el
ctime	ctime	el
cur	cur	el
current	Τρέχον	el
cursor	Δείκτης	el
cylinder	cylinder	el
d	ΣΥ	el
data	data	el
databuffer	databuffer	el
datagram	datagram	el
dataport	dataport	el
date	Ημερομηνία	el
deactivate	Απενεργοποίηση	el
deactive	deactive	el
debug	Διόρθωση	el
decrement	decrement	el
default	Προεπιλογή	el
delete	Διαγραφή	el
delta	delta	el
depth	depth	el
desc	desc	el
descr	descr	el
description	Περιγραφή	el
descriptor	descriptor	el
descriptors	descriptors	el
descsz	descsz	el
destination	Προορισμός	el
destroy	Καταστροφή	el
dev	dev	el
device	Συσκευή	el
diff	diff	el
digits	digits	el
dir	dir	el
directory	Κατάλογος	el
dirent	dirent	el
disable	Απενεργοποίηση	el
discard	Απόρριψη	el
disconnect	Αποσύνδεση	el
dispatch	dispatch	el
divide	Διαίρεση	el
divisor	divisor	el
do	do	el
domain	Τομέας	el
double	Διπλός	el
down	Κάτω	el
draw	draw	el
drive	drive	el
driver	driver	el
drivercount	drivercount	el
drivers	drivers	el
drv	drv	el
ds	ds	el
dst	dst	el
dstptr	dstptr	el
dup	dup	el
dword	dword	el
dyn	dyn	el
dynamic	Δυναμικό	el
e	Ε	el
eacces	eacces	el
eaddrinuse	eaddrinuse	el
eafnosupport	eafnosupport	el
eagain	eagain	el
eax	eax	el
ebadf	ebadf	el
ebp	ebp	el
ebusy	ebusy	el
ebx	ebx	el
echild	echild	el
echo	echo	el
ecx	ecx	el
edi	edi	el
edx	edx	el
eexist	eexist	el
ef	ef	el
efault	efault	el
efbig	efbig	el
eflags	eflags	el
ehsize	ehsize	el
eintr	eintr	el
einval	einval	el
eio	eio	el
eip	eip	el
eisdir	eisdir	el
elf	elf	el
emfile	emfile	el
empty	Κενή	el
emsgsize	emsgsize	el
enable	Ενεργοποίηση	el
enabled	Ενεργό	el
end	Τέλος	el
enetunreach	enetunreach	el
enfile	enfile	el
enodev	enodev	el
enoent	enoent	el
enoexec	enoexec	el
enomem	enomem	el
enospc	enospc	el
enosys	enosys	el
enotconn	enotconn	el
enotdir	enotdir	el
enotty	enotty	el
ensure	ensure	el
entries	entries	el
entry	καταχώρηση	el
entrypoint	entrypoint	el
entsize	entsize	el
environment	environment	el
eopnotsupp	eopnotsupp	el
eperm	eperm	el
ephemeral	ephemeral	el
eprotonosupport	eprotonosupport	el
equal	Ίσο	el
erange	erange	el
erofs	erofs	el
err	Σφάλλω	el
error	Σφάλμα	el
errorln	errorln	el
es	es	el
esi	esi	el
esp	esp	el
espipe	espipe	el
esrch	esrch	el
ether	ether	el
etherframe	etherframe	el
ethernet	ethernet	el
event	Συμβάν	el
events	Γεγονότα	el
exceeded	exceeded	el
except	except	el
exception	exception	el
exec	Εκτέλεση	el
execve	execve	el
exists	exists	el
exit	Έξοδος	el
exited	Τερματίστηκε	el
ext	ext	el
extended	extended	el
f	f	el
family	family	el
fat	fat	el
fatal	fatal	el
fatbuf	fatbuf	el
fatbuffer	fatbuffer	el
fault	fault	el
fb	fb	el
fcntl	fcntl	el
fd	fd	el
fds	fds	el
field	πεδίο	el
file	Αρχείο	el
filename	Όνομααρχείου	el
files	ΑΡΧΕΙΑ	el
filesz	filesz	el
fill	fill	el
find	Εύρεση	el
first	first	el
fl	fl	el
flag	Σημαία	el
flags	Διακόπτες	el
floating	Πλωτό	el
flush	flush	el
fn	fn	el
focus	Εστίαση	el
focussable	focussable	el
foo	foo	el
for	for	el
forced	forced	el
fork	fork	el
found	found	el
fp	fp	el
fpu	fpu	el
frame	Πλαίσιο	el
free	Ελεύθερα	el
frequency	Συχνότητα	el
from	from	el
front	Μπροστά	el
fs	fs	el
fstat	fstat	el
fsync	fsync	el
fuction	fuction	el
full	Πλήρες	el
func	func	el
function	Συνάρτηση	el
functions	Συναρτήσεις	el
fxrstor	fxrstor	el
fxsave	fxsave	el
g	g	el
gate	gate	el
gateway	gateway	el
gb	gb	el
gdt	gdt	el
get	get	el
getcwd	getcwd	el
getegid	getegid	el
geteuid	geteuid	el
getgid	getgid	el
getpid	getpid	el
getppid	getppid	el
getuid	getuid	el
gid	gid	el
global	Καθολικά	el
got	got	el
gpf	gpf	el
gran	gran	el
graphics	Γραφικά	el
grub	grub	el
gs	gs	el
h	Υ	el
halt	halt	el
handle	Χειρολαβή	el
handler	handler	el
handlers	handlers	el
hardware	Υλικό	el
has	has	el
hd	hd	el
head	head	el
header	header	el
headertype	headertype	el
heap	heap	el
height	Ύψος	el
helper	helper	el
hex	Δεκαεξαδικό	el
hex출력	hex출력	el
hi	hi	el
hidden	Κρυφό	el
high	Υψηλή	el
hop	hop	el
i	i	el
icmp	icmp	el
icmp콘솔	icmp콘솔	el
id	ΤΑΥΤΌΤΗΤΑ	el
ident	ident	el
identify	identify	el
idt	idt	el
idx	idx	el
ifchr	ifchr	el
ifdir	ifdir	el
ifmt	ifmt	el
ifreg	ifreg	el
ifsock	ifsock	el
in	σε	el
increment	increment	el
index	Κατάλογος	el
inet	inet	el
info	πληροφορία	el
init	init	el
initial	initial	el
initialization	initialization	el
initialize	initialize	el
ino	ino	el
inode	Κόμβος	el
input	Είσοδος	el
install	Εγκατάσταση	el
int	Ακέραιος	el
interconnect	interconnect	el
interface	ΔΙΕΠΑΦΗ	el
internet	Διαδίκτυο	el
internetprotocol	internetprotocol	el
interrupt	Διακοπή	el
interrupts	interrupts	el
invalid	Μηέγκυρο	el
io	io	el
iomap	iomap	el
ip	ip	el
ipci	ipci	el
ipmessage	ipmessage	el
ipv	ipv	el
ip콘솔	ip콘솔	el
iret	iret	el
is	is	el
ist	ist	el
j	j	el
jmp	jmp	el
jump	jump	el
k	Κέλβιν	el
kb	ΚΒ	el
kcs	kcs	el
kds	kds	el
kernel	kernel	el
key	Κλειδί	el
keyboard	Πληκτρολόγιο	el
kgs	kgs	el
kind	Είδος	el
k핵심	k핵심	el
l	l	el
label	Ετικέτα	el
last	Τελευταία	el
lba	lba	el
ldt	ldt	el
left	Αριστερά	el
len	len	el
length	Διάρκεια	el
lengths	lengths	el
level	level	el
lib	lib	el
lidt	lidt	el
lidtaddr	lidtaddr	el
limit	Όριο	el
line	Γραμμή	el
link	Δεσμός	el
linked	linked	el
linker	linker	el
list	Λίστα	el
listen	listen	el
listening	listening	el
live	live	el
load	Φόρτος	el
loader	loader	el
local	τοπικό	el
log	Καταγραφή	el
logical	Λογική	el
loop	loop	el
low	Χαμηλή	el
lseek	lseek	el
lstat	lstat	el
m	λεπτά	el
mac	mac	el
machine	machine	el
magicnumber	magicnumber	el
main	κύριο	el
make	make	el
malloc	malloc	el
manager	manager	el
map	map	el
mask	Μάσκα	el
master	Κύριαέξοδος	el
matches	matches	el
max	Μεγ	el
maximum	Μέγιστο	el
mb	mb	el
mbr	mbr	el
media	Μέσα	el
mem	mem	el
memory	Μνήμη	el
memorymananger	memorymananger	el
memorytest	memorytest	el
memsz	memsz	el
mesg	mesg	el
message	Μήνυμα	el
mics	mics	el
mid	mid	el
minimum	Ελάχιστο	el
mode	ΚΑΤΑΣΤΑΣΗ	el
model	Μοντέλο	el
mouse	Ποντίκι	el
mousemove	mousemove	el
move	Μετακίνηση	el
msdospart	msdospart	el
msg	msg	el
mtime	mtime	el
multi	multi	el
multiboot	multiboot	el
multitasking	multitasking	el
my	my	el
myfunction	myfunction	el
m긴급로그	m긴급로그	el
m긴급로그문자열	m긴급로그문자열	el
m직렬로그초기화	m직렬로그초기화	el
m출력	m출력	el
m테스트	m테스트	el
n	Ν	el
name	Όνομα	el
namesz	namesz	el
net	net	el
network	Δίκτυο	el
new	Νέο	el
next	Επόμενο	el
nibble	nibble	el
nlink	nlink	el
nmi	nmi	el
node	Κόμβος	el
nodename	nodename	el
noexec	noexec	el
none	Κανένα	el
normal	Κανονικό	el
norw	norw	el
not	not	el
note	Σημείωση	el
nsec	nsec	el
num	num	el
number	Αριθμός	el
o	o	el
of	από	el
offset	offset	el
ok	Εντάξει	el
old	old	el
on	Ενεργή	el
only	only	el
opcode	opcode	el
open	Άνοιγμα	el
oper	oper	el
operation	operation	el
options	Επιλογές	el
order	order	el
org	org	el
other	Άλλο	el
out	Έξω	el
output	Έξοδος	el
overflow	overflow	el
p	Π	el
packet	packet	el
packets	πακέτα	el
paddr	paddr	el
page	Σελίδα	el
pages	pages	el
paging	paging	el
param	param	el
parameter	parameter	el
params	Παράμετροι	el
parent	γονικό	el
parse	parse	el
part	part	el
partition	partition	el
partitions	partitions	el
path	ΔΙΑΔΡΟΜΗ	el
pause	Παύση	el
payload	payload	el
pci	pci	el
pde	pde	el
pdelen	pdelen	el
peer	peer	el
pending	pending	el
per	per	el
peripheral	peripheral	el
phentsize	phentsize	el
phnum	phnum	el
phoff	phoff	el
phy	phy	el
phyaddr	phyaddr	el
phymem	phymem	el
phys	phys	el
physical	physical	el
pic	pic	el
pid	pid	el
pit	pit	el
pixel	pixel	el
point	point	el
pointer	Δείκτης	el
pointers	pointers	el
poll	poll	el
port	Θύρα	el
portnumber	portnumber	el
pos	Θέση	el
position	Θέση	el
posix	posix	el
prefetch	prefetch	el
prefetchable	prefetchable	el
present	Παρούσα	el
prev	prev	el
primary	primary	el
print	Εκτύπωση	el
printf	printf	el
println	println	el
printreg	printreg	el
priv	priv	el
private	Ιδιωτικό	el
privilege	privilege	el
proc	proc	el
process	Διεργασία	el
processes	Διεργασίες	el
processing	processing	el
program	πρόγραμμα	el
programmable	programmable	el
protocol	protocol	el
provided	provided	el
provider	provider	el
ps	ps	el
pt	pt	el
pte	pte	el
ptr	ptr	el
push	push	el
put	put	el
pv	pv	el
queue	queue	el
r	r	el
range	Εύρος	el
raw	raw	el
rdev	rdev	el
read	Ανάγνωση	el
ready	Έτοιμο	el
receive	receive	el
received	Λήψη	el
receiver	receiver	el
receviced	receviced	el
record	Ηχογράφηση	el
rectangle	Ορθογώνιο	el
recv	recv	el
ref	ref	el
refs	refs	el
reg	reg	el
region	region	el
register	register	el
registeroffset	registeroffset	el
registers	registers	el
regs	regs	el
regtype	regtype	el
rel	rel	el
rela	rela	el
release	release	el
released	released	el
reload	Επαναφόρτωση	el
relocation	relocation	el
remaining	remaining	el
remote	Απομακρυσμένο	el
remove	Αφαίρεση	el
reply	reply	el
request	request	el
requested	requested	el
reserved	reserved	el
reset	Επαναφορά	el
resolve	resolve	el
restore	Επαναφορά	el
result	result	el
ret	ret	el
revision	revision	el
rgb	rgb	el
right	Δεξιά	el
root	Ριζικόςκατάλογος	el
round	Στρογγυλοποίησηπροςτονπλησιέστεροακέραιο	el
route	route	el
rs	rs	el
rt	rt	el
run	Εκτέλεση	el
runnable	runnable	el
rx	rx	el
s	δευτ	el
saved	saved	el
sc	sc	el
scan	Σάρωση	el
scancode	scancode	el
sche	sche	el
schedule	schedule	el
scheduler	scheduler	el
screen	Οθόνη	el
secondary	secondary	el
sect	sect	el
section	section	el
sector	sector	el
sectors	sectors	el
seek	seek	el
seg	seg	el
segment	segment	el
segments	segments	el
select	Επιλογή	el
selector	selector	el
self	self	el
send	Αποστολή	el
sequencer	sequencer	el
serial	Σειριακόςαριθμός	el
set	σύνολο	el
setup	setup	el
sh	sh	el
shared	shared	el
shentsize	shentsize	el
shift	shift	el
shndx	shndx	el
shnum	shnum	el
shoff	shoff	el
shstrndx	shstrndx	el
signature	signature	el
simd	simd	el
size	Μέγεθος	el
sl	sl	el
slave	slave	el
sock	sock	el
socket	Υποδοχή	el
socketcall	socketcall	el
sockets	sockets	el
soft	soft	el
software	Λογισμικό	el
source	Πηγή	el
