english	localized	language
a	a	kl
access	access	kl
ack	ack	kl
activate	activate	kl
active	active	kl
add	add	kl
addend	addend	kl
addr	addr	kl
addralign	addralign	kl
address	address	kl
advanced	advanced	kl
af	af	kl
after	after	kl
align	align	kl
aligned	aligned	kl
alignment	alignment	kl
all	all	kl
alloc	alloc	kl
allocate	allocate	kl
allocated	allocated	kl
am	am	kl
amd	amd	kl
amount	amount	kl
and	and	kl
append	append	kl
args	args	kl
argument	argument	kl
arguments	arguments	kl
arp	arp	kl
arp콘솔	arp콘솔	kl
array	array	kl
assembly	assembly	kl
at	at	kl
ata	ata	kl
atime	atime	kl
attachment	attachment	kl
attempts	attempts	kl
attr	attr	kl
attribute	attribute	kl
attributes	attributes	kl
aux	aux	kl
avail	avail	kl
available	available	kl
b	b	kl
ba	ba	kl
back	back	kl
backend	backend	kl
backup	backup	kl
bar	bar	kl
base	base	kl
be	be	kl
bh	bh	kl
big	big	kl
bind	bind	kl
bios	bios	kl
bit	bit	kl
bitmap	bitmap	kl
bitmasp	bitmasp	kl
bits	bits	kl
blksize	blksize	kl
block	block	kl
blocked	blocked	kl
blocking	blocking	kl
blocks	blocks	kl
boot	boot	kl
bootable	bootable	kl
bootloader	bootloader	kl
bound	bound	kl
bpb	bpb	kl
break	break	kl
brk	brk	kl
broadcast	broadcast	kl
buf	buf	kl
buffer	buffer	kl
buffers	buffers	kl
bufptr	bufptr	kl
bus	bus	kl
button	button	kl
buttons	buttons	kl
by	by	kl
byte	byte	kl
bytes	bytes	kl
c	c	kl
cache	cache	kl
call	call	kl
candidate	candidate	kl
cap	cap	kl
capable	capable	kl
card	card	kl
central	central	kl
char	char	kl
chdir	chdir	kl
check	check	kl
checked	checked	kl
checksum	checksum	kl
child	child	kl
chunk	chunk	kl
class	class	kl
clear	clear	kl
cloexec	cloexec	kl
clone	clone	kl
close	close	kl
cluster	cluster	kl
cmp	cmp	kl
code	code	kl
col	col	kl
color	color	kl
colordepth	colordepth	kl
command	command	kl
commandport	commandport	kl
common	common	kl
component	component	kl
connect	connect	kl
connected	connected	kl
console	console	kl
constant	constant	kl
contains	contains	kl
contents	contents	kl
control	control	kl
controller	controller	kl
coordinate	coordinate	kl
copies	copies	kl
copy	copy	kl
count	count	kl
cow	cow	kl
cpu	cpu	kl
cpustate	cpustate	kl
cpy	cpy	kl
cr	cr	kl
creat	creat	kl
create	create	kl
crtc	crtc	kl
cs	cs	kl
ctime	ctime	kl
cur	cur	kl
current	current	kl
cursor	cursor	kl
cylinder	cylinder	kl
d	d	kl
data	data	kl
databuffer	databuffer	kl
datagram	datagram	kl
dataport	dataport	kl
date	date	kl
deactivate	deactivate	kl
deactive	deactive	kl
debug	debug	kl
decrement	decrement	kl
default	default	kl
delete	delete	kl
delta	delta	kl
depth	depth	kl
desc	desc	kl
descr	descr	kl
description	description	kl
descriptor	descriptor	kl
descriptors	descriptors	kl
descsz	descsz	kl
destination	destination	kl
destroy	destroy	kl
dev	dev	kl
device	device	kl
diff	diff	kl
digits	digits	kl
dir	dir	kl
directory	directory	kl
dirent	dirent	kl
disable	disable	kl
discard	discard	kl
disconnect	disconnect	kl
dispatch	dispatch	kl
divide	divide	kl
divisor	divisor	kl
do	do	kl
domain	domain	kl
double	double	kl
down	down	kl
draw	draw	kl
drive	drive	kl
driver	driver	kl
drivercount	drivercount	kl
drivers	drivers	kl
drv	drv	kl
ds	ds	kl
dst	dst	kl
dstptr	dstptr	kl
dup	dup	kl
dword	dword	kl
dyn	dyn	kl
dynamic	dynamic	kl
e	e	kl
eacces	eacces	kl
eaddrinuse	eaddrinuse	kl
eafnosupport	eafnosupport	kl
eagain	eagain	kl
eax	eax	kl
ebadf	ebadf	kl
ebp	ebp	kl
ebusy	ebusy	kl
ebx	ebx	kl
echild	echild	kl
echo	echo	kl
ecx	ecx	kl
edi	edi	kl
edx	edx	kl
eexist	eexist	kl
ef	ef	kl
efault	efault	kl
efbig	efbig	kl
eflags	eflags	kl
ehsize	ehsize	kl
eintr	eintr	kl
einval	einval	kl
eio	eio	kl
eip	eip	kl
eisdir	eisdir	kl
elf	elf	kl
emfile	emfile	kl
empty	empty	kl
emsgsize	emsgsize	kl
enable	enable	kl
enabled	enabled	kl
end	end	kl
enetunreach	enetunreach	kl
enfile	enfile	kl
enodev	enodev	kl
enoent	enoent	kl
enoexec	enoexec	kl
enomem	enomem	kl
enospc	enospc	kl
enosys	enosys	kl
enotconn	enotconn	kl
enotdir	enotdir	kl
enotty	enotty	kl
ensure	ensure	kl
entries	entries	kl
entry	entry	kl
entrypoint	entrypoint	kl
entsize	entsize	kl
environment	environment	kl
eopnotsupp	eopnotsupp	kl
eperm	eperm	kl
ephemeral	ephemeral	kl
eprotonosupport	eprotonosupport	kl
equal	equal	kl
erange	erange	kl
erofs	erofs	kl
err	err	kl
error	error	kl
errorln	errorln	kl
es	es	kl
esi	esi	kl
esp	esp	kl
espipe	espipe	kl
esrch	esrch	kl
ether	ether	kl
etherframe	etherframe	kl
ethernet	ethernet	kl
event	event	kl
events	events	kl
exceeded	exceeded	kl
except	except	kl
exception	exception	kl
exec	exec	kl
execve	execve	kl
exists	exists	kl
exit	exit	kl
exited	exited	kl
ext	ext	kl
extended	extended	kl
f	f	kl
family	family	kl
fat	fat	kl
fatal	fatal	kl
fatbuf	fatbuf	kl
fatbuffer	fatbuffer	kl
fault	fault	kl
fb	fb	kl
fcntl	fcntl	kl
fd	fd	kl
fds	fds	kl
field	field	kl
file	file	kl
filename	filename	kl
files	files	kl
filesz	filesz	kl
fill	fill	kl
find	find	kl
first	first	kl
fl	fl	kl
flag	flag	kl
flags	flags	kl
floating	floating	kl
flush	flush	kl
fn	fn	kl
focus	focus	kl
focussable	focussable	kl
foo	foo	kl
for	for	kl
forced	forced	kl
fork	fork	kl
found	found	kl
fp	fp	kl
fpu	fpu	kl
frame	frame	kl
free	free	kl
frequency	frequency	kl
from	from	kl
front	front	kl
fs	fs	kl
fstat	fstat	kl
fsync	fsync	kl
fuction	fuction	kl
full	full	kl
func	func	kl
function	function	kl
functions	functions	kl
fxrstor	fxrstor	kl
fxsave	fxsave	kl
g	g	kl
gate	gate	kl
gateway	gateway	kl
gb	gb	kl
gdt	gdt	kl
get	get	kl
getcwd	getcwd	kl
getegid	getegid	kl
geteuid	geteuid	kl
getgid	getgid	kl
getpid	getpid	kl
getppid	getppid	kl
getuid	getuid	kl
gid	gid	kl
global	global	kl
got	got	kl
gpf	gpf	kl
gran	gran	kl
graphics	graphics	kl
grub	grub	kl
gs	gs	kl
h	h	kl
halt	halt	kl
handle	handle	kl
handler	handler	kl
handlers	handlers	kl
hardware	hardware	kl
has	has	kl
hd	hd	kl
head	head	kl
header	header	kl
headertype	headertype	kl
heap	heap	kl
height	height	kl
helper	helper	kl
hex	hex	kl
hex출력	hex출력	kl
hi	hi	kl
hidden	hidden	kl
high	high	kl
hop	hop	kl
i	i	kl
icmp	icmp	kl
icmp콘솔	icmp콘솔	kl
id	id	kl
ident	ident	kl
identify	identify	kl
idt	idt	kl
idx	idx	kl
ifchr	ifchr	kl
ifdir	ifdir	kl
ifmt	ifmt	kl
