original	localized	language
Activate	Activate	kl
ActivateAll	Activateall	kl
Active	Active	kl
ActiveInterruptManager	Activeinterruptmanager	kl
ActiveMemoryManager	Activememorymanager	kl
Add	Add	kl
AddDriver	Adddriver	kl
AddRunnableThread	Addrunnablethread	kl
AddTask	Addtask	kl
AddThread	Addthread	kl
Address	Address	kl
AlignedMalloc	Alignedmalloc	kl
AlignmentCheck	Alignmentcheck	kl
AllocateBlock	Allocateblock	kl
AllocatePID	Allocatepid	kl
AmountOfMemory	Amountofmemory	kl
ArrayToUint16	Arraytounsignedinteger16	kl
ArrayToUint32	Arraytounsignedinteger32	kl
ArrayToUint48	Arraytounsignedinteger48	kl
ArrayToUint48_BE	Arraytounsignedinteger48be	kl
ArrayToUint64	Arraytounsignedinteger64	kl
Atime	Atime	kl
AtimeNsec	Atimensec	kl
BLOCKS_PER_BYTE	Blockperbyte	kl
BLOCK_SIZE	Blocksize	kl
Backend	Backend	kl
BaseAddr	Baseaddress	kl
Bind	Bind	kl
Blksize	Blksize	kl
Blocked	Blocked	kl
BlockedState	Blockedstate	kl
Blocks	Block	kl
BoundRangeExceeded	Boundrangeexceeded	kl
BroadcastMacAddress	Broadcastmacaddress	kl
BytesPerSector	Bytespersector	kl
BytesToString	Bytestostring	kl
Checksum	Checksum	kl
Clear	Clear	kl
Clone	Clone	kl
CloneAddressSpaceCOW	Cloneaddressspacecow	kl
Connect	Connect	kl
ContainsCoordinate	Containscoordinate	kl
CopyPageFrameBlock	Copypageframeblock	kl
CpuState	Cpustate	kl
Create	Create	kl
CreateFromData	Createfromdata	kl
CreateFromFunction	Createfromfunction	kl
CreatePtrFromFunction	Createpointerfromfunction	kl
Cs	Cs	kl
Ctime	Ctime	kl
CtimeNsec	Ctimensec	kl
CurrentPID	Currentpid	kl
CurrentParentPID	Currentparentpid	kl
Data	Data	kl
Deactivate	Deactivate	kl
Deactive	Deactive	kl
Decrement	Decrement	kl
Delete	Delete	kl
DescriptorPrivilegeLevel	Descriptorprivilegelevel	kl
DescriptorType	Descriptortype	kl
Destroy	Destroy	kl
Dev	Device	kl
DeviceHasFunctions	Devicehasfunctions	kl
DeviceNotAvailable	Devicenotavailable	kl
Device_id	Deviceid	kl
DisableInt	Disableint	kl
Disconnect	Disconnect	kl
DivideByZero	Dividebyzero	kl
DoHandleInterrupt	Dohandleinterrupt	kl
DoubleFault	Doublefault	kl
Draw	Draw	kl
DriverManager	Drivermanager	kl
Ds	Ds	kl
Dynamic	Dynamic	kl
E2BIG	E2big	kl
EACCES	Eacces	kl
EADDRINUSE	Eaddrinuse	kl
EAFNOSUPPORT	Eafnosupport	kl
EAGAIN	Eagain	kl
EBADF	Ebadf	kl
