compiler_file	native_file
Makefile	compiler.mk.in
include/arpa/inet.h	宣告/通訊位址/位元組順序.h
include/sys/syscall.h	宣告/系統/系統呼叫.h
include/errno.h	宣告/錯誤編號.h
include/fcntl.h	宣告/檔案控制.h
include/netinet/in.h	宣告/互聯網路/位址.h
include/stddef.h	宣告/基本定義.h
include/stdint.h	宣告/整數型別.h
include/sys/socket.h	宣告/系統/通訊端點.h
include/sys/stat.h	宣告/系統/檔案狀態.h
include/sys/types.h	宣告/系統/資料型別.h
include/sys/utsname.h	宣告/系統/系統身分.h
include/sys/wait.h	宣告/系統/子行程等待.h
include/unistd.h	宣告/輸入輸出與執行.h
linker.ld	連結配置.ld
src/crt0.S	實作/啟動.S
src/errno.c	實作/錯誤編號.c
src/fcntl.c	實作/檔案控制.c
src/socket.c	實作/通訊端點.c
src/stat.c	實作/檔案狀態.c
src/syscall.S	實作/系統呼叫.S
src/unistd.c	實作/輸入輸出與執行.c
tests/compile.c	測試/編譯檢查.c
tests/exec_runtime.c	測試/程式替換試驗.c
tests/exec_target.c	測試/替換執行目標.c
tests/fork_runtime.c	測試/行程分支試驗.c
tests/heap_runtime.c	測試/動態記憶體試驗.c
tests/runtime.c	測試/執行試驗.c
tests/socket_runtime.c	測試/通訊端點試驗.c
tests/stdin_runtime.c	測試/標準輸入試驗.c
include/ctype.h	宣告/字元分類.h
include/limits.h	宣告/整數極限.h
include/stdlib.h	宣告/通用函式.h
include/string.h	宣告/字串與記憶內容.h
include/strings.h	宣告/字串大小寫比較.h
src/allocation.c	實作/記憶空間管理.c
src/ctype.c	實作/字元分類.c
src/stdlib.c	實作/通用函式.c
src/string.c	實作/字串與記憶內容.c
tests/library.c	測試/函式集測試.c
tests/library_main.c	測試/函式集測試入口.c
tests/probe.c	測試/本語言呼叫測試.c
