original	localized	language
Activate	A使用	zh_Hant
ActivateAll	A使用全部	zh_Hant
Active	A啟用	zh_Hant
ActiveInterruptManager	A啟用中斷管理器	zh_Hant
ActiveMemoryManager	A啟用記憶體管理器	zh_Hant
Add	A加入	zh_Hant
AddDriver	A加入驅動程式	zh_Hant
AddRunnableThread	A加入runnable執行緒	zh_Hant
AddTask	A加入工作	zh_Hant
AddThread	A加入執行緒	zh_Hant
Address	Address	zh_Hant
AlignedMalloc	Alignedmalloc	zh_Hant
AlignmentCheck	Alignmentcheck	zh_Hant
AllocateBlock	Allocate區塊	zh_Hant
AllocatePID	Allocate行程代碼	zh_Hant
AmountOfMemory	A數量of記憶體	zh_Hant
ArrayToUint16	A陣列tounsignedinteger16	zh_Hant
ArrayToUint32	A陣列tounsignedinteger32	zh_Hant
ArrayToUint48	A陣列tounsignedinteger48	zh_Hant
ArrayToUint48_BE	A陣列tounsignedinteger48be	zh_Hant
ArrayToUint64	A陣列tounsignedinteger64	zh_Hant
Atime	Atime	zh_Hant
AtimeNsec	Atimensec	zh_Hant
BLOCKS_PER_BYTE	B區塊per位元組	zh_Hant
BLOCK_SIZE	B區塊大小	zh_Hant
Backend	Backend	zh_Hant
BaseAddr	Baseaddress	zh_Hant
Bind	Bind	zh_Hant
Blksize	Blksize	zh_Hant
Blocked	Blocked	zh_Hant
BlockedState	Blocked狀態	zh_Hant
Blocks	B區塊	zh_Hant
BoundRangeExceeded	Boundrangeexceeded	zh_Hant
BroadcastMacAddress	Broadcastmacaddress	zh_Hant
BytesPerSector	B位元組persector	zh_Hant
BytesToString	B位元組to字串	zh_Hant
Checksum	Checksum	zh_Hant
Clear	C清除	zh_Hant
Clone	Clone	zh_Hant
CloneAddressSpaceCOW	Cloneaddress空白cow	zh_Hant
Connect	C連接	zh_Hant
ContainsCoordinate	Containscoordinate	zh_Hant
CopyPageFrameBlock	C複製頁框架區塊	zh_Hant
CpuState	Cpu狀態	zh_Hant
Create	C建立	zh_Hant
CreateFromData	C建立from資料	zh_Hant
CreateFromFunction	C建立from函式	zh_Hant
CreatePtrFromFunction	C建立指標from函式	zh_Hant
Cs	Cs	zh_Hant
Ctime	Ctime	zh_Hant
CtimeNsec	Ctimensec	zh_Hant
CurrentPID	C目前行程代碼	zh_Hant
CurrentParentPID	C目前parent行程代碼	zh_Hant
Data	Data	zh_Hant
Deactivate	D停用	zh_Hant
Deactive	Deactive	zh_Hant
Decrement	Decrement	zh_Hant
Delete	D刪除	zh_Hant
DescriptorPrivilegeLevel	Descriptorprivilegelevel	zh_Hant
DescriptorType	Descriptor類型	zh_Hant
Destroy	D銷毀	zh_Hant
Dev	D裝置	zh_Hant
DeviceHasFunctions	D裝置has函式	zh_Hant
DeviceNotAvailable	D裝置not可用空間	zh_Hant
Device_id	D裝置識別號	zh_Hant
DisableInt	D停用整數	zh_Hant
Disconnect	D斷線	zh_Hant
DivideByZero	D除by零	zh_Hant
DoHandleInterrupt	Do控制把中斷	zh_Hant
DoubleFault	D倍精度故障	zh_Hant
Draw	Draw	zh_Hant
DriverManager	D驅動程式管理器	zh_Hant
Ds	Ds	zh_Hant
Dynamic	D動態	zh_Hant
E2BIG	E2big	zh_Hant
EACCES	Eacces	zh_Hant
EADDRINUSE	Eaddrinuse	zh_Hant
EAFNOSUPPORT	Eafnosupport	zh_Hant
EAGAIN	Eagain	zh_Hant
EBADF	Ebadf	zh_Hant
EBUSY	Ebusy	zh_Hant
ECHILD	Echild	zh_Hant
EEXIST	Eexist	zh_Hant
EFAULT	Efault	zh_Hant
EFBIG	Efbig	zh_Hant
EINTR	Eintr	zh_Hant
EINVAL	Einval	zh_Hant
EIO	Eio	zh_Hant
EISDIR	Eisdir	zh_Hant
EMFILE	Emfile	zh_Hant
EMSGSIZE	Emsgsize	zh_Hant
ENETUNREACH	Enetunreach	zh_Hant
ENFILE	Enfile	zh_Hant
ENODEV	Enodev	zh_Hant
ENOENT	Enoent	zh_Hant
ENOEXEC	Enoexec	zh_Hant
ENOMEM	Enomem	zh_Hant
ENOSPC	Enospc	zh_Hant
ENOSYS	Enosys	zh_Hant
ENOTCONN	Enotconn	zh_Hant
ENOTDIR	Enotdir	zh_Hant
ENOTTY	Enotty	zh_Hant
EOPNOTSUPP	Eopnotsupp	zh_Hant
EPERM	Eperm	zh_Hant
EPROTONOSUPPORT	Eprotonosupport	zh_Hant
ERANGE	Erange	zh_Hant
EROFS	Erofs	zh_Hant
ESPIPE	Espipe	zh_Hant
ESRCH	Esrch	zh_Hant
Eax	Eax	zh_Hant
Ebp	Ebp	zh_Hant
Ebx	Ebx	zh_Hant
Ecx	Ecx	zh_Hant
Edi	Edi	zh_Hant
Edx	Edx	zh_Hant
Eflags	Eflags	zh_Hant
Eip	Eip	zh_Hant
Elf	Elf	zh_Hant
Elf32Dyn	Elf32dyn	zh_Hant
Elf32Note	Elf32備註	zh_Hant
Elf32Rel	Elf32rel	zh_Hant
Elf32Rela	Elf32rela	zh_Hant
Elf32Sym	Elf32sym	zh_Hant
ElfHeader	Elf標頭	zh_Hant
ElfProgramHeader	Elf程式標頭	zh_Hant
ElfSectionHeader	Elf區段標頭	zh_Hant
EnablePaging	E啟用分頁管理	zh_Hant
Enabled	E已啟用	zh_Hant
EntryNumber	E項目數字	zh_Hant
EqualBytes	E相等位元組	zh_Hant
Es	Es	zh_Hant
Esi	Esi	zh_Hant
Esp	Esp	zh_Hant
FPUBuffer	Fpubuffer	zh_Hant
FPUOffset	Fpu位移	zh_Hant
Family	Family	zh_Hant
FileName	F檔案名稱	zh_Hant
Fill	Fill	zh_Hant
FillRectangle	Fill矩形	zh_Hant
First	First	zh_Hant
FirstFree	First剩餘	zh_Hant
FirstFreeSize	First剩餘大小	zh_Hant
Flags	F旗標	zh_Hant
FloatingPointException	F浮動pointexception	zh_Hant
Flush	Flush	zh_Hant
FlushTlsTable	Flushtlstable	zh_Hant
Focussable	Focussable	zh_Hant
Free	F剩餘	zh_Hant
Fs	Fs	zh_Hant
GB	Gb	zh_Hant
GDT_ENTRIES	Gdt項目	zh_Hant
GOT	Got	zh_Hant
GPFException	Gpfexception	zh_Hant
GatewayIP	Gatewayip	zh_Hant
GdtAddressHigh	Gdtaddress高	zh_Hant
GdtAddressLow	Gdtaddress低	zh_Hant
GdtDescriptor	Gdtdescriptor	zh_Hant
