english	localized	language
a	jedan	hr
access	pristup	hr
ack	ack	hr
activate	Aktiviraj	hr
active	Aktivan	hr
add	Dodaj	hr
addend	addend	hr
addr	addr	hr
addralign	addralign	hr
address	address	hr
advanced	Napredno	hr
af	af	hr
after	Poslije	hr
align	Poravnanje	hr
aligned	aligned	hr
alignment	alignment	hr
all	Sve	hr
alloc	alloc	hr
allocate	allocate	hr
allocated	allocated	hr
am	am	hr
amd	amd	hr
amount	Iznos	hr
and	and	hr
append	append	hr
args	args	hr
argument	argument	hr
arguments	Argumenti	hr
arp	arp	hr
arp콘솔	arp콘솔	hr
array	Niz	hr
assembly	assembly	hr
at	at	hr
ata	ata	hr
atime	atime	hr
attachment	attachment	hr
attempts	attempts	hr
attr	attr	hr
attribute	atribut	hr
attributes	Atributi	hr
aux	aux	hr
avail	avail	hr
available	Dostupno	hr
b	b	hr
ba	ba	hr
back	Natrag	hr
backend	backend	hr
backup	backup	hr
bar	bar	hr
base	base	hr
be	be	hr
bh	bh	hr
big	big	hr
bind	bind	hr
bios	bios	hr
bit	bit	hr
bitmap	bitmap	hr
bitmasp	bitmasp	hr
bits	bits	hr
blksize	blksize	hr
block	Blokiraj	hr
blocked	blocked	hr
blocking	blocking	hr
blocks	Blokovi	hr
boot	boot	hr
bootable	bootable	hr
bootloader	bootloader	hr
bound	bound	hr
bpb	bpb	hr
break	break	hr
brk	brk	hr
broadcast	broadcast	hr
buf	buf	hr
buffer	buffer	hr
buffers	Međuspremnici	hr
bufptr	bufptr	hr
bus	bus	hr
button	Dugme	hr
buttons	Dugmad	hr
by	by	hr
byte	byte	hr
bytes	Bajtova	hr
c	N	hr
cache	cache	hr
call	call	hr
candidate	candidate	hr
cap	cap	hr
capable	capable	hr
card	Karte	hr
central	central	hr
char	char	hr
chdir	chdir	hr
check	check	hr
checked	checked	hr
checksum	checksum	hr
child	dijete	hr
chunk	chunk	hr
class	Razred	hr
clear	Očisti	hr
cloexec	cloexec	hr
clone	clone	hr
close	Zatvori	hr
cluster	cluster	hr
cmp	cmp	hr
code	code	hr
col	col	hr
color	Boja	hr
colordepth	colordepth	hr
command	Naredba	hr
commandport	commandport	hr
common	Uobičajeno	hr
component	component	hr
connect	Spojise	hr
connected	connected	hr
console	console	hr
constant	Konstante	hr
contains	contains	hr
contents	Sadržaj	hr
control	Ctrl	hr
controller	controller	hr
coordinate	coordinate	hr
copies	copies	hr
copy	Kopiraj	hr
count	count	hr
cow	cow	hr
cpu	Procesor	hr
cpustate	cpustate	hr
cpy	cpy	hr
cr	cr	hr
creat	creat	hr
create	create	hr
crtc	crtc	hr
cs	cs	hr
ctime	ctime	hr
cur	cur	hr
current	Trenutno	hr
cursor	Pokazivač	hr
cylinder	cylinder	hr
d	R	hr
data	data	hr
databuffer	databuffer	hr
datagram	datagram	hr
dataport	dataport	hr
date	Datum	hr
deactivate	Deaktiviraj	hr
deactive	deactive	hr
debug	debug	hr
decrement	decrement	hr
default	Zadano	hr
delete	Obriši	hr
delta	delta	hr
depth	depth	hr
desc	desc	hr
descr	descr	hr
description	Opis	hr
descriptor	descriptor	hr
descriptors	descriptors	hr
descsz	descsz	hr
destination	Odredište	hr
destroy	Uništi	hr
dev	dev	hr
device	Uređaj	hr
diff	diff	hr
digits	digits	hr
dir	dir	hr
directory	Direktorij	hr
dirent	dirent	hr
disable	Onemogući	hr
discard	discard	hr
disconnect	Odspoji	hr
dispatch	dispatch	hr
divide	divide	hr
divisor	divisor	hr
do	do	hr
domain	Domena	hr
double	Dvostruko	hr
down	Dolje	hr
draw	draw	hr
drive	drive	hr
driver	driver	hr
drivercount	drivercount	hr
drivers	drivers	hr
drv	drv	hr
ds	ds	hr
dst	dst	hr
dstptr	dstptr	hr
dup	dup	hr
dword	dword	hr
dyn	dyn	hr
dynamic	Dinamično	hr
e	I	hr
eacces	eacces	hr
eaddrinuse	eaddrinuse	hr
eafnosupport	eafnosupport	hr
eagain	eagain	hr
eax	eax	hr
ebadf	ebadf	hr
ebp	ebp	hr
ebusy	ebusy	hr
ebx	ebx	hr
echild	echild	hr
echo	echo	hr
ecx	ecx	hr
edi	edi	hr
edx	edx	hr
eexist	eexist	hr
ef	ef	hr
efault	efault	hr
efbig	efbig	hr
eflags	eflags	hr
ehsize	ehsize	hr
eintr	eintr	hr
einval	einval	hr
eio	eio	hr
eip	eip	hr
eisdir	eisdir	hr
elf	elf	hr
emfile	emfile	hr
empty	Prazno	hr
emsgsize	emsgsize	hr
enable	enable	hr
enabled	Omogućeno	hr
end	Kraj	hr
enetunreach	enetunreach	hr
enfile	enfile	hr
enodev	enodev	hr
enoent	enoent	hr
enoexec	enoexec	hr
enomem	enomem	hr
enospc	enospc	hr
enosys	enosys	hr
enotconn	enotconn	hr
enotdir	enotdir	hr
enotty	enotty	hr
ensure	ensure	hr
entries	entries	hr
entry	entry	hr
entrypoint	entrypoint	hr
entsize	entsize	hr
environment	environment	hr
eopnotsupp	eopnotsupp	hr
eperm	eperm	hr
ephemeral	ephemeral	hr
eprotonosupport	eprotonosupport	hr
equal	Jednako	hr
erange	erange	hr
erofs	erofs	hr
err	Greška	hr
error	Greška	hr
errorln	errorln	hr
es	es	hr
esi	esi	hr
esp	esp	hr
espipe	espipe	hr
esrch	esrch	hr
ether	ether	hr
etherframe	etherframe	hr
ethernet	ethernet	hr
event	Događaj	hr
events	events	hr
exceeded	exceeded	hr
except	except	hr
exception	exception	hr
exec	Izvrši	hr
execve	execve	hr
exists	exists	hr
exit	Izađi	hr
exited	exited	hr
ext	ext	hr
extended	extended	hr
f	M	hr
family	family	hr
fat	fat	hr
fatal	fatal	hr
fatbuf	fatbuf	hr
fatbuffer	fatbuffer	hr
fault	fault	hr
fb	fb	hr
fcntl	fcntl	hr
fd	fd	hr
fds	fds	hr
field	field	hr
file	Datoteka	hr
filename	Imedatoteke	hr
files	Datoteke	hr
filesz	filesz	hr
fill	fill	hr
find	Nađi	hr
first	first	hr
fl	fl	hr
flag	Zastava	hr
flags	Zastavice	hr
floating	plutajuće	hr
flush	flush	hr
fn	fn	hr
focus	Fokus	hr
focussable	focussable	hr
foo	foo	hr
for	for	hr
forced	forced	hr
fork	fork	hr
found	found	hr
fp	fp	hr
fpu	fpu	hr
frame	frame	hr
free	Slobodno	hr
frequency	Učestalost	hr
from	from	hr
front	Sprijeda	hr
fs	fs	hr
fstat	fstat	hr
fsync	fsync	hr
fuction	fuction	hr
full	Pun	hr
func	func	hr
function	Funkcija	hr
functions	Funkcije	hr
fxrstor	fxrstor	hr
fxsave	fxsave	hr
g	g	hr
gate	gate	hr
gateway	gateway	hr
gb	gb	hr
gdt	gdt	hr
get	get	hr
getcwd	getcwd	hr
getegid	getegid	hr
geteuid	geteuid	hr
getgid	getgid	hr
getpid	getpid	hr
getppid	getppid	hr
getuid	getuid	hr
gid	gid	hr
global	Opći	hr
got	got	hr
gpf	gpf	hr
gran	gran	hr
graphics	Grafika	hr
grub	grub	hr
gs	gs	hr
h	V	hr
halt	halt	hr
handle	Ručka	hr
handler	handler	hr
