original	localized	language
Activate	Aktiviraj	hr
ActivateAll	AktivirajSve	hr
Active	Aktivan	hr
ActiveInterruptManager	AktivanPrekidmanager	hr
ActiveMemoryManager	AktivanMemorijamanager	hr
Add	Dodaj	hr
AddDriver	Dodajdriver	hr
AddRunnableThread	Dodajrunnablethread	hr
AddTask	DodajZadatak	hr
AddThread	Dodajthread	hr
Address	Address	hr
AlignedMalloc	Alignedmalloc	hr
AlignmentCheck	Alignmentcheck	hr
AllocateBlock	AllocateBlokiraj	hr
AllocatePID	Allocatepid	hr
AmountOfMemory	IznosodMemorija	hr
ArrayToUint16	Niztounsignedinteger16	hr
ArrayToUint32	Niztounsignedinteger32	hr
ArrayToUint48	Niztounsignedinteger48	hr
ArrayToUint48_BE	Niztounsignedinteger48be	hr
ArrayToUint64	Niztounsignedinteger64	hr
Atime	Atime	hr
AtimeNsec	Atimensec	hr
BLOCKS_PER_BYTE	Blokirajperbyte	hr
BLOCK_SIZE	BlokirajVeličina	hr
Backend	Backend	hr
BaseAddr	Baseaddress	hr
Bind	Bind	hr
Blksize	Blksize	hr
Blocked	Blocked	hr
BlockedState	BlockedStanje	hr
Blocks	Blokiraj	hr
BoundRangeExceeded	BoundOpsegexceeded	hr
BroadcastMacAddress	Broadcastmacaddress	hr
BytesPerSector	Bajtovapersector	hr
BytesToString	BajtovatoZnakovniniz	hr
Checksum	Checksum	hr
Clear	Očisti	hr
Clone	Clone	hr
CloneAddressSpaceCOW	CloneaddressRazmaknicacow	hr
Connect	Spojise	hr
ContainsCoordinate	Containscoordinate	hr
CopyPageFrameBlock	KopirajStranicaframeBlokiraj	hr
CpuState	ProcesorStanje	hr
Create	Create	hr
CreateFromData	Createfromdata	hr
CreateFromFunction	CreatefromFunkcija	hr
CreatePtrFromFunction	CreatePokazivačfromFunkcija	hr
Cs	Cs	hr
Ctime	Ctime	hr
CtimeNsec	Ctimensec	hr
CurrentPID	Trenutnopid	hr
CurrentParentPID	Trenutnoroditeljpid	hr
Data	Data	hr
Deactivate	Deaktiviraj	hr
Deactive	Deactive	hr
Decrement	Decrement	hr
Delete	Obriši	hr
DescriptorPrivilegeLevel	Descriptorprivilegelevel	hr
DescriptorType	DescriptorVrsta	hr
Destroy	Uništi	hr
Dev	Uređaj	hr
DeviceHasFunctions	UređajhasFunkcije	hr
DeviceNotAvailable	UređajnotDostupno	hr
Device_id	UređajIdentifikacija	hr
DisableInt	Onemogućiint	hr
Disconnect	Odspoji	hr
DivideByZero	Dividebyzero	hr
DoHandleInterrupt	DoRučkaPrekid	hr
DoubleFault	Dvostrukofault	hr
Draw	Draw	hr
DriverManager	Drivermanager	hr
Ds	Ds	hr
Dynamic	Dinamično	hr
E2BIG	E2big	hr
EACCES	Eacces	hr
EADDRINUSE	Eaddrinuse	hr
EAFNOSUPPORT	Eafnosupport	hr
EAGAIN	Eagain	hr
EBADF	Ebadf	hr
EBUSY	Ebusy	hr
ECHILD	Echild	hr
EEXIST	Eexist	hr
EFAULT	Efault	hr
EFBIG	Efbig	hr
EINTR	Eintr	hr
EINVAL	Einval	hr
EIO	Eio	hr
EISDIR	Eisdir	hr
EMFILE	Emfile	hr
EMSGSIZE	Emsgsize	hr
ENETUNREACH	Enetunreach	hr
ENFILE	Enfile	hr
ENODEV	Enodev	hr
ENOENT	Enoent	hr
ENOEXEC	Enoexec	hr
ENOMEM	Enomem	hr
ENOSPC	Enospc	hr
ENOSYS	Enosys	hr
ENOTCONN	Enotconn	hr
ENOTDIR	Enotdir	hr
ENOTTY	Enotty	hr
EOPNOTSUPP	Eopnotsupp	hr
EPERM	Eperm	hr
EPROTONOSUPPORT	Eprotonosupport	hr
ERANGE	Erange	hr
EROFS	Erofs	hr
ESPIPE	Espipe	hr
ESRCH	Esrch	hr
Eax	Eax	hr
Ebp	Ebp	hr
Ebx	Ebx	hr
Ecx	Ecx	hr
Edi	Edi	hr
Edx	Edx	hr
Eflags	Eflags	hr
Eip	Eip	hr
Elf	Elf	hr
Elf32Dyn	Elf32dyn	hr
Elf32Note	Elf32Bilješka	hr
Elf32Rel	Elf32rel	hr
Elf32Rela	Elf32rela	hr
Elf32Sym	Elf32sym	hr
ElfHeader	Elfheader	hr
ElfProgramHeader	Elfprogramheader	hr
ElfSectionHeader	Elfsectionheader	hr
EnablePaging	Enablepaging	hr
Enabled	Omogućeno	hr
EntryNumber	EntryBROJ	hr
EqualBytes	JednakoBajtova	hr
Es	Es	hr
Esi	Esi	hr
Esp	Esp	hr
FPUBuffer	Fpubuffer	hr
FPUOffset	Fpuoffset	hr
Family	Family	hr
FileName	DatotekaIme	hr
Fill	Fill	hr
FillRectangle	Fillrectangle	hr
First	First	hr
FirstFree	FirstSlobodno	hr
FirstFreeSize	FirstSlobodnoVeličina	hr
Flags	Zastavice	hr
FloatingPointException	Plutajućepointexception	hr
Flush	Flush	hr
FlushTlsTable	FlushtlsTablica	hr
Focussable	Focussable	hr
Free	Slobodno	hr
Fs	Fs	hr
GB	Gb	hr
GDT_ENTRIES	Gdtentry	hr
GOT	Got	hr
GPFException	Gpfexception	hr
GatewayIP	Gatewayip	hr
GdtAddressHigh	GdtaddressVisoko	hr
GdtAddressLow	GdtaddressNIsko	hr
GdtDescriptor	Gdtdescriptor	hr
GdtEntry	Gdtentry_2	hr
GdtSize	GdtVeličina	hr
GetAt	Getat	hr
GetBackend	Getbackend	hr
GetBaseAddressRegister	Getbaseaddressregister	hr
GetBitmaspSize	GetbitmaspVeličina	hr
GetBytesFromPtr	GetBajtovafromPokazivač	hr
GetCR0	Getcr0	hr
GetCR2	Getcr2	hr
GetCR3	Getcr3	hr
GetCR4	Getcr4	hr
GetColorIndex	GetBojaKazalo	hr
GetDeviceDescriptor	GetUređajdescriptor	hr
GetDriver	Getdriver	hr
GetESP0	Getesp0	hr
GetEntry	Getentry	hr
GetFileSize	GetDatotekaVeličina	hr
GetFocus	GetFokus	hr
GetFrameBufferSegment	Getframebuffersegment	hr
GetFuncPtrFromPtr	GetfuncPokazivačfromPokazivač	hr
GetFunctionName	GetFunkcijaIme	hr
GetHandler	Gethandler	hr
GetIPAddress	Getipaddress	hr
GetMACAddress	Getmacaddress	hr
GetMACFromCache	Getmacfromcache	hr
GetNextReadyThread	GetSlijedećeSpremanthread	hr
GetNodeAt	GetČvorat	hr
GetProvider	Providerget	hr
GetSS0	Getss0	hr
GetStr	Getstr	hr
GetUint32ArrayFromPtr	Getunsignedinteger32NizfromPokazivač	hr
GetUintptrArrayFromPtr	GetunsignedintegerPokazivačNizfromPokazivač	hr
GetValue	GetVrijednost	hr
GetValueInPageDir	GetVrijednostPovećajStranicaDirektorij	hr
Gid	Gid	hr
Gs	Gs	hr
HandleException	Ručkaexception	hr
HandleFatalInterruptFrame	RučkafatalPrekidframe	hr
HandleInterrupt	RučkaPrekid	hr
HandleInterrupt1	RučkaPrekid1	hr
HandleUserDatagramProtocolMessage	RučkaKorisnikdatagramprotocolPORUKA	hr
IDT_DESC_PRESENT	IdtdescriptorPrisutno	hr
IDT_INTERRUPT_GATE	IdtPrekidgate	hr
IDriver	IDriver	hr
IEtherFrameHandler	IEthernetframehandler	hr
IInternetProtocolHandler	IInternetprotocolhandler	hr
IInterruptHandler	IPrekidhandler	hr
IKeyboardEventHandler	ITipkovnicaDogađajhandler	hr
IMouseEventHandler	IMišDogađajhandler	hr
IPCIControllerHandler	Ipcicontrollerhandler	hr
IPCache	Ipcache	hr
IP_BE	IpMrežabyteorder	hr
IRawDataHandler	IRawdatahandler	hr
ITimerEventHandler	ITimerDogađajhandler	hr
IUserDatagramProtocolHandler	IKorisnikdatagramprotocolhandler	hr
IUserDatagramProtocolSocket	IKorisnikdatagramprotocolUtorsocket	hr
IWidget	IWidget	hr
Identify	Identify	hr
Increment	Increment	hr
IndexOf	Kazalood	hr
Init	Init	hr
InitDriver	Initdriver	hr
InitialThreadUserJump	InitialthreadKorisnikjump	hr
Ino	Ino	hr
Install	Instaliraj	hr
Interrupt	Prekid	hr
InterruptActive	PrekidAktivan	hr
InterruptDeactive	Prekiddeactive	hr
InterruptManager	Prekidmanager	hr
InterruptNumber	PrekidBROJ	hr
InvalidOpcode	Neispravnoopcode	hr
InvalidTSS	Neispravnotss	hr
IsKernel	Iskernel	hr
IsPresent	IsPrisutno	hr
IsUserSpace	IsKorisnikRazmaknica	hr
KB	Kb	hr
KCS_INDEX	KcsKazalo	hr
