kind	original	reason
concept	allocate_memory	missing whole-phrase translation; English is not a native-language translation
concept	append	missing whole-phrase translation; English is not a native-language translation
concept	bitmap	missing whole-phrase translation; English is not a native-language translation
concept	boot	missing whole-phrase translation; English is not a native-language translation
concept	boot_record	missing whole-phrase translation; English is not a native-language translation
concept	bus	missing whole-phrase translation; English is not a native-language translation
concept	compile_kernel	missing whole-phrase translation; English is not a native-language translation
concept	destination_port	missing whole-phrase translation; English is not a native-language translation
concept	elf	missing whole-phrase translation; English is not a native-language translation
concept	error_number	missing whole-phrase translation; English is not a native-language translation
concept	ethernet_frame	missing whole-phrase translation; English is not a native-language translation
concept	ethernet_header	missing whole-phrase translation; English is not a native-language translation
concept	ethernet_provider	missing whole-phrase translation; English is not a native-language translation
concept	fat_parameters	missing whole-phrase translation; English is not a native-language translation
concept	file_control	missing whole-phrase translation; English is not a native-language translation
concept	file_read	missing whole-phrase translation; English is not a native-language translation
concept	file_status	missing whole-phrase translation; English is not a native-language translation
concept	file_write	missing whole-phrase translation; English is not a native-language translation
concept	free_memory	missing whole-phrase translation; English is not a native-language translation
concept	headers	missing whole-phrase translation; English is not a native-language translation
concept	heap	missing whole-phrase translation; English is not a native-language translation
concept	icmp	missing whole-phrase translation; English is not a native-language translation
concept	implementation	missing whole-phrase translation; English is not a native-language translation
concept	insert_at	missing whole-phrase translation; English is not a native-language translation
concept	internet	missing whole-phrase translation; English is not a native-language translation
concept	ip_provider	missing whole-phrase translation; English is not a native-language translation
concept	ipv4	missing whole-phrase translation; English is not a native-language translation
concept	link_layout	missing whole-phrase translation; English is not a native-language translation
concept	list_node	missing whole-phrase translation; English is not a native-language translation
concept	log_decoder	missing whole-phrase translation; English is not a native-language translation
concept	mouse	missing whole-phrase translation; English is not a native-language translation
concept	page_directory	missing whole-phrase translation; English is not a native-language translation
concept	page_frame	missing whole-phrase translation; English is not a native-language translation
concept	pointer	missing whole-phrase translation; English is not a native-language translation
concept	prepend	missing whole-phrase translation; English is not a native-language translation
concept	register	missing whole-phrase translation; English is not a native-language translation
concept	set_coordinates	missing whole-phrase translation; English is not a native-language translation
concept	source_port	missing whole-phrase translation; English is not a native-language translation
concept	stack	missing whole-phrase translation; English is not a native-language translation
concept	startup	missing whole-phrase translation; English is not a native-language translation
concept	structure_offsets	missing whole-phrase translation; English is not a native-language translation
concept	system_call	missing whole-phrase translation; English is not a native-language translation
concept	tests	missing whole-phrase translation; English is not a native-language translation
concept	toggle_bit	missing whole-phrase translation; English is not a native-language translation
concept	tools	missing whole-phrase translation; English is not a native-language translation
concept	udp	missing whole-phrase translation; English is not a native-language translation
concept	udp_header	missing whole-phrase translation; English is not a native-language translation
concept	udp_socket	missing whole-phrase translation; English is not a native-language translation
concept	user_space	missing whole-phrase translation; English is not a native-language translation
concept	widget	missing whole-phrase translation; English is not a native-language translation
identifier	Activate	existing spelling retained; current-function and linguistic review incomplete
identifier	ActivateAll	existing spelling retained; current-function and linguistic review incomplete
