english	localized	language
a	a	ht
access	access	ht
ack	ack	ht
activate	activate	ht
active	active	ht
add	add	ht
addend	addend	ht
addr	addr	ht
addralign	addralign	ht
address	address	ht
advanced	advanced	ht
af	af	ht
after	after	ht
align	align	ht
aligned	aligned	ht
alignment	alignment	ht
all	all	ht
alloc	alloc	ht
allocate	allocate	ht
allocated	allocated	ht
am	am	ht
amd	amd	ht
amount	amount	ht
and	and	ht
append	append	ht
args	args	ht
argument	argument	ht
arguments	arguments	ht
arp	arp	ht
arp콘솔	arp콘솔	ht
array	array	ht
assembly	assembly	ht
at	at	ht
ata	ata	ht
atime	atime	ht
attachment	attachment	ht
attempts	attempts	ht
attr	attr	ht
attribute	attribute	ht
attributes	attributes	ht
aux	aux	ht
avail	avail	ht
available	available	ht
b	b	ht
ba	ba	ht
back	back	ht
backend	backend	ht
backup	backup	ht
bar	bar	ht
base	base	ht
be	be	ht
bh	bh	ht
big	big	ht
bind	bind	ht
bios	bios	ht
bit	bit	ht
bitmap	bitmap	ht
bitmasp	bitmasp	ht
bits	bits	ht
blksize	blksize	ht
block	block	ht
blocked	blocked	ht
blocking	blocking	ht
blocks	blocks	ht
boot	boot	ht
bootable	bootable	ht
bootloader	bootloader	ht
bound	bound	ht
bpb	bpb	ht
break	break	ht
brk	brk	ht
broadcast	broadcast	ht
buf	buf	ht
buffer	buffer	ht
buffers	buffers	ht
bufptr	bufptr	ht
bus	bus	ht
button	button	ht
buttons	buttons	ht
by	by	ht
byte	byte	ht
bytes	bytes	ht
c	c	ht
cache	cache	ht
call	call	ht
candidate	candidate	ht
cap	cap	ht
capable	capable	ht
card	card	ht
central	central	ht
char	char	ht
chdir	chdir	ht
check	check	ht
checked	checked	ht
checksum	checksum	ht
child	child	ht
chunk	chunk	ht
class	class	ht
clear	clear	ht
cloexec	cloexec	ht
clone	clone	ht
close	close	ht
cluster	cluster	ht
cmp	cmp	ht
code	code	ht
col	col	ht
color	color	ht
colordepth	colordepth	ht
command	command	ht
commandport	commandport	ht
common	common	ht
component	component	ht
connect	connect	ht
connected	connected	ht
console	console	ht
constant	constant	ht
contains	contains	ht
contents	contents	ht
control	control	ht
controller	controller	ht
coordinate	coordinate	ht
copies	copies	ht
copy	copy	ht
count	count	ht
cow	cow	ht
cpu	cpu	ht
cpustate	cpustate	ht
cpy	cpy	ht
cr	cr	ht
creat	creat	ht
create	create	ht
crtc	crtc	ht
cs	cs	ht
ctime	ctime	ht
cur	cur	ht
current	current	ht
cursor	cursor	ht
cylinder	cylinder	ht
d	d	ht
data	data	ht
databuffer	databuffer	ht
datagram	datagram	ht
dataport	dataport	ht
date	Dat	ht
deactivate	deactivate	ht
deactive	deactive	ht
debug	debug	ht
decrement	decrement	ht
default	default	ht
delete	delete	ht
delta	delta	ht
depth	depth	ht
desc	desc	ht
descr	descr	ht
description	description	ht
descriptor	descriptor	ht
descriptors	descriptors	ht
descsz	descsz	ht
destination	destination	ht
destroy	destroy	ht
dev	dev	ht
device	device	ht
diff	diff	ht
digits	digits	ht
dir	dir	ht
directory	directory	ht
dirent	dirent	ht
disable	disable	ht
discard	discard	ht
disconnect	disconnect	ht
dispatch	dispatch	ht
divide	divide	ht
divisor	divisor	ht
do	do	ht
domain	domain	ht
double	double	ht
down	down	ht
draw	draw	ht
drive	drive	ht
driver	driver	ht
drivercount	drivercount	ht
drivers	drivers	ht
drv	drv	ht
ds	ds	ht
dst	dst	ht
dstptr	dstptr	ht
dup	dup	ht
dword	dword	ht
dyn	dyn	ht
dynamic	dynamic	ht
e	e	ht
eacces	eacces	ht
eaddrinuse	eaddrinuse	ht
eafnosupport	eafnosupport	ht
eagain	eagain	ht
eax	eax	ht
ebadf	ebadf	ht
ebp	ebp	ht
ebusy	ebusy	ht
ebx	ebx	ht
echild	echild	ht
echo	echo	ht
ecx	ecx	ht
edi	edi	ht
edx	edx	ht
eexist	eexist	ht
ef	ef	ht
efault	efault	ht
efbig	efbig	ht
eflags	eflags	ht
ehsize	ehsize	ht
eintr	eintr	ht
einval	einval	ht
eio	eio	ht
eip	eip	ht
eisdir	eisdir	ht
elf	elf	ht
emfile	emfile	ht
empty	empty	ht
emsgsize	emsgsize	ht
enable	enable	ht
enabled	enabled	ht
end	end	ht
enetunreach	enetunreach	ht
enfile	enfile	ht
enodev	enodev	ht
enoent	enoent	ht
enoexec	enoexec	ht
enomem	enomem	ht
enospc	enospc	ht
enosys	enosys	ht
enotconn	enotconn	ht
enotdir	enotdir	ht
enotty	enotty	ht
ensure	ensure	ht
entries	entries	ht
entry	entry	ht
entrypoint	entrypoint	ht
entsize	entsize	ht
environment	environment	ht
eopnotsupp	eopnotsupp	ht
eperm	eperm	ht
ephemeral	ephemeral	ht
eprotonosupport	eprotonosupport	ht
equal	equal	ht
erange	erange	ht
erofs	erofs	ht
err	err	ht
error	error	ht
errorln	errorln	ht
es	es	ht
esi	esi	ht
esp	esp	ht
espipe	espipe	ht
esrch	esrch	ht
ether	ether	ht
etherframe	etherframe	ht
ethernet	ethernet	ht
event	event	ht
events	events	ht
exceeded	exceeded	ht
except	except	ht
exception	exception	ht
exec	exec	ht
execve	execve	ht
exists	exists	ht
exit	exit	ht
exited	exited	ht
ext	ext	ht
extended	extended	ht
f	f	ht
family	family	ht
fat	fat	ht
fatal	fatal	ht
fatbuf	fatbuf	ht
fatbuffer	fatbuffer	ht
fault	fault	ht
fb	fb	ht
fcntl	fcntl	ht
fd	fd	ht
fds	fds	ht
field	field	ht
file	file	ht
filename	filename	ht
files	files	ht
filesz	filesz	ht
fill	fill	ht
find	find	ht
first	first	ht
fl	fl	ht
flag	flag	ht
flags	flags	ht
floating	floating	ht
flush	flush	ht
fn	fn	ht
focus	focus	ht
focussable	focussable	ht
foo	foo	ht
for	for	ht
forced	forced	ht
fork	fork	ht
found	found	ht
fp	fp	ht
fpu	fpu	ht
frame	frame	ht
free	free	ht
frequency	frequency	ht
from	from	ht
front	front	ht
fs	fs	ht
fstat	fstat	ht
fsync	fsync	ht
fuction	fuction	ht
full	full	ht
func	func	ht
function	function	ht
functions	functions	ht
fxrstor	fxrstor	ht
fxsave	fxsave	ht
g	g	ht
gate	gate	ht
gateway	gateway	ht
gb	gb	ht
gdt	gdt	ht
get	get	ht
getcwd	getcwd	ht
getegid	getegid	ht
geteuid	geteuid	ht
getgid	getgid	ht
getpid	getpid	ht
getppid	getppid	ht
getuid	getuid	ht
gid	gid	ht
global	global	ht
got	got	ht
gpf	gpf	ht
gran	gran	ht
graphics	graphics	ht
grub	grub	ht
gs	gs	ht
h	h	ht
halt	halt	ht
handle	handle	ht
handler	handler	ht
handlers	handlers	ht
hardware	hardware	ht
has	has	ht
hd	hd	ht
head	head	ht
header	header	ht
headertype	headertype	ht
heap	heap	ht
height	height	ht
helper	helper	ht
hex	hex	ht
hex출력	hex출력	ht
hi	hi	ht
hidden	hidden	ht
high	high	ht
hop	hop	ht
i	i	ht
icmp	icmp	ht
icmp콘솔	icmp콘솔	ht
id	id	ht
ident	ident	ht
identify	identify	ht
idt	idt	ht
idx	idx	ht
ifchr	ifchr	ht
ifdir	ifdir	ht
ifmt	ifmt	ht
ifreg	ifreg	ht
ifsock	ifsock	ht
in	in	ht
increment	increment	ht
index	index	ht
inet	inet	ht
info	info	ht
init	init	ht
initial	initial	ht
initialization	initialization	ht
initialize	initialize	ht
ino	ino	ht
inode	inode	ht
input	input	ht
install	Enstale	ht
int	int	ht
interconnect	interconnect	ht
interface	interface	ht
internet	internet	ht
internetprotocol	internetprotocol	ht
interrupt	interrupt	ht
interrupts	interrupts	ht
invalid	invalid	ht
io	io	ht
iomap	iomap	ht
ip	ip	ht
ipci	ipci	ht
ipmessage	ipmessage	ht
ipv	ipv	ht
ip콘솔	ip콘솔	ht
iret	iret	ht
is	is	ht
ist	ist	ht
j	j	ht
jmp	jmp	ht
jump	jump	ht
k	k	ht
kb	kb	ht
kcs	kcs	ht
kds	kds	ht
kernel	kernel	ht
key	key	ht
keyboard	keyboard	ht
kgs	kgs	ht
kind	kind	ht
