original	localized	language
Activate	Activate	ht
ActivateAll	Activateall	ht
Active	Active	ht
ActiveInterruptManager	Activeinterruptmanager	ht
ActiveMemoryManager	Activememorymanager	ht
Add	Add	ht
AddDriver	Adddriver	ht
AddRunnableThread	Addrunnablethread	ht
AddTask	Addtask	ht
AddThread	Addthread	ht
Address	Address	ht
AlignedMalloc	Alignedmalloc	ht
AlignmentCheck	Alignmentcheck	ht
AllocateBlock	Allocateblock	ht
AllocatePID	Allocatepid	ht
AmountOfMemory	Amountofmemory	ht
ArrayToUint16	Arraytounsignedinteger16	ht
ArrayToUint32	Arraytounsignedinteger32	ht
ArrayToUint48	Arraytounsignedinteger48	ht
ArrayToUint48_BE	Arraytounsignedinteger48be	ht
ArrayToUint64	Arraytounsignedinteger64	ht
Atime	Atime	ht
AtimeNsec	Atimensec	ht
BLOCKS_PER_BYTE	Blockperbyte	ht
BLOCK_SIZE	Blocksize	ht
Backend	Backend	ht
BaseAddr	Baseaddress	ht
Bind	Bind	ht
Blksize	Blksize	ht
Blocked	Blocked	ht
BlockedState	Blockedstate	ht
Blocks	Block	ht
BoundRangeExceeded	Boundrangeexceeded	ht
BroadcastMacAddress	Broadcastmacaddress	ht
BytesPerSector	Bytespersector	ht
BytesToString	Bytestostring	ht
Checksum	Checksum	ht
Clear	Clear	ht
Clone	Clone	ht
CloneAddressSpaceCOW	Cloneaddressspacecow	ht
Connect	Connect	ht
ContainsCoordinate	Containscoordinate	ht
CopyPageFrameBlock	Copypageframeblock	ht
CpuState	Cpustate	ht
Create	Create	ht
CreateFromData	Createfromdata	ht
CreateFromFunction	Createfromfunction	ht
CreatePtrFromFunction	Createpointerfromfunction	ht
Cs	Cs	ht
Ctime	Ctime	ht
CtimeNsec	Ctimensec	ht
CurrentPID	Currentpid	ht
CurrentParentPID	Currentparentpid	ht
Data	Data	ht
Deactivate	Deactivate	ht
Deactive	Deactive	ht
Decrement	Decrement	ht
Delete	Delete	ht
DescriptorPrivilegeLevel	Descriptorprivilegelevel	ht
DescriptorType	Descriptortype	ht
Destroy	Destroy	ht
Dev	Device	ht
DeviceHasFunctions	Devicehasfunctions	ht
DeviceNotAvailable	Devicenotavailable	ht
Device_id	Deviceid	ht
DisableInt	Disableint	ht
Disconnect	Disconnect	ht
DivideByZero	Dividebyzero	ht
DoHandleInterrupt	Dohandleinterrupt	ht
DoubleFault	Doublefault	ht
Draw	Draw	ht
DriverManager	Drivermanager	ht
Ds	Ds	ht
Dynamic	Dynamic	ht
E2BIG	E2big	ht
EACCES	Eacces	ht
EADDRINUSE	Eaddrinuse	ht
EAFNOSUPPORT	Eafnosupport	ht
EAGAIN	Eagain	ht
EBADF	Ebadf	ht
EBUSY	Ebusy	ht
ECHILD	Echild	ht
EEXIST	Eexist	ht
EFAULT	Efault	ht
EFBIG	Efbig	ht
EINTR	Eintr	ht
EINVAL	Einval	ht
EIO	Eio	ht
EISDIR	Eisdir	ht
EMFILE	Emfile	ht
EMSGSIZE	Emsgsize	ht
ENETUNREACH	Enetunreach	ht
ENFILE	Enfile	ht
ENODEV	Enodev	ht
ENOENT	Enoent	ht
ENOEXEC	Enoexec	ht
ENOMEM	Enomem	ht
ENOSPC	Enospc	ht
ENOSYS	Enosys	ht
ENOTCONN	Enotconn	ht
ENOTDIR	Enotdir	ht
ENOTTY	Enotty	ht
EOPNOTSUPP	Eopnotsupp	ht
EPERM	Eperm	ht
EPROTONOSUPPORT	Eprotonosupport	ht
ERANGE	Erange	ht
EROFS	Erofs	ht
ESPIPE	Espipe	ht
ESRCH	Esrch	ht
Eax	Eax	ht
Ebp	Ebp	ht
Ebx	Ebx	ht
Ecx	Ecx	ht
Edi	Edi	ht
Edx	Edx	ht
Eflags	Eflags	ht
Eip	Eip	ht
Elf	Elf	ht
Elf32Dyn	Elf32dyn	ht
Elf32Note	Elf32note	ht
Elf32Rel	Elf32rel	ht
Elf32Rela	Elf32rela	ht
Elf32Sym	Elf32sym	ht
ElfHeader	Elfheader	ht
ElfProgramHeader	Elfprogramheader	ht
ElfSectionHeader	Elfsectionheader	ht
EnablePaging	Enablepaging	ht
Enabled	Enabled	ht
EntryNumber	Entrynumber	ht
EqualBytes	Equalbytes	ht
Es	Es	ht
Esi	Esi	ht
Esp	Esp	ht
FPUBuffer	Fpubuffer	ht
FPUOffset	Fpuoffset	ht
Family	Family	ht
FileName	Filename	ht
Fill	Fill	ht
FillRectangle	Fillrectangle	ht
First	First	ht
FirstFree	Firstfree	ht
FirstFreeSize	Firstfreesize	ht
Flags	Flags	ht
FloatingPointException	Floatingpointexception	ht
Flush	Flush	ht
FlushTlsTable	Flushtlstable	ht
Focussable	Focussable	ht
Free	Free	ht
Fs	Fs	ht
GB	Gb	ht
GDT_ENTRIES	Gdtentry	ht
GOT	Got	ht
GPFException	Gpfexception	ht
GatewayIP	Gatewayip	ht
GdtAddressHigh	Gdtaddresshigh	ht
GdtAddressLow	Gdtaddresslow	ht
GdtDescriptor	Gdtdescriptor	ht
GdtEntry	Gdtentry_2	ht
GdtSize	Gdtsize	ht
GetAt	Getat	ht
GetBackend	Getbackend	ht
GetBaseAddressRegister	Getbaseaddressregister	ht
GetBitmaspSize	Getbitmaspsize	ht
GetBytesFromPtr	Getbytesfrompointer	ht
GetCR0	Getcr0	ht
GetCR2	Getcr2	ht
GetCR3	Getcr3	ht
GetCR4	Getcr4	ht
GetColorIndex	Getcolorindex	ht
GetDeviceDescriptor	Getdevicedescriptor	ht
GetDriver	Getdriver	ht
GetESP0	Getesp0	ht
GetEntry	Getentry	ht
GetFileSize	Getfilesize	ht
GetFocus	Getfocus	ht
GetFrameBufferSegment	Getframebuffersegment	ht
GetFuncPtrFromPtr	Getfuncpointerfrompointer	ht
GetFunctionName	Getfunctionname	ht
GetHandler	Gethandler	ht
GetIPAddress	Getipaddress	ht
GetMACAddress	Getmacaddress	ht
GetMACFromCache	Getmacfromcache	ht
GetNextReadyThread	Getnextreadythread	ht
GetNodeAt	Getnodeat	ht
GetProvider	Providerget	ht
GetSS0	Getss0	ht
GetStr	Getstr	ht
GetUint32ArrayFromPtr	Getunsignedinteger32arrayfrompointer	ht
GetUintptrArrayFromPtr	Getunsignedintegerpointerarrayfrompointer	ht
GetValue	Getvalue	ht
GetValueInPageDir	Getvalueinpagedirectory	ht
Gid	Gid	ht
Gs	Gs	ht
HandleException	Handleexception	ht
HandleFatalInterruptFrame	Handlefatalinterruptframe	ht
HandleInterrupt	Handleinterrupt	ht
HandleInterrupt1	Handleinterrupt1	ht
HandleUserDatagramProtocolMessage	Handleuserdatagramprotocolmessage	ht
IDT_DESC_PRESENT	Idtdescriptorpresent	ht
IDT_INTERRUPT_GATE	Idtinterruptgate	ht
IDriver	IDriver	ht
IEtherFrameHandler	IEthernetframehandler	ht
IInternetProtocolHandler	IInternetprotocolhandler	ht
IInterruptHandler	IInterrupthandler	ht
IKeyboardEventHandler	IKeyboardeventhandler	ht
IMouseEventHandler	IMouseeventhandler	ht
IPCIControllerHandler	Ipcicontrollerhandler	ht
IPCache	Ipcache	ht
IP_BE	Ipnetworkbyteorder	ht
IRawDataHandler	IRawdatahandler	ht
ITimerEventHandler	ITimereventhandler	ht
IUserDatagramProtocolHandler	IUserdatagramprotocolhandler	ht
IUserDatagramProtocolSocket	IUserdatagramprotocolsocket	ht
IWidget	IWidget	ht
Identify	Identify	ht
Increment	Increment	ht
IndexOf	Indexof	ht
Init	Init	ht
InitDriver	Initdriver	ht
InitialThreadUserJump	Initialthreaduserjump	ht
Ino	Ino	ht
Install	Enstale	ht
Interrupt	Interrupt	ht
InterruptActive	Interruptactive	ht
InterruptDeactive	Interruptdeactive	ht
InterruptManager	Interruptmanager	ht
