function	native_identifier	implementation	limits
_exit	_exit	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
read	Olvasás	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
write	Írás	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
close	Bezárás	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
lseek	lseek	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fork	fork	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
execve	execve	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getpid	getpid	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getppid	getppid	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getuid	getuid	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
geteuid	geteuid	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getgid	getgid	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getegid	getegid	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
access	access	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
chdir	chdir	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getcwd	getcwd	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
dup	dup	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
dup2	dup2	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fsync	fsync	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
sync	sync	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
isatty	isatty	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
brk	brk	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
sbrk	sbrk	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
waitpid	waitpid	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
wait	wait	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
open	Megnyitás	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
creat	creat	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fcntl	fcntl	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
stat	stat	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
lstat	lstat	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fstat	fstat	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
uname	uname	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
htons	htons	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
ntohs	ntohs	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
htonl	htonl	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
ntohl	ntohl	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
socket	socket	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
bind	bind	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
connect	connect	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
