original	localized	language
Activate	Aktiválás	hu
ActivateAll	AktiválásÖsszes	hu
Active	Aktív	hu
ActiveInterruptManager	AktívMegszakításmanager	hu
ActiveMemoryManager	AktívMemóriamanager	hu
Add	Hozzáadás	hu
AddDriver	Hozzáadásdriver	hu
AddRunnableThread	Hozzáadásrunnablethread	hu
AddTask	HozzáadásFeladat	hu
AddThread	Hozzáadásthread	hu
Address	Address	hu
AlignedMalloc	Alignedmalloc	hu
AlignmentCheck	Alignmentcheck	hu
AllocateBlock	AllocateBlokk	hu
AllocatePID	Allocatepid	hu
AmountOfMemory	MennyiségofMemória	hu
ArrayToUint16	Tömbtounsignedinteger16	hu
ArrayToUint32	Tömbtounsignedinteger32	hu
ArrayToUint48	Tömbtounsignedinteger48	hu
ArrayToUint48_BE	Tömbtounsignedinteger48be	hu
ArrayToUint64	Tömbtounsignedinteger64	hu
Atime	Atime	hu
AtimeNsec	Atimensec	hu
BLOCKS_PER_BYTE	Blokkperbyte	hu
BLOCK_SIZE	BlokkMéret	hu
Backend	Backend	hu
BaseAddr	Baseaddress	hu
Bind	Bind	hu
Blksize	Blksize	hu
Blocked	Blocked	hu
BlockedState	BlockedÁllapot	hu
Blocks	Blokk	hu
BoundRangeExceeded	BoundTartományexceeded	hu
BroadcastMacAddress	Broadcastmacaddress	hu
BytesPerSector	Bájtpersector	hu
BytesToString	BájttoKarakterlánc	hu
Checksum	Checksum	hu
Clear	Törlés	hu
Clone	Clone	hu
CloneAddressSpaceCOW	CloneaddressSzóközcow	hu
Connect	Kapcsolódás	hu
ContainsCoordinate	Containscoordinate	hu
CopyPageFrameBlock	MásolásOldalKeretBlokk	hu
CpuState	CpuÁllapot	hu
Create	Create	hu
CreateFromData	Createfromdata	hu
CreateFromFunction	CreatefromFüggvény	hu
CreatePtrFromFunction	CreateMutatófromFüggvény	hu
Cs	Cs	hu
Ctime	Ctime	hu
CtimeNsec	Ctimensec	hu
CurrentPID	Jelenlegipid	hu
CurrentParentPID	Jelenlegiparentpid	hu
Data	Data	hu
Deactivate	Deaktiválás	hu
Deactive	Deactive	hu
Decrement	Decrement	hu
Delete	Törlés_2	hu
DescriptorPrivilegeLevel	Descriptorprivilegelevel	hu
DescriptorType	DescriptorTípus	hu
Destroy	Megsemmisítés	hu
Dev	Eszköz	hu
