original	before	after	review_status	concept	changed_tokens
Activate	Aktiválás	Aktiválás	existing-unreviewed		0
ActivateAll	AktiválásÖsszes	AktiválásÖsszes	existing-unreviewed		0
Active	Aktív	Aktív	existing-unreviewed		0
ActiveInterruptManager	AktívMegszakításmanager	AktívMegszakításmanager	existing-unreviewed		0
ActiveMemoryManager	AktívMemóriamanager	AktívMemóriamanager	existing-unreviewed		0
Add	Hozzáadás	Hozzáadás	existing-unreviewed		0
AddDriver	Hozzáadásdriver	Hozzáadásdriver	existing-unreviewed		0
AddRunnableThread	Hozzáadásrunnablethread	Hozzáadásrunnablethread	existing-unreviewed		0
AddTask	HozzáadásFeladat	HozzáadásFeladat	existing-unreviewed		0
AddThread	Hozzáadásthread	Hozzáadásthread	existing-unreviewed		0
Address	Address	Address	existing-unreviewed		0
AlignedMalloc	Alignedmalloc	Alignedmalloc	existing-unreviewed		0
AlignmentCheck	Alignmentcheck	Alignmentcheck	existing-unreviewed		0
AllocateBlock	AllocateBlokk	AllocateBlokk	existing-unreviewed		0
AllocatePID	Allocatepid	Allocatepid	existing-unreviewed		0
AmountOfMemory	MennyiségofMemória	MennyiségofMemória	existing-unreviewed		0
ArrayToUint16	Tömbtounsignedinteger16	Tömbtounsignedinteger16	existing-unreviewed		0
ArrayToUint32	Tömbtounsignedinteger32	Tömbtounsignedinteger32	existing-unreviewed		0
ArrayToUint48	Tömbtounsignedinteger48	Tömbtounsignedinteger48	existing-unreviewed		0
ArrayToUint48_BE	Tömbtounsignedinteger48be	Tömbtounsignedinteger48be	existing-unreviewed		0
ArrayToUint64	Tömbtounsignedinteger64	Tömbtounsignedinteger64	existing-unreviewed		0
Atime	Atime	Atime	existing-unreviewed		0
AtimeNsec	Atimensec	Atimensec	existing-unreviewed		0
BLOCKS_PER_BYTE	Blokkperbyte	Blokkperbyte	existing-unreviewed		0
BLOCK_SIZE	BlokkMéret	BlokkMéret	existing-unreviewed		0
Backend	Backend	Backend	existing-unreviewed		0
BaseAddr	Baseaddress	Baseaddress	existing-unreviewed		0
Bind	Bind	Bind	existing-unreviewed		0
Blksize	Blksize	Blksize	existing-unreviewed		0
Blocked	Blocked	Blocked	existing-unreviewed		0
BlockedState	BlockedÁllapot	BlockedÁllapot	existing-unreviewed		0
Blocks	Blokk	Blokk	existing-unreviewed		0
BoundRangeExceeded	BoundTartományexceeded	BoundTartományexceeded	existing-unreviewed		0
BroadcastMacAddress	Broadcastmacaddress	Broadcastmacaddress	existing-unreviewed		0
BytesPerSector	Bájtpersector	Bájtpersector	existing-unreviewed		0
BytesToString	BájttoKarakterlánc	BájttoKarakterlánc	existing-unreviewed		0
Checksum	Checksum	Checksum	existing-unreviewed		0
Clear	Törlés	Törlés	existing-unreviewed		0
Clone	Clone	Clone	existing-unreviewed		0
CloneAddressSpaceCOW	CloneaddressSzóközcow	CloneaddressSzóközcow	existing-unreviewed		0
Connect	Kapcsolódás	Kapcsolódás	existing-unreviewed		0
ContainsCoordinate	Containscoordinate	Containscoordinate	existing-unreviewed		0
CopyPageFrameBlock	MásolásOldalKeretBlokk	MásolásOldalKeretBlokk	existing-unreviewed		0
CpuState	CpuÁllapot	CpuÁllapot	existing-unreviewed		0
Create	Create	Create	existing-unreviewed		0
CreateFromData	Createfromdata	Createfromdata	existing-unreviewed		0
CreateFromFunction	CreatefromFüggvény	CreatefromFüggvény	existing-unreviewed		0
CreatePtrFromFunction	CreateMutatófromFüggvény	CreateMutatófromFüggvény	existing-unreviewed		0
Cs	Cs	Cs	existing-unreviewed		0
Ctime	Ctime	Ctime	existing-unreviewed		0
CtimeNsec	Ctimensec	Ctimensec	existing-unreviewed		0
CurrentPID	Jelenlegipid	Jelenlegipid	existing-unreviewed		0
CurrentParentPID	Jelenlegiparentpid	Jelenlegiparentpid	existing-unreviewed		0
Data	Data	Data	compatibility		0
Deactivate	Deaktiválás	Deaktiválás	existing-unreviewed		0
Deactive	Deactive	Deactive	existing-unreviewed		0
Decrement	Decrement	Decrement	existing-unreviewed		0
Delete	Törlés_2	Törlés_2	existing-unreviewed		0
DescriptorPrivilegeLevel	Descriptorprivilegelevel	Descriptorprivilegelevel	existing-unreviewed		0
DescriptorType	DescriptorTípus	DescriptorTípus	existing-unreviewed		0
Destroy	Megsemmisítés	Megsemmisítés	existing-unreviewed		0
Dev	Eszköz	Eszköz	existing-unreviewed		0
DeviceHasFunctions	EszközHasDistrictFüggvények	EszközHasDistrictFüggvények	existing-unreviewed		0
DeviceNotAvailable	EszközNemElérhető	EszközNemElérhető	existing-unreviewed		0
Device_id	EszközAzonosító	EszközAzonosító	existing-unreviewed		0
DisableInt	LetiltvaEgész	LetiltvaEgész	existing-unreviewed		0
Disconnect	Bontás	Bontás	existing-unreviewed		0
DivideByZero	OsztásbyNulla	OsztásbyNulla	existing-unreviewed		0
DoHandleInterrupt	DoFogantyúMegszakítás	DoFogantyúMegszakítás	existing-unreviewed		0
DoubleFault	Duplafault	Duplafault	existing-unreviewed		0
Draw	Draw	Draw	existing-unreviewed		0
DriverManager	Drivermanager	Drivermanager	existing-unreviewed		0
Ds	Ds	Ds	existing-unreviewed		0
Dynamic	Dinamikus	Dinamikus	existing-unreviewed		0
E2BIG	E2Nagy	E2Nagy	existing-unreviewed		0
EACCES	Eacces	Eacces	existing-unreviewed		0
EADDRINUSE	Eaddrinuse	Eaddrinuse	existing-unreviewed		0
EAFNOSUPPORT	Eafnosupport	Eafnosupport	existing-unreviewed		0
EAGAIN	Eagain	Eagain	existing-unreviewed		0
EBADF	Ebadf	Ebadf	existing-unreviewed		0
EBUSY	Ebusy	Ebusy	existing-unreviewed		0
ECHILD	Echild	Echild	existing-unreviewed		0
EEXIST	Eexist	Eexist	existing-unreviewed		0
EFAULT	Efault	Efault	existing-unreviewed		0
EFBIG	Efbig	Efbig	existing-unreviewed		0
EINTR	Eintr	Eintr	existing-unreviewed		0
EINVAL	Einval	Einval	existing-unreviewed		0
EIO	Eio	Eio	existing-unreviewed		0
EISDIR	Eisdir	Eisdir	existing-unreviewed		0
EMFILE	Emfile	Emfile	existing-unreviewed		0
EMSGSIZE	Emsgsize	Emsgsize	existing-unreviewed		0
ENETUNREACH	Enetunreach	Enetunreach	existing-unreviewed		0
ENFILE	Enfile	Enfile	existing-unreviewed		0
ENODEV	Enodev	Enodev	existing-unreviewed		0
ENOENT	Enoent	Enoent	existing-unreviewed		0
ENOEXEC	Enoexec	Enoexec	existing-unreviewed		0
