english	localized	language
a	a	id
access	akses	id
ack	ack	id
activate	Aktifkan	id
active	Aktif	id
add	Tambah	id
addend	addend	id
addr	addr	id
addralign	addralign	id
address	address	id
advanced	Lanjutan	id
af	af	id
after	after	id
align	Alinea	id
aligned	aligned	id
alignment	alignment	id
all	Semua	id
alloc	alloc	id
allocate	allocate	id
allocated	allocated	id
am	am	id
amd	amd	id
amount	Jumlah	id
and	dan	id
append	append	id
args	args	id
argument	argument	id
arguments	arguments	id
arp	arp	id
arp콘솔	arp콘솔	id
array	Jajaran	id
assembly	assembly	id
at	at	id
ata	ata	id
atime	atime	id
attachment	attachment	id
attempts	attempts	id
attr	attr	id
attribute	atribut	id
attributes	Atribut	id
aux	aux	id
avail	avail	id
available	Tersedia	id
b	b	id
ba	ba	id
back	Kembali	id
backend	backend	id
backup	backup	id
bar	Batang	id
base	base	id
be	be	id
bh	bh	id
big	big	id
bind	bind	id
bios	bios	id
bit	bit	id
bitmap	bitmap	id
bitmasp	bitmasp	id
bits	bit	id
blksize	blksize	id
block	Blok	id
blocked	blocked	id
blocking	blocking	id
blocks	SusunBalok	id
boot	boot	id
bootable	bootable	id
bootloader	bootloader	id
bound	bound	id
bpb	bpb	id
break	break	id
brk	brk	id
broadcast	broadcast	id
buf	buf	id
buffer	buffer	id
buffers	Penyangga	id
bufptr	bufptr	id
bus	bus	id
button	Tombol	id
buttons	Tombol	id
by	by	id
byte	byte	id
bytes	Byte	id
c	c	id
cache	cache	id
call	call	id
candidate	candidate	id
cap	cap	id
capable	capable	id
card	Kartu	id
central	central	id
char	char	id
chdir	chdir	id
check	check	id
checked	checked	id
checksum	checksum	id
child	anak	id
chunk	chunk	id
class	Kelas	id
clear	Bersihkan	id
cloexec	cloexec	id
clone	clone	id
close	Tutup	id
cluster	cluster	id
cmp	cmp	id
code	code	id
col	col	id
color	Warna	id
colordepth	colordepth	id
command	Perintah	id
commandport	commandport	id
common	umum	id
component	component	id
connect	Sambung	id
connected	connected	id
console	console	id
constant	constant	id
contains	contains	id
contents	Isi	id
control	Kontrol	id
controller	controller	id
coordinate	coordinate	id
copies	copies	id
copy	Salin	id
count	count	id
cow	cow	id
cpu	cpu	id
cpustate	cpustate	id
cpy	cpy	id
cr	cr	id
creat	creat	id
create	create	id
crtc	crtc	id
cs	cs	id
ctime	ctime	id
cur	cur	id
current	Sekarang	id
cursor	Kursor	id
cylinder	cylinder	id
d	d	id
data	data	id
databuffer	databuffer	id
datagram	datagram	id
dataport	dataport	id
date	Tanggal	id
deactivate	Matikan	id
deactive	deactive	id
