before	after
asm/constant.inc	awal_mesin/constant.inc
asm/gdt.inc	awal_mesin/gdt.inc
asm/goasmoffset.inc	awal_mesin/goasmoffset.inc
asm/multibootheader.s	awal_mesin/multibootheader.s
asm/rt0.s	awal_mesin/rt0.s
go.sh	kompilasi_inti.sh
linker.ld	tata_letak_penautan.ld
src/berkasSistem/elf/elf.go	src/berkasSistem/format_eksekusi_dan_penautan/format_eksekusi_dan_penautan.go
src/berkasSistem/elf/elfheader.go	src/berkasSistem/format_eksekusi_dan_penautan/elfheader.go
src/berkasSistem/elf/elfsection.go	src/berkasSistem/format_eksekusi_dan_penautan/elfsection.go
src/berkasSistem/elf/tautmap.go	src/berkasSistem/format_eksekusi_dan_penautan/tautmap.go
src/driver/tetikus/tetikus.go	src/driver/perangkat_penunjuk/perangkat_penunjuk.go
src/ethernetBingkai/ethernetBingkai.go	src/bingkai_jaringan_media_bersama/bingkai_jaringan_media_bersama.go
src/icmp/icmp.go	src/protokol_pesan_kendali_jaringan_saling_terhubung/protokol_pesan_kendali_jaringan_saling_terhubung.go
src/ipv4/ipv4.go	src/protokol_jaringan_saling_terhubung_4/protokol_jaringan_saling_terhubung_4.go
src/udp/udp.go	src/protokol_datagram_pengguna/protokol_datagram_pengguna.go
src/widget/widget.go	src/unsur_layar/unsur_layar.go
tools/decode-virtualbox-log.sh	alat/urai_catatan_serial.sh
tools/offsets.go	alat/ofset_struktur.go
userland/posix/Makefile	ruang_pengguna/posix/Makefile
userland/posix/TEST_RESULTS.md	ruang_pengguna/posix/TEST_RESULTS.md
userland/posix/include/arpa/inet.h	ruang_pengguna/posix/deklarasi/arpa/inet.h
userland/posix/include/engos/syscall.h	ruang_pengguna/posix/deklarasi/engos/syscall.h
userland/posix/include/errno.h	ruang_pengguna/posix/deklarasi/errno.h
userland/posix/include/fcntl.h	ruang_pengguna/posix/deklarasi/fcntl.h
userland/posix/include/netinet/in.h	ruang_pengguna/posix/deklarasi/netinet/in.h
userland/posix/include/stddef.h	ruang_pengguna/posix/deklarasi/stddef.h
userland/posix/include/stdint.h	ruang_pengguna/posix/deklarasi/stdint.h
userland/posix/include/sys/socket.h	ruang_pengguna/posix/deklarasi/sys/socket.h
userland/posix/include/sys/stat.h	ruang_pengguna/posix/deklarasi/sys/stat.h
userland/posix/include/sys/types.h	ruang_pengguna/posix/deklarasi/sys/types.h
userland/posix/include/sys/utsname.h	ruang_pengguna/posix/deklarasi/sys/utsname.h
userland/posix/include/sys/wait.h	ruang_pengguna/posix/deklarasi/sys/wait.h
userland/posix/include/unistd.h	ruang_pengguna/posix/deklarasi/unistd.h
userland/posix/linker.ld	ruang_pengguna/posix/tata_letak_penautan.ld
userland/posix/src/crt0.S	ruang_pengguna/posix/implementasi/awal.S
userland/posix/src/errno.c	ruang_pengguna/posix/implementasi/nomor_galat.c
userland/posix/src/fcntl.c	ruang_pengguna/posix/implementasi/kendali_berkas.c
userland/posix/src/socket.c	ruang_pengguna/posix/implementasi/socket.c
userland/posix/src/stat.c	ruang_pengguna/posix/implementasi/status_berkas.c
userland/posix/src/syscall.S	ruang_pengguna/posix/implementasi/panggilan_sistem.S
userland/posix/src/unistd.c	ruang_pengguna/posix/implementasi/unistd.c
userland/posix/tests/compile.c	ruang_pengguna/posix/pengujian/compile.c
userland/posix/tests/exec_runtime.c	ruang_pengguna/posix/pengujian/exec_runtime.c
userland/posix/tests/exec_target.c	ruang_pengguna/posix/pengujian/exec_target.c
userland/posix/tests/fork_runtime.c	ruang_pengguna/posix/pengujian/fork_runtime.c
userland/posix/tests/heap_runtime.c	ruang_pengguna/posix/pengujian/heap_runtime.c
userland/posix/tests/runtime.c	ruang_pengguna/posix/pengujian/runtime.c
userland/posix/tests/socket_runtime.c	ruang_pengguna/posix/pengujian/socket_runtime.c
userland/posix/tests/stdin_runtime.c	ruang_pengguna/posix/pengujian/stdin_runtime.c
