compiler_file	native_file
Makefile	compiler.mk.in
include/arpa/inet.h	include/संचार_पता_परिवर्तन/अष्टक_क्रम.h
include/sys/syscall.h	include/प्रणाली/syscall.h
include/errno.h	include/errno.h
include/fcntl.h	include/fcntl.h
include/netinet/in.h	include/अंतरजाल/पता.h
include/stddef.h	include/मूल_परिभाषाएँ.h
include/stdint.h	include/पूर्णांक_प्रकार.h
include/sys/socket.h	include/प्रणाली/socket.h
include/sys/stat.h	include/प्रणाली/stat.h
include/sys/types.h	include/प्रणाली/आँकड़ा_प्रकार.h
include/sys/utsname.h	include/प्रणाली/प्रणाली_पहचान.h
include/sys/wait.h	include/प्रणाली/संतान_प्रतीक्षा.h
include/unistd.h	include/unistd.h
linker.ld	linker.ld
src/crt0.S	src/crt0.S
src/errno.c	src/errno.c
src/fcntl.c	src/fcntl.c
src/socket.c	src/socket.c
src/stat.c	src/stat.c
src/syscall.S	src/syscall.S
src/unistd.c	src/unistd.c
tests/compile.c	tests/संकलन_जाँच.c
tests/exec_runtime.c	tests/कार्यक्रम_प्रतिस्थापन_परीक्षण.c
tests/exec_target.c	tests/प्रतिस्थापन_लक्ष्य.c
tests/fork_runtime.c	tests/प्रक्रिया_शाखा_परीक्षण.c
tests/heap_runtime.c	tests/गतिशील_स्मृति_परीक्षण.c
tests/runtime.c	tests/निष्पादन_परीक्षण.c
tests/socket_runtime.c	tests/संचार_छोर_परीक्षण.c
tests/stdin_runtime.c	tests/मानक_निवेश_परीक्षण.c
include/ctype.h	include/ctype.h
include/limits.h	include/limits.h
include/stdlib.h	include/stdlib.h
include/string.h	include/string.h
include/strings.h	include/strings.h
src/allocation.c	src/allocation.c
src/ctype.c	src/ctype.c
src/stdlib.c	src/stdlib.c
src/string.c	src/string.c
tests/library.c	tests/library.c
tests/library_main.c	tests/library_main.c
tests/probe.c	tests/probe.c
