compiler_identifier	native_identifier
AF_INET	अंतरजाल_पता_परिवार_संकेत
AF_UNSPEC	अनिर्दिष्ट_पता_परिवार
INADDR_ANY	कोई_भी_स्थानीय_पता
INADDR_LOOPBACK	स्वयं_वापसी_पता
IPPROTO_IP	मूल_अंतरजाल_नियम
IPPROTO_UDP	उपयोगकर्ता_आँकड़ा_संदेश_नियम
PF_INET	अंतरजाल_नियम_परिवार
SC_accept	SC_जुड़ाव_स्वीकार_करना
SC_bind	SC_स्थानीय_पता_बाँधना
SC_connect	SC_दूसरे_छोर_से_जुड़ना
SC_getpeername	SC_दूसरे_छोर_का_पता_पाना
SC_getsockname	SC_स्थानीय_छोर_पता_पाना
SC_listen	SC_जुड़ाव_अनुरोध_के_लिए_तैयार_होना
SC_recv	SC_प्राप्त_करना
SC_recvfrom	SC_प्रेषक_पते_सहित_प्राप्त_करना
SC_send	SC_भेजना
SC_sendto	SC_गंतव्य_पर_भेजना
SC_setsockopt	SC_संचार_छोर_विकल्प_निर्धारित_करना
SC_shutdown	SC_संचार_दिशा_बंद_करना
SC_socket	SC_संचार_छोर_बनाना
SHUT_RD	प्राप्ति_रोकें
SHUT_RDWR	दोनों_दिशाएँ_रोकें
SHUT_WR	प्रेषण_रोकें
SOCK_DGRAM	आँकड़ा_संदेश_छोर
SOCK_STREAM	आँकड़ा_प्रवाह_छोर
SYS_access	SYS_पहुँच_अनुमति_जाँचना
SYS_brk	SYS_गतिशील_स्मृति_अंत_निर्धारित_करना
SYS_chdir	SYS_कार्य_निर्देशिका_बदलना
SYS_close	SYS_बंद_करना
SYS_creat	SYS_संचिका_बनाना
SYS_dup	SYS_खुली_संचिका_संदर्भ_की_प्रतिलिपि_बनाना
SYS_dup2	SYS_नियत_क्रमांक_पर_संचिका_संदर्भ_प्रतिलिपि_बनाना
SYS_execve	SYS_निष्पादन_सामग्री_बदलना
SYS_exit	SYS_तुरंत_समाप्त_करना
SYS_fcntl	SYS_संचिका_नियंत्रित_करना
SYS_fork	SYS_संतान_प्रक्रिया_बनाना
SYS_fstat	SYS_खुली_संचिका_स्थिति_पाना
SYS_fsync	SYS_संचिका_अभिलेख_समकालित_करना
SYS_getcwd	SYS_कार्य_निर्देशिका_पथ_पाना
