original	localized	language
Activate	Activate	hi
ActivateAll	Activateall	hi
Active	Active	hi
ActiveInterruptManager	Activeinterruptmanager	hi
ActiveMemoryManager	Activememorymanager	hi
Add	Add	hi
AddDriver	Adddriver	hi
AddRunnableThread	Addrunnablethread	hi
AddTask	Addtask	hi
AddThread	Addthread	hi
Address	Address	hi
AlignedMalloc	Alignedmalloc	hi
AlignmentCheck	Alignmentcheck	hi
AllocateBlock	Allocateblock	hi
AllocatePID	Allocatepid	hi
AmountOfMemory	Amountofmemory	hi
ArrayToUint16	Arraytounsignedinteger16	hi
ArrayToUint32	Arraytounsignedinteger32	hi
ArrayToUint48	Arraytounsignedinteger48	hi
ArrayToUint48_BE	Arraytounsignedinteger48be	hi
ArrayToUint64	Arraytounsignedinteger64	hi
Atime	Atime	hi
AtimeNsec	Atimensec	hi
BLOCKS_PER_BYTE	Blockperbyte	hi
BLOCK_SIZE	Blocksize	hi
Backend	Backend	hi
BaseAddr	Baseaddress	hi
Bind	Bind	hi
Blksize	Blksize	hi
Blocked	Blocked	hi
BlockedState	Blockedstate	hi
Blocks	Block	hi
BoundRangeExceeded	Boundrangeexceeded	hi
BroadcastMacAddress	Broadcastmacaddress	hi
BytesPerSector	Bytespersector	hi
BytesToString	Bytestostring	hi
Checksum	Checksum	hi
Clear	Clear	hi
Clone	Clone	hi
CloneAddressSpaceCOW	Cloneaddressspacecow	hi
Connect	Connect	hi
ContainsCoordinate	Containscoordinate	hi
CopyPageFrameBlock	Copypageframeblock	hi
CpuState	Cpustate	hi
Create	Create	hi
CreateFromData	Createfromdata	hi
CreateFromFunction	Createfromfunction	hi
CreatePtrFromFunction	Createpointerfromfunction	hi
Cs	Cs	hi
Ctime	Ctime	hi
CtimeNsec	Ctimensec	hi
CurrentPID	Currentpid	hi
CurrentParentPID	Currentजनकpid	hi
Data	Data	hi
Deactivate	Deactivate	hi
Deactive	Deactive	hi
Decrement	Decrement	hi
Delete	Delete	hi
DescriptorPrivilegeLevel	Descriptorprivilegelevel	hi
DescriptorType	Descriptortype	hi
Destroy	Destroy	hi
Dev	Dउपकरण	hi
DeviceHasFunctions	Dउपकरणhasfunctions	hi
DeviceNotAvailable	Dउपकरणnotavailable	hi
Device_id	Dउपकरणid	hi
DisableInt	Disableint	hi
Disconnect	Disconnect	hi
DivideByZero	Dividebyzero	hi
DoHandleInterrupt	Dohandleinterrupt	hi
DoubleFault	Doublefault	hi
Draw	Draw	hi
DriverManager	Drivermanager	hi
Ds	Ds	hi
Dynamic	Dynamic	hi
E2BIG	E2big	hi
EACCES	Eacces	hi
EADDRINUSE	Eaddrinuse	hi
EAFNOSUPPORT	Eafnosupport	hi
EAGAIN	Eagain	hi
EBADF	Ebadf	hi
EBUSY	Ebusy	hi
ECHILD	Echild	hi
EEXIST	Eexist	hi
EFAULT	Efault	hi
EFBIG	Efbig	hi
EINTR	Eintr	hi
EINVAL	Einval	hi
EIO	Eio	hi
EISDIR	Eisdir	hi
EMFILE	Emfile	hi
EMSGSIZE	Emsgsize	hi
ENETUNREACH	Enetunreach	hi
ENFILE	Enfile	hi
ENODEV	Enodev	hi
ENOENT	Enoent	hi
ENOEXEC	Enoexec	hi
ENOMEM	Enomem	hi
ENOSPC	Enospc	hi
ENOSYS	Enosys	hi
ENOTCONN	Enotconn	hi
ENOTDIR	Enotdir	hi
ENOTTY	Enotty	hi
EOPNOTSUPP	Eopnotsupp	hi
EPERM	Eperm	hi
EPROTONOSUPPORT	Eprotonosupport	hi
ERANGE	Erange	hi
EROFS	Erofs	hi
ESPIPE	Espipe	hi
ESRCH	Esrch	hi
Eax	Eax	hi
Ebp	Ebp	hi
Ebx	Ebx	hi
Ecx	Ecx	hi
Edi	Edi	hi
Edx	Edx	hi
Eflags	Eflags	hi
Eip	Eip	hi
Elf	Elf	hi
Elf32Dyn	Elf32dyn	hi
Elf32Note	Elf32note	hi
Elf32Rel	Elf32rel	hi
Elf32Rela	Elf32rela	hi
Elf32Sym	Elf32sym	hi
ElfHeader	Elfheader	hi
ElfProgramHeader	Elfprogramheader	hi
ElfSectionHeader	Elfsectionheader	hi
EnablePaging	Enablepaging	hi
Enabled	Enabled	hi
