original	before	after	review_status	concept	changed_tokens
Activate	Aفعالکردن	Aفعالکردن	existing-unreviewed		0
ActivateAll	Aفعالکردنهمه	Aفعالکردنهمه	existing-unreviewed		0
Active	Aفعال	Aفعال	existing-unreviewed		0
ActiveInterruptManager	Aفعالinterruptmanager	Aفعالinterruptmanager	existing-unreviewed		0
ActiveMemoryManager	Aفعالحافظهmanager	Aفعالحافظهmanager	existing-unreviewed		0
Add	Aاضافهکردن	Aاضافهکردن	existing-unreviewed		0
AddDriver	Aاضافهکردنdriver	Aاضافهکردنdriver	existing-unreviewed		0
AddRunnableThread	Aاضافهکردنrunnablethread	Aاضافهکردنrunnablethread	existing-unreviewed		0
AddTask	Aاضافهکردنtask	Aاضافهکردنtask	existing-unreviewed		0
AddThread	Aاضافهکردنthread	Aاضافهکردنthread	existing-unreviewed		0
Address	Address	Address	existing-unreviewed		0
AlignedMalloc	Alignedmalloc	Alignedmalloc	existing-unreviewed		0
AlignmentCheck	Alignmentcheck	Alignmentcheck	existing-unreviewed		0
AllocateBlock	Allocateقطعه	Allocateقطعه	existing-unreviewed		0
AllocatePID	Allocateمشخصهبرنامه	Allocateمشخصهبرنامه	existing-unreviewed		0
AmountOfMemory	Aمقدارofحافظه	Aمقدارofحافظه	existing-unreviewed		0
ArrayToUint16	Aآرایهtounsignedinteger16	Aآرایهtounsignedinteger16	existing-unreviewed		0
ArrayToUint32	Aآرایهtounsignedinteger32	Aآرایهtounsignedinteger32	existing-unreviewed		0
ArrayToUint48	Aآرایهtounsignedinteger48	Aآرایهtounsignedinteger48	existing-unreviewed		0
ArrayToUint48_BE	Aآرایهtounsignedinteger48be	Aآرایهtounsignedinteger48be	existing-unreviewed		0
ArrayToUint64	Aآرایهtounsignedinteger64	Aآرایهtounsignedinteger64	existing-unreviewed		0
Atime	Atime	Atime	existing-unreviewed		0
AtimeNsec	Atimensec	Atimensec	existing-unreviewed		0
BLOCKS_PER_BYTE	Bقطعهperbyte	Bقطعهperbyte	existing-unreviewed		0
BLOCK_SIZE	Bقطعهاندازه	Bقطعهاندازه	existing-unreviewed		0
Backend	Backend	Backend	existing-unreviewed		0
BaseAddr	Baseaddress	Baseaddress	existing-unreviewed		0
Bind	Bind	Bind	existing-unreviewed		0
Blksize	Blksize	Blksize	existing-unreviewed		0
Blocked	Blocked	Blocked	existing-unreviewed		0
BlockedState	Blockedحالت	Blockedحالت	existing-unreviewed		0
Blocks	Bقطعه	Bقطعه	existing-unreviewed		0
BoundRangeExceeded	Boundمحدودهexceeded	Boundمحدودهexceeded	existing-unreviewed		0
BroadcastMacAddress	Broadcastmacaddress	Broadcastmacaddress	existing-unreviewed		0
BytesPerSector	Bبایتpersector	Bبایتpersector	existing-unreviewed		0
BytesToString	Bبایتtoرشته	Bبایتtoرشته	existing-unreviewed		0
Checksum	Checksum	Checksum	existing-unreviewed		0
Clear	Cپاککردن	Cپاککردن	existing-unreviewed		0
Clone	Clone	Clone	existing-unreviewed		0
CloneAddressSpaceCOW	Cloneaddressفاصلهcow	Cloneaddressفاصلهcow	existing-unreviewed		0
Connect	Cاتصال	Cاتصال	existing-unreviewed		0
ContainsCoordinate	Containscoordinate	Containscoordinate	existing-unreviewed		0
CopyPageFrameBlock	Cکپیصفحهچارچوبقطعه	Cکپیصفحهچارچوبقطعه	existing-unreviewed		0
CpuState	Cpuحالت	Cpuحالت	existing-unreviewed		0
Create	Create	Create	existing-unreviewed		0
CreateFromData	Createfromdata	Createfromdata	existing-unreviewed		0
CreateFromFunction	Createfromتابع	Createfromتابع	existing-unreviewed		0
CreatePtrFromFunction	Createpointerfromتابع	Createpointerfromتابع	existing-unreviewed		0
Cs	Cs	Cs	existing-unreviewed		0
Ctime	Ctime	Ctime	existing-unreviewed		0
CtimeNsec	Ctimensec	Ctimensec	existing-unreviewed		0
CurrentPID	Currentمشخصهبرنامه	Currentمشخصهبرنامه	existing-unreviewed		0
CurrentParentPID	Currentوالدمشخصهبرنامه	Currentوالدمشخصهبرنامه	existing-unreviewed		0
Data	Data	Data	compatibility		0
Deactivate	Dغیرفعالکردن	Dغیرفعالکردن	existing-unreviewed		0
Deactive	Deactive	Deactive	existing-unreviewed		0
Decrement	Decrement	Decrement	existing-unreviewed		0
Delete	Dحذف	Dحذف	existing-unreviewed		0
DescriptorPrivilegeLevel	Descriptorprivilegelevel	Descriptorprivilegelevel	existing-unreviewed		0
DescriptorType	Descriptorنوع	Descriptorنوع	existing-unreviewed		0
Destroy	Destroy	Destroy	existing-unreviewed		0
Dev	Dدستگاه	Dدستگاه	existing-unreviewed		0
DeviceHasFunctions	Dدستگاهhasتابعها	Dدستگاهhasتابعها	existing-unreviewed		0
DeviceNotAvailable	Dدستگاهnotدردسترس	Dدستگاهnotدردسترس	existing-unreviewed		0
Device_id	Dدستگاهشناسه	Dدستگاهشناسه	existing-unreviewed		0
