original	before	after	review_status	concept	changed_tokens
Activate	Activate	Activate	existing-unreviewed		0
ActivateAll	Activateالكل	Activateالكل	existing-unreviewed		0
Active	Aنشط	Aنشط	existing-unreviewed		0
ActiveInterruptManager	Aنشطمقاطعةمدير	Aنشطمقاطعةمدير	existing-unreviewed		0
ActiveMemoryManager	Aنشطذاكرةمدير	Aنشطذاكرةمدير	existing-unreviewed		0
Add	Aأضف	Aأضف	existing-unreviewed		0
AddDriver	Aأضفمشغل	Aأضفمشغل	existing-unreviewed		0
AddRunnableThread	Aأضفrunnableخيطتنفيذ	Aأضفrunnableخيطتنفيذ	existing-unreviewed		0
AddTask	Aأضفمهمة	Aأضفمهمة	existing-unreviewed		0
AddThread	Aأضفخيطتنفيذ	Aأضفخيطتنفيذ	existing-unreviewed		0
Address	Address	Address	existing-unreviewed		0
AlignedMalloc	Alignedmalloc	Alignedmalloc	existing-unreviewed		0
AlignmentCheck	Aالمحاذاةcheck	Aالمحاذاةcheck	existing-unreviewed		0
AllocateBlock	Allocateحظر	Allocateحظر	existing-unreviewed		0
AllocatePID	Allocateالهوية	Allocateالهوية	existing-unreviewed		0
AmountOfMemory	Amountofذاكرة	Amountofذاكرة	existing-unreviewed		0
ArrayToUint16	Aمصفوفةtounsignedinteger16	Aمصفوفةtounsignedinteger16	existing-unreviewed		0
ArrayToUint32	Aمصفوفةtounsignedinteger32	Aمصفوفةtounsignedinteger32	existing-unreviewed		0
ArrayToUint48	Aمصفوفةtounsignedinteger48	Aمصفوفةtounsignedinteger48	existing-unreviewed		0
ArrayToUint48_BE	Aمصفوفةtounsignedinteger48be	Aمصفوفةtounsignedinteger48be	existing-unreviewed		0
ArrayToUint64	Aمصفوفةtounsignedinteger64	Aمصفوفةtounsignedinteger64	existing-unreviewed		0
Atime	Atime	Atime	existing-unreviewed		0
AtimeNsec	Atimensec	Atimensec	existing-unreviewed		0
BLOCKS_PER_BYTE	Bحظرperبايت	Bحظرperبايت	existing-unreviewed		0
BLOCK_SIZE	Bحظرالحجم	Bحظرالحجم	existing-unreviewed		0
Backend	Backend	Backend	existing-unreviewed		0
BaseAddr	Baseaddress	Baseaddress	existing-unreviewed		0
Bind	Bind	Bind	existing-unreviewed		0
Blksize	Blksize	Blksize	existing-unreviewed		0
Blocked	Blocked	Blocked	existing-unreviewed		0
BlockedState	Blockedالحالة	Blockedالحالة	existing-unreviewed		0
Blocks	Bحظر	Bحظر	existing-unreviewed		0
BoundRangeExceeded	Boundمدىexceeded	Boundمدىexceeded	existing-unreviewed		0
BroadcastMacAddress	Broadcastmacaddress	Broadcastmacaddress	existing-unreviewed		0
BytesPerSector	Bبايتpersector	Bبايتpersector	existing-unreviewed		0
BytesToString	Bبايتtoسلسلة	Bبايتtoسلسلة	existing-unreviewed		0
Checksum	Checksum	Checksum	existing-unreviewed		0
Clear	Cامح	Cامح	existing-unreviewed		0
Clone	Clone	Clone	existing-unreviewed		0
CloneAddressSpaceCOW	Cloneaddressspacecow	Cloneaddressspacecow	existing-unreviewed		0
Connect	Connect	Connect	existing-unreviewed		0
ContainsCoordinate	Containscoordinate	Containscoordinate	existing-unreviewed		0
CopyPageFrameBlock	Cنسخصفحةإطارحظر	Cنسخصفحةإطارحظر	existing-unreviewed		0
CpuState	Cالمعالجالحالة	Cالمعالجالحالة	existing-unreviewed		0
Create	Cإنشاء	Cإنشاء	existing-unreviewed		0
CreateFromData	Cإنشاءfromبيانات	Cإنشاءfromبيانات	existing-unreviewed		0
CreateFromFunction	Cإنشاءfromfunction	Cإنشاءfromfunction	existing-unreviewed		0
CreatePtrFromFunction	Cإنشاءالمؤشرfromfunction	Cإنشاءالمؤشرfromfunction	existing-unreviewed		0
Cs	Cs	Cs	existing-unreviewed		0
Ctime	Ctime	Ctime	existing-unreviewed		0
CtimeNsec	Ctimensec	Ctimensec	existing-unreviewed		0
CurrentPID	Cالحاليالهوية	Cالحاليالهوية	existing-unreviewed		0
CurrentParentPID	Cالحاليأبالهوية	Cالحاليأبالهوية	existing-unreviewed		0
Data	Data	Data	compatibility		0
Deactivate	Deactivate	Deactivate	existing-unreviewed		0
Deactive	Deactive	Deactive	existing-unreviewed		0
Decrement	Decrement	Decrement	existing-unreviewed		0
Delete	Dحذف	Dحذف	existing-unreviewed		0
DescriptorPrivilegeLevel	Descriptorprivilegelevel	Descriptorprivilegelevel	existing-unreviewed		0
DescriptorType	Descriptorنوع	Descriptorنوع	existing-unreviewed		0
Destroy	Destroy	Destroy	existing-unreviewed		0
Dev	Dالجهاز	Dالجهاز	existing-unreviewed		0
DeviceHasFunctions	Dالجهازhasfunctions	Dالجهازhasfunctions	existing-unreviewed		0
DeviceNotAvailable	Dالجهازnotمتوفر	Dالجهازnotمتوفر	existing-unreviewed		0
Device_id	Dالجهازالهوية	Dالجهازالهوية	existing-unreviewed		0
DisableInt	Disableعددصحيح	Disableعددصحيح	existing-unreviewed		0
Disconnect	Dقطعالإتصال	Dقطعالإتصال	existing-unreviewed		0
DivideByZero	Dividebyzero	Dividebyzero	existing-unreviewed		0
DoHandleInterrupt	Doالتعاملمقاطعة	Doالتعاملمقاطعة	existing-unreviewed		0
DoubleFault	Dمضاعفخلل	Dمضاعفخلل	existing-unreviewed		0
Draw	Draw	Draw	existing-unreviewed		0
DriverManager	Dمشغلمدير	Dمشغلمدير	existing-unreviewed		0
Ds	Ds	Ds	existing-unreviewed		0
Dynamic	Dynamic	Dynamic	existing-unreviewed		0
E2BIG	E2big	E2big	existing-unreviewed		0
EACCES	Eacces	Eacces	existing-unreviewed		0
EADDRINUSE	Eaddrinuse	Eaddrinuse	existing-unreviewed		0
EAFNOSUPPORT	Eafnosupport	Eafnosupport	existing-unreviewed		0
EAGAIN	Eagain	Eagain	existing-unreviewed		0
EBADF	Ebadf	Ebadf	existing-unreviewed		0
EBUSY	Ebusy	Ebusy	existing-unreviewed		0
ECHILD	Echild	Echild	existing-unreviewed		0
EEXIST	Eexist	Eexist	existing-unreviewed		0
EFAULT	Efault	Efault	existing-unreviewed		0
EFBIG	Efbig	Efbig	existing-unreviewed		0
EINTR	Eintr	Eintr	existing-unreviewed		0
EINVAL	Einval	Einval	existing-unreviewed		0
EIO	Eio	Eio	existing-unreviewed		0
EISDIR	Eisdir	Eisdir	existing-unreviewed		0
EMFILE	Emfile	Emfile	existing-unreviewed		0
EMSGSIZE	Emsgsize	Emsgsize	existing-unreviewed		0
ENETUNREACH	Enetunreach	Enetunreach	existing-unreviewed		0
ENFILE	Enfile	Enfile	existing-unreviewed		0
ENODEV	Enodev	Enodev	existing-unreviewed		0
ENOENT	Enoent	Enoent	existing-unreviewed		0
ENOEXEC	Enoexec	Enoexec	existing-unreviewed		0
ENOMEM	Enomem	Enomem	existing-unreviewed		0
ENOSPC	Enospc	Enospc	existing-unreviewed		0
ENOSYS	Enosys	Enosys	existing-unreviewed		0
ENOTCONN	Enotconn	Enotconn	existing-unreviewed		0
ENOTDIR	Enotdir	Enotdir	existing-unreviewed		0
ENOTTY	Enotty	Enotty	existing-unreviewed		0
EOPNOTSUPP	Eopnotsupp	Eopnotsupp	existing-unreviewed		0
EPERM	Eperm	Eperm	existing-unreviewed		0
EPROTONOSUPPORT	Eprotonosupport	Eprotonosupport	existing-unreviewed		0
ERANGE	Erange	Erange	existing-unreviewed		0
EROFS	Erofs	Erofs	existing-unreviewed		0
ESPIPE	Espipe	Espipe	existing-unreviewed		0
ESRCH	Esrch	Esrch	existing-unreviewed		0
Eax	Eax	Eax	existing-unreviewed		0
Ebp	Ebp	Ebp	existing-unreviewed		0
Ebx	Ebx	Ebx	existing-unreviewed		0
Ecx	Ecx	Ecx	existing-unreviewed		0
Edi	Edi	Edi	existing-unreviewed		0
Edx	Edx	Edx	existing-unreviewed		0
Eflags	Eflags	Eflags	existing-unreviewed		0
Eip	Eip	Eip	existing-unreviewed		0
Elf	Elf	Elf	existing-unreviewed		0
Elf32Dyn	Elf32dyn	Elf32dyn	existing-unreviewed		0
Elf32Note	Elf32ملاحظة	Elf32ملاحظة	existing-unreviewed		0
Elf32Rel	Elf32rel	Elf32rel	existing-unreviewed		0
Elf32Rela	Elf32rela	Elf32rela	existing-unreviewed		0
Elf32Sym	Elf32sym	Elf32sym	existing-unreviewed		0
ElfHeader	Elfترويسة	Elfترويسة	existing-unreviewed		0
ElfProgramHeader	Elfبرنامجترويسة	Elfبرنامجترويسة	existing-unreviewed		0
ElfSectionHeader	Elfقسمترويسة	Elfقسمترويسة	existing-unreviewed		0
EnablePaging	Enableإدارةصفحات	Enableإدارةصفحات	existing-unreviewed		0
Enabled	Eمفعل	Eمفعل	existing-unreviewed		0
EntryNumber	Entryالأرقام	Entryالأرقام	existing-unreviewed		0
EqualBytes	Eمساويبايت	Eمساويبايت	existing-unreviewed		0
Es	Es	Es	existing-unreviewed		0
Esi	Esi	Esi	existing-unreviewed		0
Esp	Esp	Esp	existing-unreviewed		0
FPUBuffer	Fpubuffer	Fpubuffer	existing-unreviewed		0
FPUOffset	Fpuoffset	Fpuoffset	existing-unreviewed		0
Family	Family	Family	existing-unreviewed		0
FileName	Fملفالاسم	Fملفالاسم	existing-unreviewed		0
Fill	Fill	Fill	existing-unreviewed		0
FillRectangle	Fillمستطيل	Fillمستطيل	existing-unreviewed		0
First	First	First	existing-unreviewed		0
FirstFree	Firstخالي	Firstخالي	existing-unreviewed		0
FirstFreeSize	Firstخاليالحجم	Firstخاليالحجم	existing-unreviewed		0
Flags	Fخيارات	Fخيارات	existing-unreviewed		0
FloatingPointException	Fعائمpointexception	Fعائمpointexception	existing-unreviewed		0
Flush	Flush	Flush	existing-unreviewed		0
FlushTlsTable	Flushtlsجدول	Flushtlsجدول	existing-unreviewed		0
Focussable	Focussable	Focussable	existing-unreviewed		0
Free	Fخالي	Fخالي	existing-unreviewed		0
Fs	Fs	Fs	existing-unreviewed		0
