original	localized	language
Activate	Aהפעל	he
ActivateAll	Aהפעלהכל	he
Active	Aפעיל	he
ActiveInterruptManager	Aפעילפסקmanager	he
ActiveMemoryManager	Aפעילזיכרוןmanager	he
Add	Aהוספה	he
AddDriver	Aהוספהdriver	he
AddRunnableThread	Aהוספהrunnablethread	he
AddTask	Aהוספהמשימה	he
AddThread	Aהוספהthread	he
Address	Address	he
AlignedMalloc	Alignedmalloc	he
AlignmentCheck	Alignmentcheck	he
AllocateBlock	Allocateבלוק	he
AllocatePID	Allocateמזההתהליך	he
AmountOfMemory	Aכמותמתוךזיכרון	he
ArrayToUint16	Aמערךtounsignedinteger16	he
ArrayToUint32	Aמערךtounsignedinteger32	he
ArrayToUint48	Aמערךtounsignedinteger48	he
ArrayToUint48_BE	Aמערךtounsignedinteger48be	he
ArrayToUint64	Aמערךtounsignedinteger64	he
Atime	Atime	he
AtimeNsec	Atimensec	he
BLOCKS_PER_BYTE	Bבלוקperbyte	he
BLOCK_SIZE	Bבלוקגודל	he
Backend	Backend	he
BaseAddr	Baseaddress	he
Bind	Bind	he
Blksize	Blksize	he
Blocked	Blocked	he
BlockedState	Blockedמצב	he
Blocks	Bבלוק	he
BoundRangeExceeded	Boundrangeexceeded	he
BroadcastMacAddress	Broadcastmacaddress	he
BytesPerSector	Bבתיםpersector	he
BytesToString	Bבתיםtoמחרוזת	he
Checksum	Checksum	he
Clear	Cנקה	he
Clone	Clone	he
CloneAddressSpaceCOW	Cloneaddressרווחcow	he
Connect	Cחיבור	he
ContainsCoordinate	Containscoordinate	he
CopyPageFrameBlock	Cהעתקעמודframeבלוק	he
CpuState	Cמעבדמצב	he
Create	Create	he
CreateFromData	Createfromdata	he
CreateFromFunction	Createfromפונקציה	he
CreatePtrFromFunction	Createסמןfromפונקציה	he
Cs	Cs	he
Ctime	Ctime	he
CtimeNsec	Ctimensec	he
CurrentPID	Cנוכחימזההתהליך	he
CurrentParentPID	Cנוכחיparentמזההתהליך	he
Data	Data	he
Deactivate	Dבטל	he
Deactive	Deactive	he
Decrement	Decrement	he
Delete	Dמחיקה	he
DescriptorPrivilegeLevel	Descriptorprivilegelevel	he
DescriptorType	Descriptorסוג	he
Destroy	Dהשמד	he
Dev	Dהתקן	he
DeviceHasFunctions	Dהתקןhasפונקציות	he
DeviceNotAvailable	Dהתקןnotפנוי	he
Device_id	Dהתקןמזהה	he
DisableInt	Dנטרלint	he
Disconnect	Dניתוק	he
DivideByZero	Dividebyzero	he
DoHandleInterrupt	Doידיתפסק	he
DoubleFault	Dכפולfault	he
Draw	Draw	he
DriverManager	Drivermanager	he
Ds	Ds	he
Dynamic	Dדינמי	he
E2BIG	E2big	he
EACCES	Eacces	he
EADDRINUSE	Eaddrinuse	he
EAFNOSUPPORT	Eafnosupport	he
