original	before	after	review_status	concept	changed_tokens
Activate	Aהפעל	Aהפעל	existing-unreviewed		0
ActivateAll	Aהפעלהכל	Aהפעלהכל	existing-unreviewed		0
Active	Aפעיל	Aפעיל	existing-unreviewed		0
ActiveInterruptManager	Aפעילפסקmanager	Aפעילפסקmanager	existing-unreviewed		0
ActiveMemoryManager	Aפעילזיכרוןmanager	Aפעילזיכרוןmanager	existing-unreviewed		0
Add	Aהוספה	Aהוספה	existing-unreviewed		0
AddDriver	Aהוספהdriver	Aהוספהdriver	existing-unreviewed		0
AddRunnableThread	Aהוספהrunnablethread	Aהוספהrunnablethread	existing-unreviewed		0
AddTask	Aהוספהמשימה	Aהוספהמשימה	existing-unreviewed		0
AddThread	Aהוספהthread	Aהוספהthread	existing-unreviewed		0
Address	Address	Address	existing-unreviewed		0
AlignedMalloc	Alignedmalloc	Alignedmalloc	existing-unreviewed		0
AlignmentCheck	Alignmentcheck	Alignmentcheck	existing-unreviewed		0
AllocateBlock	Allocateבלוק	Allocateבלוק	existing-unreviewed		0
AllocatePID	Allocateמזההתהליך	Allocateמזההתהליך	existing-unreviewed		0
AmountOfMemory	Aכמותמתוךזיכרון	Aכמותמתוךזיכרון	existing-unreviewed		0
ArrayToUint16	Aמערךtounsignedinteger16	Aמערךtounsignedinteger16	existing-unreviewed		0
ArrayToUint32	Aמערךtounsignedinteger32	Aמערךtounsignedinteger32	existing-unreviewed		0
ArrayToUint48	Aמערךtounsignedinteger48	Aמערךtounsignedinteger48	existing-unreviewed		0
ArrayToUint48_BE	Aמערךtounsignedinteger48be	Aמערךtounsignedinteger48be	existing-unreviewed		0
ArrayToUint64	Aמערךtounsignedinteger64	Aמערךtounsignedinteger64	existing-unreviewed		0
Atime	Atime	Atime	existing-unreviewed		0
AtimeNsec	Atimensec	Atimensec	existing-unreviewed		0
BLOCKS_PER_BYTE	Bבלוקperbyte	Bבלוקperbyte	existing-unreviewed		0
BLOCK_SIZE	Bבלוקגודל	Bבלוקגודל	existing-unreviewed		0
Backend	Backend	Backend	existing-unreviewed		0
BaseAddr	Baseaddress	Baseaddress	existing-unreviewed		0
Bind	Bind	Bind	existing-unreviewed		0
Blksize	Blksize	Blksize	existing-unreviewed		0
Blocked	Blocked	Blocked	existing-unreviewed		0
BlockedState	Blockedמצב	Blockedמצב	existing-unreviewed		0
Blocks	Bבלוק	Bבלוק	existing-unreviewed		0
BoundRangeExceeded	Boundrangeexceeded	Boundrangeexceeded	existing-unreviewed		0
BroadcastMacAddress	Broadcastmacaddress	Broadcastmacaddress	existing-unreviewed		0
BytesPerSector	Bבתיםpersector	Bבתיםpersector	existing-unreviewed		0
BytesToString	Bבתיםtoמחרוזת	Bבתיםtoמחרוזת	existing-unreviewed		0
Checksum	Checksum	Checksum	existing-unreviewed		0
Clear	Cנקה	Cנקה	existing-unreviewed		0
Clone	Clone	Clone	existing-unreviewed		0
CloneAddressSpaceCOW	Cloneaddressרווחcow	Cloneaddressרווחcow	existing-unreviewed		0
Connect	Cחיבור	Cחיבור	existing-unreviewed		0
ContainsCoordinate	Containscoordinate	Containscoordinate	existing-unreviewed		0
CopyPageFrameBlock	Cהעתקעמודframeבלוק	Cהעתקעמודframeבלוק	existing-unreviewed		0
CpuState	Cמעבדמצב	Cמעבדמצב	existing-unreviewed		0
Create	Create	Create	existing-unreviewed		0
CreateFromData	Createfromdata	Createfromdata	existing-unreviewed		0
CreateFromFunction	Createfromפונקציה	Createfromפונקציה	existing-unreviewed		0
CreatePtrFromFunction	Createסמןfromפונקציה	Createסמןfromפונקציה	existing-unreviewed		0
Cs	Cs	Cs	existing-unreviewed		0
Ctime	Ctime	Ctime	existing-unreviewed		0
CtimeNsec	Ctimensec	Ctimensec	existing-unreviewed		0
CurrentPID	Cנוכחימזההתהליך	Cנוכחימזההתהליך	existing-unreviewed		0
CurrentParentPID	Cנוכחיparentמזההתהליך	Cנוכחיparentמזההתהליך	existing-unreviewed		0
Data	Data	Data	compatibility		0
Deactivate	Dבטל	Dבטל	existing-unreviewed		0
Deactive	Deactive	Deactive	existing-unreviewed		0
Decrement	Decrement	Decrement	existing-unreviewed		0
Delete	Dמחיקה	Dמחיקה	existing-unreviewed		0
DescriptorPrivilegeLevel	Descriptorprivilegelevel	Descriptorprivilegelevel	existing-unreviewed		0
DescriptorType	Descriptorסוג	Descriptorסוג	existing-unreviewed		0
Destroy	Dהשמד	Dהשמד	existing-unreviewed		0
Dev	Dהתקן	Dהתקן	existing-unreviewed		0
DeviceHasFunctions	Dהתקןhasפונקציות	Dהתקןhasפונקציות	existing-unreviewed		0
DeviceNotAvailable	Dהתקןnotפנוי	Dהתקןnotפנוי	existing-unreviewed		0
Device_id	Dהתקןמזהה	Dהתקןמזהה	existing-unreviewed		0
DisableInt	Dנטרלint	Dנטרלint	existing-unreviewed		0
Disconnect	Dניתוק	Dניתוק	existing-unreviewed		0
DivideByZero	Dividebyzero	Dividebyzero	existing-unreviewed		0
DoHandleInterrupt	Doידיתפסק	Doידיתפסק	existing-unreviewed		0
DoubleFault	Dכפולfault	Dכפולfault	existing-unreviewed		0
Draw	Draw	Draw	existing-unreviewed		0
DriverManager	Drivermanager	Drivermanager	existing-unreviewed		0
Ds	Ds	Ds	existing-unreviewed		0
Dynamic	Dדינמי	Dדינמי	existing-unreviewed		0
E2BIG	E2big	E2big	existing-unreviewed		0
EACCES	Eacces	Eacces	existing-unreviewed		0
EADDRINUSE	Eaddrinuse	Eaddrinuse	existing-unreviewed		0
EAFNOSUPPORT	Eafnosupport	Eafnosupport	existing-unreviewed		0
EAGAIN	Eagain	Eagain	existing-unreviewed		0
EBADF	Ebadf	Ebadf	existing-unreviewed		0
EBUSY	Ebusy	Ebusy	existing-unreviewed		0
ECHILD	Echild	Echild	existing-unreviewed		0
EEXIST	Eexist	Eexist	existing-unreviewed		0
EFAULT	Efault	Efault	existing-unreviewed		0
EFBIG	Efbig	Efbig	existing-unreviewed		0
EINTR	Eintr	Eintr	existing-unreviewed		0
EINVAL	Einval	Einval	existing-unreviewed		0
EIO	Eio	Eio	existing-unreviewed		0
EISDIR	Eisdir	Eisdir	existing-unreviewed		0
EMFILE	Emfile	Emfile	existing-unreviewed		0
EMSGSIZE	Emsgsize	Emsgsize	existing-unreviewed		0
ENETUNREACH	Enetunreach	Enetunreach	existing-unreviewed		0
ENFILE	Enfile	Enfile	existing-unreviewed		0
ENODEV	Enodev	Enodev	existing-unreviewed		0
ENOENT	Enoent	Enoent	existing-unreviewed		0
ENOEXEC	Enoexec	Enoexec	existing-unreviewed		0
ENOMEM	Enomem	Enomem	existing-unreviewed		0
ENOSPC	Enospc	Enospc	existing-unreviewed		0
ENOSYS	Enosys	Enosys	existing-unreviewed		0
ENOTCONN	Enotconn	Enotconn	existing-unreviewed		0
ENOTDIR	Enotdir	Enotdir	existing-unreviewed		0
ENOTTY	Enotty	Enotty	existing-unreviewed		0
EOPNOTSUPP	Eopnotsupp	Eopnotsupp	existing-unreviewed		0
EPERM	Eperm	Eperm	existing-unreviewed		0
EPROTONOSUPPORT	Eprotonosupport	Eprotonosupport	existing-unreviewed		0
ERANGE	Erange	Erange	existing-unreviewed		0
EROFS	Erofs	Erofs	existing-unreviewed		0
ESPIPE	Espipe	Espipe	existing-unreviewed		0
ESRCH	Esrch	Esrch	existing-unreviewed		0
Eax	Eax	Eax	existing-unreviewed		0
Ebp	Ebp	Ebp	existing-unreviewed		0
Ebx	Ebx	Ebx	existing-unreviewed		0
Ecx	Ecx	Ecx	existing-unreviewed		0
Edi	Edi	Edi	existing-unreviewed		0
Edx	Edx	Edx	existing-unreviewed		0
Eflags	Eflags	Eflags	existing-unreviewed		0
Eip	Eip	Eip	existing-unreviewed		0
Elf	Elf	Elf	existing-unreviewed		0
Elf32Dyn	Elf32dyn	Elf32dyn	existing-unreviewed		0
Elf32Note	Elf32פתקית	Elf32פתקית	existing-unreviewed		0
Elf32Rel	Elf32rel	Elf32rel	existing-unreviewed		0
Elf32Rela	Elf32rela	Elf32rela	existing-unreviewed		0
Elf32Sym	Elf32sym	Elf32sym	existing-unreviewed		0
ElfHeader	Elfheader	Elfheader	existing-unreviewed		0
ElfProgramHeader	Elfתכניתheader	Elfתכניתheader	existing-unreviewed		0
ElfSectionHeader	Elfsectionheader	Elfsectionheader	existing-unreviewed		0
EnablePaging	Enablepaging	Enablepaging	existing-unreviewed		0
Enabled	Eמופעל	Eמופעל	existing-unreviewed		0
EntryNumber	Entryמספר	Entryמספר	existing-unreviewed		0
EqualBytes	Equalבתים	Equalבתים	existing-unreviewed		0
Es	Es	Es	existing-unreviewed		0
Esi	Esi	Esi	existing-unreviewed		0
Esp	Esp	Esp	existing-unreviewed		0
FPUBuffer	Fpubuffer	Fpubuffer	existing-unreviewed		0
FPUOffset	Fpuoffset	Fpuoffset	existing-unreviewed		0
Family	Family	Family	existing-unreviewed		0
FileName	Fקובץשם	Fקובץשם	existing-unreviewed		0
Fill	Fill	Fill	existing-unreviewed		0
FillRectangle	Fillrectangle	Fillrectangle	existing-unreviewed		0
First	First	First	existing-unreviewed		0
FirstFree	Firstפנוי	Firstפנוי	existing-unreviewed		0
FirstFreeSize	Firstפנויגודל	Firstפנויגודל	existing-unreviewed		0
Flags	Fדגלים	Fדגלים	existing-unreviewed		0
FloatingPointException	Fצףpointexception	Fצףpointexception	existing-unreviewed		0
Flush	Flush	Flush	existing-unreviewed		0
FlushTlsTable	Flushtlstable	Flushtlstable	existing-unreviewed		0
Focussable	Focussable	Focussable	existing-unreviewed		0
Free	Fפנוי	Fפנוי	existing-unreviewed		0
Fs	Fs	Fs	existing-unreviewed		0
GB	Gb	Gb	existing-unreviewed		0
GDT_ENTRIES	Gdtentry	Gdtentry	existing-unreviewed		0
GOT	Got	Got	existing-unreviewed		0
GPFException	Gpfexception	Gpfexception	existing-unreviewed		0
GatewayIP	Gatewayip	Gatewayip	existing-unreviewed		0
GdtAddressHigh	Gdtaddressגבוהה	Gdtaddressגבוהה	existing-unreviewed		0
GdtAddressLow	Gdtaddressנמוך	Gdtaddressנמוך	existing-unreviewed		0
GdtDescriptor	Gdtdescriptor	Gdtdescriptor	existing-unreviewed		0
GdtEntry	Gdtentry_2	Gdtentry_2	existing-unreviewed		0
GdtSize	Gdtגודל	Gdtגודל	existing-unreviewed		0
GetAt	Getat	Getat	existing-unreviewed		0
GetBackend	Getbackend	Getbackend	existing-unreviewed		0
GetBaseAddressRegister	Getbaseaddressregister	Getbaseaddressregister	existing-unreviewed		0
GetBitmaspSize	Getbitmaspגודל	Getbitmaspגודל	existing-unreviewed		0
GetBytesFromPtr	Getבתיםfromסמן	Getבתיםfromסמן	existing-unreviewed		0
GetCR0	Getcr0	Getcr0	existing-unreviewed		0
