원래경로	변환경로
src/amd_am79c973/amd_am79c973.go	src/amdam79c973/amdam79c973.go
src/arp/arp.go	src/arp/arp.go
src/common/memoperations.go	src/comune/memoriaoperation.go
src/common/type.go	src/comune/tipo.go
src/console/console.go	src/console/console.go
src/console/console.s	src/console/console.s
src/drivers/ata/ata.go	src/driver/ata/ata.go
src/drivers/driver/driver.go	src/driver/driver/driver.go
src/drivers/keyboard/keyboard.go	src/driver/tastiera/tastiera.go
src/drivers/mouse/mouse.go	src/driver/dispositivo_di_puntamento/dispositivo_di_puntamento.go
src/drivers/timer/timer.go	src/driver/timer/timer.go
src/etherframe/etherframe.go	src/trama_della_rete_a_mezzo_condiviso/trama_della_rete_a_mezzo_condiviso.go
src/filesystem/elf/elf.go	src/fileSistema/formato_eseguibile_e_collegabile/formato_eseguibile_e_collegabile.go
src/filesystem/elf/elfheader.go	src/fileSistema/formato_eseguibile_e_collegabile/elfheader.go
src/filesystem/elf/elfsection.go	src/fileSistema/formato_eseguibile_e_collegabile/elfsection.go
src/filesystem/elf/linkmap.go	src/fileSistema/formato_eseguibile_e_collegabile/collegamentomap.go
src/filesystem/fat/fat.go	src/fileSistema/fat/fat.go
src/filesystem/msdospart/msdospart.go	src/fileSistema/msdospartition/msdospartition.go
src/gate/gate.go	src/gate/gate.go
src/gate/gate.s	src/gate/gate.s
src/gate/gate_amd64.go	src/gate/gateamd64.go
src/gate/gate_amd64.s	src/gate/gateamd64.s
src/gdt/gdt.go	src/gdt/gdt.go
src/gdt/gdt.s	src/gdt/gdt.s
src/icmp/icmp.go	src/protocollo_dei_messaggi_di_controllo_della_rete_interconnessa/protocollo_dei_messaggi_di_controllo_della_rete_interconnessa.go
src/interrupt/interrupt.go	src/interrupt/interrupt.go
src/interrupt/interrupt.s	src/interrupt/interrupt.s
src/ipv4/ipv4.go	src/protocollo_di_rete_interconnessa_4/protocollo_di_rete_interconnessa_4.go
src/memorymanager/memorymanager.go	src/memoriamanager/memoriamanager.go
src/multitasking/multi.s	src/multitasking/multi.s
src/multitasking/multitasking.go	src/multitasking/multitasking.go
src/paging/paging.go	src/paging/paging.go
src/paging/paging.s	src/paging/paging.s
src/pci/pci.go	src/pci/pci.go
src/phymem/phymem.go	src/physicalMemoria/physicalMemoria.go
src/port/port.go	src/porta/porta.go
src/port/port.s	src/porta/porta.s
src/systemcall/systemcall.go	src/sistemacall/sistemacall.go
src/systemcall/systemcall.s	src/sistemacall/sistemacall.s
src/tasking/process/process.go	src/tasking/processi/processi.go
src/tasking/scheduler/scheduler.go	src/tasking/scheduler/scheduler.go
src/tasking/scheduler/scheduler.s	src/tasking/scheduler/scheduler.s
src/tasking/thread/thread.go	src/tasking/thread/thread.go
src/tasking/tss/tss.go	src/tasking/tss/tss.go
src/tasking/tss/tss.s	src/tasking/tss/tss.s
src/text_mode/text_mode.go	src/testoMODO/testoMODO.go
src/udp/udp.go	src/protocollo_dei_datagrammi_utente/protocollo_dei_datagrammi_utente.go
src/util/array/array.go	src/util/serie/serie.go
src/util/list/list.go	src/util/elenco/elenco.go
src/util/util.go	src/util/util.go
src/vga/vga.go	src/vga/vga.go
src/virtmem/virtmem.go	src/virtualeMemoria/virtualeMemoria.go
src/widget/widget.go	src/elemento_grafico/elemento_grafico.go
main.go	principale.go
main.s	principale.s
asm/constants.inc	avvio_macchina/costante.inc
asm/gdt.inc	avvio_macchina/gdt.inc
asm/go_asm_offsets.inc	avvio_macchina/goasmoffset.inc
asm/multiboot_header.s	avvio_macchina/multibootheader.s
asm/rt0.s	avvio_macchina/rt0.s
go.sh	compila_nucleo.sh
linker.ld	disposizione_di_collegamento.ld
tools/decode-virtualbox-log.sh	strumenti/decodifica_registro_seriale.sh
tools/offsets.go	strumenti/scostamenti_di_struttura.go
