original	before	after	review_status	concept	changed_tokens
Activate	Attiva	Attiva	existing-unreviewed		0
ActivateAll	AttivaTutto	AttivaTutto	existing-unreviewed		0
Active	Attivo	Attivo	existing-unreviewed		0
ActiveInterruptManager	Attivointerruptmanager	Attivointerruptmanager	existing-unreviewed		0
ActiveMemoryManager	AttivoMemoriamanager	AttivoMemoriamanager	existing-unreviewed		0
Add	Aggiungi	Aggiungi	existing-unreviewed		0
AddDriver	Aggiungidriver	Aggiungidriver	existing-unreviewed		0
AddRunnableThread	Aggiungirunnablethread	Aggiungirunnablethread	existing-unreviewed		0
AddTask	AggiungiProcesso	AggiungiProcesso	existing-unreviewed		0
AddThread	Aggiungithread	Aggiungithread	existing-unreviewed		0
Address	Address	Address	existing-unreviewed		0
AlignedMalloc	Alignedmalloc	Alignedmalloc	existing-unreviewed		0
AlignmentCheck	Alignmentcheck	Alignmentcheck	existing-unreviewed		0
AllocateBlock	AllocateBlocco	AllocateBlocco	existing-unreviewed		0
AllocatePID	Allocatepid	Allocatepid	existing-unreviewed		0
AmountOfMemory	QuantitàdiMemoria	QuantitàdiMemoria	existing-unreviewed		0
ArrayToUint16	Serietounsignedinteger16	Serietounsignedinteger16	existing-unreviewed		0
ArrayToUint32	Serietounsignedinteger32	Serietounsignedinteger32	existing-unreviewed		0
ArrayToUint48	Serietounsignedinteger48	Serietounsignedinteger48	existing-unreviewed		0
ArrayToUint48_BE	Serietounsignedinteger48be	Serietounsignedinteger48be	existing-unreviewed		0
ArrayToUint64	Serietounsignedinteger64	Serietounsignedinteger64	existing-unreviewed		0
Atime	Atime	Atime	existing-unreviewed		0
AtimeNsec	Atimensec	Atimensec	existing-unreviewed		0
BLOCKS_PER_BYTE	Bloccoperbyte	Bloccoperbyte	existing-unreviewed		0
BLOCK_SIZE	BloccoDimensione	BloccoDimensione	existing-unreviewed		0
Backend	Backend	Backend	existing-unreviewed		0
BaseAddr	Baseaddress	Baseaddress	existing-unreviewed		0
Bind	Bind	Bind	existing-unreviewed		0
Blksize	Blksize	Blksize	existing-unreviewed		0
Blocked	Blocked	Blocked	existing-unreviewed		0
BlockedState	BlockedStato	BlockedStato	existing-unreviewed		0
Blocks	Blocco	Blocco	existing-unreviewed		0
BoundRangeExceeded	BoundIntervalloexceeded	BoundIntervalloexceeded	existing-unreviewed		0
BroadcastMacAddress	Broadcastmacaddress	Broadcastmacaddress	existing-unreviewed		0
BytesPerSector	Bytepersector	Bytepersector	existing-unreviewed		0
BytesToString	BytetoStringa	BytetoStringa	existing-unreviewed		0
Checksum	Checksum	Checksum	existing-unreviewed		0
Clear	Pulisci	Pulisci	existing-unreviewed		0
Clone	Clone	Clone	existing-unreviewed		0
CloneAddressSpaceCOW	CloneaddressSpaziocow	CloneaddressSpaziocow	existing-unreviewed		0
Connect	Connetti	Connetti	existing-unreviewed		0
ContainsCoordinate	Containscoordinate	Containscoordinate	existing-unreviewed		0
