before	after
asm/costante.inc	avvio_macchina/costante.inc
asm/gdt.inc	avvio_macchina/gdt.inc
asm/goasmoffset.inc	avvio_macchina/goasmoffset.inc
asm/multibootheader.s	avvio_macchina/multibootheader.s
asm/rt0.s	avvio_macchina/rt0.s
go.sh	compila_nucleo.sh
linker.ld	disposizione_di_collegamento.ld
src/driver/mouse/mouse.go	src/driver/dispositivo_di_puntamento/dispositivo_di_puntamento.go
src/elementi/elementi.go	src/elemento_grafico/elemento_grafico.go
src/ethernetRiquadro/ethernetRiquadro.go	src/trama_della_rete_a_mezzo_condiviso/trama_della_rete_a_mezzo_condiviso.go
src/fileSistema/elf/collegamentomap.go	src/fileSistema/formato_eseguibile_e_collegabile/collegamentomap.go
src/fileSistema/elf/elf.go	src/fileSistema/formato_eseguibile_e_collegabile/formato_eseguibile_e_collegabile.go
src/fileSistema/elf/elfheader.go	src/fileSistema/formato_eseguibile_e_collegabile/elfheader.go
src/fileSistema/elf/elfsection.go	src/fileSistema/formato_eseguibile_e_collegabile/elfsection.go
src/icmp/icmp.go	src/protocollo_dei_messaggi_di_controllo_della_rete_interconnessa/protocollo_dei_messaggi_di_controllo_della_rete_interconnessa.go
src/ipv4/ipv4.go	src/protocollo_di_rete_interconnessa_4/protocollo_di_rete_interconnessa_4.go
src/udp/udp.go	src/protocollo_dei_datagrammi_utente/protocollo_dei_datagrammi_utente.go
tools/decode-virtualbox-log.sh	strumenti/decodifica_registro_seriale.sh
tools/offsets.go	strumenti/scostamenti_di_struttura.go
userland/posix/Makefile	spazio_utente/posix/Makefile
userland/posix/TEST_RESULTS.md	spazio_utente/posix/TEST_RESULTS.md
userland/posix/include/arpa/inet.h	spazio_utente/posix/dichiarazioni/arpa/inet.h
userland/posix/include/engos/syscall.h	spazio_utente/posix/dichiarazioni/engos/syscall.h
userland/posix/include/errno.h	spazio_utente/posix/dichiarazioni/errno.h
userland/posix/include/fcntl.h	spazio_utente/posix/dichiarazioni/fcntl.h
userland/posix/include/netinet/in.h	spazio_utente/posix/dichiarazioni/netinet/in.h
userland/posix/include/stddef.h	spazio_utente/posix/dichiarazioni/stddef.h
userland/posix/include/stdint.h	spazio_utente/posix/dichiarazioni/stdint.h
userland/posix/include/sys/socket.h	spazio_utente/posix/dichiarazioni/sys/socket.h
userland/posix/include/sys/stat.h	spazio_utente/posix/dichiarazioni/sys/stat.h
userland/posix/include/sys/types.h	spazio_utente/posix/dichiarazioni/sys/types.h
userland/posix/include/sys/utsname.h	spazio_utente/posix/dichiarazioni/sys/utsname.h
userland/posix/include/sys/wait.h	spazio_utente/posix/dichiarazioni/sys/wait.h
userland/posix/include/unistd.h	spazio_utente/posix/dichiarazioni/unistd.h
userland/posix/linker.ld	spazio_utente/posix/disposizione_di_collegamento.ld
userland/posix/src/crt0.S	spazio_utente/posix/implementazione/avvio.S
userland/posix/src/errno.c	spazio_utente/posix/implementazione/numero_di_errore.c
userland/posix/src/fcntl.c	spazio_utente/posix/implementazione/controllo_file.c
userland/posix/src/socket.c	spazio_utente/posix/implementazione/socket.c
userland/posix/src/stat.c	spazio_utente/posix/implementazione/stato_file.c
userland/posix/src/syscall.S	spazio_utente/posix/implementazione/chiamata_di_sistema.S
userland/posix/src/unistd.c	spazio_utente/posix/implementazione/unistd.c
userland/posix/tests/compile.c	spazio_utente/posix/prove/compile.c
userland/posix/tests/exec_runtime.c	spazio_utente/posix/prove/exec_runtime.c
userland/posix/tests/exec_target.c	spazio_utente/posix/prove/exec_target.c
userland/posix/tests/fork_runtime.c	spazio_utente/posix/prove/fork_runtime.c
userland/posix/tests/heap_runtime.c	spazio_utente/posix/prove/heap_runtime.c
userland/posix/tests/runtime.c	spazio_utente/posix/prove/runtime.c
userland/posix/tests/socket_runtime.c	spazio_utente/posix/prove/socket_runtime.c
userland/posix/tests/stdin_runtime.c	spazio_utente/posix/prove/stdin_runtime.c
