identifier	status
__LINE__	c-or-preprocessor-syntax
__asm__	c-or-preprocessor-syntax
__attribute__	c-or-preprocessor-syntax
__builtin_va_arg	compiler-intrinsic
__builtin_va_end	compiler-intrinsic
__builtin_va_list	compiler-intrinsic
__builtin_va_start	compiler-intrinsic
__cplusplus	c-or-preprocessor-syntax
__syscall6	abi-entry-or-explicit-neutral-name
__syscall_result	abi-entry-or-explicit-neutral-name
__volatile__	c-or-preprocessor-syntax
char	c-or-preprocessor-syntax
const	c-or-preprocessor-syntax
define	c-or-preprocessor-syntax
do	c-or-preprocessor-syntax
else	c-or-preprocessor-syntax
endif	c-or-preprocessor-syntax
enum	c-or-preprocessor-syntax
extern	c-or-preprocessor-syntax
for	c-or-preprocessor-syntax
goto	c-or-preprocessor-syntax
if	c-or-preprocessor-syntax
ifdef	c-or-preprocessor-syntax
ifndef	c-or-preprocessor-syntax
include	c-or-preprocessor-syntax
int	c-or-preprocessor-syntax
long	c-or-preprocessor-syntax
main	abi-entry-or-explicit-neutral-name
noreturn	c-or-preprocessor-syntax
return	c-or-preprocessor-syntax
short	c-or-preprocessor-syntax
signed	c-or-preprocessor-syntax
sizeof	c-or-preprocessor-syntax
static	c-or-preprocessor-syntax
struct	c-or-preprocessor-syntax
typedef	c-or-preprocessor-syntax
unsigned	c-or-preprocessor-syntax
void	c-or-preprocessor-syntax
volatile	c-or-preprocessor-syntax
while	c-or-preprocessor-syntax
