standard_identifier	native_identifier	category	current_role	status
in_addr_t	相互接続網番地値型	network-declaration	internetwork_address_value_type	project-proposal
in_port_t	通信窓口番号型	network-declaration	transport_port_number_type	project-proposal
in_addr	相互接続網番地	network-declaration	internetwork_address	project-proposal
sockaddr_in	相互接続網端点番地	network-declaration	internetwork_endpoint_address	project-proposal
s_addr	番地値	network-declaration	address_value	project-proposal
sin_family	接続網番地系統	network-declaration	internetwork_address_family	project-proposal
sin_port	通信窓口番号	network-declaration	transport_port_number	project-proposal
sin_addr	接続網番地内容	network-declaration	internetwork_address_field	project-proposal
sin_zero	番地の埋合せ	network-declaration	address_padding	project-proposal
sa_family_t	番地系統型	network-declaration	address_family_type	project-proposal
sockaddr	通信端点番地	network-declaration	endpoint_address	project-proposal
sa_family	端点番地系統	network-declaration	endpoint_address_family	project-proposal
sa_data	番地資料	network-declaration	address_payload	project-proposal
socklen_t	番地長型	network-declaration	address_length_type	project-proposal
AF_UNSPEC	番地系統未指定	network-declaration	unspecified_address_family	project-proposal
AF_INET	相互接続網番地系統	network-declaration	internetwork_address_family_code	project-proposal
PF_INET	相互接続網規約系統	network-declaration	internetwork_protocol_family	project-proposal
SOCK_STREAM	資料流端点	network-declaration	stream_endpoint	project-proposal
SOCK_DGRAM	資料電文端点	network-declaration	datagram_endpoint	project-proposal
SHUT_RD	受信停止	network-declaration	stop_receiving	project-proposal
SHUT_WR	送信停止	network-declaration	stop_sending	project-proposal
SHUT_RDWR	双方向停止	network-declaration	stop_both_directions	project-proposal
IPPROTO_IP	相互接続網基本規約	network-declaration	default_internetwork_protocol	project-proposal
IPPROTO_UDP	利用者資料電文規約	network-declaration	user_datagram_protocol	project-proposal
INADDR_ANY	全ての局所番地	network-declaration	any_local_address	project-proposal
INADDR_LOOPBACK	自己折返し番地	network-declaration	loopback_address	project-proposal
hostlong	機械順32二進桁値	network-declaration	host_order_32_bit_value	project-proposal
hostshort	機械順16二進桁値	network-declaration	host_order_16_bit_value	project-proposal
netlong	通信網順32二進桁値	network-declaration	network_order_32_bit_value	project-proposal
netshort	通信網順16二進桁値	network-declaration	network_order_16_bit_value	project-proposal
size_t	大きさ型	scalar-type	object_size_type	project-proposal
ssize_t	符号付き大きさ型	scalar-type	signed_size_type	project-proposal
ptrdiff_t	番地差型	scalar-type	pointer_difference_type	project-proposal
off_t	文書位置型	scalar-type	file_offset_type	project-proposal
pid_t	実行過程番号型	scalar-type	process_identifier_type	project-proposal
uid_t	利用者番号型	scalar-type	user_identifier_type	project-proposal
gid_t	所属組番号型	scalar-type	group_identifier_type	project-proposal
mode_t	文書方式型	scalar-type	file_mode_type	project-proposal
dev_t	装置番号型	scalar-type	device_identifier_type	project-proposal
ino_t	文書固有番号型	scalar-type	file_serial_number_type	project-proposal
nlink_t	直接連結数型	scalar-type	hard_link_count_type	project-proposal
time_t	時刻値型	scalar-type	time_value_type	project-proposal
blksize_t	区画長型	scalar-type	block_size_type	project-proposal
blkcnt_t	区画数型	scalar-type	block_count_type	project-proposal
int8_t	符号付き8二進桁整数	scalar-type	signed_8_bit_integer	project-proposal
uint8_t	符号なし8二進桁整数	scalar-type	unsigned_8_bit_integer	project-proposal
int16_t	符号付き16二進桁整数	scalar-type	signed_16_bit_integer	project-proposal
uint16_t	符号なし16二進桁整数	scalar-type	unsigned_16_bit_integer	project-proposal
int32_t	符号付き32二進桁整数	scalar-type	signed_32_bit_integer	project-proposal
uint32_t	符号なし32二進桁整数	scalar-type	unsigned_32_bit_integer	project-proposal
int64_t	符号付き64二進桁整数	scalar-type	signed_64_bit_integer	project-proposal
uint64_t	符号なし64二進桁整数	scalar-type	unsigned_64_bit_integer	project-proposal
intptr_t	番地幅符号付き整数	scalar-type	pointer_sized_signed_integer	project-proposal
