standard_identifier	native_identifier	category	status
AF_INET	相互接続網番地系統	network-declaration	project-proposal
AF_UNSPEC	番地系統未指定	network-declaration	project-proposal
CHAR_BIT	八桁組の二進桁数	integer-limit	project-proposal
CHAR_MAX	文字整数最大値	integer-limit	project-proposal
CHAR_MIN	文字整数最小値	integer-limit	project-proposal
CHECK	条件確認	variable	project-proposal
E2BIG	誤り引数一覧過大	error-code	project-proposal
EACCES	誤り利用権限なし	error-code	project-proposal
EADDRINUSE	誤り番地使用中	error-code	project-proposal
EAFNOSUPPORT	誤り番地系統非対応	error-code	project-proposal
EAGAIN	誤り一時利用不可	error-code	project-proposal
EBADF	誤り記述番号不正	error-code	project-proposal
EBUSY	誤り資源使用中	error-code	project-proposal
ECHILD	誤り子実行過程なし	error-code	project-proposal
EEXIST	誤り文書既存	error-code	project-proposal
EFAULT	誤り記憶番地不正	error-code	project-proposal
EFBIG	誤り文書過大	error-code	project-proposal
EINTR	誤り操作中断	error-code	project-proposal
EINVAL	誤り引数不正	error-code	project-proposal
EIO	誤り入出力失敗	error-code	project-proposal
EISDIR	誤り目録である	error-code	project-proposal
EMFILE	誤り過程文書数上限	error-code	project-proposal
EMSGSIZE	誤り電文過大	error-code	project-proposal
ENETUNREACH	誤り通信網到達不可	error-code	project-proposal
ENFILE	誤り体系文書数上限	error-code	project-proposal
ENODEV	誤り装置なし	error-code	project-proposal
ENOENT	誤り文書又は目録なし	error-code	project-proposal
ENOEXEC	誤り実行形式不正	error-code	project-proposal
ENOMEM	誤り記憶不足	error-code	project-proposal
ENOSPC	誤り保存領域不足	error-code	project-proposal
ENOSYS	誤り機能未実装	error-code	project-proposal
ENOTCONN	誤り端点未接続	error-code	project-proposal
ENOTDIR	誤り目録でない	error-code	project-proposal
ENOTTY	誤り装置不適合操作	error-code	project-proposal
EOPNOTSUPP	誤り操作非対応	error-code	project-proposal
EPERM	誤り操作不許可	error-code	project-proposal
EPROTONOSUPPORT	誤り規約非対応	error-code	project-proposal
ERANGE	誤り値範囲外	error-code	project-proposal
EROFS	誤り読取専用文書体系	error-code	project-proposal
ESPIPE	誤り流れ位置移動不可	error-code	project-proposal
ESRCH	誤り実行過程なし	error-code	project-proposal
EXIT_FAILURE	失敗終了	interface-constant	project-proposal
EXIT_SUCCESS	成功終了	interface-constant	project-proposal
FD_CLOEXEC	実行内容置換時に閉じる	interface-constant	project-proposal
F_DUPFD	記述番号複製	interface-constant	project-proposal
F_GETFD	記述番号標識取得	interface-constant	project-proposal
F_GETFL	文書状態標識取得	interface-constant	project-proposal
F_OK	存在確認	interface-constant	project-proposal
F_SETFD	記述番号標識設定	interface-constant	project-proposal
F_SETFL	文書状態標識設定	interface-constant	project-proposal
INADDR_ANY	全ての局所番地	network-declaration	project-proposal
INADDR_LOOPBACK	自己折返し番地	network-declaration	project-proposal
INT_MAX	整数最大値	integer-limit	project-proposal
INT_MIN	整数最小値	integer-limit	project-proposal
IPPROTO_IP	相互接続網基本規約	network-declaration	project-proposal
IPPROTO_UDP	利用者資料電文規約	network-declaration	project-proposal
LLONG_MAX	長長整数最大値	integer-limit	project-proposal
LLONG_MIN	長長整数最小値	integer-limit	project-proposal
LONG_MAX	長整数最大値	integer-limit	project-proposal
LONG_MIN	長整数最小値	integer-limit	project-proposal
NULL	空番地	interface-constant	project-proposal
O_ACCMODE	利用方式抽出値	interface-constant	project-proposal
O_APPEND	末尾へ追加する	interface-constant	project-proposal
O_CREAT	無ければ作る	interface-constant	project-proposal
O_DIRECTORY	目録のみ許す	interface-constant	project-proposal
O_EXCL	新規文書のみ許す	interface-constant	project-proposal
O_RDONLY	読取専用で開く	interface-constant	project-proposal
O_RDWR	読書両用で開く	interface-constant	project-proposal
O_TRUNC	既存内容を空にする	interface-constant	project-proposal
O_WRONLY	書込専用で開く	interface-constant	project-proposal
PF_INET	相互接続網規約系統	network-declaration	project-proposal
R_OK	読取権限確認	interface-constant	project-proposal
SC0	引数なし体系呼出し	implementation-helper	project-proposal
SC1	引数一つ体系呼出し	implementation-helper	project-proposal
SC2	引数二つ体系呼出し	implementation-helper	project-proposal
SC3	引数三つ体系呼出し	implementation-helper	project-proposal
SCHAR_MAX	符号付き文字整数最大値	integer-limit	project-proposal
SCHAR_MIN	符号付き文字整数最小値	integer-limit	project-proposal
SC_accept	通信端点_接続要求を受け入れる	internal-name	derived-from-call-role
SC_bind	通信端点_局所番地を結ぶ	internal-name	derived-from-call-role
SC_connect	通信端点_相手端点につなぐ	internal-name	derived-from-call-role
SC_getpeername	通信端点_相手端点の番地を得る	internal-name	derived-from-call-role
SC_getsockname	通信端点_局所端点の番地を得る	internal-name	derived-from-call-role
SC_listen	通信端点_接続要求に備える	internal-name	derived-from-call-role
