original	localized	language
Activate	A有効にする	ja
ActivateAll	A有効にするすべて	ja
Active	A有効	ja
ActiveInterruptManager	A有効割込み管理者	ja
ActiveMemoryManager	A有効メモリ管理者	ja
Add	A追加	ja
AddDriver	A追加ドライバー	ja
AddRunnableThread	A追加runnableスレッド	ja
AddTask	A追加タスク	ja
AddThread	A追加スレッド	ja
Address	Address	ja
AlignedMalloc	Alignedmalloc	ja
AlignmentCheck	Alignmentcheck	ja
AllocateBlock	Allocateブロック	ja
AllocatePID	Allocatepid	ja
AmountOfMemory	A株数ofメモリ	ja
ArrayToUint16	A配列tounsignedinteger16	ja
ArrayToUint32	A配列tounsignedinteger32	ja
ArrayToUint48	A配列tounsignedinteger48	ja
ArrayToUint48_BE	A配列tounsignedinteger48be	ja
ArrayToUint64	A配列tounsignedinteger64	ja
Atime	Atime	ja
AtimeNsec	Atimensec	ja
BLOCKS_PER_BYTE	Bブロックperバイト	ja
BLOCK_SIZE	Bブロックサイズ	ja
Backend	Backend	ja
BaseAddr	Baseaddress	ja
Bind	Bバインド	ja
Blksize	Blksize	ja
Blocked	Blocked	ja
BlockedState	Blocked状態	ja
Blocks	Bブロック	ja
BoundRangeExceeded	Boundrangeexceeded	ja
BroadcastMacAddress	Broadcastmacaddress	ja
BytesPerSector	Bバイトpersector	ja
BytesToString	Bバイトto文字列	ja
Checksum	Checksum	ja
Clear	Cクリア	ja
Clone	Clone	ja
CloneAddressSpaceCOW	Cloneaddressスペースcow	ja
Connect	C接続	ja
ContainsCoordinate	Containscoordinate	ja
CopyPageFrameBlock	C複製ページフレームブロック	ja
CpuState	Cpu状態	ja
Create	C作成	ja
CreateFromData	C作成からデータ	ja
CreateFromFunction	C作成から関数	ja
CreatePtrFromFunction	C作成ポインタから関数	ja
Cs	Cs	ja
Ctime	Ctime	ja
CtimeNsec	Ctimensec	ja
CurrentPID	C現在の日時pid	ja
CurrentParentPID	C現在の日時parentpid	ja
Data	Data	ja
Deactivate	D無効にする	ja
Deactive	Deactive	ja
Decrement	Decrement	ja
Delete	D削除	ja
DescriptorPrivilegeLevel	Descriptorprivilegelevel	ja
DescriptorType	Descriptor型	ja
Destroy	D破棄	ja
Dev	Dデバイス	ja
DeviceHasFunctions	Dデバイスhas関数	ja
DeviceNotAvailable	Dデバイスインストールされていません使用可能	ja
Device_id	Dデバイスid	ja
DisableInt	D不可int	ja
Disconnect	D切断する	ja
DivideByZero	D除算by数値の0	ja
DoHandleInterrupt	Do取っ手割込み	ja
DoubleFault	D二重線障害	ja
Draw	Draw	ja
DriverManager	Dドライバー管理者	ja
Ds	Ds	ja
Dynamic	D動的に	ja
E2BIG	E2big	ja
EACCES	Eacces	ja
EADDRINUSE	Eaddrinuse	ja
EAFNOSUPPORT	Eafnosupport	ja
EAGAIN	Eagain	ja
EBADF	Ebadf	ja
EBUSY	Ebusy	ja
ECHILD	Echild	ja
EEXIST	Eexist	ja
EFAULT	Efault	ja
EFBIG	Efbig	ja
EINTR	Eintr	ja
EINVAL	Einval	ja
EIO	Eio	ja
EISDIR	Eisdir	ja
EMFILE	Emfile	ja
EMSGSIZE	Emsgsize	ja
ENETUNREACH	Enetunreach	ja
ENFILE	Enfile	ja
ENODEV	Enodev	ja
ENOENT	Enoent	ja
ENOEXEC	Enoexec	ja
ENOMEM	Enomem	ja
ENOSPC	Enospc	ja
ENOSYS	Enosys	ja
ENOTCONN	Enotconn	ja
ENOTDIR	Enotdir	ja
ENOTTY	Enotty	ja
EOPNOTSUPP	Eopnotsupp	ja
EPERM	Eperm	ja
EPROTONOSUPPORT	Eprotonosupport	ja
ERANGE	Erange	ja
EROFS	Erofs	ja
ESPIPE	Espipe	ja
ESRCH	Esrch	ja
Eax	Eax	ja
Ebp	Ebp	ja
Ebx	Ebx	ja
Ecx	Ecx	ja
Edi	Edi	ja
Edx	Edx	ja
Eflags	Eflags	ja
Eip	Eip	ja
Elf	Elf	ja
Elf32Dyn	Elf32dyn	ja
Elf32Note	Elf32備考	ja
Elf32Rel	Elf32rel	ja
Elf32Rela	Elf32rela	ja
Elf32Sym	Elf32sym	ja
ElfHeader	Elfヘッダ	ja
ElfProgramHeader	Elfプログラムヘッダ	ja
ElfSectionHeader	Elf区画ヘッダ	ja
EnablePaging	Enableページ管理	ja
Enabled	E有効	ja
EntryNumber	Entrynumber	ja
EqualBytes	Eすべて同じバイト	ja
Es	Es	ja
Esi	Esi	ja
Esp	Esp	ja
FPUBuffer	Fpubuffer	ja
FPUOffset	Fpuoffset	ja
Family	Family	ja
FileName	Fファイル名前	ja
Fill	Fill	ja
FillRectangle	Fill矩形	ja
First	First	ja
FirstFree	First空き	ja
FirstFreeSize	First空きサイズ	ja
Flags	Fフラグ	ja
FloatingPointException	Fフローティングpointexception	ja
Flush	Flush	ja
FlushTlsTable	Flushtlstable	ja
Focussable	Focussable	ja
Free	F空き	ja
Fs	Fs	ja
GB	Gb	ja
GDT_ENTRIES	Gdtentry	ja
GOT	Got	ja
GPFException	Gpfexception	ja
GatewayIP	Gatewayip	ja
GdtAddressHigh	Gdtaddress高い	ja
GdtAddressLow	Gdtaddress低い	ja
GdtDescriptor	Gdtdescriptor	ja
GdtEntry	Gdtentry_2	ja
GdtSize	Gdtサイズ	ja
GetAt	Getat	ja
GetBackend	Getbackend	ja
GetBaseAddressRegister	Getbaseaddressレジスタ	ja
GetBitmaspSize	Getbitmaspサイズ	ja
GetBytesFromPtr	Getバイトからポインタ	ja
GetCR0	Getcr0	ja
GetCR2	Getcr2	ja
GetCR3	Getcr3	ja
GetCR4	Getcr4	ja
GetColorIndex	Get色目次	ja
GetDeviceDescriptor	Getデバイスdescriptor	ja
GetDriver	Getドライバー	ja
GetESP0	Getesp0	ja
GetEntry	Getentry	ja
GetFileSize	Getファイルサイズ	ja
GetFocus	Getフォーカス	ja
GetFrameBufferSegment	Getフレームbuffersegment	ja
GetFuncPtrFromPtr	Getfuncポインタからポインタ	ja
GetFunctionName	Get関数名前	ja
GetHandler	Gethandler	ja
GetIPAddress	Getipaddress	ja
GetMACAddress	Getmacaddress	ja
GetMACFromCache	Getmacからcache	ja
GetNextReadyThread	Get次準備OKスレッド	ja
GetNodeAt	Getノードat	ja
GetProvider	Providerget	ja
GetSS0	Getss0	ja
GetStr	Getstr	ja
GetUint32ArrayFromPtr	Getunsignedinteger32配列からポインタ	ja
GetUintptrArrayFromPtr	Getunsignedintegerポインタ配列からポインタ	ja
GetValue	Get値	ja
GetValueInPageDir	Get値受信ページディレクトリ	ja
Gid	Gid	ja
Gs	Gs	ja
HandleException	H取っ手exception	ja
HandleFatalInterruptFrame	H取っ手fatal割込みフレーム	ja
HandleInterrupt	H取っ手割込み	ja
HandleInterrupt1	H取っ手割込み1	ja
HandleUserDatagramProtocolMessage	H取っ手利用者datagramprotocolメッセージ	ja
IDT_DESC_PRESENT	Idtdescriptor現在	ja
IDT_INTERRUPT_GATE	Idt割込みゲート	ja
IDriver	Iドライバー	ja
IEtherFrameHandler	Iイーサネットフレームhandler	ja
IInternetProtocolHandler	Iインターネットprotocolhandler	ja
IInterruptHandler	I割込みhandler	ja
IKeyboardEventHandler	Iキーボード事象handler	ja
IMouseEventHandler	Iマウス事象handler	ja
IPCIControllerHandler	Ipci制御器handler	ja
IPCache	Ipcache	ja
IP_BE	Ipネットワークバイトorder	ja
IRawDataHandler	IRawデータhandler	ja
ITimerEventHandler	Iタイマー事象handler	ja
IUserDatagramProtocolHandler	I利用者datagramprotocolhandler	ja
IUserDatagramProtocolSocket	I利用者datagramprotocolソケット	ja
IWidget	I画面要素	ja
Identify	Identify	ja
Increment	Increment	ja
IndexOf	I目次of	ja
Init	Init	ja
InitDriver	Initドライバー	ja
InitialThreadUserJump	Initialスレッド利用者jump	ja
Ino	Ino	ja
Install	Iインストール	ja
Interrupt	I割込み	ja
InterruptActive	I割込み有効	ja
InterruptDeactive	I割込みdeactive	ja
InterruptManager	I割込み管理者	ja
InterruptNumber	I割込みnumber	ja
InvalidOpcode	I不正opcode	ja
InvalidTSS	I不正tss	ja
IsKernel	Is中核	ja
IsPresent	Is現在	ja
IsUserSpace	Is利用者スペース	ja
