before	after
asm/gdt.inc	機械起動/gdt.inc
asm/goasmoffset.inc	機械起動/goasmoffset.inc
asm/multibootヘッダ.s	機械起動/multibootヘッダ.s
asm/rt0.s	機械起動/rt0.s
asm/定数.inc	機械起動/定数.inc
go.sh	中核翻訳.sh
linker.ld	連結配置.ld
src/icmp/icmp.go	src/相互接続網制御電文規約/相互接続網制御電文規約.go
src/ipv4/ipv4.go	src/相互接続網規約4/相互接続網規約4.go
src/udp/udp.go	src/利用者資料電文規約/利用者資料電文規約.go
src/イーサネットフレーム/イーサネットフレーム.go	src/共有媒体網伝送枠/共有媒体網伝送枠.go
src/ドライバー/マウス/マウス.go	src/ドライバー/位置入力装置/位置入力装置.go
src/ファイルシステム/elf/elf.go	src/ファイルシステム/実行連結形式/実行連結形式.go
src/ファイルシステム/elf/elfヘッダ.go	src/ファイルシステム/実行連結形式/elfヘッダ.go
src/ファイルシステム/elf/elf区画.go	src/ファイルシステム/実行連結形式/elf区画.go
src/ファイルシステム/elf/連結対応表.go	src/ファイルシステム/実行連結形式/連結対応表.go
tools/decode-virtualbox-log.sh	補助道具/直列記録解析.sh
tools/offsets.go	補助道具/構造変位.go
userland/posix/Makefile	利用者領域/posix/Makefile
userland/posix/TEST_RESULTS.md	利用者領域/posix/TEST_RESULTS.md
userland/posix/include/arpa/inet.h	利用者領域/posix/宣言集/arpa/inet.h
userland/posix/include/engos/syscall.h	利用者領域/posix/宣言集/engos/syscall.h
userland/posix/include/errno.h	利用者領域/posix/宣言集/errno.h
userland/posix/include/fcntl.h	利用者領域/posix/宣言集/fcntl.h
userland/posix/include/netinet/in.h	利用者領域/posix/宣言集/netinet/in.h
userland/posix/include/stddef.h	利用者領域/posix/宣言集/stddef.h
userland/posix/include/stdint.h	利用者領域/posix/宣言集/stdint.h
userland/posix/include/sys/socket.h	利用者領域/posix/宣言集/sys/socket.h
userland/posix/include/sys/stat.h	利用者領域/posix/宣言集/sys/stat.h
userland/posix/include/sys/types.h	利用者領域/posix/宣言集/sys/types.h
userland/posix/include/sys/utsname.h	利用者領域/posix/宣言集/sys/utsname.h
userland/posix/include/sys/wait.h	利用者領域/posix/宣言集/sys/wait.h
userland/posix/include/unistd.h	利用者領域/posix/宣言集/unistd.h
userland/posix/linker.ld	利用者領域/posix/連結配置.ld
userland/posix/src/crt0.S	利用者領域/posix/実装/起動.S
userland/posix/src/errno.c	利用者領域/posix/実装/エラー番号.c
userland/posix/src/fcntl.c	利用者領域/posix/実装/ファイル制御.c
userland/posix/src/socket.c	利用者領域/posix/実装/socket.c
userland/posix/src/stat.c	利用者領域/posix/実装/ファイル状態.c
userland/posix/src/syscall.S	利用者領域/posix/実装/体系呼出し.S
userland/posix/src/unistd.c	利用者領域/posix/実装/unistd.c
userland/posix/tests/compile.c	利用者領域/posix/試験/compile.c
userland/posix/tests/exec_runtime.c	利用者領域/posix/試験/exec_runtime.c
userland/posix/tests/exec_target.c	利用者領域/posix/試験/exec_target.c
userland/posix/tests/fork_runtime.c	利用者領域/posix/試験/fork_runtime.c
userland/posix/tests/heap_runtime.c	利用者領域/posix/試験/heap_runtime.c
userland/posix/tests/runtime.c	利用者領域/posix/試験/runtime.c
userland/posix/tests/socket_runtime.c	利用者領域/posix/試験/socket_runtime.c
userland/posix/tests/stdin_runtime.c	利用者領域/posix/試験/stdin_runtime.c
