original	before	after	review_status	concept	changed_tokens
Activate	A有効にする	A有効にする	existing-unreviewed		0
ActivateAll	A有効にするすべて	A有効にするすべて	existing-unreviewed		0
Active	A有効	A有効	existing-unreviewed		0
ActiveInterruptManager	A有効割込み管理者	A有効割込み管理者	existing-unreviewed		0
ActiveMemoryManager	A有効メモリ管理者	A有効メモリ管理者	existing-unreviewed		0
Add	A追加	A追加	existing-unreviewed		0
AddDriver	A追加ドライバー	A追加ドライバー	existing-unreviewed		0
AddRunnableThread	A追加runnableスレッド	A追加runnableスレッド	existing-unreviewed		0
AddTask	A追加タスク	A追加タスク	existing-unreviewed		0
AddThread	A追加スレッド	A追加スレッド	existing-unreviewed		0
Address	Address	Address	existing-unreviewed		0
AlignedMalloc	Alignedmalloc	Alignedmalloc	existing-unreviewed		0
AlignmentCheck	Alignmentcheck	Alignmentcheck	existing-unreviewed		0
AllocateBlock	Allocateブロック	Allocateブロック	existing-unreviewed		0
AllocatePID	Allocatepid	Allocatepid	existing-unreviewed		0
AmountOfMemory	A株数ofメモリ	A株数ofメモリ	existing-unreviewed		0
ArrayToUint16	A配列tounsignedinteger16	A配列tounsignedinteger16	existing-unreviewed		0
ArrayToUint32	A配列tounsignedinteger32	A配列tounsignedinteger32	existing-unreviewed		0
ArrayToUint48	A配列tounsignedinteger48	A配列tounsignedinteger48	existing-unreviewed		0
ArrayToUint48_BE	A配列tounsignedinteger48be	A配列tounsignedinteger48be	existing-unreviewed		0
ArrayToUint64	A配列tounsignedinteger64	A配列tounsignedinteger64	existing-unreviewed		0
Atime	Atime	Atime	existing-unreviewed		0
AtimeNsec	Atimensec	Atimensec	existing-unreviewed		0
BLOCKS_PER_BYTE	Bブロックperバイト	Bブロックperバイト	existing-unreviewed		0
BLOCK_SIZE	Bブロックサイズ	Bブロックサイズ	existing-unreviewed		0
Backend	Backend	Backend	existing-unreviewed		0
BaseAddr	Baseaddress	Baseaddress	existing-unreviewed		0
Bind	Bバインド	Bバインド	existing-unreviewed		0
Blksize	Blksize	Blksize	existing-unreviewed		0
Blocked	Blocked	Blocked	existing-unreviewed		0
BlockedState	Blocked状態	Blocked状態	existing-unreviewed		0
Blocks	Bブロック	Bブロック	existing-unreviewed		0
BoundRangeExceeded	Boundrangeexceeded	Boundrangeexceeded	existing-unreviewed		0
BroadcastMacAddress	Broadcastmacaddress	Broadcastmacaddress	existing-unreviewed		0
BytesPerSector	Bバイトpersector	Bバイトpersector	existing-unreviewed		0
BytesToString	Bバイトto文字列	Bバイトto文字列	existing-unreviewed		0
Checksum	Checksum	Checksum	existing-unreviewed		0
Clear	Cクリア	Cクリア	existing-unreviewed		0
Clone	Clone	Clone	existing-unreviewed		0
CloneAddressSpaceCOW	Cloneaddressスペースcow	Cloneaddressスペースcow	existing-unreviewed		0
Connect	C接続	C接続	existing-unreviewed		0
ContainsCoordinate	Containscoordinate	Containscoordinate	existing-unreviewed		0
CopyPageFrameBlock	C複製ページフレームブロック	C複製ページフレームブロック	existing-unreviewed		0
CpuState	Cpu状態	Cpu状態	existing-unreviewed		0
Create	C作成	C作成	existing-unreviewed		0
CreateFromData	C作成からデータ	C作成からデータ	existing-unreviewed		0
CreateFromFunction	C作成から関数	C作成から関数	existing-unreviewed		0
CreatePtrFromFunction	C作成ポインタから関数	C作成ポインタから関数	existing-unreviewed		0
Cs	Cs	Cs	existing-unreviewed		0
Ctime	Ctime	Ctime	existing-unreviewed		0
CtimeNsec	Ctimensec	Ctimensec	existing-unreviewed		0
CurrentPID	C現在の日時pid	C現在の日時pid	existing-unreviewed		0
CurrentParentPID	C現在の日時parentpid	C現在の日時parentpid	existing-unreviewed		0
Data	Data	Data	compatibility		0
Deactivate	D無効にする	D無効にする	existing-unreviewed		0
Deactive	Deactive	Deactive	existing-unreviewed		0
Decrement	Decrement	Decrement	existing-unreviewed		0
Delete	D削除	D削除	existing-unreviewed		0
DescriptorPrivilegeLevel	Descriptorprivilegelevel	Descriptorprivilegelevel	existing-unreviewed		0
DescriptorType	Descriptor型	Descriptor型	existing-unreviewed		0
Destroy	D破棄	D破棄	existing-unreviewed		0
Dev	Dデバイス	Dデバイス	existing-unreviewed		0
DeviceHasFunctions	Dデバイスhas関数	Dデバイスhas関数	existing-unreviewed		0
DeviceNotAvailable	Dデバイスインストールされていません使用可能	Dデバイスインストールされていません使用可能	existing-unreviewed		0
Device_id	Dデバイスid	Dデバイスid	existing-unreviewed		0
DisableInt	D不可int	D不可int	existing-unreviewed		0
Disconnect	D切断する	D切断する	existing-unreviewed		0
DivideByZero	D除算by数値の0	D除算by数値の0	existing-unreviewed		0
DoHandleInterrupt	Do取っ手割込み	Do取っ手割込み	existing-unreviewed		0
DoubleFault	D二重線障害	D二重線障害	existing-unreviewed		0
Draw	Draw	Draw	existing-unreviewed		0
DriverManager	Dドライバー管理者	Dドライバー管理者	existing-unreviewed		0
Ds	Ds	Ds	existing-unreviewed		0
Dynamic	D動的に	D動的に	existing-unreviewed		0
E2BIG	E2big	E2big	existing-unreviewed		0
EACCES	Eacces	Eacces	existing-unreviewed		0
EADDRINUSE	Eaddrinuse	Eaddrinuse	existing-unreviewed		0
EAFNOSUPPORT	Eafnosupport	Eafnosupport	existing-unreviewed		0
EAGAIN	Eagain	Eagain	existing-unreviewed		0
EBADF	Ebadf	Ebadf	existing-unreviewed		0
EBUSY	Ebusy	Ebusy	existing-unreviewed		0
ECHILD	Echild	Echild	existing-unreviewed		0
EEXIST	Eexist	Eexist	existing-unreviewed		0
EFAULT	Efault	Efault	existing-unreviewed		0
EFBIG	Efbig	Efbig	existing-unreviewed		0
EINTR	Eintr	Eintr	existing-unreviewed		0
EINVAL	Einval	Einval	existing-unreviewed		0
EIO	Eio	Eio	existing-unreviewed		0
EISDIR	Eisdir	Eisdir	existing-unreviewed		0
EMFILE	Emfile	Emfile	existing-unreviewed		0
EMSGSIZE	Emsgsize	Emsgsize	existing-unreviewed		0
ENETUNREACH	Enetunreach	Enetunreach	existing-unreviewed		0
ENFILE	Enfile	Enfile	existing-unreviewed		0
ENODEV	Enodev	Enodev	existing-unreviewed		0
ENOENT	Enoent	Enoent	existing-unreviewed		0
ENOEXEC	Enoexec	Enoexec	existing-unreviewed		0
ENOMEM	Enomem	Enomem	existing-unreviewed		0
ENOSPC	Enospc	Enospc	existing-unreviewed		0
ENOSYS	Enosys	Enosys	existing-unreviewed		0
ENOTCONN	Enotconn	Enotconn	existing-unreviewed		0
ENOTDIR	Enotdir	Enotdir	existing-unreviewed		0
