compiler_identifier	native_identifier	status
INPUT_LINE_CAPACITY	入力行容量	project-proposal
MAX_ARGUMENT_COUNT	最大引数数	project-proposal
MAX_SCRIPT_DEPTH	命令文書の最大入れ子数	project-proposal
argument_count	引数の数_2	project-proposal
arguments	引数列	project-proposal
buffer	転送緩衝領域	project-proposal
bytes_read	読んだ八桁組の数	project-proposal
bytes_written	書き出した八桁組数	project-proposal
capacity	容量	project-proposal
character	文字	project-proposal
child_pid	子実行過程の番号	project-proposal
cleanup	通信端点を閉じる	project-proposal
command	命令	project-proposal
command_aliases	現地語命令別名	project-proposal
command_cat	文書の内容を表示する	project-proposal
command_echo	引数を表示する	project-proposal
command_matches	命令が一致する	project-proposal
command_names	基準命令	project-proposal
command_pid	実行過程の番号を示す	project-proposal
command_pwd	現在の場所を示す	project-proposal
command_run	実行形式を起動する	project-proposal
command_source	命令文書を解釈する	project-proposal
command_stat	文書の情報を示す	project-proposal
command_udp	独立電文の折り返しを試す	project-proposal
command_uname	基本体系の情報を示す	project-proposal
current	現在位置	project-proposal
digit_text	数字の文字列	project-proposal
file_descriptor	文書記述番号_2	project-proposal
file_name	文書名	project-proposal
input	入力	project-proposal
input_descriptor	入力記述番号	project-proposal
input_line	入力行	project-proposal
input_stream	入力資料流	project-proposal
left	左	project-proposal
length	長さ	project-proposal
message	電文	project-proposal
message_length	電文の八桁組数	project-proposal
name	体系識別情報	project-proposal
number	符号なしの大きさ	project-proposal
operation	処理	project-proposal
output	出力位置	project-proposal
overflow	不正な入力行	project-proposal
path	経路	project-proposal
position	位置	project-proposal
print_help	使い方を示す	project-proposal
quote	引用符	project-proposal
read_line	入力行を読む	project-proposal
receive_address	受信端点の番地	project-proposal
receive_socket	受信通信端点	project-proposal
received_data	受信資料	project-proposal
received_length	受信八桁組数	project-proposal
right	右	project-proposal
run_input	入力を解釈する	project-proposal
script_depth	命令文書の入れ子の深さ	project-proposal
send_socket	送信通信端点	project-proposal
size	桁数	project-proposal
source_address	送信端点の番地	project-proposal
source_address_length	送信元番地の長さ	project-proposal
split_arguments	引数を分ける	project-proposal
status	状態	project-proposal
text	文字列	project-proposal
text_equal	文字列一致	project-proposal
text_length	文字列の八桁組数	project-proposal
value	値	project-proposal
wait_status	子実行過程の終了状態	project-proposal
write_error	誤りを知らせる	project-proposal
write_integer	整数を書き出す	project-proposal
write_text	文字列を書き出す	project-proposal
