function	native_identifier	implementation	limits
_exit	немедленно_завершить	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
read	читать	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
write	писать	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
close	закрыть	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
lseek	переместить_позицию_файла	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fork	создать_дочерний_процесс	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
execve	заменить_исполняемую_программу	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getpid	получить_номер_процесса	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getppid	получить_номер_родительского_процесса	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getuid	получить_номер_пользователя	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
geteuid	получить_действующий_номер_пользователя	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getgid	получить_номер_группы	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getegid	получить_действующий_номер_группы	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
access	проверить_права_доступа	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
chdir	сменить_рабочий_каталог	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getcwd	получить_путь_рабочего_каталога	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
dup	дублировать_ссылку_на_открытый_файл	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
dup2	дублировать_ссылку_под_заданным_номером	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fsync	согласовать_данные_файла	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
sync	согласовать_все_данные	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
isatty	проверить_является_ли_терминалом	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
brk	задать_конец_динамической_памяти	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
sbrk	сместить_конец_динамической_памяти	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
waitpid	ждать_указанного_потомка	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
wait	ждать_потомка	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
open	открыть	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
creat	создать_файл	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fcntl	управлять_файлом	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
stat	состояние_файла	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
lstat	получить_состояние_самой_ссылки	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fstat	получить_состояние_открытого_файла	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
uname	получить_сведения_о_системе	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
htons	перевести_16_разрядов_в_сетевой_порядок	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
ntohs	перевести_16_разрядов_в_машинный_порядок	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
