standard_identifier	native_identifier	category	status
AF_INET	код_семейства_межсетевых_адресов	network-declaration	project-proposal
AF_UNSPEC	семейство_адресов_не_задано	network-declaration	project-proposal
CHAR_BIT	CHAR_BIT	integer-limit	pending-language-review
CHAR_MAX	CHAR_MAX	integer-limit	pending-language-review
CHAR_MIN	CHAR_MIN	integer-limit	pending-language-review
CHECK	CHECK	variable	pending-language-review
E2BIG	E2BIG	error-code	pending-language-review
EACCES	EACCES	error-code	pending-language-review
EADDRINUSE	EADDRINUSE	error-code	pending-language-review
EAFNOSUPPORT	EAFNOSUPPORT	error-code	pending-language-review
EAGAIN	EAGAIN	error-code	pending-language-review
EBADF	EBADF	error-code	pending-language-review
EBUSY	EBUSY	error-code	pending-language-review
ECHILD	ECHILD	error-code	pending-language-review
EEXIST	EEXIST	error-code	pending-language-review
EFAULT	EFAULT	error-code	pending-language-review
EFBIG	EFBIG	error-code	pending-language-review
EINTR	EINTR	error-code	pending-language-review
EINVAL	EINVAL	error-code	pending-language-review
EIO	EIO	error-code	pending-language-review
EISDIR	EISDIR	error-code	pending-language-review
EMFILE	EMFILE	error-code	pending-language-review
EMSGSIZE	EMSGSIZE	error-code	pending-language-review
ENETUNREACH	ENETUNREACH	error-code	pending-language-review
ENFILE	ENFILE	error-code	pending-language-review
ENODEV	ENODEV	error-code	pending-language-review
ENOENT	ENOENT	error-code	pending-language-review
ENOEXEC	ENOEXEC	error-code	pending-language-review
ENOMEM	ENOMEM	error-code	pending-language-review
ENOSPC	ENOSPC	error-code	pending-language-review
ENOSYS	ENOSYS	error-code	pending-language-review
ENOTCONN	ENOTCONN	error-code	pending-language-review
ENOTDIR	ENOTDIR	error-code	pending-language-review
ENOTTY	ENOTTY	error-code	pending-language-review
EOPNOTSUPP	EOPNOTSUPP	error-code	pending-language-review
EPERM	EPERM	error-code	pending-language-review
EPROTONOSUPPORT	EPROTONOSUPPORT	error-code	pending-language-review
ERANGE	ERANGE	error-code	pending-language-review
EROFS	EROFS	error-code	pending-language-review
ESPIPE	ESPIPE	error-code	pending-language-review
ESRCH	ESRCH	error-code	pending-language-review
EXIT_FAILURE	EXIT_FAILURE	interface-constant	pending-language-review
EXIT_SUCCESS	EXIT_SUCCESS	interface-constant	pending-language-review
FD_CLOEXEC	FD_CLOEXEC	interface-constant	pending-language-review
F_DUPFD	F_DUPFD	interface-constant	pending-language-review
F_GETFD	F_GETFD	interface-constant	pending-language-review
F_GETFL	F_GETFL	interface-constant	pending-language-review
F_OK	F_OK	interface-constant	pending-language-review
F_SETFD	F_SETFD	interface-constant	pending-language-review
F_SETFL	F_SETFL	interface-constant	pending-language-review
INADDR_ANY	любой_местный_адрес	network-declaration	project-proposal
INADDR_LOOPBACK	адрес_обратной_петли	network-declaration	project-proposal
INT_MAX	INT_MAX	integer-limit	pending-language-review
INT_MIN	INT_MIN	integer-limit	pending-language-review
IPPROTO_IP	основной_межсетевой_протокол	network-declaration	project-proposal
IPPROTO_UDP	протокол_пользовательских_датаграмм	network-declaration	project-proposal
LLONG_MAX	LLONG_MAX	integer-limit	pending-language-review
LLONG_MIN	LLONG_MIN	integer-limit	pending-language-review
LONG_MAX	LONG_MAX	integer-limit	pending-language-review
LONG_MIN	LONG_MIN	integer-limit	pending-language-review
NULL	NULL	interface-constant	pending-language-review
O_ACCMODE	O_ACCMODE	interface-constant	pending-language-review
O_APPEND	O_APPEND	interface-constant	pending-language-review
O_CREAT	O_CREAT	interface-constant	pending-language-review
O_DIRECTORY	O_DIRECTORY	interface-constant	pending-language-review
O_EXCL	O_EXCL	interface-constant	pending-language-review
O_RDONLY	O_RDONLY	interface-constant	pending-language-review
O_RDWR	O_RDWR	interface-constant	pending-language-review
O_TRUNC	O_TRUNC	interface-constant	pending-language-review
O_WRONLY	O_WRONLY	interface-constant	pending-language-review
PF_INET	семейство_межсетевых_протоколов	network-declaration	project-proposal
R_OK	R_OK	interface-constant	pending-language-review
SC0	SC0	implementation-helper	pending-language-review
SC1	SC1	implementation-helper	pending-language-review
SC2	SC2	implementation-helper	pending-language-review
SC3	SC3	implementation-helper	pending-language-review
SCHAR_MAX	SCHAR_MAX	integer-limit	pending-language-review
SCHAR_MIN	SCHAR_MIN	integer-limit	pending-language-review
SC_accept	SC_принять_соединение	internal-name	derived-from-call-role
SC_bind	SC_привязать_местный_адрес	internal-name	derived-from-call-role
SC_connect	SC_соединить_с_другой_стороной	internal-name	derived-from-call-role
SC_getpeername	SC_получить_адрес_другой_стороны	internal-name	derived-from-call-role
SC_getsockname	SC_получить_местный_адрес_точки	internal-name	derived-from-call-role
SC_listen	SC_подготовить_приём_соединений	internal-name	derived-from-call-role
SC_recv	SC_получить	internal-name	derived-from-call-role
SC_recvfrom	SC_получить_с_адресом_отправителя	internal-name	derived-from-call-role
SC_send	SC_отправить	internal-name	derived-from-call-role
SC_sendto	SC_отправить_по_адресу	internal-name	derived-from-call-role
SC_setsockopt	SC_задать_настройку_точки_связи	internal-name	derived-from-call-role
SC_shutdown	SC_закрыть_направление_связи	internal-name	derived-from-call-role
SC_socket	SC_создать_оконечную_точку_связи	internal-name	derived-from-call-role
SEEK_CUR	SEEK_CUR	interface-constant	pending-language-review
SEEK_END	SEEK_END	interface-constant	pending-language-review
SEEK_SET	SEEK_SET	interface-constant	pending-language-review
SHRT_MAX	SHRT_MAX	integer-limit	pending-language-review
SHRT_MIN	SHRT_MIN	integer-limit	pending-language-review
SHUT_RD	остановить_приём	network-declaration	project-proposal
SHUT_RDWR	остановить_оба_направления	network-declaration	project-proposal
SHUT_WR	остановить_передачу	network-declaration	project-proposal
SOCK_DGRAM	конечная_точка_датаграмм	network-declaration	project-proposal
SOCK_STREAM	конечная_точка_потока_данных	network-declaration	project-proposal
STDERR_FILENO	STDERR_FILENO	interface-constant	pending-language-review
STDIN_FILENO	STDIN_FILENO	interface-constant	pending-language-review
STDOUT_FILENO	STDOUT_FILENO	interface-constant	pending-language-review
SYS_access	SYS_проверить_права_доступа	internal-name	derived-from-call-role
SYS_brk	SYS_задать_конец_динамической_памяти	internal-name	derived-from-call-role
SYS_chdir	SYS_сменить_рабочий_каталог	internal-name	derived-from-call-role
SYS_close	SYS_закрыть	internal-name	derived-from-call-role
SYS_creat	SYS_создать_файл	internal-name	derived-from-call-role
SYS_dup	SYS_дублировать_ссылку_на_открытый_файл	internal-name	derived-from-call-role
SYS_dup2	SYS_дублировать_ссылку_под_заданным_номером	internal-name	derived-from-call-role
SYS_execve	SYS_заменить_исполняемую_программу	internal-name	derived-from-call-role
SYS_exit	SYS_немедленно_завершить	internal-name	derived-from-call-role
SYS_fcntl	SYS_управлять_файлом	internal-name	derived-from-call-role
SYS_fork	SYS_создать_дочерний_процесс	internal-name	derived-from-call-role
SYS_fstat	SYS_получить_состояние_открытого_файла	internal-name	derived-from-call-role
SYS_fsync	SYS_согласовать_данные_файла	internal-name	derived-from-call-role
SYS_getcwd	SYS_получить_путь_рабочего_каталога	internal-name	derived-from-call-role
SYS_getegid	SYS_получить_действующий_номер_группы	internal-name	derived-from-call-role
SYS_geteuid	SYS_получить_действующий_номер_пользователя	internal-name	derived-from-call-role
SYS_getgid	SYS_получить_номер_группы	internal-name	derived-from-call-role
SYS_getpid	SYS_получить_номер_процесса	internal-name	derived-from-call-role
SYS_getppid	SYS_получить_номер_родительского_процесса	internal-name	derived-from-call-role
SYS_getuid	SYS_получить_номер_пользователя	internal-name	derived-from-call-role
SYS_lseek	SYS_переместить_позицию_файла	internal-name	derived-from-call-role
SYS_lstat	SYS_получить_состояние_самой_ссылки	internal-name	derived-from-call-role
SYS_open	SYS_открыть	internal-name	derived-from-call-role
SYS_read	SYS_читать	internal-name	derived-from-call-role
SYS_socketcall	SYS_socketcall	implementation-helper	pending-language-review
SYS_stat	SYS_состояние_файла	internal-name	derived-from-call-role
SYS_sync	SYS_согласовать_все_данные	internal-name	derived-from-call-role
SYS_uname	SYS_получить_сведения_о_системе	internal-name	derived-from-call-role
SYS_write	SYS_писать	internal-name	derived-from-call-role
S_IFCHR	S_IFCHR	interface-constant	pending-language-review
S_IFDIR	S_IFDIR	interface-constant	pending-language-review
S_IFMT	S_IFMT	interface-constant	pending-language-review
S_IFREG	S_IFREG	interface-constant	pending-language-review
S_IRGRP	S_IRGRP	interface-constant	pending-language-review
S_IROTH	S_IROTH	interface-constant	pending-language-review
S_IRUSR	S_IRUSR	interface-constant	pending-language-review
S_ISCHR	S_ISCHR	interface-constant	pending-language-review
S_ISDIR	S_ISDIR	interface-constant	pending-language-review
S_ISREG	S_ISREG	interface-constant	pending-language-review
S_IWGRP	S_IWGRP	interface-constant	pending-language-review
S_IWOTH	S_IWOTH	interface-constant	pending-language-review
S_IWUSR	S_IWUSR	interface-constant	pending-language-review
S_IXGRP	S_IXGRP	interface-constant	pending-language-review
S_IXOTH	S_IXOTH	interface-constant	pending-language-review
S_IXUSR	S_IXUSR	interface-constant	pending-language-review
UCHAR_MAX	UCHAR_MAX	integer-limit	pending-language-review
UINT_MAX	UINT_MAX	integer-limit	pending-language-review
ULLONG_MAX	ULLONG_MAX	integer-limit	pending-language-review
ULONG_MAX	ULONG_MAX	integer-limit	pending-language-review
USHRT_MAX	USHRT_MAX	integer-limit	pending-language-review
WEXITSTATUS	WEXITSTATUS	interface-constant	pending-language-review
WIFEXITED	WIFEXITED	interface-constant	pending-language-review
WNOHANG	WNOHANG	interface-constant	pending-language-review
W_OK	W_OK	interface-constant	pending-language-review
X_OK	X_OK	interface-constant	pending-language-review
_LIBC_ARPA_INET_H	_include_преобразование_адресов_порядок_байтов	internal-name	derived-from-native-header-path
_LIBC_NETINET_IN_H	_include_межсетевое_взаимодействие_адрес	internal-name	derived-from-native-header-path
_LIBC_STDDEF_H	_include_основные_определения	internal-name	derived-from-native-header-path
_LIBC_STDINT_H	_include_целочисленные_типы	internal-name	derived-from-native-header-path
_LIBC_SYSCALL_H	_include_система_syscall	internal-name	derived-from-native-header-path
_LIBC_SYS_SOCKET_H	_include_система_socket	internal-name	derived-from-native-header-path
_LIBC_SYS_STAT_H	_include_система_stat	internal-name	derived-from-native-header-path
_LIBC_SYS_TYPES_H	_include_система_типы_данных	internal-name	derived-from-native-header-path
_LIBC_SYS_UTSNAME_H	_include_система_сведения_о_системе	internal-name	derived-from-native-header-path
_LIBC_SYS_WAIT_H	_include_система_ожидание_потомков	internal-name	derived-from-native-header-path
__posix_library_test	__posix_library_test	variable	pending-language-review
_exit	немедленно_завершить	function	project-proposal
a	a	variable	pending-language-review
a1	a1	variable	pending-language-review
a2	a2	variable	pending-language-review
a3	a3	variable	pending-language-review
a4	a4	variable	pending-language-review
a5	a5	variable	pending-language-review
a6	a6	variable	pending-language-review
abs	abs	function	pending-language-review
accept	принять_соединение	function	project-proposal
access	проверить_права_доступа	function	project-proposal
address	address	variable	pending-language-review
address_len	address_len	variable	pending-language-review
address_length	address_length	variable	pending-language-review
argc	argc	implementation-helper	pending-language-review
args	args	variable	pending-language-review
args_fail	args_fail	implementation-helper	pending-language-review
args_pass	args_pass	implementation-helper	pending-language-review
argument	argument	variable	pending-language-review
arguments	аргументы	variable	project-proposal
argv	аргументы_2	variable	project-proposal
atoi	atoi	function	pending-language-review
atol	atol	function	pending-language-review
available	available	variable	pending-language-review
b	b	variable	pending-language-review
backlog	backlog	variable	pending-language-review
bind	привязать_местный_адрес	function	project-proposal
blkcnt_t	blkcnt_t	scalar-type	pending-language-review
blksize_t	blksize_t	scalar-type	pending-language-review
brk	задать_конец_динамической_памяти	function	project-proposal
bsearch	bsearch	function	pending-language-review
bss_zeroed	bss_zeroed	implementation-helper	pending-language-review
buf	буфер_передачи	variable	project-proposal
buffer	буфер_передачи_2	variable	project-proposal
byte	byte	implementation-helper	pending-language-review
bytes	bytes	implementation-helper	pending-language-review
c	c	variable	pending-language-review
call	call	variable	pending-language-review
calloc	calloc	function	pending-language-review
capacity	capacity	variable	pending-language-review
character	character	variable	pending-language-review
chdir	сменить_рабочий_каталог	function	project-proposal
checks	checks	implementation-helper	pending-language-review
child	child	variable	pending-language-review
client	client	implementation-helper	pending-language-review
cloexec_fail	cloexec_fail	implementation-helper	pending-language-review
cloexec_pass	cloexec_pass	implementation-helper	pending-language-review
close	закрыть	function	project-proposal
cmd	cmd	variable	pending-language-review
compare	compare	variable	pending-language-review
compare_int	compare_int	variable	pending-language-review
connect	соединить_с_другой_стороной	function	project-proposal
copy	copy	implementation-helper	pending-language-review
copy_length	copy_length	variable	pending-language-review
count	count	variable	pending-language-review
creat	создать_файл	function	project-proposal
current	current	variable	pending-language-review
cursor	cursor	variable	pending-language-review
cwd	cwd	implementation-helper	pending-language-review
decoded	decoded	implementation-helper	pending-language-review
delimiters	delimiters	variable	pending-language-review
dest_addr	dest_addr	variable	pending-language-review
dest_len	dest_len	variable	pending-language-review
destination	destination	variable	pending-language-review
dev_t	dev_t	scalar-type	pending-language-review
digit	digit	variable	pending-language-review
digit_value	digit_value	variable	pending-language-review
div	div	function	pending-language-review
div_t	div_t	variable	pending-language-review
domain	domain	variable	pending-language-review
dup	дублировать_ссылку_на_открытый_файл	function	project-proposal
dup2	дублировать_ссылку_под_заданным_номером	function	project-proposal
element_size	element_size	variable	pending-language-review
elements	elements	variable	pending-language-review
end_pointer	end_pointer	variable	pending-language-review
environ	environ	variable	pending-language-review
envp	envp	variable	pending-language-review
errno	errno	variable	pending-language-review
execve	заменить_исполняемую_программу	function	project-proposal
expected_errno	expected_errno	implementation-helper	pending-language-review
failed_with	failed_with	implementation-helper	pending-language-review
failure	failure	implementation-helper	pending-language-review
failures	failures	implementation-helper	pending-language-review
fcntl	управлять_файлом	function	project-proposal
fd	дескриптор_файла	variable	project-proposal
first	first	implementation-helper	pending-language-review
first_match	first_match	variable	pending-language-review
flags	flags	variable	pending-language-review
fork	создать_дочерний_процесс	function	project-proposal
found	found	variable	pending-language-review
free	free	function	pending-language-review
fstat	получить_состояние_открытого_файла	function	project-proposal
fsync	согласовать_данные_файла	function	project-proposal
getcwd	получить_путь_рабочего_каталога	function	project-proposal
getegid	получить_действующий_номер_группы	function	project-proposal
getenv	getenv	function	pending-language-review
geteuid	получить_действующий_номер_пользователя	function	project-proposal
getgid	получить_номер_группы	function	project-proposal
getpeername	получить_адрес_другой_стороны	function	project-proposal
getpid	получить_номер_процесса	function	project-proposal
getppid	получить_номер_родительского_процесса	function	project-proposal
getsockname	получить_местный_адрес_точки	function	project-proposal
getuid	получить_номер_пользователя	function	project-proposal
gid_t	gid_t	scalar-type	pending-language-review
heap_block	heap_block	variable	pending-language-review
heap_head	heap_head	variable	pending-language-review
