compiler_identifier	native_identifier	status
INPUT_LINE_CAPACITY	вместимость_строки_ввода	project-proposal
MAX_ARGUMENT_COUNT	максимальное_число_аргументов	project-proposal
MAX_SCRIPT_DEPTH	максимальная_вложенность_командных_файлов	project-proposal
argument_count	число_аргументов	project-proposal
arguments	аргументы	project-proposal
buffer	буфер_передачи_2	project-proposal
bytes_read	прочитанные_байты	project-proposal
bytes_written	число_записанных_байтов	project-proposal
capacity	вместимость	project-proposal
character	символ	project-proposal
child_pid	номер_дочернего_процесса	project-proposal
cleanup	закрыть_конечные_точки	project-proposal
command	команда	project-proposal
command_aliases	местные_имена_команд	project-proposal
command_cat	показать_содержимое_файла	project-proposal
command_echo	вывести_аргументы	project-proposal
command_matches	команда_совпадает	project-proposal
command_names	основные_команды	project-proposal
command_pid	показать_номера_процессов	project-proposal
command_pwd	показать_текущий_каталог	project-proposal
command_run	запустить_программу	project-proposal
command_source	исполнить_командный_файл	project-proposal
command_stat	показать_сведения_о_файле	project-proposal
command_udp	проверить_возврат_датаграммы	project-proposal
command_uname	показать_сведения_о_системе	project-proposal
current	текущая_позиция	project-proposal
digit_text	символы_цифр	project-proposal
file_descriptor	дескриптор_файла_2	project-proposal
file_name	имя_файла	project-proposal
input	ввод	project-proposal
input_descriptor	дескриптор_ввода	project-proposal
input_line	строка_ввода	project-proposal
input_stream	поток_ввода	project-proposal
left	слева	project-proposal
length	длина	project-proposal
message	сообщение	project-proposal
message_length	длина_сообщения_в_байтах	project-proposal
name	сведения_о_системе	project-proposal
number	модуль_без_знака	project-proposal
operation	операция	project-proposal
output	позиция_вывода	project-proposal
overflow	недопустимая_строка_ввода	project-proposal
path	путь	project-proposal
position	позиция	project-proposal
print_help	показать_справку	project-proposal
quote	кавычка	project-proposal
read_line	прочитать_строку_ввода	project-proposal
receive_address	адрес_получателя	project-proposal
receive_socket	приёмная_конечная_точка	project-proposal
received_data	принятые_данные	project-proposal
received_length	число_принятых_байтов	project-proposal
right	справа	project-proposal
run_input	разобрать_ввод	project-proposal
script_depth	глубина_вложенности_командных_файлов	project-proposal
send_socket	передающая_конечная_точка	project-proposal
size	число_цифр	project-proposal
source_address	адрес_отправителя	project-proposal
source_address_length	длина_адреса_отправителя	project-proposal
split_arguments	разделить_аргументы	project-proposal
status	состояние	project-proposal
text	текст	project-proposal
text_equal	тексты_равны	project-proposal
text_length	длина_текста_в_байтах	project-proposal
value	значение	project-proposal
wait_status	состояние_завершения_дочернего_процесса	project-proposal
write_error	сообщить_об_ошибке	project-proposal
write_integer	вывести_целое_число	project-proposal
write_text	вывести_текст	project-proposal
