english	localized	language
a	ОТ	ru
access	доступ	ru
ack	ack	ru
activate	Включить	ru
active	Активно	ru
add	Добавить	ru
addend	addend	ru
addr	addr	ru
addralign	addralign	ru
address	address	ru
advanced	Дополнительно	ru
af	af	ru
after	После	ru
align	Выравнивание	ru
aligned	aligned	ru
alignment	alignment	ru
all	Все	ru
alloc	alloc	ru
allocate	allocate	ru
allocated	allocated	ru
am	am	ru
amd	amd	ru
amount	Количество	ru
and	и	ru
append	append	ru
args	args	ru
argument	argument	ru
arguments	Аргументы	ru
arp	arp	ru
arp콘솔	arp콘솔	ru
array	массив	ru
assembly	ассемблер	ru
at	at	ru
ata	ata	ru
atime	atime	ru
attachment	attachment	ru
attempts	attempts	ru
attr	attr	ru
attribute	атрибут	ru
attributes	Атрибуты	ru
aux	aux	ru
avail	avail	ru
available	Доступно	ru
b	Б	ru
ba	ba	ru
back	Назад	ru
backend	backend	ru
backup	backup	ru
bar	Полоса	ru
base	base	ru
be	be	ru
bh	bh	ru
big	big	ru
bind	Прослушивать	ru
bios	bios	ru
bit	bit	ru
bitmap	bitmap	ru
bitmasp	bitmasp	ru
bits	бит	ru
blksize	blksize	ru
block	Блок	ru
blocked	blocked	ru
blocking	blocking	ru
blocks	Блоки	ru
boot	boot	ru
bootable	bootable	ru
bootloader	bootloader	ru
bound	bound	ru
bpb	bpb	ru
break	break	ru
brk	brk	ru
broadcast	broadcast	ru
buf	buf	ru
buffer	buffer	ru
buffers	Буфера	ru
bufptr	bufptr	ru
bus	bus	ru
button	Кнопка	ru
buttons	Кнопки	ru
by	by	ru
byte	байт	ru
bytes	Байт	ru
c	Ч	ru
cache	cache	ru
call	вызов	ru
candidate	candidate	ru
cap	cap	ru
capable	capable	ru
card	Карточные	ru
central	central	ru
char	char	ru
chdir	chdir	ru
check	check	ru
checked	checked	ru
checksum	checksum	ru
child	потомок	ru
chunk	chunk	ru
class	Класс	ru
clear	Очистить	ru
cloexec	cloexec	ru
clone	clone	ru
close	закрыть	ru
cluster	cluster	ru
cmp	NOT	ru
code	code	ru
col	col	ru
color	Цвет	ru
colordepth	colordepth	ru
command	Команда	ru
commandport	commandport	ru
common	общий	ru
component	component	ru
connect	Подключить	ru
connected	connected	ru
console	консоль	ru
constant	константа	ru
contains	contains	ru
contents	Содержание	ru
control	Ctrl	ru
controller	контроллер	ru
coordinate	coordinate	ru
copies	copies	ru
copy	копировать	ru
count	Количество	ru
cow	cow	ru
cpu	ЦП	ru
cpustate	cpustate	ru
cpy	cpy	ru
cr	cr	ru
creat	creat	ru
create	создать	ru
crtc	crtc	ru
cs	cs	ru
ctime	ctime	ru
cur	cur	ru
current	Текущаядата	ru
cursor	Курсор	ru
cylinder	cylinder	ru
d	ТР	ru
data	данные	ru
databuffer	databuffer	ru
datagram	datagram	ru
dataport	dataport	ru
date	Дата	ru
deactivate	Выключить	ru
deactive	deactive	ru
debug	Отладка	ru
decrement	decrement	ru
default	Поумолчанию	ru
delete	удалить	ru
delta	delta	ru
depth	depth	ru
desc	desc	ru
descr	descr	ru
description	Описание	ru
descriptor	descriptor	ru
descriptors	descriptors	ru
descsz	descsz	ru
destination	Назначение	ru
destroy	Уничтожить	ru
dev	dev	ru
device	Устройство	ru
diff	diff	ru
digits	digits	ru
dir	КАТАЛОГ	ru
directory	каталог	ru
dirent	dirent	ru
disable	Отключить	ru
discard	Отклонить	ru
disconnect	Отключиться	ru
dispatch	dispatch	ru
divide	Деление	ru
divisor	divisor	ru
do	do	ru
domain	Домен	ru
double	Двойнойточности	ru
down	Вниз	ru
draw	draw	ru
drive	drive	ru
driver	драйвер	ru
drivercount	drivercount	ru
drivers	drivers	ru
drv	drv	ru
ds	ds	ru
dst	dst	ru
dstptr	dstptr	ru
dup	dup	ru
dword	dword	ru
dyn	dyn	ru
dynamic	Динамически	ru
e	В	ru
eacces	eacces	ru
eaddrinuse	eaddrinuse	ru
eafnosupport	eafnosupport	ru
eagain	eagain	ru
eax	eax	ru
ebadf	ebadf	ru
ebp	ebp	ru
ebusy	ebusy	ru
ebx	ebx	ru
echild	echild	ru
echo	echo	ru
ecx	ecx	ru
edi	edi	ru
edx	edx	ru
eexist	eexist	ru
ef	ef	ru
efault	efault	ru
efbig	efbig	ru
eflags	eflags	ru
ehsize	ehsize	ru
eintr	eintr	ru
einval	einval	ru
eio	eio	ru
eip	eip	ru
eisdir	eisdir	ru
elf	elf	ru
emfile	emfile	ru
empty	Пусто	ru
emsgsize	emsgsize	ru
enable	Включить	ru
enabled	Включено	ru
end	Конце	ru
enetunreach	enetunreach	ru
enfile	enfile	ru
enodev	enodev	ru
enoent	enoent	ru
enoexec	enoexec	ru
enomem	enomem	ru
enospc	enospc	ru
enosys	enosys	ru
enotconn	enotconn	ru
enotdir	enotdir	ru
enotty	enotty	ru
ensure	ensure	ru
entries	entries	ru
entry	запись	ru
entrypoint	entrypoint	ru
entsize	entsize	ru
environment	environment	ru
eopnotsupp	eopnotsupp	ru
eperm	eperm	ru
ephemeral	ephemeral	ru
eprotonosupport	eprotonosupport	ru
equal	Равный	ru
erange	erange	ru
erofs	erofs	ru
err	Ошибка	ru
error	Ошибка	ru
errorln	errorln	ru
es	es	ru
esi	esi	ru
esp	esp	ru
espipe	espipe	ru
esrch	esrch	ru
ether	ether	ru
etherframe	etherframe	ru
ethernet	эфирнаяСеть	ru
event	событие	ru
events	события	ru
exceeded	exceeded	ru
except	except	ru
exception	exception	ru
exec	Выполнение	ru
execve	execve	ru
exists	exists	ru
exit	Выход	ru
exited	Выход	ru
ext	ext	ru
extended	extended	ru
f	М	ru
family	family	ru
fat	fat	ru
fatal	fatal	ru
fatbuf	fatbuf	ru
fatbuffer	fatbuffer	ru
fault	ошибка	ru
fb	fb	ru
fcntl	fcntl	ru
fd	fd	ru
fds	fds	ru
field	поле	ru
file	файл	ru
filename	Имяфайла	ru
files	ФАЙЛЫ	ru
filesz	filesz	ru
fill	fill	ru
find	Найти	ru
first	first	ru
fl	fl	ru
flag	Флаг	ru
flags	Флаги	ru
floating	Раздельно	ru
flush	flush	ru
fn	fn	ru
focus	Фокус	ru
focussable	focussable	ru
foo	foo	ru
for	for	ru
forced	forced	ru
fork	fork	ru
found	found	ru
fp	fp	ru
fpu	fpu	ru
frame	кадр	ru
free	Свободно	ru
frequency	Повторяемость	ru
from	from	ru
front	Передние	ru
fs	fs	ru
fstat	fstat	ru
fsync	fsync	ru
fuction	fuction	ru
full	Полный	ru
func	func	ru
function	Функция	ru
functions	Функции	ru
fxrstor	fxrstor	ru
fxsave	fxsave	ru
g	g	ru
gate	шлюз	ru
gateway	gateway	ru
gb	ГБ	ru
gdt	gdt	ru
get	get	ru
getcwd	getcwd	ru
getegid	getegid	ru
geteuid	geteuid	ru
getgid	getgid	ru
getpid	getpid	ru
getppid	getppid	ru
getuid	getuid	ru
gid	gid	ru
global	Глобальные	ru
got	got	ru
gpf	gpf	ru
gran	gran	ru
graphics	Графика	ru
grub	grub	ru
gs	gs	ru
h	В	ru
halt	halt	ru
handle	Ручка	ru
handler	handler	ru
handlers	handlers	ru
hardware	Оборудование	ru
has	has	ru
hd	hd	ru
head	head	ru
header	заголовок	ru
headertype	headertype	ru
heap	heap	ru
height	Высота	ru
helper	helper	ru
hex	hex	ru
hex출력	hex출력	ru
hi	hi	ru
hidden	Скрытые	ru
high	Высокий	ru
hop	hop	ru
i	i	ru
icmp	icmp	ru
icmp콘솔	icmp콘솔	ru
id	ИДЕНТИФИКАТОР	ru
ident	ident	ru
identify	identify	ru
idt	idt	ru
idx	idx	ru
ifchr	ifchr	ru
ifdir	ifdir	ru
ifmt	ifmt	ru
ifreg	ifreg	ru
ifsock	ifsock	ru
in	Исходящий	ru
increment	increment	ru
index	Содержание	ru
inet	inet	ru
info	Информация	ru
init	init	ru
initial	initial	ru
initialization	initialization	ru
initialize	initialize	ru
ino	ino	ru
inode	inode	ru
input	Ввод	ru
install	Установить	ru
int	Целое	ru
interconnect	interconnect	ru
interface	Интерфейс	ru
internet	Интернет	ru
internetprotocol	internetprotocol	ru
interrupt	прерывание	ru
interrupts	interrupts	ru
invalid	Недопустимый	ru
io	Вводивывод	ru
iomap	iomap	ru
ip	ip	ru
ipci	ipci	ru
ipmessage	ipmessage	ru
ipv	ipv	ru
ip콘솔	ip콘솔	ru
iret	iret	ru
is	is	ru
ist	ist	ru
j	j	ru
jmp	jmp	ru
jump	jump	ru
k	к	ru
kb	КБ	ru
kcs	kcs	ru
kds	kds	ru
kernel	ядро	ru
key	Ключ	ru
keyboard	клавиатура	ru
kgs	kgs	ru
kind	Тип	ru
k핵심	k핵심	ru
l	l	ru
label	метка	ru
last	Последнее	ru
lba	lba	ru
ldt	ldt	ru
left	Слева	ru
len	len	ru
length	Длина	ru
lengths	lengths	ru
level	level	ru
lib	lib	ru
lidt	lidt	ru
lidtaddr	lidtaddr	ru
limit	Ограничение	ru
line	Строка	ru
link	ссылка	ru
linked	linked	ru
linker	linker	ru
list	список	ru
listen	listen	ru
listening	listening	ru
live	live	ru
load	загрузить	ru
loader	loader	ru
local	локальный	ru
log	Журнал	ru
logical	Логическиеоперации	ru
loop	loop	ru
low	Низкий	ru
lseek	lseek	ru
lstat	lstat	ru
m	м	ru
mac	mac	ru
machine	machine	ru
magicnumber	magicnumber	ru
main	главный	ru
make	make	ru
malloc	malloc	ru
manager	диспетчер	ru
map	карта	ru
mask	Маска	ru
master	Главный	ru
matches	matches	ru
max	Максимум	ru
maximum	Максимум	ru
mb	МБ	ru
mbr	mbr	ru
media	Носители	ru
mem	mem	ru
memory	память	ru
memorymananger	memorymananger	ru
memorytest	memorytest	ru
memsz	memsz	ru
mesg	mesg	ru
message	Сообщение	ru
mics	mics	ru
mid	mid	ru
minimum	Минимум	ru
mode	режим	ru
model	Модель	ru
mouse	мышь	ru
mousemove	mousemove	ru
move	Переместить	ru
msdospart	msdospart	ru
msg	msg	ru
mtime	mtime	ru
multi	много	ru
multiboot	multiboot	ru
multitasking	multitasking	ru
my	my	ru
myfunction	myfunction	ru
m긴급로그	m긴급로그	ru
m긴급로그문자열	m긴급로그문자열	ru
m직렬로그초기화	m직렬로그초기화	ru
m출력	m출력	ru
m테스트	m테스트	ru
n	Н	ru
name	Имя	ru
namesz	namesz	ru
net	net	ru
network	сеть	ru
new	Новый	ru
next	Далее	ru
nibble	nibble	ru
nlink	nlink	ru
nmi	морскаямиля	ru
node	Узел	ru
nodename	nodename	ru
noexec	noexec	ru
none	Нет	ru
normal	нормальный	ru
norw	norw	ru
not	not	ru
note	Заметка	ru
nsec	nsec	ru
num	num	ru
number	Число	ru
o	o	ru
of	из	ru
offset	offset	ru
ok	ОК	ru
old	old	ru
on	при	ru
only	только	ru
opcode	opcode	ru
open	открыть	ru
oper	oper	ru
operation	операция	ru
options	Параметры	ru
order	order	ru
org	org	ru
other	Другая	ru
out	Входящий	ru
output	Вывод	ru
overflow	overflow	ru
p	Д	ru
packet	ПАКЕТ	ru
packets	пакетов	ru
paddr	paddr	ru
page	страница	ru
pages	pages	ru
paging	управлениеСтраницами	ru
param	param	ru
parameter	parameter	ru
params	Аргументы	ru
parent	родитель	ru
parse	parse	ru
part	part	ru
partition	разделДиска	ru
partitions	partitions	ru
path	ПУТЬ	ru
pause	Приостановить	ru
payload	payload	ru
pci	pci	ru
pde	pde	ru
pdelen	pdelen	ru
peer	peer	ru
pending	ожидающий	ru
per	per	ru
peripheral	peripheral	ru
phentsize	phentsize	ru
phnum	phnum	ru
