원래경로	변환경로
src/amd_am79c973/amd_am79c973.go	src/amdam79c973/amdam79c973.go
src/arp/arp.go	src/arp/arp.go
src/common/memoperations.go	src/общий/памятьоперация.go
src/common/type.go	src/общий/тип.go
src/console/console.go	src/консоль/консоль.go
src/console/console.s	src/консоль/консоль.s
src/drivers/ata/ata.go	src/драйвер/ata/ata.go
src/drivers/driver/driver.go	src/драйвер/драйвер/драйвер.go
src/drivers/keyboard/keyboard.go	src/драйвер/клавиатура/клавиатура.go
src/drivers/mouse/mouse.go	src/драйвер/устройство_указания/устройство_указания.go
src/drivers/timer/timer.go	src/драйвер/таймер/таймер.go
src/etherframe/etherframe.go	src/кадр_сети_с_общей_средой/кадр_сети_с_общей_средой.go
src/filesystem/elf/elf.go	src/файлсистема/исполняемый_и_компонуемый_формат/исполняемый_и_компонуемый_формат.go
src/filesystem/elf/elfheader.go	src/файлсистема/исполняемый_и_компонуемый_формат/elfзаголовок.go
src/filesystem/elf/elfsection.go	src/файлсистема/исполняемый_и_компонуемый_формат/elfраздел.go
src/filesystem/elf/linkmap.go	src/файлсистема/исполняемый_и_компонуемый_формат/ссылкакарта.go
src/filesystem/fat/fat.go	src/файлсистема/fat/fat.go
src/filesystem/msdospart/msdospart.go	src/файлсистема/msdosразделДиска/msdosразделДиска.go
src/gate/gate.go	src/шлюз/шлюз.go
src/gate/gate.s	src/шлюз/шлюз.s
src/gate/gate_amd64.go	src/шлюз/шлюзamd64.go
src/gate/gate_amd64.s	src/шлюз/шлюзamd64.s
src/gdt/gdt.go	src/gdt/gdt.go
src/gdt/gdt.s	src/gdt/gdt.s
src/icmp/icmp.go	src/протокол_управляющих_сообщений_объединённой_сети/протокол_управляющих_сообщений_объединённой_сети.go
src/interrupt/interrupt.go	src/прерывание/прерывание.go
src/interrupt/interrupt.s	src/прерывание/прерывание.s
src/ipv4/ipv4.go	src/протокол_объединённой_сети_4/протокол_объединённой_сети_4.go
src/memorymanager/memorymanager.go	src/памятьдиспетчер/памятьдиспетчер.go
src/multitasking/multi.s	src/многоуправлениеЗадачами/много.s
src/multitasking/multitasking.go	src/многоуправлениеЗадачами/многоуправлениеЗадачами.go
src/paging/paging.go	src/управлениеСтраницами/управлениеСтраницами.go
src/paging/paging.s	src/управлениеСтраницами/управлениеСтраницами.s
src/pci/pci.go	src/pci/pci.go
src/phymem/phymem.go	src/физическийпамять/физическийпамять.go
src/port/port.go	src/порт/порт.go
src/port/port.s	src/порт/порт.s
src/systemcall/systemcall.go	src/системавызов/системавызов.go
src/systemcall/systemcall.s	src/системавызов/системавызов.s
src/tasking/process/process.go	src/управлениеЗадачами/процесс/процесс.go
src/tasking/scheduler/scheduler.go	src/управлениеЗадачами/планировщик/планировщик.go
src/tasking/scheduler/scheduler.s	src/управлениеЗадачами/планировщик/планировщик.s
src/tasking/thread/thread.go	src/управлениеЗадачами/поток/поток.go
src/tasking/tss/tss.go	src/управлениеЗадачами/tss/tss.go
src/tasking/tss/tss.s	src/управлениеЗадачами/tss/tss.s
src/text_mode/text_mode.go	src/текстрежим/текстрежим.go
src/udp/udp.go	src/протокол_пользовательских_датаграмм/протокол_пользовательских_датаграмм.go
src/util/array/array.go	src/утилита/массив/массив.go
src/util/list/list.go	src/утилита/список/список.go
src/util/util.go	src/утилита/утилита.go
src/vga/vga.go	src/vga/vga.go
src/virtmem/virtmem.go	src/виртуальныйпамять/виртуальныйпамять.go
src/widget/widget.go	src/элемент_экрана/элемент_экрана.go
main.go	главный.go
main.s	главный.s
asm/constants.inc	запуск_машины/константа.inc
asm/gdt.inc	запуск_машины/gdt.inc
asm/go_asm_offsets.inc	запуск_машины/goasmoffset.inc
asm/multiboot_header.s	запуск_машины/multibootзаголовок.s
asm/rt0.s	запуск_машины/rt0.s
go.sh	собрать_ядро.sh
