original	before	after	review_status	concept	changed_tokens
Activate	Включить	Включить	existing-unreviewed		0
ActivateAll	ВключитьВсе	ВключитьВсе	existing-unreviewed		0
Active	Активно	Активно	existing-unreviewed		0
ActiveInterruptManager	Активнопрерываниедиспетчер	Активнопрерываниедиспетчер	existing-unreviewed		0
ActiveMemoryManager	Активнопамятьдиспетчер	Активнопамятьдиспетчер	existing-unreviewed		0
Add	Добавить	Добавить	existing-unreviewed		0
AddDriver	Добавитьдрайвер	Добавитьдрайвер	existing-unreviewed		0
AddRunnableThread	Добавитьrunnableпоток	Добавитьrunnableпоток	existing-unreviewed		0
AddTask	Добавитьзадача	Добавитьзадача	existing-unreviewed		0
AddThread	Добавитьпоток	Добавитьпоток	existing-unreviewed		0
Address	Address	Address	existing-unreviewed		0
AlignedMalloc	Alignedmalloc	Alignedmalloc	existing-unreviewed		0
AlignmentCheck	Alignmentcheck	Alignmentcheck	existing-unreviewed		0
AllocateBlock	AllocateБлок	AllocateБлок	existing-unreviewed		0
AllocatePID	Allocatepid	Allocatepid	existing-unreviewed		0
AmountOfMemory	Количествоизпамять	Количествоизпамять	existing-unreviewed		0
ArrayToUint16	Массивкunsignedinteger16	Массивкunsignedinteger16	existing-unreviewed		0
ArrayToUint32	Массивкunsignedinteger32	Массивкunsignedinteger32	existing-unreviewed		0
ArrayToUint48	Массивкunsignedinteger48	Массивкunsignedinteger48	existing-unreviewed		0
ArrayToUint48_BE	Массивкunsignedinteger48be	Массивкunsignedinteger48be	existing-unreviewed		0
ArrayToUint64	Массивкunsignedinteger64	Массивкunsignedinteger64	existing-unreviewed		0
Atime	Atime	Atime	existing-unreviewed		0
AtimeNsec	Atimensec	Atimensec	existing-unreviewed		0
BLOCKS_PER_BYTE	Блокperбайт	Блокperбайт	existing-unreviewed		0
BLOCK_SIZE	БлокРазмер	БлокРазмер	existing-unreviewed		0
Backend	Backend	Backend	existing-unreviewed		0
BaseAddr	Baseaddress	Baseaddress	existing-unreviewed		0
Bind	Прослушивать	Прослушивать	existing-unreviewed		0
Blksize	Blksize	Blksize	existing-unreviewed		0
Blocked	Blocked	Blocked	existing-unreviewed		0
BlockedState	BlockedСостояние	BlockedСостояние	existing-unreviewed		0
Blocks	Блок	Блок	existing-unreviewed		0
BoundRangeExceeded	BoundДиапазонexceeded	BoundДиапазонexceeded	existing-unreviewed		0
BroadcastMacAddress	Broadcastmacaddress	Broadcastmacaddress	existing-unreviewed		0
BytesPerSector	Байтpersector	Байтpersector	existing-unreviewed		0
BytesToString	БайткСтрока	БайткСтрока	existing-unreviewed		0
Checksum	Checksum	Checksum	existing-unreviewed		0
Clear	Очистить	Очистить	existing-unreviewed		0
Clone	Clone	Clone	existing-unreviewed		0
CloneAddressSpaceCOW	CloneaddressПробелcow	CloneaddressПробелcow	existing-unreviewed		0
Connect	Подключить	Подключить	existing-unreviewed		0
ContainsCoordinate	Containscoordinate	Containscoordinate	existing-unreviewed		0
CopyPageFrameBlock	КопироватьстраницакадрБлок	КопироватьстраницакадрБлок	existing-unreviewed		0
CpuState	ЦПСостояние	ЦПСостояние	existing-unreviewed		0
Create	Создать	Создать	existing-unreviewed		0
CreateFromData	Создатьfromданные	Создатьfromданные	existing-unreviewed		0
CreateFromFunction	СоздатьfromФункция	СоздатьfromФункция	existing-unreviewed		0
CreatePtrFromFunction	СоздатьУказателиfromФункция	СоздатьУказателиfromФункция	existing-unreviewed		0
Cs	Cs	Cs	existing-unreviewed		0
Ctime	Ctime	Ctime	existing-unreviewed		0
CtimeNsec	Ctimensec	Ctimensec	existing-unreviewed		0
CurrentPID	Текущаядатаpid	Текущаядатаpid	existing-unreviewed		0
CurrentParentPID	Текущаядатародительpid	Текущаядатародительpid	existing-unreviewed		0
Data	Data	Data	compatibility		0
Deactivate	Выключить	Выключить	existing-unreviewed		0
Deactive	Deactive	Deactive	existing-unreviewed		0
Decrement	Decrement	Decrement	existing-unreviewed		0
Delete	Удалить	Удалить	existing-unreviewed		0
DescriptorPrivilegeLevel	Descriptorprivilegelevel	Descriptorprivilegelevel	existing-unreviewed		0
DescriptorType	Descriptorтип	Descriptorтип	existing-unreviewed		0
Destroy	Уничтожить	Уничтожить	existing-unreviewed		0
Dev	Устройство	Устройство	existing-unreviewed		0
DeviceHasFunctions	УстройствоhasФункции	УстройствоhasФункции	existing-unreviewed		0
DeviceNotAvailable	УстройствоnotДоступно	УстройствоnotДоступно	existing-unreviewed		0
Device_id	УстройствоИДЕНТИФИКАТОР	УстройствоИДЕНТИФИКАТОР	existing-unreviewed		0
DisableInt	ОтключитьЦелое	ОтключитьЦелое	existing-unreviewed		0
Disconnect	Отключиться	Отключиться	existing-unreviewed		0
DivideByZero	ДелениеbyНоль	ДелениеbyНоль	existing-unreviewed		0
DoHandleInterrupt	DoРучкапрерывание	DoРучкапрерывание	existing-unreviewed		0
DoubleFault	Двойнойточностиошибка	Двойнойточностиошибка	existing-unreviewed		0
Draw	Draw	Draw	existing-unreviewed		0
DriverManager	Драйвердиспетчер	Драйвердиспетчер	existing-unreviewed		0
Ds	Ds	Ds	existing-unreviewed		0
Dynamic	Динамически	Динамически	existing-unreviewed		0
E2BIG	E2big	E2big	existing-unreviewed		0
EACCES	Eacces	Eacces	existing-unreviewed		0
EADDRINUSE	Eaddrinuse	Eaddrinuse	existing-unreviewed		0
EAFNOSUPPORT	Eafnosupport	Eafnosupport	existing-unreviewed		0
EAGAIN	Eagain	Eagain	existing-unreviewed		0
EBADF	Ebadf	Ebadf	existing-unreviewed		0
EBUSY	Ebusy	Ebusy	existing-unreviewed		0
ECHILD	Echild	Echild	existing-unreviewed		0
EEXIST	Eexist	Eexist	existing-unreviewed		0
EFAULT	Efault	Efault	existing-unreviewed		0
EFBIG	Efbig	Efbig	existing-unreviewed		0
EINTR	Eintr	Eintr	existing-unreviewed		0
EINVAL	Einval	Einval	existing-unreviewed		0
EIO	Eio	Eio	existing-unreviewed		0
EISDIR	Eisdir	Eisdir	existing-unreviewed		0
EMFILE	Emfile	Emfile	existing-unreviewed		0
EMSGSIZE	Emsgsize	Emsgsize	existing-unreviewed		0
ENETUNREACH	Enetunreach	Enetunreach	existing-unreviewed		0
ENFILE	Enfile	Enfile	existing-unreviewed		0
ENODEV	Enodev	Enodev	existing-unreviewed		0
ENOENT	Enoent	Enoent	existing-unreviewed		0
ENOEXEC	Enoexec	Enoexec	existing-unreviewed		0
ENOMEM	Enomem	Enomem	existing-unreviewed		0
ENOSPC	Enospc	Enospc	existing-unreviewed		0
ENOSYS	Enosys	Enosys	existing-unreviewed		0
ENOTCONN	Enotconn	Enotconn	existing-unreviewed		0
ENOTDIR	Enotdir	Enotdir	existing-unreviewed		0
ENOTTY	Enotty	Enotty	existing-unreviewed		0
EOPNOTSUPP	Eopnotsupp	Eopnotsupp	existing-unreviewed		0
EPERM	Eperm	Eperm	existing-unreviewed		0
EPROTONOSUPPORT	Eprotonosupport	Eprotonosupport	existing-unreviewed		0
ERANGE	Erange	Erange	existing-unreviewed		0
EROFS	Erofs	Erofs	existing-unreviewed		0
ESPIPE	Espipe	Espipe	existing-unreviewed		0
ESRCH	Esrch	Esrch	existing-unreviewed		0
Eax	Eax	Eax	existing-unreviewed		0
Ebp	Ebp	Ebp	existing-unreviewed		0
Ebx	Ebx	Ebx	existing-unreviewed		0
Ecx	Ecx	Ecx	existing-unreviewed		0
Edi	Edi	Edi	existing-unreviewed		0
Edx	Edx	Edx	existing-unreviewed		0
Eflags	Eflags	Eflags	existing-unreviewed		0
Eip	Eip	Eip	existing-unreviewed		0
Elf	Elf	Elf	existing-unreviewed		0
Elf32Dyn	Elf32dyn	Elf32dyn	existing-unreviewed		0
Elf32Note	Elf32Заметка	Elf32Заметка	existing-unreviewed		0
Elf32Rel	Elf32rel	Elf32rel	existing-unreviewed		0
Elf32Rela	Elf32rela	Elf32rela	existing-unreviewed		0
Elf32Sym	Elf32sym	Elf32sym	existing-unreviewed		0
ElfHeader	Elfзаголовок	Elfзаголовок	existing-unreviewed		0
ElfProgramHeader	Elfпрограммазаголовок	Elfпрограммазаголовок	existing-unreviewed		0
ElfSectionHeader	Elfразделзаголовок	Elfразделзаголовок	existing-unreviewed		0
EnablePaging	ВключитьуправлениеСтраницами	ВключитьуправлениеСтраницами	existing-unreviewed		0
Enabled	Включено	Включено	existing-unreviewed		0
EntryNumber	ЗаписьЧисло	ЗаписьЧисло	existing-unreviewed		0
EqualBytes	РавныйБайт	РавныйБайт	existing-unreviewed		0
Es	Es	Es	existing-unreviewed		0
Esi	Esi	Esi	existing-unreviewed		0
Esp	Esp	Esp	existing-unreviewed		0
FPUBuffer	Fpubuffer	Fpubuffer	existing-unreviewed		0
FPUOffset	Fpuoffset	Fpuoffset	existing-unreviewed		0
Family	Family	Family	existing-unreviewed		0
FileName	ФайлИмя	ФайлИмя	existing-unreviewed		0
Fill	Fill	Fill	existing-unreviewed		0
FillRectangle	FillПрямоугольник	FillПрямоугольник	existing-unreviewed		0
First	First	First	existing-unreviewed		0
FirstFree	FirstСвободно	FirstСвободно	existing-unreviewed		0
FirstFreeSize	FirstСвободноРазмер	FirstСвободноРазмер	existing-unreviewed		0
Flags	Флаги	Флаги	existing-unreviewed		0
FloatingPointException	Раздельноpointexception	Раздельноpointexception	existing-unreviewed		0
Flush	Flush	Flush	existing-unreviewed		0
FlushTlsTable	FlushtlsТаблица	FlushtlsТаблица	existing-unreviewed		0
Focussable	Focussable	Focussable	existing-unreviewed		0
Free	Свободно	Свободно	existing-unreviewed		0
Fs	Fs	Fs	existing-unreviewed		0
GB	ГБ	ГБ	existing-unreviewed		0
GDT_ENTRIES	Gdtзапись	Gdtзапись	existing-unreviewed		0
GOT	Got	Got	existing-unreviewed		0
GPFException	Gpfexception	Gpfexception	existing-unreviewed		0
GatewayIP	Gatewayip	Gatewayip	existing-unreviewed		0
GdtAddressHigh	GdtaddressВысокий	GdtaddressВысокий	existing-unreviewed		0
GdtAddressLow	GdtaddressНизкий	GdtaddressНизкий	existing-unreviewed		0
GdtDescriptor	Gdtdescriptor	Gdtdescriptor	existing-unreviewed		0
GdtEntry	Gdtзапись_2	Gdtзапись_2	existing-unreviewed		0
GdtSize	GdtРазмер	GdtРазмер	existing-unreviewed		0
GetAt	Getat	Getat	existing-unreviewed		0
GetBackend	Getbackend	Getbackend	existing-unreviewed		0
GetBaseAddressRegister	Getbaseaddressрегистр	Getbaseaddressрегистр	existing-unreviewed		0
GetBitmaspSize	GetbitmaspРазмер	GetbitmaspРазмер	existing-unreviewed		0
GetBytesFromPtr	GetБайтfromУказатели	GetБайтfromУказатели	existing-unreviewed		0
GetCR0	Getcr0	Getcr0	existing-unreviewed		0
GetCR2	Getcr2	Getcr2	existing-unreviewed		0
GetCR3	Getcr3	Getcr3	existing-unreviewed		0
GetCR4	Getcr4	Getcr4	existing-unreviewed		0
GetColorIndex	GetЦветСодержание	GetЦветСодержание	existing-unreviewed		0
GetDeviceDescriptor	GetУстройствоdescriptor	GetУстройствоdescriptor	existing-unreviewed		0
GetDriver	Getдрайвер	Getдрайвер	existing-unreviewed		0
GetESP0	Getesp0	Getesp0	existing-unreviewed		0
GetEntry	Getзапись	Getзапись	existing-unreviewed		0
GetFileSize	GetфайлРазмер	GetфайлРазмер	existing-unreviewed		0
GetFocus	GetФокус	GetФокус	existing-unreviewed		0
GetFrameBufferSegment	Getкадрbuffersegment	Getкадрbuffersegment	existing-unreviewed		0
GetFuncPtrFromPtr	GetfuncУказателиfromУказатели	GetfuncУказателиfromУказатели	existing-unreviewed		0
GetFunctionName	GetФункцияИмя	GetФункцияИмя	existing-unreviewed		0
GetHandler	Gethandler	Gethandler	existing-unreviewed		0
GetIPAddress	Getipaddress	Getipaddress	existing-unreviewed		0
GetMACAddress	Getmacaddress	Getmacaddress	existing-unreviewed		0
GetMACFromCache	Getmacfromcache	Getmacfromcache	existing-unreviewed		0
GetNextReadyThread	GetДалееГотовопоток	GetДалееГотовопоток	existing-unreviewed		0
GetNodeAt	GetУзелat	GetУзелat	existing-unreviewed		0
GetProvider	Providerget	Providerget	existing-unreviewed		0
GetSS0	Getss0	Getss0	existing-unreviewed		0
GetStr	Getstr	Getstr	existing-unreviewed		0
GetUint32ArrayFromPtr	Getunsignedinteger32массивfromУказатели	Getunsignedinteger32массивfromУказатели	existing-unreviewed		0
GetUintptrArrayFromPtr	GetunsignedintegerУказателимассивfromУказатели	GetunsignedintegerУказателимассивfromУказатели	existing-unreviewed		0
GetValue	GetЗначение	GetЗначение	existing-unreviewed		0
GetValueInPageDir	GetЗначениеИсходящийстраницакаталог	GetЗначениеИсходящийстраницакаталог	existing-unreviewed		0
Gid	Gid	Gid	existing-unreviewed		0
Gs	Gs	Gs	existing-unreviewed		0
HandleException	Ручкаexception	Ручкаexception	existing-unreviewed		0
HandleFatalInterruptFrame	Ручкаfatalпрерываниекадр	Ручкаfatalпрерываниекадр	existing-unreviewed		0
HandleInterrupt	Ручкапрерывание	Ручкапрерывание	existing-unreviewed		0
HandleInterrupt1	Ручкапрерывание1	Ручкапрерывание1	existing-unreviewed		0
HandleUserDatagramProtocolMessage	РучкапользовательdatagramprotocolСообщение	РучкапользовательdatagramprotocolСообщение	existing-unreviewed		0
IDT_DESC_PRESENT	IdtdescriptorПрисутствует	IdtdescriptorПрисутствует	existing-unreviewed		0
IDT_INTERRUPT_GATE	Idtпрерываниешлюз	Idtпрерываниешлюз	existing-unreviewed		0
IDriver	IДрайвер	IДрайвер	existing-unreviewed		0
IEtherFrameHandler	IЭфирнаяСетькадрhandler	IЭфирнаяСетькадрhandler	existing-unreviewed		0
IInternetProtocolHandler	IИнтернетprotocolhandler	IИнтернетprotocolhandler	existing-unreviewed		0
IInterruptHandler	IПрерываниеhandler	IПрерываниеhandler	existing-unreviewed		0
IKeyboardEventHandler	IКлавиатурасобытиеhandler	IКлавиатурасобытиеhandler	existing-unreviewed		0
IMouseEventHandler	IМышьсобытиеhandler	IМышьсобытиеhandler	existing-unreviewed		0
IPCIControllerHandler	Ipciконтроллерhandler	Ipciконтроллерhandler	existing-unreviewed		0
IPCache	Ipcache	Ipcache	existing-unreviewed		0
IP_BE	Ipсетьбайтorder	Ipсетьбайтorder	existing-unreviewed		0
IRawDataHandler	IRawданныеhandler	IRawданныеhandler	existing-unreviewed		0
ITimerEventHandler	IТаймерсобытиеhandler	IТаймерсобытиеhandler	existing-unreviewed		0
IUserDatagramProtocolHandler	IПользовательdatagramprotocolhandler	IПользовательdatagramprotocolhandler	existing-unreviewed		0
IUserDatagramProtocolSocket	IПользовательdatagramprotocolсокет	IПользовательdatagramprotocolсокет	existing-unreviewed		0
IWidget	IЭлемент	IЭлемент_экрана	project-proposal	widget	6
Identify	Identify	Identify	existing-unreviewed		0
Increment	Increment	Increment	existing-unreviewed		0
IndexOf	Содержаниеиз	Содержаниеиз	existing-unreviewed		0
Init	Init	Init	existing-unreviewed		0
InitDriver	Initдрайвер	Initдрайвер	existing-unreviewed		0
InitialThreadUserJump	Initialпотокпользовательjump	Initialпотокпользовательjump	existing-unreviewed		0
Ino	Ino	Ino	existing-unreviewed		0
Install	Установить	Установить	existing-unreviewed		0
Interrupt	Прерывание	Прерывание	existing-unreviewed		0
InterruptActive	ПрерываниеАктивно	ПрерываниеАктивно	existing-unreviewed		0
InterruptDeactive	Прерываниеdeactive	Прерываниеdeactive	existing-unreviewed		0
InterruptManager	Прерываниедиспетчер	Прерываниедиспетчер	existing-unreviewed		0
InterruptNumber	ПрерываниеЧисло	ПрерываниеЧисло	existing-unreviewed		0
InvalidOpcode	Недопустимыйopcode	Недопустимыйopcode	existing-unreviewed		0
InvalidTSS	Недопустимыйtss	Недопустимыйtss	existing-unreviewed		0
IsKernel	Isядро	Isядро	existing-unreviewed		0
IsPresent	IsПрисутствует	IsПрисутствует	existing-unreviewed		0
IsUserSpace	IsпользовательПробел	IsпользовательПробел	existing-unreviewed		0
KB	КБ	КБ	existing-unreviewed		0
KCS_INDEX	KcsСодержание	KcsСодержание	existing-unreviewed		0
KCS_SELECTOR	Kcsselector	Kcsselector	existing-unreviewed		0
KDS_INDEX	KdsСодержание	KdsСодержание	existing-unreviewed		0
KDS_SELECTOR	Kdsselector	Kdsselector	existing-unreviewed		0
KERNEL_HEAP_START	ЯдроheapПуск	ЯдроheapПуск	existing-unreviewed		0
KERNEL_VIRT_ADDR	Ядроvirtaddress	Ядроvirtaddress	existing-unreviewed		0
KGS_INDEX	KgsСодержание	KgsСодержание	existing-unreviewed		0
KGS_SELECTOR	Kgsselector	Kgsselector	existing-unreviewed		0
K핵심	KKernelEntry	KKernelEntry	compatibility		0
LIDT	Lidt	Lidt	existing-unreviewed		0
Last	Последнее	Последнее	existing-unreviewed		0
Len	Len	Len	compatibility		0
Limit	Ограничение	Ограничение	existing-unreviewed		0
Link	Ссылка	Ссылка	existing-unreviewed		0
LinkMap	Ссылкакарта	Ссылкакарта	existing-unreviewed		0
LinkedList	Linkedсписок	Linkedсписок	existing-unreviewed		0
Listen	Listen	Listen	existing-unreviewed		0
LoadElf	Загрузитьelf	Загрузитьelf	existing-unreviewed		0
MAC	Mac	Mac	existing-unreviewed		0
MAC0	Mac0	Mac0	existing-unreviewed		0
MAC1	Mac1	Mac1	existing-unreviewed		0
MAC2	Mac2	Mac2	existing-unreviewed		0
MAC3	Mac3	Mac3	existing-unreviewed		0
MAC4	Mac4	Mac4	existing-unreviewed		0
MAC5	Mac5	Mac5	existing-unreviewed		0
MACAddress0Port	Macaddress0порт	Macaddress0порт	existing-unreviewed		0
MACAddress2Port	Macaddress2порт	Macaddress2порт	existing-unreviewed		0
MACAddress4Port	Macaddress4порт	Macaddress4порт	existing-unreviewed		0
MACCache	Maccache	Maccache	existing-unreviewed		0
MAX_QUEUE_SIZE	МаксимумочередьРазмер	МаксимумочередьРазмер	existing-unreviewed		0
MB	МБ	МБ	existing-unreviewed		0
MBR	Mbr	Mbr	existing-unreviewed		0
MHex출력	MHexadecimalПечать	MHexadecimalПечать	existing-unreviewed		0
MHex출력XY	MHexadecimalПечатьxy	MHexadecimalПечатьxy	existing-unreviewed		0
MUint16출력	MUnsignedinteger16Печать	MUnsignedinteger16Печать	existing-unreviewed		0
MUint16출력XY	MUnsignedinteger16Печатьxy	MUnsignedinteger16Печатьxy	existing-unreviewed		0
MUint32출력	MUnsignedinteger32Печать	MUnsignedinteger32Печать	existing-unreviewed		0
MUint32출력XY	MUnsignedinteger32Печатьxy	MUnsignedinteger32Печатьxy	existing-unreviewed		0
MUint64출력	MUnsignedinteger64Печать	MUnsignedinteger64Печать	existing-unreviewed		0
MUint64출력XY	MUnsignedinteger64Печатьxy	MUnsignedinteger64Печатьxy	existing-unreviewed		0
Machine	Machine	Machine	existing-unreviewed		0
MachineCheck	Machinecheck	Machinecheck	existing-unreviewed		0
MakeRangePrivateWritable	MakeДиапазонЧастнаяwritable	MakeДиапазонЧастнаяwritable	existing-unreviewed		0
Malloc	Malloc	Выделить_память	project-proposal	allocate_memory	32
MemCmp	MemNOT	MemNOT	existing-unreviewed		0
MemCpy	Memкопировать	Memкопировать	existing-unreviewed		0
MemMove	MemПереместить	MemПереместить	existing-unreviewed		0
MemSet	Memуказать	Memуказать	existing-unreviewed		0
MemoryOper	Памятьoper	Памятьoper	existing-unreviewed		0
Mode	Режим	Режим	existing-unreviewed		0
ModelToScreen	МоделькЭкран	Задать_локальные_координаты	project-proposal	set_coordinates	5
Mtime	Mtime	Mtime	existing-unreviewed		0
MtimeNsec	Mtimensec	Mtimensec	existing-unreviewed		0
MyHandleInterrupt	MyРучкапрерывание	MyРучкапрерывание	existing-unreviewed		0
MyTest	MyПроверить	MyПроверить	existing-unreviewed		0
M긴급로그Hex8	MEmergencyЖурналhexadecimal8	MEmergencyЖурналhexadecimal8	existing-unreviewed		0
M긴급로그Uint32	MEmergencyЖурналunsignedinteger32	MEmergencyЖурналunsignedinteger32	existing-unreviewed		0
M긴급로그문자열	MEmergencyЖурналСтрока	MEmergencyЖурналСтрока	existing-unreviewed		0
M직렬로그초기화	MПоследовательныйЖурналinit	MПоследовательныйЖурналinit	existing-unreviewed		0
M출력	MПечать	MПечать	existing-unreviewed		0
M출력BytesXY	MПечатьБайтxy	MПечатьБайтxy	existing-unreviewed		0
M출력Hex	MПечатьhexadecimal	MПечатьhexadecimal	existing-unreviewed		0
M출력Uint16	MПечатьunsignedinteger16	MПечатьunsignedinteger16	existing-unreviewed		0
M출력Uint32	MПечатьunsignedinteger32	MПечатьunsignedinteger32	existing-unreviewed		0
M출력XY	MПечатьxy	MПечатьxy	existing-unreviewed		0
M테스트	M테스트	M테스트	existing-unreviewed		0
NMI	Морскаямиля	Морскаямиля	existing-unreviewed		0
New	Новый	Новый	existing-unreviewed		0
NewInterruptHandler	Новыйпрерываниеhandler	Новыйпрерываниеhandler	existing-unreviewed		0
Next	Далее	Далее	existing-unreviewed		0
Nlink	Nlink	Nlink	existing-unreviewed		0
Node	Узел	TУзел_списка	project-proposal	list_node	16
Nodename	Nodename	Nodename	existing-unreviewed		0
OnEtherFrameReceived	ЭфирнаяСетькадрreceivewhen	ЭфирнаяСетькадрreceivewhen	existing-unreviewed		0
OnGetDriver	Приgetдрайвер	Приgetдрайвер	existing-unreviewed		0
OnInternetProtocolReceived	Интернетprotocolreceivewhen	Интернетprotocolreceivewhen	existing-unreviewed		0
OnKeyDown	ПриКлючВниз	ПриКлючВниз	existing-unreviewed		0
OnKeyUp	ПриКлючВверх	ПриКлючВверх	existing-unreviewed		0
OnMouseDown	ПримышьВниз	ПримышьВниз	existing-unreviewed		0
OnMouseMove	ПримышьПереместить	ПримышьПереместить	existing-unreviewed		0
OnMouseUp	ПримышьВверх	ПримышьВверх	existing-unreviewed		0
OnRawDataReceived	Приrawданныеreceive	Приrawданныеreceive	existing-unreviewed		0
OnTick	Приtick	Приtick	existing-unreviewed		0
Overflow	Overflow	Overflow	existing-unreviewed		0
P1LinkMap	PЗначение1ссылкакарта	PЗначение1ссылкакарта	existing-unreviewed		0
P2LinkMap	PЗначение2ссылкакарта	PЗначение2ссылкакарта	existing-unreviewed		0
P3LinkMap	PЗначение3ссылкакарта	PЗначение3ссылкакарта	existing-unreviewed		0
PAGE_COW	Страницаcow	Страницаcow	existing-unreviewed		0
PAGE_FRAME	Страницакадр	Страницакадр	existing-unreviewed		0
PAGE_PRESENT	СтраницаПрисутствует	СтраницаПрисутствует	existing-unreviewed		0
PAGE_USER	Страницапользователь	Страницапользователь	existing-unreviewed		0
PAGE_WRITABLE	Страницаwritable	Страницаwritable	existing-unreviewed		0
PAUSE_LOOP	Приостановитьloop	Приостановитьloop	existing-unreviewed		0
PICMasterCommandPort	PrimarypicКомандаВводивыводпорт	PrimarypicКомандаВводивыводпорт	existing-unreviewed		0
PICMasterDataPort	PrimarypicданныеВводивыводпорт	PrimarypicданныеВводивыводпорт	existing-unreviewed		0
PICSlaveCommandPort	SecondarypicКомандаВводивыводпорт	SecondarypicКомандаВводивыводпорт	existing-unreviewed		0
PICSlaveDataPort	SecondarypicданныеВводивыводпорт	SecondarypicданныеВводивыводпорт	existing-unreviewed		0
PRESENT	Присутствует	Присутствует	existing-unreviewed		0
PRIV_KERNEL	Privядро	Privядро	existing-unreviewed		0
PRIV_USER	Privпользователь	Privпользователь	existing-unreviewed		0
PROC_USER_HEAP_SIZE	ProcпользовательheapРазмер	ProcпользовательheapРазмер	existing-unreviewed		0
PageDirEntry	Страницакаталогзапись	Страницакаталогзапись	existing-unreviewed		0
PageDirectoryEntry	Страницакаталогзапись_2	Страницакаталогзапись_2	existing-unreviewed		0
PageFault	Страницаошибка	Страницаошибка	existing-unreviewed		0
PageFaultException	Страницаошибкаexception	Страницаошибкаexception	existing-unreviewed		0
PageRoundDown	СтраницаОкруглитьВниз	СтраницаОкруглитьВниз	existing-unreviewed		0
