original	localized	language
Activate	Activate	ky_Cyrl
ActivateAll	Activateall	ky_Cyrl
Active	Активдүү	ky_Cyrl
ActiveInterruptManager	Активдүүinterruptmanager	ky_Cyrl
ActiveMemoryManager	АктивдүүЭсиmanager	ky_Cyrl
Add	Кошуу	ky_Cyrl
AddDriver	Кошууdriver	ky_Cyrl
AddRunnableThread	Кошууrunnablethread	ky_Cyrl
AddTask	Кошууtask	ky_Cyrl
AddThread	Кошууthread	ky_Cyrl
Address	Address	ky_Cyrl
AlignedMalloc	Alignedmalloc	ky_Cyrl
AlignmentCheck	Alignmentcheck	ky_Cyrl
AllocateBlock	AllocateБлок	ky_Cyrl
AllocatePID	Allocatepid	ky_Cyrl
AmountOfMemory	AmountofЭси	ky_Cyrl
ArrayToUint16	Массивtounsignedinteger16	ky_Cyrl
ArrayToUint32	Массивtounsignedinteger32	ky_Cyrl
ArrayToUint48	Массивtounsignedinteger48	ky_Cyrl
ArrayToUint48_BE	Массивtounsignedinteger48be	ky_Cyrl
ArrayToUint64	Массивtounsignedinteger64	ky_Cyrl
Atime	Atime	ky_Cyrl
AtimeNsec	Atimensec	ky_Cyrl
BLOCKS_PER_BYTE	Блокperbyte	ky_Cyrl
BLOCK_SIZE	БлокӨлчөм	ky_Cyrl
Backend	Backend	ky_Cyrl
BaseAddr	Baseaddress	ky_Cyrl
Bind	Bind	ky_Cyrl
Blksize	Blksize	ky_Cyrl
Blocked	Blocked	ky_Cyrl
BlockedState	BlockedАбал	ky_Cyrl
Blocks	Блок	ky_Cyrl
BoundRangeExceeded	BoundДиапазонexceeded	ky_Cyrl
BroadcastMacAddress	Broadcastmacaddress	ky_Cyrl
BytesPerSector	Байтpersector	ky_Cyrl
BytesToString	БайтtoСАП	ky_Cyrl
Checksum	Checksum	ky_Cyrl
Clear	Тзл	ky_Cyrl
Clone	Clone	ky_Cyrl
CloneAddressSpaceCOW	Cloneaddressspacecow	ky_Cyrl
Connect	Туташуу	ky_Cyrl
ContainsCoordinate	Containscoordinate	ky_Cyrl
