original	before	after	review_status	concept	changed_tokens
Activate	Activate	Activate	existing-unreviewed		0
ActivateAll	Activateall	Activateall	existing-unreviewed		0
Active	Активдүү	Активдүү	existing-unreviewed		0
ActiveInterruptManager	Активдүүinterruptmanager	Активдүүinterruptmanager	existing-unreviewed		0
ActiveMemoryManager	АктивдүүЭсиmanager	АктивдүүЭсиmanager	existing-unreviewed		0
Add	Кошуу	Кошуу	existing-unreviewed		0
AddDriver	Кошууdriver	Кошууdriver	existing-unreviewed		0
AddRunnableThread	Кошууrunnablethread	Кошууrunnablethread	existing-unreviewed		0
AddTask	Кошууtask	Кошууtask	existing-unreviewed		0
AddThread	Кошууthread	Кошууthread	existing-unreviewed		0
Address	Address	Address	existing-unreviewed		0
AlignedMalloc	Alignedmalloc	Alignedmalloc	existing-unreviewed		0
AlignmentCheck	Alignmentcheck	Alignmentcheck	existing-unreviewed		0
AllocateBlock	AllocateБлок	AllocateБлок	existing-unreviewed		0
AllocatePID	Allocatepid	Allocatepid	existing-unreviewed		0
AmountOfMemory	AmountofЭси	AmountofЭси	existing-unreviewed		0
ArrayToUint16	Массивtounsignedinteger16	Массивtounsignedinteger16	existing-unreviewed		0
ArrayToUint32	Массивtounsignedinteger32	Массивtounsignedinteger32	existing-unreviewed		0
ArrayToUint48	Массивtounsignedinteger48	Массивtounsignedinteger48	existing-unreviewed		0
ArrayToUint48_BE	Массивtounsignedinteger48be	Массивtounsignedinteger48be	existing-unreviewed		0
ArrayToUint64	Массивtounsignedinteger64	Массивtounsignedinteger64	existing-unreviewed		0
Atime	Atime	Atime	existing-unreviewed		0
AtimeNsec	Atimensec	Atimensec	existing-unreviewed		0
BLOCKS_PER_BYTE	Блокperbyte	Блокperbyte	existing-unreviewed		0
BLOCK_SIZE	БлокӨлчөм	БлокӨлчөм	existing-unreviewed		0
Backend	Backend	Backend	existing-unreviewed		0
BaseAddr	Baseaddress	Baseaddress	existing-unreviewed		0
Bind	Bind	Bind	existing-unreviewed		0
Blksize	Blksize	Blksize	existing-unreviewed		0
Blocked	Blocked	Blocked	existing-unreviewed		0
BlockedState	BlockedАбал	BlockedАбал	existing-unreviewed		0
Blocks	Блок	Блок	existing-unreviewed		0
BoundRangeExceeded	BoundДиапазонexceeded	BoundДиапазонexceeded	existing-unreviewed		0
BroadcastMacAddress	Broadcastmacaddress	Broadcastmacaddress	existing-unreviewed		0
BytesPerSector	Байтpersector	Байтpersector	existing-unreviewed		0
BytesToString	БайтtoСАП	БайтtoСАП	existing-unreviewed		0
Checksum	Checksum	Checksum	existing-unreviewed		0
Clear	Тзл	Тзл	existing-unreviewed		0
Clone	Clone	Clone	existing-unreviewed		0
CloneAddressSpaceCOW	Cloneaddressspacecow	Cloneaddressspacecow	existing-unreviewed		0
Connect	Туташуу	Туташуу	existing-unreviewed		0
ContainsCoordinate	Containscoordinate	Containscoordinate	existing-unreviewed		0
CopyPageFrameBlock	КөчүрүүБАРАКframeБлок	КөчүрүүБАРАКframeБлок	existing-unreviewed		0
CpuState	БПАбал	БПАбал	existing-unreviewed		0
Create	Create	Create	existing-unreviewed		0
CreateFromData	Createfromdata	Createfromdata	existing-unreviewed		0
CreateFromFunction	Createfromfunction	Createfromfunction	existing-unreviewed		0
CreatePtrFromFunction	CreateКөрсөткүчfromfunction	CreateКөрсөткүчfromfunction	existing-unreviewed		0
