original	localized	language
Activate	Activate	km
ActivateAll	Activateall	km
Active	Active	km
ActiveInterruptManager	Activeinterruptmanager	km
ActiveMemoryManager	Activememorymanager	km
Add	Add	km
AddDriver	Adddriver	km
AddRunnableThread	Addrunnablethread	km
AddTask	Addtask	km
AddThread	Addthread	km
Address	Address	km
AlignedMalloc	Alignedmalloc	km
AlignmentCheck	Alignmentcheck	km
AllocateBlock	Allocateblock	km
AllocatePID	Allocatepid	km
AmountOfMemory	Amountofmemory	km
ArrayToUint16	Arraytounsignedinteger16	km
ArrayToUint32	Arraytounsignedinteger32	km
ArrayToUint48	Arraytounsignedinteger48	km
ArrayToUint48_BE	Arraytounsignedinteger48be	km
ArrayToUint64	Arraytounsignedinteger64	km
Atime	Atime	km
AtimeNsec	Atimensec	km
BLOCKS_PER_BYTE	Blockperbyte	km
BLOCK_SIZE	Blocksize	km
Backend	Backend	km
BaseAddr	Baseaddress	km
Bind	Bind	km
Blksize	Blksize	km
Blocked	Blocked	km
BlockedState	Blockedstate	km
Blocks	Block	km
BoundRangeExceeded	Boundrangeexceeded	km
BroadcastMacAddress	Broadcastmacaddress	km
BytesPerSector	Bytespersector	km
BytesToString	Bytestostring	km
Checksum	Checksum	km
Clear	Clear	km
Clone	Clone	km
CloneAddressSpaceCOW	Cloneaddressspacecow	km
Connect	Connect	km
ContainsCoordinate	Containscoordinate	km
CopyPageFrameBlock	Copypageframeblock	km
CpuState	Cpustate	km
Create	Create	km
CreateFromData	Createfromdata	km
CreateFromFunction	Createfromfunction	km
CreatePtrFromFunction	Createpointerfromfunction	km
Cs	Cs	km
Ctime	Ctime	km
CtimeNsec	Ctimensec	km
CurrentPID	Currentpid	km
CurrentParentPID	Currentparentpid	km
Data	Data	km
Deactivate	Deactivate	km
Deactive	Deactive	km
Decrement	Decrement	km
Delete	Delete	km
DescriptorPrivilegeLevel	Descriptorprivilegelevel	km
DescriptorType	Descriptortype	km
Destroy	Destroy	km
Dev	Device	km
DeviceHasFunctions	Devicehasfunctions	km
DeviceNotAvailable	Devicenotavailable	km
Device_id	Deviceid	km
DisableInt	Disableint	km
Disconnect	Disconnect	km
DivideByZero	Dividebyzero	km
DoHandleInterrupt	Dohandleinterrupt	km
DoubleFault	Doublefault	km
Draw	Draw	km
DriverManager	Drivermanager	km
Ds	Ds	km
Dynamic	Dynamic	km
E2BIG	E2big	km
EACCES	Eacces	km
EADDRINUSE	Eaddrinuse	km
EAFNOSUPPORT	Eafnosupport	km
EAGAIN	Eagain	km
EBADF	Ebadf	km
EBUSY	Ebusy	km
ECHILD	Echild	km
EEXIST	Eexist	km
EFAULT	Efault	km
EFBIG	Efbig	km
EINTR	Eintr	km
EINVAL	Einval	km
EIO	Eio	km
EISDIR	Eisdir	km
EMFILE	Emfile	km
EMSGSIZE	Emsgsize	km
ENETUNREACH	Enetunreach	km
ENFILE	Enfile	km
ENODEV	Enodev	km
ENOENT	Enoent	km
ENOEXEC	Enoexec	km
ENOMEM	Enomem	km
ENOSPC	Enospc	km
ENOSYS	Enosys	km
ENOTCONN	Enotconn	km
ENOTDIR	Enotdir	km
ENOTTY	Enotty	km
EOPNOTSUPP	Eopnotsupp	km
EPERM	Eperm	km
EPROTONOSUPPORT	Eprotonosupport	km
ERANGE	Erange	km
EROFS	Erofs	km
ESPIPE	Espipe	km
ESRCH	Esrch	km
Eax	Eax	km
Ebp	Ebp	km
Ebx	Ebx	km
Ecx	Ecx	km
Edi	Edi	km
Edx	Edx	km
Eflags	Eflags	km
Eip	Eip	km
Elf	Elf	km
Elf32Dyn	Elf32dyn	km
Elf32Note	Elf32note	km
Elf32Rel	Elf32rel	km
Elf32Rela	Elf32rela	km
Elf32Sym	Elf32sym	km
ElfHeader	Elfheader	km
ElfProgramHeader	Elfprogramheader	km
ElfSectionHeader	Elfsectionheader	km
EnablePaging	Enablepaging	km
Enabled	Enabled	km
EntryNumber	Entrynumber	km
EqualBytes	Equalbytes	km
Es	Es	km
Esi	Esi	km
Esp	Esp	km
FPUBuffer	Fpubuffer	km
FPUOffset	Fpuoffset	km
Family	Family	km
FileName	Filename	km
Fill	Fill	km
FillRectangle	Fillrectangle	km
