function	native_identifier	implementation	limits
_exit	즉시끝내기	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
read	읽기	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
write	쓰기	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
close	닫기	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
lseek	자료위치옮기기	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fork	실행과정갈라내기	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
execve	실행내용바꾸기	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getpid	실행과정번호얻기	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getppid	부모실행과정번호얻기	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getuid	사용자번호얻기	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
geteuid	유효사용자번호얻기	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getgid	무리번호얻기	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getegid	유효무리번호얻기	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
access	접근권한확인하기	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
chdir	작업목록바꾸기	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getcwd	작업목록경로얻기	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
dup	열린자료참조복제하기	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
dup2	지정번호로열린자료참조복제하기	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fsync	자료철기록맞추기	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
sync	모든기록맞추기	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
isatty	단말인지확인하기	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
brk	동적기억끝정하기	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
sbrk	동적기억끝옮기기	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
waitpid	지정자식기다리기	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
