compiler_identifier	native_identifier
AF_INET	상호연결망주소계열
AF_UNSPEC	주소계열미지정
CHAR_BIT	여덟자리묶음의이진자리수
CHAR_MAX	문자정수최댓값
CHAR_MIN	문자정수최솟값
CHECK	조건확인
E2BIG	오류전달목록너무큼
EACCES	오류접근권한없음
EADDRINUSE	오류주소이미사용중
EAFNOSUPPORT	오류주소계열지원안함
EAGAIN	오류잠시사용불가
EBADF	오류서술번호잘못됨
EBUSY	오류자원사용중
ECHILD	오류자식실행과정없음
EEXIST	오류자료철이미있음
EFAULT	오류기억주소잘못됨
EFBIG	오류자료철너무큼
EINTR	오류동작중단됨
EINVAL	오류전달값잘못됨
EIO	오류입출력실패
EISDIR	오류목록임
EMFILE	오류과정열린자료철한도
EMSGSIZE	오류전문너무큼
ENETUNREACH	오류통신망도달불가
ENFILE	오류체제열린자료철한도
ENODEV	오류장치없음
ENOENT	오류자료철이나목록없음
ENOEXEC	오류실행형식잘못됨
ENOMEM	오류기억공간부족
ENOSPC	오류저장공간부족
ENOSYS	오류기능미구현
ENOTCONN	오류끝점연결안됨
ENOTDIR	오류목록아님
ENOTTY	오류장치에맞지않는동작
EOPNOTSUPP	오류동작지원안함
EPERM	오류허용되지않은동작
EPROTONOSUPPORT	오류규약지원안함
ERANGE	오류값범위벗어남
EROFS	오류읽기전용자료체계
ESPIPE	오류흐름위치이동불가
ESRCH	오류실행과정없음
EXIT_FAILURE	실패종료
EXIT_SUCCESS	성공종료
FD_CLOEXEC	실행내용교체때닫기
F_DUPFD	서술번호복제
F_GETFD	서술번호표시얻기
F_GETFL	자료철상태표시얻기
F_OK	존재확인
F_SETFD	서술번호표시설정
F_SETFL	자료철상태표시설정
INADDR_ANY	모든지역주소
INADDR_LOOPBACK	자기되돌림주소
INT_MAX	정수최댓값
INT_MIN	정수최솟값
IPPROTO_IP	상호연결망기본규약
IPPROTO_UDP	사용자자료전문규약
LLONG_MAX	아주긴정수최댓값
LLONG_MIN	아주긴정수최솟값
LONG_MAX	긴정수최댓값
LONG_MIN	긴정수최솟값
NULL	빈주소
O_ACCMODE	접근방식가림값
O_APPEND	끝에덧붙이기
O_CREAT	없으면만들기
O_DIRECTORY	목록만허용
O_EXCL	새자료철만허용
O_RDONLY	읽기전용열기
O_RDWR	읽고쓰기열기
O_TRUNC	기존내용비우기
O_WRONLY	쓰기전용열기
PF_INET	상호연결망규약계열
R_OK	읽기권한확인
SC0	인수없는체계호출
SC1	인수하나체계호출
SC2	인수둘체계호출
SC3	인수셋체계호출
SCHAR_MAX	부호있는문자정수최댓값
SCHAR_MIN	부호있는문자정수최솟값
SC_accept	통신끝점_연결요청받기
SC_bind	통신끝점_지역주소맺기
SC_connect	통신끝점_상대끝점잇기
SC_getpeername	통신끝점_상대끝점주소얻기
SC_getsockname	통신끝점_지역끝점주소얻기
SC_listen	통신끝점_연결요청받을준비하기
SC_recv	통신끝점_받기
SC_recvfrom	통신끝점_보낸곳과함께받기
SC_send	통신끝점_보내기
