compiler_identifier	native_identifier	status
INPUT_LINE_CAPACITY	입력줄_수용량	project-proposal
MAX_ARGUMENT_COUNT	최대_인수_개수	project-proposal
MAX_SCRIPT_DEPTH	최대_명령자료철_중첩	project-proposal
argument_count	인수_개수	project-proposal
arguments	인수들	project-proposal
buffer	전달_완충공간	project-proposal
bytes_read	읽은_여덟자리묶음수	project-proposal
bytes_written	쓴_여덟자리묶음수	project-proposal
capacity	수용량	project-proposal
character	문자	project-proposal
child_pid	자식_실행과정_번호	project-proposal
cleanup	통신끝점_닫기	project-proposal
command	명령	project-proposal
command_aliases	현지어_명령_별칭	project-proposal
command_cat	자료철_내용_표시	project-proposal
command_echo	인수_출력	project-proposal
command_matches	명령_일치	project-proposal
command_names	기준_명령들	project-proposal
command_pid	실행과정_번호_표시	project-proposal
command_pwd	현재_경로_표시	project-proposal
command_run	실행자료철_가동	project-proposal
command_source	명령자료철_해석	project-proposal
command_stat	자료철_정보_표시	project-proposal
command_udp	자료전문_되돌림_시험	project-proposal
command_uname	운영체제_정보_표시	project-proposal
current	현재_위치	project-proposal
digit_text	숫자_문자들	project-proposal
file_descriptor	자료철_서술번호	project-proposal
file_name	자료철_이름	project-proposal
input	입력	project-proposal
input_descriptor	입력_서술번호	project-proposal
input_line	입력줄	project-proposal
input_stream	입력자료흐름	project-proposal
left	왼쪽	project-proposal
length	길이	project-proposal
message	전문	project-proposal
message_length	전문_여덟자리묶음_길이	project-proposal
name	운영체제_식별정보	project-proposal
number	부호없는_크기	project-proposal
operation	실행_연산	project-proposal
output	출력_위치	project-proposal
overflow	잘못된_입력줄	project-proposal
path	경로	project-proposal
position	위치	project-proposal
print_help	도움말_표시	project-proposal
quote	따옴표	project-proposal
read_line	입력줄_읽기	project-proposal
receive_address	수신_접속점_주소	project-proposal
receive_socket	수신_통신끝점	project-proposal
received_data	수신_자료	project-proposal
received_length	수신_여덟자리묶음수	project-proposal
right	오른쪽	project-proposal
run_input	입력_해석	project-proposal
script_depth	명령자료철_중첩_깊이	project-proposal
send_socket	송신_통신끝점	project-proposal
size	자릿수	project-proposal
source_address	송신_접속점_주소	project-proposal
source_address_length	송신주소_길이	project-proposal
split_arguments	인수_나누기	project-proposal
status	상태	project-proposal
text	문자열	project-proposal
text_equal	문자열_일치	project-proposal
text_length	문자열_여덟자리묶음_길이	project-proposal
value	값	project-proposal
wait_status	자식_종료_상태	project-proposal
write_error	오류_알리기	project-proposal
write_integer	정수_쓰기	project-proposal
write_text	문자열_쓰기	project-proposal
