original	before	after	review_status	concept	changed_tokens
Activate	A활성화	M활성화	koros4-function-reviewed		3
ActivateAll	A활성화모두	M모두활성화	koros4-function-reviewed		1
Active	A활성	M개입중단활성화	koros4-function-reviewed		2
ActiveInterruptManager	A활성개입중단관리자	A활성개입중단관리자	koros4-function-reviewed		0
ActiveMemoryManager	A활성기억공간관리자	A활성기억공간관리자	koros4-function-reviewed		0
Add	A추가	M자료추가	koros4-function-reviewed		1
AddDriver	A추가구동장치	M구동기추가	koros4-function-reviewed		1
AddRunnableThread	A추가runnable실행흐름	F실행가능흐름추가	koros4-function-reviewed		2
AddTask	A추가작업	M작업추가	koros4-function-reviewed		1
AddThread	A추가실행흐름	M실행흐름추가	koros4-function-reviewed		2
Address	A주소	A주소	koros4-function-reviewed		0
AlignedMalloc	A정렬malloc	M기억쪽경계맞춰할당	koros4-function-reviewed		6
AlignmentCheck	A정렬확인	C정렬검사예외	koros4-function-reviewed		2
AllocateBlock	A할당블록	M구획할당	koros4-function-reviewed		1
AllocatePID	A할당과정식별자	F과정식별자할당	koros4-function-reviewed		3
AmountOfMemory	A양of기억공간	M전체기억공간크기가져오기	koros4-function-reviewed		1
ArrayToUint16	A배열to부호없음정수16	F높은바이트우선배열을정수16으로변환	koros4-function-reviewed		16
ArrayToUint32	A배열to부호없음정수32	F높은바이트우선배열을정수32로변환	koros4-function-reviewed		16
ArrayToUint48	A배열to부호없음정수48	F높은바이트우선배열을정수48로변환	koros4-function-reviewed		5
ArrayToUint48_BE	A배열to부호없음정수48be	F낮은바이트우선배열을정수48로변환	koros4-function-reviewed		1
ArrayToUint64	A배열to부호없음정수64	F높은바이트우선배열을정수64로변환	koros4-function-reviewed		1
Atime	Atime	V접근시각	koros4-function-reviewed		1
AtimeNsec	Atimensec	V접근시각나노초	koros4-function-reviewed		1
BLOCKS_PER_BYTE	B블록per바이트	C바이트당사용표시수	koros4-function-reviewed		3
BLOCK_SIZE	B블록크기	B구획크기	koros4-function-reviewed		3
Backend	B후단부	B후단부	koros4-function-reviewed		0
BaseAddr	B기준주소	B기준주소	koros4-function-reviewed		0
Bind	B결합	M결합	koros4-function-reviewed		1
Blksize	Blksize	V구획바이트크기	koros4-function-reviewed		2
Blocked	B차단됨	B차단됨	koros4-function-reviewed		0
BlockedState	B차단됨상태	B차단됨상태	koros4-function-reviewed		0
Blocks	B블록	B구획	koros4-function-reviewed		2
BoundRangeExceeded	B결합됨범위exceeded	C범위초과예외	koros4-function-reviewed		2
BroadcastMacAddress	B전체전송MAC주소	M매체주소방송	koros4-function-reviewed		1
BytesPerSector	B바이트persector	C저장구역당바이트수	koros4-function-reviewed		3
BytesToString	B바이트to문자열	F바이트열을문자열로변환	koros4-function-reviewed		2
Checksum	C검사합	M검사합계산	koros4-function-reviewed		5
Clear	C지우기	M서술자지우기	koros4-function-reviewed		2
Clone	C복제	M연결대응표복제	koros4-function-reviewed		5
CloneAddressSpaceCOW	C복제주소공간쓰기시복사	F쓰기시복사주소공간복제	koros4-function-reviewed		2
Connect	C연결	M연결	koros4-function-reviewed		1
ContainsCoordinate	C포함좌표	M좌표포함여부확인	koros4-function-reviewed		2
CopyPageFrameBlock	C복사쪽프레임블록	F주소공간사이에물리기억쪽복사	koros4-function-reviewed		1
CpuState	C중앙처리장치상태	C중앙처리장치상태	koros4-function-reviewed		0
Create	C생성	M실행과정생성	koros4-function-reviewed		2
CreateFromData	C생성from자료	M저장상태에서실행과정생성	koros4-function-reviewed		1
CreateFromFunction	C생성from함수	M함수에서실행흐름생성	koros4-function-reviewed		2
CreatePtrFromFunction	C생성가리키개from함수	M함수에서실행흐름주소생성	koros4-function-reviewed		2
Cs	Cs	Cs	koros4-function-reviewed		0
Ctime	Ctime	V상태변경시각	koros4-function-reviewed		1
CtimeNsec	Ctimensec	V상태변경시각나노초	koros4-function-reviewed		1
CurrentPID	C현재과정식별자	F현재과정식별자가져오기	koros4-function-reviewed		6
CurrentParentPID	C현재부모과정식별자	F현재부모과정식별자가져오기	koros4-function-reviewed		3
Data	Data	Data	compatibility		0
Deactivate	D비활성화	M비활성화	koros4-function-reviewed		1
Deactive	Deactive	M개입중단비활성화	koros4-function-reviewed		2
Decrement	Decrement	M참조횟수줄이기	koros4-function-reviewed		3
Delete	D삭제	F기억공간해제	koros4-function-reviewed		1
DescriptorPrivilegeLevel	D서술자privilegelevel	D서술자privilegelevel	koros4-function-reviewed		0
DescriptorType	D서술자종류	D서술자종류	koros4-function-reviewed		0
Destroy	D제거	M등록해제	koros4-function-reviewed		2
Dev	D장치	D장치	koros4-function-reviewed		0
DeviceHasFunctions	D장치has함수	M다기능장치인지확인	koros4-function-reviewed		2
DeviceNotAvailable	D장치not사용가능	C장치사용불가예외	koros4-function-reviewed		2
Device_id	D장치식별자	D장치식별자	koros4-function-reviewed		0
DisableInt	D비활성화정수	F개입중단허용해제	koros4-function-reviewed		2
Disconnect	D연결해제	M연결해제	koros4-function-reviewed		3
DivideByZero	D나누기byzero	C영으로나눔예외	koros4-function-reviewed		2
DoHandleInterrupt	Do처리개입중단	M개입중단분배	koros4-function-reviewed		2
