original	localized	language
Activate	M활성화	ko
ActivateAll	M모두활성화	ko
Active	M개입중단활성화	ko
ActiveInterruptManager	A활성개입중단관리자	ko
ActiveMemoryManager	A활성기억공간관리자	ko
Add	M자료추가	ko
AddDriver	M구동기추가	ko
AddRunnableThread	F실행가능흐름추가	ko
AddTask	M작업추가	ko
AddThread	M실행흐름추가	ko
Address	A주소	ko
AlignedMalloc	M기억쪽경계맞춰할당	ko
AlignmentCheck	C정렬검사예외	ko
AllocateBlock	M구획할당	ko
AllocatePID	F과정식별자할당	ko
AmountOfMemory	M전체기억공간크기가져오기	ko
ArrayToUint16	F높은바이트우선배열을정수16으로변환	ko
ArrayToUint32	F높은바이트우선배열을정수32로변환	ko
ArrayToUint48	F높은바이트우선배열을정수48로변환	ko
ArrayToUint48_BE	F낮은바이트우선배열을정수48로변환	ko
ArrayToUint64	F높은바이트우선배열을정수64로변환	ko
Atime	V접근시각	ko
AtimeNsec	V접근시각나노초	ko
BLOCKS_PER_BYTE	C바이트당사용표시수	ko
BLOCK_SIZE	B구획크기	ko
Backend	B후단부	ko
BaseAddr	B기준주소	ko
Bind	M결합	ko
Blksize	V구획바이트크기	ko
Blocked	B차단됨	ko
BlockedState	B차단됨상태	ko
Blocks	B구획	ko
BoundRangeExceeded	C범위초과예외	ko
BroadcastMacAddress	M매체주소방송	ko
BytesPerSector	C저장구역당바이트수	ko
BytesToString	F바이트열을문자열로변환	ko
Checksum	M검사합계산	ko
Clear	M서술자지우기	ko
Clone	M연결대응표복제	ko
CloneAddressSpaceCOW	F쓰기시복사주소공간복제	ko
Connect	M연결	ko
ContainsCoordinate	M좌표포함여부확인	ko
CopyPageFrameBlock	F주소공간사이에물리기억쪽복사	ko
CpuState	C중앙처리장치상태	ko
Create	M실행과정생성	ko
CreateFromData	M저장상태에서실행과정생성	ko
CreateFromFunction	M함수에서실행흐름생성	ko
CreatePtrFromFunction	M함수에서실행흐름주소생성	ko
Cs	Cs	ko
Ctime	V상태변경시각	ko
CtimeNsec	V상태변경시각나노초	ko
CurrentPID	F현재과정식별자가져오기	ko
CurrentParentPID	F현재부모과정식별자가져오기	ko
Data	Data	ko
Deactivate	M비활성화	ko
Deactive	M개입중단비활성화	ko
Decrement	M참조횟수줄이기	ko
Delete	F기억공간해제	ko
