english	localized	language
a	a	lo
access	access	lo
ack	ack	lo
activate	activate	lo
active	active	lo
add	add	lo
addend	addend	lo
addr	addr	lo
addralign	addralign	lo
address	address	lo
advanced	advanced	lo
af	af	lo
after	after	lo
align	align	lo
aligned	aligned	lo
alignment	alignment	lo
all	all	lo
alloc	alloc	lo
allocate	allocate	lo
allocated	allocated	lo
am	am	lo
amd	amd	lo
amount	amount	lo
and	and	lo
append	append	lo
args	args	lo
argument	argument	lo
arguments	arguments	lo
arp	arp	lo
arp콘솔	arp콘솔	lo
array	array	lo
assembly	assembly	lo
at	at	lo
ata	ata	lo
atime	atime	lo
attachment	attachment	lo
attempts	attempts	lo
attr	attr	lo
attribute	attribute	lo
attributes	attributes	lo
aux	aux	lo
avail	avail	lo
available	available	lo
b	b	lo
ba	ba	lo
back	back	lo
backend	backend	lo
backup	backup	lo
bar	bar	lo
base	base	lo
be	be	lo
bh	bh	lo
big	big	lo
bind	bind	lo
bios	bios	lo
bit	bit	lo
bitmap	bitmap	lo
bitmasp	bitmasp	lo
bits	bits	lo
blksize	blksize	lo
block	block	lo
blocked	blocked	lo
blocking	blocking	lo
blocks	blocks	lo
boot	boot	lo
bootable	bootable	lo
bootloader	bootloader	lo
bound	bound	lo
bpb	bpb	lo
break	break	lo
brk	brk	lo
broadcast	broadcast	lo
buf	buf	lo
buffer	buffer	lo
buffers	buffers	lo
bufptr	bufptr	lo
bus	bus	lo
button	button	lo
buttons	buttons	lo
by	by	lo
byte	byte	lo
bytes	bytes	lo
c	c	lo
cache	cache	lo
call	call	lo
candidate	candidate	lo
cap	cap	lo
capable	capable	lo
card	card	lo
central	central	lo
char	char	lo
chdir	chdir	lo
check	check	lo
checked	checked	lo
checksum	checksum	lo
child	child	lo
chunk	chunk	lo
class	class	lo
clear	clear	lo
cloexec	cloexec	lo
clone	clone	lo
close	close	lo
cluster	cluster	lo
cmp	cmp	lo
code	code	lo
col	col	lo
color	color	lo
colordepth	colordepth	lo
command	command	lo
commandport	commandport	lo
common	common	lo
component	component	lo
connect	connect	lo
connected	connected	lo
console	console	lo
constant	constant	lo
contains	contains	lo
contents	contents	lo
control	control	lo
controller	controller	lo
coordinate	coordinate	lo
copies	copies	lo
copy	copy	lo
count	count	lo
cow	cow	lo
cpu	cpu	lo
cpustate	cpustate	lo
cpy	cpy	lo
cr	cr	lo
creat	creat	lo
create	create	lo
crtc	crtc	lo
cs	cs	lo
ctime	ctime	lo
cur	cur	lo
current	current	lo
cursor	cursor	lo
cylinder	cylinder	lo
d	d	lo
data	data	lo
databuffer	databuffer	lo
datagram	datagram	lo
dataport	dataport	lo
date	date	lo
deactivate	deactivate	lo
deactive	deactive	lo
debug	debug	lo
decrement	decrement	lo
default	default	lo
delete	delete	lo
delta	delta	lo
depth	depth	lo
desc	desc	lo
descr	descr	lo
description	description	lo
descriptor	descriptor	lo
descriptors	descriptors	lo
descsz	descsz	lo
destination	destination	lo
destroy	destroy	lo
dev	dev	lo
device	device	lo
diff	diff	lo
digits	digits	lo
dir	dir	lo
directory	directory	lo
dirent	dirent	lo
disable	disable	lo
discard	discard	lo
disconnect	disconnect	lo
dispatch	dispatch	lo
divide	divide	lo
divisor	divisor	lo
do	do	lo
domain	domain	lo
double	double	lo
down	down	lo
draw	draw	lo
drive	drive	lo
driver	driver	lo
drivercount	drivercount	lo
drivers	drivers	lo
drv	drv	lo
ds	ds	lo
dst	dst	lo
dstptr	dstptr	lo
dup	dup	lo
dword	dword	lo
dyn	dyn	lo
dynamic	dynamic	lo
e	e	lo
eacces	eacces	lo
eaddrinuse	eaddrinuse	lo
eafnosupport	eafnosupport	lo
eagain	eagain	lo
eax	eax	lo
ebadf	ebadf	lo
ebp	ebp	lo
ebusy	ebusy	lo
ebx	ebx	lo
echild	echild	lo
echo	echo	lo
ecx	ecx	lo
edi	edi	lo
edx	edx	lo
eexist	eexist	lo
ef	ef	lo
efault	efault	lo
efbig	efbig	lo
eflags	eflags	lo
ehsize	ehsize	lo
eintr	eintr	lo
einval	einval	lo
eio	eio	lo
eip	eip	lo
eisdir	eisdir	lo
elf	elf	lo
emfile	emfile	lo
empty	empty	lo
emsgsize	emsgsize	lo
enable	enable	lo
enabled	enabled	lo
end	end	lo
enetunreach	enetunreach	lo
enfile	enfile	lo
enodev	enodev	lo
enoent	enoent	lo
enoexec	enoexec	lo
enomem	enomem	lo
enospc	enospc	lo
enosys	enosys	lo
enotconn	enotconn	lo
enotdir	enotdir	lo
enotty	enotty	lo
ensure	ensure	lo
entries	entries	lo
entry	entry	lo
entrypoint	entrypoint	lo
entsize	entsize	lo
environment	environment	lo
eopnotsupp	eopnotsupp	lo
eperm	eperm	lo
ephemeral	ephemeral	lo
eprotonosupport	eprotonosupport	lo
equal	equal	lo
erange	erange	lo
erofs	erofs	lo
err	err	lo
error	error	lo
errorln	errorln	lo
es	es	lo
esi	esi	lo
esp	esp	lo
espipe	espipe	lo
esrch	esrch	lo
ether	ether	lo
etherframe	etherframe	lo
ethernet	ethernet	lo
event	event	lo
events	events	lo
exceeded	exceeded	lo
except	except	lo
exception	exception	lo
exec	exec	lo
execve	execve	lo
exists	exists	lo
exit	exit	lo
exited	exited	lo
ext	ext	lo
extended	extended	lo
f	f	lo
family	family	lo
fat	fat	lo
fatal	fatal	lo
fatbuf	fatbuf	lo
fatbuffer	fatbuffer	lo
fault	fault	lo
fb	fb	lo
fcntl	fcntl	lo
fd	fd	lo
fds	fds	lo
field	field	lo
file	file	lo
filename	filename	lo
files	files	lo
filesz	filesz	lo
fill	fill	lo
find	find	lo
first	first	lo
fl	fl	lo
flag	flag	lo
flags	flags	lo
floating	floating	lo
flush	flush	lo
fn	fn	lo
focus	focus	lo
focussable	focussable	lo
foo	foo	lo
for	for	lo
forced	forced	lo
fork	fork	lo
found	found	lo
fp	fp	lo
fpu	fpu	lo
frame	frame	lo
free	free	lo
frequency	frequency	lo
from	from	lo
front	front	lo
fs	fs	lo
fstat	fstat	lo
fsync	fsync	lo
fuction	fuction	lo
full	full	lo
func	func	lo
function	function	lo
functions	functions	lo
fxrstor	fxrstor	lo
fxsave	fxsave	lo
g	g	lo
gate	gate	lo
gateway	gateway	lo
gb	gb	lo
gdt	gdt	lo
get	get	lo
getcwd	getcwd	lo
getegid	getegid	lo
geteuid	geteuid	lo
getgid	getgid	lo
getpid	getpid	lo
getppid	getppid	lo
getuid	getuid	lo
gid	gid	lo
global	global	lo
got	got	lo
gpf	gpf	lo
gran	gran	lo
graphics	graphics	lo
grub	grub	lo
gs	gs	lo
h	h	lo
halt	halt	lo
handle	handle	lo
handler	handler	lo
handlers	handlers	lo
hardware	hardware	lo
has	has	lo
hd	hd	lo
head	head	lo
header	header	lo
headertype	headertype	lo
heap	heap	lo
height	height	lo
helper	helper	lo
hex	hex	lo
hex출력	hex출력	lo
hi	hi	lo
hidden	hidden	lo
high	high	lo
hop	hop	lo
i	i	lo
icmp	icmp	lo
icmp콘솔	icmp콘솔	lo
id	id	lo
ident	ident	lo
identify	identify	lo
idt	idt	lo
idx	idx	lo
ifchr	ifchr	lo
ifdir	ifdir	lo
ifmt	ifmt	lo
ifreg	ifreg	lo
ifsock	ifsock	lo
in	in	lo
increment	increment	lo
index	index	lo
inet	inet	lo
info	info	lo
init	init	lo
initial	initial	lo
initialization	initialization	lo
initialize	initialize	lo
ino	ino	lo
inode	inode	lo
input	input	lo
install	install	lo
int	int	lo
interconnect	interconnect	lo
interface	interface	lo
internet	internet	lo
internetprotocol	internetprotocol	lo
interrupt	interrupt	lo
interrupts	interrupts	lo
invalid	invalid	lo
io	io	lo
iomap	iomap	lo
ip	ip	lo
ipci	ipci	lo
ipmessage	ipmessage	lo
ipv	ipv	lo
ip콘솔	ip콘솔	lo
iret	iret	lo
is	is	lo
ist	ist	lo
j	j	lo
jmp	jmp	lo
jump	jump	lo
k	k	lo
kb	kb	lo
kcs	kcs	lo
kds	kds	lo
kernel	kernel	lo
key	key	lo
keyboard	keyboard	lo
kgs	kgs	lo
kind	kind	lo
k핵심	k핵심	lo
l	l	lo
label	label	lo
last	last	lo
lba	lba	lo
ldt	ldt	lo
left	left	lo
len	len	lo
length	length	lo
lengths	lengths	lo
level	level	lo
lib	lib	lo
lidt	lidt	lo
lidtaddr	lidtaddr	lo
limit	limit	lo
line	line	lo
link	link	lo
linked	linked	lo
linker	linker	lo
list	list	lo
listen	listen	lo
listening	listening	lo
live	live	lo
load	load	lo
loader	loader	lo
local	local	lo
log	log	lo
logical	logical	lo
loop	loop	lo
low	low	lo
lseek	lseek	lo
lstat	lstat	lo
m	m	lo
mac	mac	lo
machine	machine	lo
magicnumber	magicnumber	lo
main	lak	lo
make	make	lo
malloc	malloc	lo
manager	manager	lo
map	map	lo
mask	mask	lo
master	master	lo
matches	matches	lo
max	max	lo
maximum	maximum	lo
mb	mb	lo
mbr	mbr	lo
media	media	lo
mem	mem	lo
memory	memory	lo
memorymananger	memorymananger	lo
memorytest	memorytest	lo
memsz	memsz	lo
mesg	mesg	lo
message	message	lo
mics	mics	lo
mid	mid	lo
minimum	minimum	lo
mode	mode	lo
model	model	lo
mouse	mouse	lo
mousemove	mousemove	lo
move	move	lo
msdospart	msdospart	lo
msg	msg	lo
mtime	mtime	lo
multi	multi	lo
multiboot	multiboot	lo
multitasking	multitasking	lo
my	my	lo
myfunction	myfunction	lo
m긴급로그	m긴급로그	lo
m긴급로그문자열	m긴급로그문자열	lo
m직렬로그초기화	m직렬로그초기화	lo
m출력	m출력	lo
m테스트	m테스트	lo
n	n	lo
name	name	lo
namesz	namesz	lo
net	net	lo
network	network	lo
new	new	lo
next	next	lo
nibble	nibble	lo
nlink	nlink	lo
nmi	nmi	lo
node	node	lo
nodename	nodename	lo
noexec	noexec	lo
none	none	lo
normal	normal	lo
norw	norw	lo
not	not	lo
note	note	lo
nsec	nsec	lo
num	num	lo
number	number	lo
o	o	lo
of	of	lo
offset	offset	lo
