original	localized	language
Activate	Activate	lo
ActivateAll	Activateall	lo
Active	Active	lo
ActiveInterruptManager	Activeinterruptmanager	lo
ActiveMemoryManager	Activememorymanager	lo
Add	Add	lo
AddDriver	Adddriver	lo
AddRunnableThread	Addrunnablethread	lo
AddTask	Addtask	lo
AddThread	Addthread	lo
Address	Address	lo
AlignedMalloc	Alignedmalloc	lo
AlignmentCheck	Alignmentcheck	lo
AllocateBlock	Allocateblock	lo
AllocatePID	Allocatepid	lo
AmountOfMemory	Amountofmemory	lo
ArrayToUint16	Arraytounsignedinteger16	lo
ArrayToUint32	Arraytounsignedinteger32	lo
ArrayToUint48	Arraytounsignedinteger48	lo
ArrayToUint48_BE	Arraytounsignedinteger48be	lo
ArrayToUint64	Arraytounsignedinteger64	lo
Atime	Atime	lo
AtimeNsec	Atimensec	lo
BLOCKS_PER_BYTE	Blockperbyte	lo
BLOCK_SIZE	Blocksize	lo
Backend	Backend	lo
BaseAddr	Baseaddress	lo
Bind	Bind	lo
Blksize	Blksize	lo
Blocked	Blocked	lo
BlockedState	Blockedstate	lo
Blocks	Block	lo
BoundRangeExceeded	Boundrangeexceeded	lo
BroadcastMacAddress	Broadcastmacaddress	lo
BytesPerSector	Bytespersector	lo
BytesToString	Bytestostring	lo
Checksum	Checksum	lo
Clear	Clear	lo
Clone	Clone	lo
CloneAddressSpaceCOW	Cloneaddressspacecow	lo
Connect	Connect	lo
ContainsCoordinate	Containscoordinate	lo
CopyPageFrameBlock	Copypageframeblock	lo
CpuState	Cpustate	lo
Create	Create	lo
CreateFromData	Createfromdata	lo
CreateFromFunction	Createfromfunction	lo
CreatePtrFromFunction	Createpointerfromfunction	lo
Cs	Cs	lo
Ctime	Ctime	lo
CtimeNsec	Ctimensec	lo
CurrentPID	Currentpid	lo
CurrentParentPID	Currentparentpid	lo
Data	Data	lo
Deactivate	Deactivate	lo
Deactive	Deactive	lo
Decrement	Decrement	lo
Delete	Delete	lo
DescriptorPrivilegeLevel	Descriptorprivilegelevel	lo
DescriptorType	Descriptortype	lo
Destroy	Destroy	lo
Dev	Device	lo
DeviceHasFunctions	Devicehasfunctions	lo
DeviceNotAvailable	Devicenotavailable	lo
Device_id	Deviceid	lo
DisableInt	Disableint	lo
Disconnect	Disconnect	lo
DivideByZero	Dividebyzero	lo
DoHandleInterrupt	Dohandleinterrupt	lo
DoubleFault	Doublefault	lo
Draw	Draw	lo
DriverManager	Drivermanager	lo
Ds	Ds	lo
Dynamic	Dynamic	lo
E2BIG	E2big	lo
EACCES	Eacces	lo
EADDRINUSE	Eaddrinuse	lo
EAFNOSUPPORT	Eafnosupport	lo
EAGAIN	Eagain	lo
EBADF	Ebadf	lo
EBUSY	Ebusy	lo
ECHILD	Echild	lo
EEXIST	Eexist	lo
EFAULT	Efault	lo
EFBIG	Efbig	lo
EINTR	Eintr	lo
EINVAL	Einval	lo
EIO	Eio	lo
EISDIR	Eisdir	lo
EMFILE	Emfile	lo
EMSGSIZE	Emsgsize	lo
ENETUNREACH	Enetunreach	lo
ENFILE	Enfile	lo
ENODEV	Enodev	lo
ENOENT	Enoent	lo
ENOEXEC	Enoexec	lo
ENOMEM	Enomem	lo
ENOSPC	Enospc	lo
ENOSYS	Enosys	lo
ENOTCONN	Enotconn	lo
ENOTDIR	Enotdir	lo
ENOTTY	Enotty	lo
EOPNOTSUPP	Eopnotsupp	lo
EPERM	Eperm	lo
EPROTONOSUPPORT	Eprotonosupport	lo
ERANGE	Erange	lo
EROFS	Erofs	lo
ESPIPE	Espipe	lo
ESRCH	Esrch	lo
Eax	Eax	lo
Ebp	Ebp	lo
Ebx	Ebx	lo
Ecx	Ecx	lo
Edi	Edi	lo
Edx	Edx	lo
Eflags	Eflags	lo
Eip	Eip	lo
Elf	Elf	lo
Elf32Dyn	Elf32dyn	lo
Elf32Note	Elf32note	lo
Elf32Rel	Elf32rel	lo
Elf32Rela	Elf32rela	lo
Elf32Sym	Elf32sym	lo
ElfHeader	Elfheader	lo
ElfProgramHeader	Elfprogramheader	lo
ElfSectionHeader	Elfsectionheader	lo
EnablePaging	Enablepaging	lo
Enabled	Enabled	lo
EntryNumber	Entrynumber	lo
EqualBytes	Equalbytes	lo
Es	Es	lo
Esi	Esi	lo
Esp	Esp	lo
FPUBuffer	Fpubuffer	lo
FPUOffset	Fpuoffset	lo
Family	Family	lo
FileName	Filename	lo
Fill	Fill	lo
FillRectangle	Fillrectangle	lo
First	First	lo
FirstFree	Firstfree	lo
FirstFreeSize	Firstfreesize	lo
Flags	Flags	lo
FloatingPointException	Floatingpointexception	lo
Flush	Flush	lo
FlushTlsTable	Flushtlstable	lo
Focussable	Focussable	lo
Free	Free	lo
Fs	Fs	lo
GB	Gb	lo
GDT_ENTRIES	Gdtentry	lo
GOT	Got	lo
GPFException	Gpfexception	lo
GatewayIP	Gatewayip	lo
GdtAddressHigh	Gdtaddresshigh	lo
GdtAddressLow	Gdtaddresslow	lo
GdtDescriptor	Gdtdescriptor	lo
GdtEntry	Gdtentry_2	lo
GdtSize	Gdtsize	lo
GetAt	Getat	lo
GetBackend	Getbackend	lo
GetBaseAddressRegister	Getbaseaddressregister	lo
GetBitmaspSize	Getbitmaspsize	lo
GetBytesFromPtr	Getbytesfrompointer	lo
GetCR0	Getcr0	lo
GetCR2	Getcr2	lo
GetCR3	Getcr3	lo
GetCR4	Getcr4	lo
GetColorIndex	Getcolorindex	lo
GetDeviceDescriptor	Getdevicedescriptor	lo
GetDriver	Getdriver	lo
GetESP0	Getesp0	lo
GetEntry	Getentry	lo
GetFileSize	Getfilesize	lo
GetFocus	Getfocus	lo
GetFrameBufferSegment	Getframebuffersegment	lo
GetFuncPtrFromPtr	Getfuncpointerfrompointer	lo
GetFunctionName	Getfunctionname	lo
GetHandler	Gethandler	lo
GetIPAddress	Getipaddress	lo
GetMACAddress	Getmacaddress	lo
GetMACFromCache	Getmacfromcache	lo
GetNextReadyThread	Getnextreadythread	lo
GetNodeAt	Getnodeat	lo
GetProvider	Providerget	lo
GetSS0	Getss0	lo
GetStr	Getstr	lo
GetUint32ArrayFromPtr	Getunsignedinteger32arrayfrompointer	lo
GetUintptrArrayFromPtr	Getunsignedintegerpointerarrayfrompointer	lo
GetValue	Getvalue	lo
GetValueInPageDir	Getvalueinpagedirectory	lo
Gid	Gid	lo
Gs	Gs	lo
HandleException	Handleexception	lo
HandleFatalInterruptFrame	Handlefatalinterruptframe	lo
HandleInterrupt	Handleinterrupt	lo
HandleInterrupt1	Handleinterrupt1	lo
HandleUserDatagramProtocolMessage	Handleuserdatagramprotocolmessage	lo
IDT_DESC_PRESENT	Idtdescriptorpresent	lo
IDT_INTERRUPT_GATE	Idtinterruptgate	lo
IDriver	IDriver	lo
IEtherFrameHandler	IEthernetframehandler	lo
IInternetProtocolHandler	IInternetprotocolhandler	lo
IInterruptHandler	IInterrupthandler	lo
IKeyboardEventHandler	IKeyboardeventhandler	lo
IMouseEventHandler	IMouseeventhandler	lo
IPCIControllerHandler	Ipcicontrollerhandler	lo
IPCache	Ipcache	lo
IP_BE	Ipnetworkbyteorder	lo
IRawDataHandler	IRawdatahandler	lo
ITimerEventHandler	ITimereventhandler	lo
IUserDatagramProtocolHandler	IUserdatagramprotocolhandler	lo
IUserDatagramProtocolSocket	IUserdatagramprotocolsocket	lo
IWidget	IWidget	lo
Identify	Identify	lo
Increment	Increment	lo
IndexOf	Indexof	lo
Init	Init	lo
InitDriver	Initdriver	lo
InitialThreadUserJump	Initialthreaduserjump	lo
Ino	Ino	lo
Install	Install	lo
Interrupt	Interrupt	lo
InterruptActive	Interruptactive	lo
InterruptDeactive	Interruptdeactive	lo
InterruptManager	Interruptmanager	lo
InterruptNumber	Interruptnumber	lo
InvalidOpcode	Invalidopcode	lo
InvalidTSS	Invalidtss	lo
IsKernel	Iskernel	lo
IsPresent	Ispresent	lo
IsUserSpace	Isuserspace	lo
KB	Kb	lo
KCS_INDEX	Kcsindex	lo
KCS_SELECTOR	Kcsselector	lo
KDS_INDEX	Kdsindex	lo
KDS_SELECTOR	Kdsselector	lo
KERNEL_HEAP_START	Kernelheapstart	lo
KERNEL_VIRT_ADDR	Kernelvirtaddress	lo
KGS_INDEX	Kgsindex	lo
KGS_SELECTOR	Kgsselector	lo
K핵심	KKernelEntry	lo
LIDT	Lidt	lo
Last	Last	lo
Len	Len	lo
Limit	Limit	lo
Link	Link	lo
LinkMap	Linkmap	lo
LinkedList	Linkedlist	lo
Listen	Listen	lo
LoadElf	Loadelf	lo
MAC	Mac	lo
MAC0	Mac0	lo
MAC1	Mac1	lo
MAC2	Mac2	lo
MAC3	Mac3	lo
MAC4	Mac4	lo
MAC5	Mac5	lo
MACAddress0Port	Macaddress0port	lo
MACAddress2Port	Macaddress2port	lo
MACAddress4Port	Macaddress4port	lo
MACCache	Maccache	lo
MAX_QUEUE_SIZE	Maxqueuesize	lo
MB	Mb	lo
MBR	Mbr	lo
MHex출력	MHexadecimalprint	lo
MHex출력XY	MHexadecimalprintxy	lo
MUint16출력	MUnsignedinteger16print	lo
MUint16출력XY	MUnsignedinteger16printxy	lo
MUint32출력	MUnsignedinteger32print	lo
MUint32출력XY	MUnsignedinteger32printxy	lo
